logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-9.9496e-01,-1.3143e+00,1.6487e+00,1.4713e+00,1.1391e+00,1.9490e+00,3.3113e+00,2.8066e+01,-8.9989e+02
-9.0013e-01,-1.1954e+00,1.7164e+00,1.7071e+00,4.8450e-01,1.8783e+00,3.3500e+00,2.8236e+01,-8.7140e+02
-8.2731e-01,-1.1732e+00,1.7092e+00,7.7908e-01,1.8928e+00,2.8415e+00,2.9454e+00,2.8070e+01,-9.4990e+02
-8.4921e-01,-1.8200e+00,1.7237e+00,3.4067e-01,4.0154e-01,2.6428e+00,3.2350e+00,2.8148e+01,-9.3821e+02
-8.1826e-01,-1.4646e+00,1.6920e+00,8.0662e-01,1.3481e+00,2.4487e+00,3.2282e+00,2.8081e+01,-9.5599e+02
-7.3752e-01,-1.2987e+00,1.7070e+00,1.4880e+00,1.9759e+00,1.8711e+00,3.2619e+00,2.8108e+01,-9.4893e+02
-9.0374e-01,-1.9045e+00,1.7288e+00,-7.9218e-02,1.1878e+00,2.2525e+00,3.2966e+00,2.8110e+01,-9.4784e+02
-9.5963e-01,-1.9068e+00,1.7078e+00,1.4594e+00,1.0010e+00,1.9072e+00,3.3794e+00,2.8257e+01,-9.0316e+02
-8.8055e-01,-1.4837e+00,1.6834e+00,4.7963e-02,9.8336e-01,3.0020e+00,2.8185e+00,2.8082e+01,-9.5036e+02
-9.6740e-01,-1.2855e+00,1.5473e+00,1.8243e+00,9.3332e-01,2.3367e+00,3.2062e+00,2.8061e+01,-9.5494e+02
-9.3563e-01,-1.5702e+00,1.6493e+00,1.0069e+00,1.5776e+00,2.3064e+00,3.2198e+00,2.8016e+01,-9.3208e+02
-9.8532e-01,-1.7715e+00,1.6603e+00,1.7460e+00,1.1340e+00,2.0628e+00,3.3640e+00,2.8304e+01,-8.8810e+02
-9.5446e-01,-1.2463e+00,1.6510e+00,1.8235e+00,5.7452e-01,1.7823e+00,3.3090e+00,2.8106e+01,-9.4775e+02
-8.0019e-01,-1.2378e+00,1.6778e+00,1.3252e+00,1.7859e+00,3.0418e+00,2.6579e+00,2.8131e+01,-9.3420e+02
