logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-3.6084e-01,-9.4251e-01,1.8619e+00,1.0735e+00,1.1582e+00,3.8502e+00,2.7299e+00,3.0259e+01,-1.7510e+03
-4.6586e-01,-9.1105e-01,2.0421e+00,1.0121e-01,1.1805e+00,4.0546e+00,2.5478e+00,3.0782e+01,-1.6779e+03
1.4401e-01,-1.1096e+00,1.9280e+00,2.7372e+00,3.1997e+00,3.9594e+00,3.0711e+00,3.0985e+01,-1.7212e+03
3.0918e-01,-1.4399e+00,2.4747e+00,2.1037e+00,2.5340e+00,3.9408e+00,4.4026e+00,3.1580e+01,-1.6804e+03
1.6549e-01,-1.1449e+00,1.4993e+00,2.5118e+00,3.0850e+00,3.5458e+00,2.0292e+00,3.0183e+01,-1.5291e+03
4.1292e-01,-9.1000e-01,1.9106e+00,1.2296e+00,3.5638e+00,1.8372e+00,3.0518e+00,3.0334e+01,-1.8510e+03
-3.2057e-02,-1.5223e+00,1.6885e+00,2.4660e+00,2.6114e+00,2.0651e+00,4.0196e+00,3.0442e+01,-1.7325e+03
-9.3820e-01,-1.6090e+00,1.1293e+00,1.4966e+00,1.2193e+00,2.3396e+00,3.5345e+00,2.9154e+01,-1.4964e+03
2.6304e-01,-5.9186e-01,2.5235e+00,1.2852e+00,3.6734e+00,1.5970e+00,4.3431e+00,3.1454e+01,-1.4954e+03
2.4060e-01,-9.6867e-01,1.2672e+00,2.2344e+00,2.4507e+00,2.9635e+00,3.3092e+00,2.9263e+01,-7.4817e+02
-8.8392e-01,-8.7980e-01,1.6096e+00,1.8651e+00,2.2306e+00,2.8804e+00,3.8901e+00,3.0149e+01,-1.7902e+03
-3.9633e-01,-9.9474e-01,1.4004e+00,1.8049e+00,9.7832e-01,1.6825e+00,3.6060e+00,2.9141e+01,-1.9265e+03
-3.2667e-01,-1.8386e+00,2.4059e+00,1.5234e+00,1.1405e+00,3.1704e+00,4.5052e+00,3.1592e+01,-1.8561e+03
-1.7710e-01,-1.3036e+00,8.8259e-01,2.1065e+00,1.9636e+00,3.4136e+00,1.9982e+00,2.9310e+01,-1.4063e+03
-3.2288e-01,-1.5920e+00,1.8277e+00,1.8964e+00,3.1340e+00,3.0459e+00,3.8211e+00,3.0539e+01,-7.9636e+02
3.2763e-01,-1.5302e+00,1.8790e+00,7.2445e-01,3.5485e+00,2.1032e+00,2.7323e+00,3.0438e+01,-1.0510e+03
2.2805e-01,-1.4406e+00,2.0220e+00,2.8322e+00,3.1596e+00,1.9191e+00,4.2536e+00,3.1120e+01,-1.7138e+03
6.7958e-02,-1.6764e+00,1.8115e+00,1.9901e+00,1.2120e+00,2.4876e+00,3.9553e+00,3.0057e+01,-1.1202e+03
-5.4670e-01,-1.0796e+00,1.6141e+00,2.2366e+00,1.1529e+00,2.9220e+00,3.9496e+00,3.0279e+01,-1.7342e+03
8.0532e-02,-1.8449e+00,2.0559e+00,2.0610e+00,3.1919e+00,1.9228e+00,4.1620e+00,3.0854e+01,-1.1999e+03
