logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.2024e-01,-6.9329e-01,2.6111e+00,-7.7645e-03,2.4899e+00,4.0667e+00,4.0142e+00,3.0833e+01,-3.9416e+02
1.5871e-01,-9.3690e-01,2.5172e+00,4.8145e-01,2.9067e+00,1.4675e+00,4.3646e+00,3.0644e+01,-3.9327e+02
2.8744e-01,-5.7603e-01,2.3533e+00,1.0580e+00,3.5276e+00,3.5557e+00,3.2317e+00,3.0185e+01,-3.7336e+02
2.2183e-01,-5.3252e-01,2.2290e+00,2.5489e+00,1.3759e+00,3.6712e+00,3.7959e+00,2.9903e+01,-3.9706e+02
1.8163e-01,-5.0052e-01,2.6935e+00,5.7700e-01,1.0188e+00,2.9979e+00,4.4832e+00,3.0818e+01,-3.9440e+02
1.3794e-01,-9.6097e-01,2.3856e+00,2.0734e+00,1.5026e+00,4.1054e+00,3.0921e+00,3.0494e+01,-3.9256e+02
2.9543e-01,-5.5888e-01,2.5915e+00,1.6812e-01,2.8626e+00,1.8494e+00,4.4116e+00,3.0604e+01,-3.8946e+02
1.7669e-01,-1.0822e+00,2.2169e+00,5.5366e-01,3.2887e+00,3.1558e+00,3.8550e+00,3.0076e+01,-3.9948e+02
1.5591e-01,-9.8947e-01,2.5101e+00,5.3653e-01,1.9488e+00,3.7256e+00,4.2446e+00,3.0659e+01,-3.8886e+02
2.5908e-01,-5.0613e-01,2.6345e+00,1.4885e+00,3.2194e+00,1.5696e+00,4.4144e+00,3.0724e+01,-3.8094e+02
1.8534e-01,-6.4622e-01,2.5506e+00,1.5225e+00,9.2487e-01,4.2345e+00,2.3129e+00,3.0685e+01,-3.7711e+02
2.0149e-01,-5.4646e-01,2.4757e+00,2.2704e+00,2.7541e+00,4.1329e+00,2.7710e+00,3.0467e+01,-3.9396e+02
1.8712e-01,-7.3743e-01,2.4553e+00,1.3417e+00,1.1203e+00,4.0847e+00,3.4010e+00,3.0434e+01,-3.8699e+02
2.8405e-01,-6.5053e-01,2.6139e+00,1.7997e+00,8.3750e-01,4.1266e+00,4.0450e+00,3.0806e+01,-3.8838e+02
2.6597e-01,-5.1406e-01,2.4786e+00,2.5888e+00,1.4051e+00,1.5881e+00,4.3489e+00,3.0406e+01,-3.9218e+02
1.3551e-01,-7.2093e-01,2.5716e+00,2.7461e-01,9.2380e-01,4.1430e+00,3.8065e+00,3.0749e+01,-3.9211e+02
2.2763e-01,-6.7376e-01,2.5783e+00,7.5165e-01,2.0973e+00,3.4374e+00,4.3917e+00,3.0653e+01,-3.8994e+02
2.0777e-01,-7.7387e-01,2.3736e+00,1.4661e+00,3.1911e+00,3.9424e+00,3.2186e+00,3.0324e+01,-3.7862e+02
