niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.4563e+05,-1.4564e+05,-1.9980e-03,-1.4564e+05,1.1750e-01,6.9098e+00,inf,5.0024e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,1.3270e+00,2.8358e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.4424e+05,-1.4425e+05,-3.9960e-03,-1.4425e+05,1.1751e-01,6.9118e+00,1.2972e+05,1.1876e+00,-7.6710e-01,-1.4585e+00,5.8652e+00,1.3886e+00,2.8819e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.4365e+05,-1.4366e+05,-5.9940e-03,-1.4366e+05,1.1753e-01,6.9138e+00,1.2833e+05,1.6887e+00,2.6910e-01,-1.7251e+00,5.7389e+00,1.1262e+00,2.8380e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.4364e+05,-1.4365e+05,-7.9920e-03,-1.4365e+05,1.1742e-01,6.9008e+00,1.2774e+05,2.3432e+00,-8.5281e-01,-1.3427e+00,5.8425e+00,5.1179e-01,2.8933e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.4341e+05,-1.4341e+05,-9.9900e-03,-1.4341e+05,1.1757e-01,6.9177e+00,1.2773e+05,3.0555e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,1.6086e+00,2.8357e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.4333e+05,-1.4334e+05,-1.1988e-02,-1.4334e+05,1.1758e-01,6.9197e+00,1.2750e+05,3.7427e+00,2.2353e-01,-5.3953e-01,5.7618e+00,1.0799e+00,2.8355e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.4285e+05,-1.4286e+05,-1.3986e-02,-1.4286e+05,1.1760e-01,6.9217e+00,1.2742e+05,4.2673e+00,-6.7716e-01,-1.9724e+00,5.5890e+00,1.2009e+00,2.8756e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.4271e+05,-1.4272e+05,-1.5984e-02,-1.4272e+05,1.1762e-01,6.9237e+00,1.2694e+05,4.7766e+00,-9.8678e-01,-1.0704e+00,5.7371e+00,2.2047e+00,2.8966e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.4266e+05,-1.4266e+05,-1.7982e-02,-1.4266e+05,1.1763e-01,6.9257e+00,1.2680e+05,5.2652e+00,-9.2180e-01,-1.8609e+00,5.6610e+00,1.7647e+00,2.9089e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.4258e+05,-1.4259e+05,-1.9980e-02,-1.4259e+05,1.1765e-01,6.9277e+00,1.2675e+05,5.8651e+00,-9.7902e-01,-1.0865e+00,5.9657e+00,2.3187e+00,2.9762e+01
