logfeh,logdust_med,logNpix,tau,dmod,logl
3.0604e-01,-1.9566e+00,3.8080e+00,9.9957e+00,2.8353e+01,-6.2306e+03
3.0909e-01,-1.9732e+00,3.8086e+00,9.9945e+00,2.8348e+01,-6.2345e+03
3.0815e-01,-1.9761e+00,3.8054e+00,9.9758e+00,2.8348e+01,-6.2649e+03
3.0368e-01,-1.9512e+00,3.8025e+00,9.9471e+00,2.8331e+01,-6.2579e+03
3.0494e-01,-1.8944e+00,3.8012e+00,9.9907e+00,2.8336e+01,-6.2471e+03
3.0797e-01,-1.9565e+00,3.8089e+00,9.9869e+00,2.8350e+01,-6.2304e+03
3.0424e-01,-1.9954e+00,3.8022e+00,9.9446e+00,2.8330e+01,-6.2611e+03
3.0421e-01,-1.9842e+00,3.8030e+00,9.9844e+00,2.8340e+01,-6.2587e+03
3.0484e-01,-1.9819e+00,3.8020e+00,9.9619e+00,2.8337e+01,-6.1733e+03
3.0300e-01,-1.9852e+00,3.8013e+00,9.9198e+00,2.8332e+01,-6.2654e+03
3.0799e-01,-1.9718e+00,3.8083e+00,9.9899e+00,2.8340e+01,-6.2220e+03
3.0602e-01,-1.9342e+00,3.8047e+00,9.9745e+00,2.8346e+01,-6.1935e+03
3.0343e-01,-1.9963e+00,3.8023e+00,9.9458e+00,2.8337e+01,-6.2538e+03
3.0402e-01,-1.9355e+00,3.8079e+00,9.9830e+00,2.8352e+01,-6.2150e+03
3.0330e-01,-1.9355e+00,3.8017e+00,9.9616e+00,2.8337e+01,-6.2607e+03
3.0471e-01,-1.9903e+00,3.8084e+00,9.9969e+00,2.8349e+01,-6.2372e+03
3.0514e-01,-1.9988e+00,3.8025e+00,9.9736e+00,2.8335e+01,-6.2542e+03
3.0438e-01,-1.9550e+00,3.8022e+00,9.9863e+00,2.8341e+01,-6.1845e+03
3.0819e-01,-1.9456e+00,3.8056e+00,9.9869e+00,2.8343e+01,-6.2535e+03
3.0453e-01,-1.9760e+00,3.8021e+00,9.9710e+00,2.8336e+01,-6.1530e+03
3.0482e-01,-1.9354e+00,3.8021e+00,9.9492e+00,2.8330e+01,-6.2595e+03
3.0331e-01,-1.9611e+00,3.8027e+00,9.9599e+00,2.8337e+01,-6.2385e+03
3.0752e-01,-1.9613e+00,3.8088e+00,9.9880e+00,2.8349e+01,-6.2093e+03
3.0826e-01,-1.9875e+00,3.8086e+00,9.9814e+00,2.8345e+01,-6.2481e+03
3.0561e-01,-1.9474e+00,3.8084e+00,9.9671e+00,2.8346e+01,-6.2422e+03
3.0364e-01,-1.9424e+00,3.8028e+00,9.9447e+00,2.8341e+01,-6.2599e+03
3.0423e-01,-1.9729e+00,3.8023e+00,9.9428e+00,2.8333e+01,-6.2492e+03
3.0394e-01,-1.9972e+00,3.8010e+00,9.9863e+00,2.8331e+01,-6.2588e+03
3.0693e-01,-1.9629e+00,3.8082e+00,9.9752e+00,2.8345e+01,-6.1999e+03
3.0565e-01,-1.9923e+00,3.8045e+00,9.9636e+00,2.8347e+01,-6.2556e+03
3.0866e-01,-1.9808e+00,3.8054e+00,9.9808e+00,2.8341e+01,-6.2345e+03
3.0387e-01,-1.9434e+00,3.8023e+00,9.9610e+00,2.8339e+01,-6.2295e+03
2.0518e-01,-1.9952e+00,3.7260e+00,9.9949e+00,2.8161e+01,-6.2596e+03
3.0354e-01,-1.9817e+00,3.8015e+00,9.9590e+00,2.8339e+01,-6.2642e+03
3.0418e-01,-1.9928e+00,3.8027e+00,9.9411e+00,2.8332e+01,-6.2630e+03
3.0368e-01,-1.9419e+00,3.8026e+00,9.9411e+00,2.8334e+01,-6.2290e+03
3.0041e-01,-1.9647e+00,3.8014e+00,9.9361e+00,2.8340e+01,-6.2633e+03
3.0754e-01,-1.9381e+00,3.8089e+00,9.9462e+00,2.8350e+01,-6.2687e+03
2.7980e-01,-1.9895e+00,3.7260e+00,9.9909e+00,2.8163e+01,-6.2536e+03
3.0680e-01,-1.9574e+00,3.8089e+00,9.9595e+00,2.8359e+01,-6.2594e+03
2.8558e-01,-1.9822e+00,3.7260e+00,9.9943e+00,2.8163e+01,-6.2551e+03
3.0288e-01,-1.9774e+00,3.8023e+00,9.9577e+00,2.8331e+01,-6.2650e+03
3.0622e-01,-1.9364e+00,3.8085e+00,9.9786e+00,2.8349e+01,-6.2665e+03
3.0762e-01,-1.9761e+00,3.8087e+00,9.9763e+00,2.8360e+01,-6.2583e+03
2.2484e-01,-1.9817e+00,3.7261e+00,9.9938e+00,2.8166e+01,-6.2595e+03
