niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4457e+05,-1.4458e+05,-2.4969e-03,-1.4458e+05,1.2922e-01,6.6871e+00,inf,7.4533e-01,-5.9412e-01,-1.2165e+00,-1.3730e+00,2.1208e+00,3.4124e+00,3.3768e+00,5.9135e+00,2.8715e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4437e+05,-1.4438e+05,-4.9938e-03,-1.4438e+05,1.2924e-01,6.6896e+00,1.3423e+05,1.8254e+00,1.4012e-01,-7.5109e-01,4.7346e-01,1.4416e+00,2.2282e+00,1.2092e+00,5.8919e+00,2.8283e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4352e+05,-1.4353e+05,-7.4906e-03,-1.4353e+05,1.2926e-01,6.6921e+00,1.3403e+05,2.6110e+00,-1.9678e-01,-1.3328e+00,-1.6779e+00,1.6902e+00,3.7355e+00,4.9790e+00,5.6556e+00,2.8739e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4343e+05,-1.4344e+05,-9.9875e-03,-1.4344e+05,1.2929e-01,6.6946e+00,1.3318e+05,3.7891e+00,4.7627e-01,-1.0842e+00,8.4048e-01,1.8841e+00,2.0856e+00,1.8515e+00,5.8594e+00,2.8384e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4287e+05,-1.4288e+05,-1.2484e-02,-1.4288e+05,1.2931e-01,6.6971e+00,1.3309e+05,4.8398e+00,3.5482e-01,-8.8113e-01,-3.7248e-01,-6.9641e-01,2.5213e+00,4.2131e+00,5.6420e+00,2.8438e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.4265e+05,-1.4265e+05,-1.4981e-02,-1.4265e+05,1.2934e-01,6.6996e+00,1.3252e+05,5.6160e+00,-9.0637e-01,-1.6110e+00,3.6241e-01,1.2378e+00,3.6061e+00,1.3303e+00,5.7618e+00,2.9360e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.4234e+05,-1.4235e+05,-1.7478e-02,-1.4235e+05,1.2936e-01,6.7021e+00,1.3230e+05,6.4031e+00,-4.3809e-01,-1.9054e+00,-5.0476e-02,2.1451e+00,2.9484e+00,1.8861e+00,5.3870e+00,2.8115e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.4218e+05,-1.4219e+05,-1.9975e-02,-1.4219e+05,1.2939e-01,6.7046e+00,1.3199e+05,7.1545e+00,-7.4482e-01,-9.2243e-01,1.7129e+00,-2.1655e-01,3.7725e+00,4.1255e+00,5.6022e+00,2.8151e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.4180e+05,-1.4181e+05,-2.2472e-02,-1.4181e+05,1.2941e-01,6.7071e+00,1.3184e+05,7.9110e+00,-3.7116e-01,-1.1470e+00,-1.5995e+00,3.2487e+00,2.3523e+00,4.2265e+00,5.6609e+00,2.9366e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.4169e+05,-1.4170e+05,-2.4969e-02,-1.4170e+05,1.2943e-01,6.7096e+00,1.3146e+05,8.7965e+00,-5.8994e-02,-1.6075e+00,5.6386e-01,1.4858e+00,6.7763e-01,3.7369e+00,5.7084e+00,2.9427e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.4159e+05,-1.4160e+05,-2.7466e-02,-1.4160e+05,1.2946e-01,6.7121e+00,1.3134e+05,9.5440e+00,-1.6083e-01,-1.8590e+00,1.3955e+00,1.3099e+00,6.3682e-01,3.6947e+00,5.6680e+00,2.8792e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.4150e+05,-1.4150e+05,-2.9963e-02,-1.4150e+05,1.2948e-01,6.7146e+00,1.3124e+05,1.0281e+01,2.7714e-01,-1.3851e+00,-7.2072e-01,2.2854e+00,3.0406e+00,4.2578e+00,5.7267e+00,2.9601e+01
1.3000e+01,1.0000e+00,3.1477e+00,-1.4118e+05,-1.4118e+05,-3.2459e-02,-1.4118e+05,1.2951e-01,6.7171e+00,1.3115e+05,1.1303e+01,-4.1416e-01,-7.7647e-01,2.1283e+00,2.9487e+00,2.7219e-01,1.5824e+00,5.8574e+00,2.8578e+01
