logfeh,logdust,logNpix,logage,logl
-1.2601e-01,-1.3471e+00,4.6693e+00,1.0101e+01,-1.9763e+03
-2.3805e-02,-1.3873e+00,4.6757e+00,1.0030e+01,-1.4440e+03
4.3236e-02,-1.0383e+00,4.5305e+00,9.7797e+00,-1.6101e+03
8.1008e-02,-1.3000e+00,4.6730e+00,9.9809e+00,-2.4662e+03
-2.3106e-01,-1.0556e+00,4.7068e+00,1.0133e+01,-2.2081e+03
2.3473e-01,-1.9805e+00,4.6942e+00,9.9909e+00,-2.5313e+03
1.7909e-01,-1.2575e+00,4.6235e+00,9.8974e+00,-2.4078e+03
-1.4720e-01,-1.2249e+00,4.6803e+00,1.0112e+01,-1.0699e+03
1.6832e-01,-1.6912e+00,4.6842e+00,1.0011e+01,-2.6686e+03
2.8988e-03,-1.4164e+00,4.6286e+00,1.0021e+01,-2.4609e+03
-8.6789e-02,-1.8735e+00,4.7018e+00,1.0148e+01,-1.8679e+03
9.5380e-03,-1.4679e+00,4.7038e+00,1.0120e+01,-2.4289e+03
-4.1020e-01,-1.0491e+00,4.7077e+00,1.0175e+01,-5.0030e+02
3.7819e-01,-1.3223e+00,4.5300e+00,9.7084e+00,-2.4398e+03
-1.2930e-02,-1.3600e+00,4.6744e+00,1.0053e+01,-1.7375e+03
-1.1652e-01,-1.6827e+00,4.6876e+00,1.0158e+01,-1.0572e+03
-3.8756e-02,-1.8662e+00,4.7273e+00,1.0152e+01,-2.7563e+03
-2.7801e-01,-1.0948e+00,4.6945e+00,1.0127e+01,-2.2532e+03
2.7714e-01,-1.7355e+00,4.6147e+00,9.8970e+00,-2.1259e+03
-1.7872e-01,-1.3178e+00,4.6668e+00,1.0107e+01,-1.1192e+03
1.7343e-01,-1.9739e+00,4.7018e+00,1.0074e+01,-2.8412e+03
-3.4588e-01,-1.2217e+00,4.7060e+00,1.0198e+01,-2.8458e+03
1.3768e-01,-1.2891e+00,4.6470e+00,9.9296e+00,-2.7740e+03
2.0117e-01,-1.7589e+00,4.6469e+00,9.9367e+00,-2.0341e+03
-6.0005e-04,-1.5174e+00,4.7071e+00,1.0107e+01,-1.6083e+03
-2.8906e-01,-1.3053e+00,4.6833e+00,1.0134e+01,-2.4531e+03
1.8998e-01,-1.7961e+00,4.5960e+00,9.8772e+00,-2.8029e+03
6.4467e-02,-1.9988e+00,4.7154e+00,1.0079e+01,-2.4021e+03
-1.4184e-01,-1.0881e+00,4.5586e+00,9.9167e+00,-1.9687e+03
1.5497e-01,-1.1265e+00,4.5522e+00,9.7860e+00,-2.7020e+03
-1.1543e-01,-1.0944e+00,4.6711e+00,1.0049e+01,-2.7027e+03
5.6899e-02,-1.1616e+00,4.6049e+00,9.8754e+00,-1.3093e+03
-1.9209e-01,-1.0154e+00,4.5476e+00,9.9123e+00,-2.2663e+03
-1.5814e-02,-1.4047e+00,4.5898e+00,9.9506e+00,-2.8373e+03
6.0774e-02,-1.4838e+00,4.6068e+00,9.9727e+00,-1.4763e+03
1.7859e-01,-1.6742e+00,4.6756e+00,1.0014e+01,-2.6214e+03
-5.2262e-02,-1.4479e+00,4.6625e+00,1.0032e+01,-2.3569e+03
1.3846e-01,-1.1760e+00,4.5089e+00,9.7435e+00,-2.3135e+03
9.7031e-02,-1.3212e+00,4.6761e+00,9.9842e+00,-2.6116e+03
1.5373e-01,-1.3412e+00,4.6148e+00,9.9169e+00,-1.6920e+03
7.7167e-03,-1.3252e+00,4.6537e+00,9.9911e+00,-2.8353e+03
3.6670e-01,-1.6605e+00,4.6217e+00,9.8679e+00,-2.0754e+03
1.5205e-02,-1.7745e+00,4.6468e+00,1.0040e+01,-2.1921e+03
