logfeh,logdust,logNpix,logage,dmod,logl
-1.6317e-01,-1.0829e+00,4.2058e+00,1.0125e+01,3.0758e+01,-3.7602e+02
3.7717e-01,-1.9438e+00,3.8974e+00,9.9463e+00,3.0045e+01,-4.9896e+02
1.3222e-01,-1.9633e+00,4.1349e+00,1.0063e+01,3.0607e+01,-8.5827e+02
2.2336e-01,-1.6023e+00,4.0244e+00,9.9830e+00,3.0299e+01,-7.6776e+02
2.2918e-01,-1.9883e+00,3.9315e+00,9.9374e+00,3.0232e+01,-8.2635e+02
-1.1869e-01,-1.0171e+00,3.9076e+00,9.9453e+00,3.0244e+01,-9.7779e+02
2.3036e-02,-1.0906e+00,3.9212e+00,9.9270e+00,3.0219e+01,-3.7513e+02
-6.0365e-02,-1.1962e+00,4.1619e+00,1.0054e+01,3.0704e+01,-3.4686e+02
1.3807e-01,-1.4645e+00,4.0532e+00,1.0057e+01,3.0345e+01,-5.9549e+02
-1.0026e-01,-1.6210e+00,4.3754e+00,1.0196e+01,3.1089e+01,-8.7281e+02
1.3481e-01,-1.7164e+00,4.0124e+00,1.0036e+01,3.0265e+01,-7.1463e+02
-4.4622e-02,-1.4656e+00,4.2272e+00,1.0081e+01,3.0802e+01,-1.1234e+03
7.6408e-03,-1.3756e+00,4.0776e+00,1.0039e+01,3.0504e+01,-3.0321e+02
3.1695e-01,-1.1561e+00,3.7328e+00,9.6850e+00,3.0017e+01,-1.5604e+02
2.4809e-01,-1.4837e+00,3.9235e+00,9.9590e+00,3.0171e+01,-6.8168e+02
4.1063e-01,-1.6136e+00,4.0012e+00,9.8696e+00,3.0425e+01,-8.6139e+02
-1.6318e-01,-1.0959e+00,3.9653e+00,1.0054e+01,3.0258e+01,-8.2696e+02
9.5121e-02,-1.4113e+00,4.0389e+00,1.0028e+01,3.0342e+01,-5.4347e+02
3.8990e-01,-1.6887e+00,4.0029e+00,9.8486e+00,3.0449e+01,-9.1252e+02
2.8152e-01,-1.6879e+00,3.9991e+00,9.9415e+00,3.0369e+01,-5.3197e+02
3.5787e-02,-1.8984e+00,4.1628e+00,1.0196e+01,3.0524e+01,-8.6921e+02
2.2376e-01,-1.8532e+00,4.0656e+00,9.9497e+00,3.0563e+01,-1.0126e+03
-4.9320e-02,-1.7375e+00,4.0748e+00,1.0152e+01,3.0366e+01,-1.1812e+02
-7.1092e-02,-1.1397e+00,4.1661e+00,1.0038e+01,3.0700e+01,-7.1737e+02
9.6884e-02,-1.4925e+00,4.0227e+00,1.0000e+01,3.0390e+01,-1.1496e+03
6.1576e-02,-1.8584e+00,4.1332e+00,1.0090e+01,3.0545e+01,-7.5805e+02
3.4890e-01,-1.3626e+00,3.8769e+00,9.7862e+00,3.0234e+01,-1.0407e+03
2.1586e-01,-1.5621e+00,4.0649e+00,9.9555e+00,3.0522e+01,-6.1055e+02
2.0951e-01,-1.4934e+00,4.0692e+00,9.9712e+00,3.0516e+01,-1.1181e+03
-1.2192e-01,-1.3439e+00,4.1035e+00,1.0153e+01,3.0459e+01,-3.0949e+02
-2.5214e-02,-1.2423e+00,4.1184e+00,1.0034e+01,3.0563e+01,-6.1478e+02
2.2780e-01,-1.2744e+00,4.1069e+00,9.8526e+00,3.0751e+01,-1.0816e+03
-8.7216e-02,-1.1867e+00,4.2390e+00,1.0103e+01,3.0829e+01,-7.4728e+02
-2.8935e-01,-1.0399e+00,4.3608e+00,1.0156e+01,3.1121e+01,-1.1801e+03
3.3921e-01,-1.6774e+00,3.8876e+00,9.8944e+00,3.0128e+01,-9.3630e+02
7.1956e-02,-1.6841e+00,3.9771e+00,1.0047e+01,3.0240e+01,-9.1656e+02
2.7985e-01,-1.6831e+00,4.0418e+00,9.9971e+00,3.0349e+01,-5.6363e+02
8.6137e-02,-1.3529e+00,3.8307e+00,9.9386e+00,3.0020e+01,-1.1625e+03
-2.2205e-01,-1.0831e+00,4.5088e+00,1.0135e+01,3.1494e+01,-1.1171e+03
-2.8302e-02,-1.6791e+00,3.9631e+00,1.0141e+01,3.0080e+01,-5.2849e+02
3.5204e-01,-1.9147e+00,4.0511e+00,9.8791e+00,3.0538e+01,-1.2031e+03
1.0348e-01,-1.3913e+00,3.9050e+00,1.0013e+01,3.0082e+01,-2.5971e+02
4.7436e-01,-1.4614e+00,3.8046e+00,9.7008e+00,3.0130e+01,-1.0957e+03
9.0516e-02,-1.7990e+00,4.3019e+00,1.0109e+01,3.0943e+01,-1.0385e+03
2.1535e-03,-1.0277e+00,4.2216e+00,9.9059e+00,3.1034e+01,-9.2387e+02
3.6401e-01,-1.1120e+00,3.7269e+00,9.6401e+00,3.0019e+01,-8.3856e+02
4.7809e-01,-1.2387e+00,3.7745e+00,9.6499e+00,3.0072e+01,-9.2940e+02
1.9213e-01,-1.5725e+00,4.0556e+00,9.9939e+00,3.0423e+01,-5.7710e+02
1.6777e-01,-1.0162e+00,4.0079e+00,9.6864e+00,3.0767e+01,-6.6690e+02
2.8510e-01,-1.1443e+00,3.7993e+00,9.6839e+00,3.0217e+01,-1.0700e+03
-1.3204e-02,-1.1123e+00,4.2095e+00,9.9330e+00,3.0948e+01,-8.1728e+02
2.9530e-03,-1.3428e+00,4.3488e+00,1.0106e+01,3.1070e+01,-1.0871e+03
5.2770e-02,-1.5188e+00,4.0015e+00,1.0078e+01,3.0183e+01,-3.8644e+02
-1.7982e-01,-1.1116e+00,4.1229e+00,1.0137e+01,3.0485e+01,-5.3388e+02
1.3679e-01,-1.0641e+00,4.0213e+00,9.7892e+00,3.0669e+01,-9.1537e+02
-2.2779e-01,-1.0817e+00,4.1565e+00,1.0191e+01,3.0547e+01,-1.1929e+03
1.4124e-01,-1.3085e+00,3.8315e+00,9.9070e+00,3.0056e+01,-9.1197e+02
2.0769e-01,-1.6980e+00,3.9675e+00,9.9862e+00,3.0172e+01,-1.0312e+03
1.5549e-02,-1.3420e+00,4.0452e+00,1.0094e+01,3.0318e+01,-5.5397e+02
-1.2062e-01,-1.4976e+00,4.2905e+00,1.0157e+01,3.0963e+01,-1.1766e+03
2.7668e-01,-1.0237e+00,3.8498e+00,9.7510e+00,3.0204e+01,-1.1681e+03
1.2727e-01,-1.7507e+00,3.9867e+00,1.0119e+01,3.0120e+01,-2.7244e+02
9.2823e-02,-1.1144e+00,4.1473e+00,9.8293e+00,3.0936e+01,-8.5702e+02
1.2955e-01,-1.2518e+00,4.0821e+00,9.9583e+00,3.0588e+01,-7.0018e+02
3.1799e-01,-1.4566e+00,3.9216e+00,9.8946e+00,3.0188e+01,-2.9777e+02
4.1461e-01,-1.9788e+00,3.9668e+00,9.8479e+00,3.0360e+01,-1.1062e+03
3.0650e-01,-1.7853e+00,3.9438e+00,9.8959e+00,3.0283e+01,-1.0996e+03
-8.2675e-02,-1.4873e+00,3.9991e+00,1.0138e+01,3.0210e+01,-1.0633e+03
-2.1866e-01,-1.0936e+00,4.1550e+00,1.0129e+01,3.0601e+01,-7.2388e+02
1.0094e-01,-1.3396e+00,3.9587e+00,9.9664e+00,3.0311e+01,-1.1839e+03
5.6789e-02,-1.3941e+00,4.2935e+00,1.0063e+01,3.1007e+01,-1.1363e+03
1.1509e-01,-1.7619e+00,3.9721e+00,1.0120e+01,3.0095e+01,-1.6269e+02
2.3495e-01,-1.0260e+00,3.7336e+00,9.6898e+00,3.0017e+01,-4.4184e+02
2.1918e-01,-1.9082e+00,3.8796e+00,9.9399e+00,3.0088e+01,-7.6595e+02
1.9148e-01,-1.5882e+00,3.9416e+00,1.0015e+01,3.0141e+01,-5.2197e+02
2.1707e-01,-1.4418e+00,4.0548e+00,1.0021e+01,3.0340e+01,-1.1813e+03
3.4291e-01,-1.8339e+00,4.0342e+00,9.9207e+00,3.0490e+01,-1.0250e+03
1.4067e-01,-1.8862e+00,4.2796e+00,1.0115e+01,3.0854e+01,-1.1779e+03
1.3701e-04,-1.1068e+00,4.0378e+00,9.9952e+00,3.0411e+01,-5.7815e+02
2.4440e-01,-1.1562e+00,3.8746e+00,9.8509e+00,3.0135e+01,-5.2173e+02
