logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.7984e-01,-1.4786e+00,1.1247e+00,8.3833e-01,1.1007e+00,4.3027e+00,4.3352e+00,3.0854e+01,-2.1429e+03
-4.2767e-01,-8.7533e-01,2.2488e-01,2.0020e+00,2.3512e+00,4.0836e+00,4.9010e+00,3.1785e+01,-1.3509e+03
-1.3370e-01,-9.7269e-01,4.0697e-01,2.9730e+00,3.3985e+00,3.5506e+00,4.5926e+00,3.1223e+01,-1.7419e+03
1.5160e-01,-1.0755e+00,8.1984e-01,1.3963e+00,3.5196e+00,2.3220e+00,4.3177e+00,3.0332e+01,-3.2741e+02
-4.4945e-01,-6.8521e-01,-6.4822e-01,8.1048e-01,1.6715e+00,4.7992e+00,3.2694e+00,3.1724e+01,-1.8932e+03
2.6801e-01,-1.8283e+00,1.0225e-01,9.6763e-01,3.0419e+00,2.7919e+00,4.3670e+00,3.0150e+01,-9.5802e+02
-2.7507e-01,-9.2079e-01,-7.5329e-01,1.8106e+00,2.6040e+00,4.4600e+00,4.7403e+00,3.1775e+01,-1.9656e+03
-4.5497e-01,-6.1151e-01,-2.9876e-01,3.1324e+00,2.3865e+00,3.2763e+00,4.6696e+00,3.1078e+01,-2.1916e+03
4.3321e-01,-1.2466e+00,3.1155e-01,2.5738e+00,1.1499e+00,4.1074e+00,4.2671e+00,3.0443e+01,-8.0089e+02
4.2865e-01,-1.8953e+00,1.2077e+00,8.9124e-01,1.5446e+00,4.3583e+00,4.3578e+00,3.0878e+01,-2.2389e+03
-3.7647e-01,-7.8215e-01,-3.7356e-01,2.2797e+00,3.0605e+00,4.6232e+00,4.3185e+00,3.1692e+01,-1.6799e+03
2.8755e-01,-8.8684e-01,5.5236e-01,2.9977e+00,1.1382e+00,3.9593e+00,4.3938e+00,3.0604e+01,-1.9199e+03
-4.1147e-01,-6.9335e-01,4.2481e-01,2.6662e+00,1.0305e+00,4.4185e+00,3.9350e+00,3.1024e+01,-9.5442e+02
-1.0688e-01,-1.4671e+00,9.8906e-01,1.5598e+00,1.4356e+00,2.1633e+00,4.8394e+00,3.1369e+01,-1.8720e+03
2.2544e-01,-1.3253e+00,1.3723e+00,1.6901e+00,2.8663e+00,4.6148e+00,4.4923e+00,3.1534e+01,-2.1542e+03
2.5108e-01,-1.8329e+00,-1.8127e-01,2.2106e+00,3.0404e+00,3.3155e+00,4.6033e+00,3.0747e+01,-1.0827e+03
-1.5156e-01,-1.2425e+00,-1.6775e-01,2.5922e+00,3.2469e+00,3.4346e+00,4.7259e+00,3.1373e+01,-1.6661e+03
-1.9217e-01,-9.1844e-01,1.1673e+00,2.1822e+00,3.1228e+00,4.7365e+00,4.4706e+00,3.1953e+01,-1.6115e+03
1.7383e-01,-9.9211e-01,6.7840e-01,2.3938e+00,2.7546e+00,4.5069e+00,3.1268e+00,3.0899e+01,-5.8110e+02
-2.1710e-01,-1.1486e+00,9.2461e-02,8.9819e-01,2.1644e+00,3.5237e+00,4.4417e+00,3.0624e+01,-1.2610e+03
1.4129e-01,-1.7595e+00,-5.6835e-01,1.3475e+00,3.3007e+00,2.9238e+00,4.6890e+00,3.1006e+01,-1.0020e+03
-1.9672e-01,-1.2062e+00,6.2728e-02,1.6668e+00,2.1883e+00,3.9862e+00,4.6935e+00,3.1332e+01,-1.3064e+03
8.2733e-02,-1.0172e+00,4.2397e-01,8.8589e-01,9.7291e-01,4.4923e+00,3.2672e+00,3.0877e+01,-2.2169e+03
1.2597e-01,-8.2474e-01,3.3902e-01,2.8586e+00,2.8050e+00,4.3844e+00,4.0589e+00,3.0881e+01,-1.9111e+03
-2.2280e-01,-1.0927e+00,1.5112e+00,1.9244e+00,3.1651e+00,3.4865e+00,4.8387e+00,3.1621e+01,-1.2695e+03
3.8555e-02,-1.0746e+00,-4.1095e-01,1.4989e+00,1.3598e+00,4.6522e+00,3.8751e+00,3.1421e+01,-1.9341e+03
3.9786e-01,-1.3990e+00,8.6985e-01,2.5917e+00,2.0689e+00,4.4821e+00,4.2995e+00,3.1097e+01,-1.6325e+03
9.3390e-02,-1.1493e+00,4.0419e-02,5.7426e-01,1.0347e+00,4.5920e+00,3.5358e+00,3.1174e+01,-1.1866e+03
-3.1856e-01,-9.8292e-01,8.6093e-01,2.4608e+00,2.3149e+00,2.9044e+00,4.8405e+00,3.1444e+01,-4.3028e+02
-3.0556e-01,-8.1624e-01,8.2225e-01,6.1115e-01,1.8138e+00,4.7086e+00,3.1511e+00,3.1544e+01,-1.2556e+03
4.1221e-01,-1.4526e+00,1.1174e+00,1.9693e+00,3.1761e+00,4.4285e+00,4.1471e+00,3.0952e+01,-1.4374e+03
2.5402e-02,-9.4621e-01,9.3583e-01,2.7691e+00,2.1286e+00,4.4083e+00,4.5128e+00,3.1338e+01,-1.7474e+03
-7.1366e-02,-1.1486e+00,-1.7256e-02,2.2376e+00,3.6456e+00,2.8397e+00,4.6001e+00,3.1158e+01,-1.4827e+03
1.5475e-01,-1.2802e+00,-5.0450e-01,1.9522e+00,1.6615e+00,4.2469e+00,4.0733e+00,3.0603e+01,-1.5414e+03
5.0618e-02,-1.6588e+00,3.1651e-01,8.9106e-01,2.8049e+00,2.1881e+00,4.4125e+00,3.0280e+01,-1.4402e+03
-1.0591e-01,-9.6074e-01,3.0036e-01,1.9514e+00,1.0371e+00,4.5955e+00,3.8972e+00,3.1305e+01,-1.8122e+03
4.4208e-01,-1.6100e+00,8.1870e-01,6.7406e-01,3.2783e+00,3.4522e+00,4.3171e+00,3.0193e+01,-2.0253e+03
5.5942e-02,-1.1455e+00,1.9947e-01,1.8578e+00,1.8270e+00,3.9912e+00,4.1066e+00,3.0288e+01,-1.2579e+03
-1.0891e-01,-1.6256e+00,-3.5530e-01,1.1517e+00,2.7586e+00,2.2205e+00,4.5660e+00,3.0784e+01,-1.3468e+03
5.7931e-03,-9.7750e-01,-2.3900e-01,1.8345e+00,3.2274e+00,3.2583e+00,4.2109e+00,3.0101e+01,-1.7822e+03
-2.0282e-01,-9.2896e-01,-9.2529e-02,4.9641e-01,1.9084e+00,4.0823e+00,4.2208e+00,3.0625e+01,-1.6115e+03
