logfeh,logdust,logNpix,tau,dmod,logl
-7.2694e-01,-1.4607e+00,3.6143e+00,8.6412e-01,3.0769e+01,-1.3982e+05
-4.3078e-01,-1.5277e+00,4.2219e+00,2.7920e+00,3.0232e+01,-1.0580e+05
-2.3058e-01,-1.2256e+00,4.5741e+00,3.3861e+00,3.0892e+01,-1.8089e+04
-1.7417e-01,-1.7854e+00,4.8424e+00,1.2907e+00,3.1332e+01,-2.0709e+04
-1.1602e-02,-1.0448e+00,4.7062e+00,3.4799e+00,3.0935e+01,-2.8809e+03
-5.9489e-02,-1.5557e+00,3.2987e+00,3.5462e+00,3.1060e+01,-1.4102e+05
-8.4357e-01,-1.1571e+00,4.9845e+00,2.5074e+00,3.1976e+01,-9.3213e+04
-1.9183e-01,-1.0669e+00,3.5944e+00,3.6384e+00,3.0813e+01,-1.4000e+05
-9.2524e-01,-1.8157e+00,3.1421e+00,2.7320e+00,3.1189e+01,-1.4060e+05
-3.3336e-01,-1.9567e+00,4.6843e+00,1.3857e+00,3.1006e+01,-8.1044e+04
-8.6013e-01,-1.3928e+00,4.6978e+00,1.2638e-01,3.1235e+01,-1.0987e+05
-6.2757e-01,-1.7798e+00,3.2629e+00,2.0748e+00,3.0357e+01,-1.3904e+05
-6.4344e-01,-1.3751e+00,4.4343e+00,8.6313e-01,3.0765e+01,-1.2002e+05
-1.3084e-01,-1.8115e+00,4.1073e+00,3.9242e+00,3.0654e+01,-1.3997e+05
-7.6846e-02,-1.4127e+00,4.4149e+00,5.1779e-01,3.0458e+01,-1.3821e+05
1.2496e-01,-1.5832e+00,4.6076e+00,1.2421e-01,3.0601e+01,-3.7168e+04
-4.7300e-01,-1.4528e+00,4.0143e+00,3.0990e+00,3.0684e+01,-1.4037e+05
-6.8703e-01,-1.3631e+00,3.1736e+00,3.8082e+00,3.0438e+01,-1.3893e+05
-8.0928e-01,-1.4316e+00,4.5847e+00,3.8106e+00,3.0961e+01,-1.4080e+05
-9.6783e-01,-1.7359e+00,3.9129e+00,6.0149e-01,3.0079e+01,-1.3976e+05
-6.5710e-01,-1.8730e+00,3.0763e+00,3.1773e+00,3.0309e+01,-1.3888e+05
-8.0531e-01,-1.6866e+00,3.4446e+00,2.0036e+00,3.0701e+01,-1.3953e+05
-7.7521e-01,-1.6324e+00,3.2845e+00,2.3309e+00,3.0369e+01,-1.3893e+05
-6.8423e-01,-1.6520e+00,3.5478e+00,3.6170e+00,3.1413e+01,-1.4054e+05
-1.5915e-01,-1.6947e+00,4.4921e+00,1.3866e+00,3.0436e+01,-1.8724e+04
-4.1236e-01,-1.0766e+00,4.7775e+00,9.4914e-01,3.1062e+01,-1.0672e+05
-3.5715e-01,-1.9763e+00,3.6040e+00,8.8641e-01,3.0014e+01,-1.3881e+05
-8.3247e-01,-1.0053e+00,3.5385e+00,1.3384e+00,3.1137e+01,-1.4058e+05
-1.6122e-01,-1.8531e+00,3.5407e+00,3.6531e+00,3.1289e+01,-1.4072e+05
-5.8375e-01,-1.2716e+00,3.4273e+00,2.2546e+00,3.0546e+01,-1.3958e+05
2.0143e-01,-1.2050e+00,4.5917e+00,3.7470e+00,3.0227e+01,-1.4111e+05
1.7900e-01,-1.1818e+00,4.6668e+00,3.7692e+00,3.0795e+01,-3.8535e+03
1.7989e-01,-1.8592e+00,4.9683e+00,5.4514e-01,3.1493e+01,-4.5251e+04
3.8078e-02,-1.7684e+00,3.7737e+00,3.4754e+00,3.0581e+01,-1.4028e+05
-2.5824e-01,-1.6339e+00,3.9693e+00,3.4986e+00,3.0431e+01,-1.3939e+05
2.4619e-01,-1.7328e+00,3.4651e+00,2.6397e+00,3.0324e+01,-1.4094e+05
-5.2057e-02,-1.4823e+00,4.2834e+00,1.1705e+00,3.0195e+01,-1.4107e+05
-6.0693e-01,-1.3198e+00,3.2052e+00,2.8100e+00,3.0494e+01,-1.3945e+05
-1.9890e-01,-1.8738e+00,3.5144e+00,2.9746e+00,3.0254e+01,-1.3895e+05
-6.5172e-01,-1.6526e+00,4.8770e+00,1.9854e+00,3.1618e+01,-1.2548e+05
2.2380e-01,-1.1188e+00,4.8830e+00,3.7289e+00,3.1450e+01,-1.3147e+05
-1.4185e-01,-1.3831e+00,3.1532e+00,2.9775e+00,3.0430e+01,-1.4011e+05
-4.6272e-01,-1.0674e+00,3.9813e+00,1.1660e+00,3.0032e+01,-1.4028e+05
-9.7667e-01,-1.6935e+00,3.0244e+00,9.9032e-01,3.0838e+01,-1.4021e+05
-6.3798e-01,-1.6397e+00,3.6430e+00,3.7015e+00,3.1496e+01,-1.4058e+05
