logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-9.8920e-02,-1.3916e+00,-1.6885e-01,1.5307e+00,4.1410e+00,2.5979e+00,4.0200e+00,3.2064e+01,-7.9185e+02
1.3131e-01,-5.1746e-01,-5.4743e-02,3.1537e+00,3.9738e+00,3.1985e+00,3.2797e+00,3.1012e+01,-3.3114e+02
3.3991e-01,-1.4862e+00,4.3422e-01,2.9157e-02,1.1115e+00,4.2345e+00,2.9003e+00,3.0646e+01,-5.4944e+02
-4.6344e-01,-8.4202e-01,1.5068e+00,2.5589e+00,1.9078e+00,2.6085e+00,4.8428e+00,3.1975e+01,-9.5764e+02
-4.1442e-02,-1.8117e+00,-7.3901e-01,5.8098e-01,1.1118e+00,3.6238e+00,4.5216e+00,3.1233e+01,-7.0737e+02
-1.8795e-01,-1.0855e+00,6.0963e-01,1.5017e+00,2.6389e+00,4.2101e+00,4.5359e+00,3.1759e+01,-7.6816e+02
2.5126e-01,-1.1532e+00,7.0613e-01,1.9111e+00,1.4142e+00,4.0659e+00,2.5227e+00,3.0262e+01,-7.8035e+02
-6.4314e-01,-6.0527e-01,9.0687e-01,2.9242e+00,3.8616e+00,2.3122e+00,4.5287e+00,3.1743e+01,-8.9941e+02
2.2876e-01,-9.4917e-01,3.1387e-01,2.7578e+00,2.5320e+00,3.9595e+00,4.1755e+00,3.0814e+01,-4.4238e+02
-1.5747e-01,-1.3374e+00,-3.5217e-02,7.3228e-01,2.5976e+00,2.3042e+00,4.4715e+00,3.1028e+01,-5.1987e+02
3.1281e-01,-9.1445e-01,6.7072e-01,2.5214e+00,1.4428e+00,3.9757e+00,3.6334e+00,3.0259e+01,-7.0755e+02
3.1058e-01,-1.7915e+00,-1.1811e+00,1.1892e+00,1.0373e+00,4.1511e+00,3.9073e+00,3.0770e+01,-5.9133e+02
-6.1399e-02,-1.2833e+00,6.1404e-01,4.2890e-01,3.6031e+00,3.4095e+00,4.4521e+00,3.1486e+01,-1.3678e+02
-8.2332e-02,-1.3699e+00,-4.5170e-01,1.7392e+00,5.2746e-01,2.7469e+00,4.4235e+00,3.0837e+01,-4.9310e+02
-7.5673e-01,-5.0369e-01,-7.8589e-04,3.0757e+00,4.0561e+00,2.9381e+00,4.3992e+00,3.1788e+01,-6.6811e+02
3.7400e-02,-1.4288e+00,-7.6041e-01,9.2259e-02,2.8912e+00,3.8915e+00,4.4238e+00,3.1260e+01,-6.9019e+02
2.7073e-03,-1.1957e+00,7.4125e-01,7.2034e-02,3.0442e+00,3.5982e+00,4.2746e+00,3.0809e+01,-7.8484e+02
-1.7769e-01,-1.3239e+00,-1.0138e-01,1.8164e+00,2.1853e+00,3.0486e+00,4.6536e+00,3.1493e+01,-5.5059e+02
-1.5611e-01,-1.4740e+00,-5.0437e-01,1.2897e+00,4.0638e+00,3.8494e+00,3.7092e+00,3.2134e+01,-7.5886e+02
