niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4520e+05,-1.4520e+05,-2.4969e-03,-1.4520e+05,1.2922e-01,6.6871e+00,inf,3.8963e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,5.8338e-01,2.9478e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4448e+05,-1.4448e+05,-4.9938e-03,-1.4448e+05,1.2924e-01,6.6896e+00,1.3580e+05,9.4299e-01,-9.8598e-01,-6.4903e-01,5.9317e+00,2.2719e+00,2.9339e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4431e+05,-1.4432e+05,-7.4906e-03,-1.4432e+05,1.2926e-01,6.6921e+00,1.3508e+05,1.5071e+00,-3.8559e-01,-1.9914e+00,5.8620e+00,2.4605e+00,2.9026e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4429e+05,-1.4430e+05,-9.9875e-03,-1.4430e+05,1.2929e-01,6.6946e+00,1.3491e+05,2.0628e+00,-9.8858e-01,-6.5549e-01,5.9927e+00,3.2434e+00,2.9121e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4427e+05,-1.4427e+05,-1.2484e-02,-1.4427e+05,1.2931e-01,6.6971e+00,1.3489e+05,2.4692e+00,3.8747e-01,-1.2063e+00,5.9136e+00,2.2343e+00,2.9026e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.4363e+05,-1.4364e+05,-1.4981e-02,-1.4364e+05,1.2934e-01,6.6996e+00,1.3486e+05,3.0286e+00,-7.0184e-01,-1.3341e+00,5.7743e+00,2.7186e+00,2.9326e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.4319e+05,-1.4320e+05,-1.7478e-02,-1.4320e+05,1.2936e-01,6.7021e+00,1.3423e+05,3.5961e+00,-7.6710e-01,-1.4585e+00,5.8652e+00,6.0762e-01,3.0091e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.4313e+05,-1.4314e+05,-1.9975e-02,-1.4314e+05,1.2939e-01,6.7046e+00,1.3379e+05,4.1509e+00,2.6910e-01,-1.7251e+00,5.7389e+00,5.0424e-01,2.9507e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.4296e+05,-1.4297e+05,-2.2472e-02,-1.4297e+05,1.2941e-01,6.7071e+00,1.3373e+05,4.7166e+00,-8.5281e-01,-1.3427e+00,5.8425e+00,2.6222e-01,3.0243e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.4289e+05,-1.4290e+05,-2.4969e-02,-1.4290e+05,1.2943e-01,6.7096e+00,1.3356e+05,5.3846e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,6.9430e-01,2.9476e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.4288e+05,-1.4288e+05,-2.7466e-02,-1.4288e+05,1.2946e-01,6.7121e+00,1.3349e+05,5.9620e+00,-9.4103e-01,-1.3523e+00,5.5628e+00,1.7471e+00,2.9354e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.4265e+05,-1.4266e+05,-2.9963e-02,-1.4266e+05,1.2948e-01,6.7146e+00,1.3348e+05,6.5562e+00,-3.6759e-01,-6.0175e-01,5.6029e+00,1.8362e+00,2.9117e+01
