logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
6.1913e-02,-7.1497e-01,5.3711e-01,6.7574e-01,3.4949e+00,4.3200e+00,3.0814e+00,3.0517e+01,-2.9254e+04
-2.7372e-01,-1.5513e+00,7.7280e-01,1.4582e+00,6.0283e-01,3.4797e+00,3.7481e+00,2.9355e+01,-4.9807e+04
3.9603e-01,-1.1121e+00,1.9991e+00,1.7620e-01,3.2862e+00,2.6923e+00,4.9781e+00,3.1377e+01,-2.7053e+04
2.2130e-01,-1.9139e+00,2.4520e+00,2.3068e+00,3.6093e+00,3.2730e+00,5.4671e+00,3.2681e+01,-4.1741e+04
2.1045e-01,-1.2585e+00,8.2614e-01,9.0975e-01,3.2505e+00,5.1058e+00,3.4982e+00,3.2224e+01,-4.5600e+04
-2.4144e-01,-1.6667e+00,-8.5729e-01,7.0027e-01,2.0081e+00,4.0594e+00,3.6487e+00,3.0225e+01,-5.2854e+04
1.6644e-01,-1.7265e+00,-7.4972e-03,-2.3238e-01,2.6082e+00,4.5130e+00,5.1494e+00,3.2301e+01,-1.2492e+04
-3.9543e-01,-1.1476e+00,1.1557e+00,1.9363e-01,3.6769e+00,4.4327e+00,4.5628e+00,3.1839e+01,-3.3359e+04
-8.2956e-01,-7.1539e-01,1.6509e+00,2.3232e+00,2.9054e+00,3.3789e+00,4.6188e+00,3.0997e+01,-9.7150e+03
3.1266e-01,-1.5120e+00,2.2850e+00,3.6226e-01,2.8227e+00,2.7341e+00,5.3136e+00,3.2308e+01,-1.8616e+04
2.1735e-01,-8.6059e-01,-4.5492e-01,2.5675e+00,2.8943e+00,4.6799e+00,3.8617e+00,3.1325e+01,-4.8090e+04
-3.2303e-01,-1.5322e+00,2.2736e+00,2.0508e+00,4.2051e+00,3.6001e+00,4.1604e+00,3.2307e+01,-4.0531e+04
-3.3550e-02,-5.8365e-01,1.1670e+00,9.9070e-01,4.3478e+00,4.1370e+00,4.4651e+00,3.1721e+01,-5.2231e+04
4.8491e-01,-1.2104e+00,7.8293e-01,2.7606e-01,4.0001e+00,4.3013e+00,5.1391e+00,3.1984e+01,-5.0543e+04
-1.6254e-01,-1.1861e+00,2.3867e-01,1.9854e+00,3.5259e+00,3.0884e+00,4.0039e+00,3.0425e+01,-3.5353e+04
