niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.5283e+05,-1.5284e+05,-1.9980e-03,-1.5284e+05,1.1750e-01,6.9098e+00,inf,2.7275e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,9.5868e+00,3.0239e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.5199e+05,-1.5200e+05,-3.9960e-03,-1.5200e+05,1.1751e-01,6.9118e+00,1.5011e+05,5.5737e-01,-7.6710e-01,-1.4585e+00,5.8652e+00,9.5911e+00,3.0546e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.5190e+05,-1.5191e+05,-5.9940e-03,-1.5191e+05,1.1753e-01,6.9138e+00,1.4927e+05,8.3659e-01,-8.5281e-01,-1.3427e+00,5.8425e+00,9.5291e+00,3.0622e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.5174e+05,-1.5175e+05,-7.9920e-03,-1.5175e+05,1.1755e-01,6.9157e+00,1.4918e+05,1.1079e+00,-3.8559e-01,-1.9914e+00,5.8620e+00,9.9237e+00,3.0013e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.5157e+05,-1.5158e+05,-9.9900e-03,-1.5158e+05,1.1757e-01,6.9177e+00,1.4902e+05,1.3856e+00,-9.8598e-01,-6.4903e-01,5.9317e+00,9.8898e+00,3.0170e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.5143e+05,-1.5144e+05,-1.1988e-02,-1.5144e+05,1.1758e-01,6.9197e+00,1.4885e+05,1.6713e+00,-9.8858e-01,-6.5549e-01,5.9927e+00,1.0064e+01,3.0060e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.5137e+05,-1.5138e+05,-1.3986e-02,-1.5138e+05,1.1760e-01,6.9217e+00,1.4871e+05,1.9502e+00,2.6910e-01,-1.7251e+00,5.7389e+00,9.5726e+00,3.0254e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.5127e+05,-1.5128e+05,-1.5984e-02,-1.5128e+05,1.1762e-01,6.9237e+00,1.4865e+05,2.2305e+00,-9.7902e-01,-1.0865e+00,5.9657e+00,9.6569e+00,3.1174e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.5127e+05,-1.5128e+05,-1.7982e-02,-1.5128e+05,1.0904e-01,5.9509e+00,1.4855e+05,2.5049e+00,3.8747e-01,-1.2063e+00,5.9136e+00,9.8831e+00,3.0013e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.5124e+05,-1.5125e+05,-1.9980e-02,-1.5125e+05,1.1765e-01,6.9277e+00,1.4855e+05,2.8183e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,9.6067e+00,3.0238e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.5111e+05,-1.5112e+05,-2.1978e-02,-1.5112e+05,1.1767e-01,6.9297e+00,1.4852e+05,3.0966e+00,-7.0184e-01,-1.3341e+00,5.7743e+00,9.9700e+00,3.0163e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.5107e+05,-1.5108e+05,-2.3976e-02,-1.5108e+05,1.1768e-01,6.9317e+00,1.4839e+05,3.3733e+00,-9.8678e-01,-1.0704e+00,5.7371e+00,9.6488e+00,3.0644e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.5102e+05,-1.5103e+05,-2.5974e-02,-1.5103e+05,1.1770e-01,6.9337e+00,1.4835e+05,3.6559e+00,-2.2055e-01,-1.6883e+00,5.6253e+00,9.6569e+00,3.0277e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.5101e+05,-1.5101e+05,-2.7972e-02,-1.5101e+05,1.1772e-01,6.9357e+00,1.4830e+05,3.9387e+00,3.7338e-01,-1.7334e+00,5.9463e+00,9.9581e+00,3.0284e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.5095e+05,-1.5096e+05,-2.9970e-02,-1.5096e+05,1.1774e-01,6.9377e+00,1.4828e+05,4.2119e+00,-2.7542e-01,-1.8120e+00,5.8934e+00,9.5119e+00,3.1353e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.5094e+05,-1.5095e+05,-3.1968e-02,-1.5095e+05,1.1765e-01,6.9278e+00,1.4823e+05,4.4836e+00,-9.2180e-01,-1.8609e+00,5.6610e+00,9.6177e+00,3.0726e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.5083e+05,-1.5084e+05,-3.3966e-02,-1.5084e+05,1.1777e-01,6.9417e+00,1.4822e+05,4.7682e+00,-6.7716e-01,-1.9724e+00,5.5890e+00,9.5778e+00,3.0504e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.5077e+05,-1.5078e+05,-3.5964e-02,-1.5078e+05,1.1779e-01,6.9437e+00,1.4811e+05,5.0427e+00,-9.0400e-01,-1.2412e+00,5.8003e+00,9.6043e+00,3.1139e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.5076e+05,-1.5076e+05,-3.7962e-02,-1.5076e+05,1.1780e-01,6.9457e+00,1.4805e+05,5.3220e+00,2.2353e-01,-5.3953e-01,5.7618e+00,9.5693e+00,3.0237e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.5073e+05,-1.5074e+05,-3.9960e-02,-1.5074e+05,1.1782e-01,6.9477e+00,1.4803e+05,5.6356e+00,-2.3242e-01,-7.3458e-01,5.9806e+00,9.9415e+00,3.0571e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.5072e+05,-1.5072e+05,-4.1958e-02,-1.5072e+05,1.1784e-01,6.9497e+00,1.4801e+05,5.9133e+00,-8.8577e-01,-1.2176e+00,5.9522e+00,9.7970e+00,3.1272e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.5067e+05,-1.5068e+05,-4.3956e-02,-1.5068e+05,1.1785e-01,6.9517e+00,1.4799e+05,6.1843e+00,-9.4103e-01,-1.3523e+00,5.5628e+00,9.7956e+00,3.0177e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.5065e+05,-1.5066e+05,-4.5954e-02,-1.5066e+05,1.1787e-01,6.9537e+00,1.4795e+05,6.4515e+00,-3.6068e-01,-1.2170e+00,5.8402e+00,9.8604e+00,3.0750e+01
2.4000e+01,1.0000e+00,4.5802e+00,-1.5058e+05,-1.5059e+05,-4.7952e-02,-1.5059e+05,1.1789e-01,6.9557e+00,1.4793e+05,6.7297e+00,-7.0985e-01,-8.8993e-01,5.8702e+00,9.8611e+00,3.0860e+01
