niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.4176e+05,-1.4177e+05,-2.4969e-03,-1.4177e+05,1.2922e-01,6.6871e+00,inf,5.6950e-01,-2.6831e-02,-1.4816e+00,9.0693e-01,3.2762e+00,3.8586e+00,5.5149e+00,6.3610e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.4173e+05,-1.4174e+05,-4.9938e-03,-1.4174e+05,1.2924e-01,6.6896e+00,1.1389e+05,1.1487e+00,-5.1427e-01,-1.8607e+00,-5.2941e-01,3.0837e+00,6.8089e-01,3.6949e+00,6.3718e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.4146e+05,-1.4147e+05,-7.4906e-03,-1.4147e+05,1.2926e-01,6.6921e+00,1.1386e+05,1.7371e+00,-2.5311e-01,-1.4600e+00,-6.2283e-01,2.6717e+00,3.7174e+00,2.8841e+00,6.3478e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.4143e+05,-1.4143e+05,-9.9875e-03,-1.4143e+05,1.2929e-01,6.6946e+00,1.1359e+05,2.3089e+00,-6.6183e-01,-1.3484e+00,-3.3467e-01,3.0798e+00,3.9420e+00,4.8658e+00,6.2807e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.4120e+05,-1.4120e+05,-1.2484e-02,-1.4120e+05,1.2931e-01,6.6971e+00,1.1356e+05,2.8973e+00,-9.2384e-01,-5.6973e-01,-5.5074e-01,7.3224e-02,4.1234e+00,4.9519e+00,6.3260e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.4114e+05,-1.4115e+05,-1.4981e-02,-1.4115e+05,1.2934e-01,6.6996e+00,1.1333e+05,3.4703e+00,-9.6318e-01,-1.6140e+00,3.7415e-01,-2.0019e-01,2.2625e+00,5.0183e+00,6.1283e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.4112e+05,-1.4112e+05,-1.7478e-02,-1.4112e+05,1.2936e-01,6.7021e+00,1.1327e+05,3.8545e+00,-7.2510e-02,-1.0289e+00,3.0091e-01,3.6859e+00,2.1536e+00,4.8393e+00,6.3141e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.4109e+05,-1.4110e+05,-1.9975e-02,-1.4110e+05,1.2939e-01,6.7046e+00,1.1325e+05,4.2507e+00,-3.3407e-01,-6.1285e-01,1.4194e+00,9.2305e-02,2.6669e+00,2.0912e+00,6.4354e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.4106e+05,-1.4107e+05,-2.2472e-02,-1.4107e+05,1.2941e-01,6.7071e+00,1.1323e+05,4.6601e+00,-6.3093e-01,-1.9361e+00,-2.7512e-01,-5.3721e-02,3.1981e+00,4.9474e+00,6.1721e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.4104e+05,-1.4105e+05,-2.4969e-02,-1.4105e+05,1.2943e-01,6.7096e+00,1.1320e+05,5.1769e+00,1.4539e-01,-1.1995e+00,1.6218e+00,2.1567e+00,2.0677e+00,5.3425e+00,6.4114e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.4101e+05,-1.4101e+05,-2.7466e-02,-1.4101e+05,1.2946e-01,6.7121e+00,1.1317e+05,5.7377e+00,-9.1433e-01,-9.9587e-01,1.8022e+00,2.5987e+00,3.5637e+00,3.8396e+00,6.2989e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.4084e+05,-1.4085e+05,-2.9963e-02,-1.4085e+05,1.2948e-01,6.7146e+00,1.1314e+05,6.3191e+00,-9.0094e-01,-9.9648e-01,1.1560e-01,2.1331e+00,1.2925e+00,2.6789e+00,6.1668e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.4083e+05,-1.4084e+05,-3.2459e-02,-1.4084e+05,1.2947e-01,6.7129e+00,1.1297e+05,6.7166e+00,-1.0303e-01,-1.4857e+00,-1.9658e-01,1.8153e-01,1.0447e+00,2.5522e+00,6.2388e+00
1.4000e+01,1.0000e+00,3.3816e+00,-1.4072e+05,-1.4073e+05,-3.4956e-02,-1.4073e+05,1.2953e-01,6.7196e+00,1.1297e+05,7.3050e+00,-4.3715e-01,-1.1642e+00,5.5476e-01,3.5446e+00,3.3645e+00,3.9796e+00,6.1739e+00
1.5000e+01,1.0000e+00,3.6145e+00,-1.4071e+05,-1.4072e+05,-3.7453e-02,-1.4072e+05,1.2950e-01,6.7169e+00,1.1285e+05,7.8715e+00,8.0521e-02,-6.4461e-01,-1.5585e-01,7.9287e-01,3.1751e+00,5.2149e+00,6.3703e+00
1.6000e+01,1.0000e+00,3.8462e+00,-1.4057e+05,-1.4058e+05,-3.9950e-02,-1.4058e+05,1.2958e-01,6.7246e+00,1.1284e+05,8.4344e+00,-5.2262e-01,-8.1771e-01,9.9139e-01,1.4285e+00,1.6880e+00,5.2912e+00,6.1574e+00
1.7000e+01,1.0000e+00,4.0767e+00,-1.4056e+05,-1.4057e+05,-4.2447e-02,-1.4057e+05,1.2956e-01,6.7224e+00,1.1270e+05,9.0187e+00,-3.9175e-01,-9.5524e-01,-7.7234e-01,3.6967e+00,1.5499e+00,1.8340e+00,6.1737e+00
1.8000e+01,1.0000e+00,4.3062e+00,-1.4049e+05,-1.4050e+05,-4.4944e-02,-1.4050e+05,1.2963e-01,6.7296e+00,1.1270e+05,9.5945e+00,-2.9385e-01,-1.9427e+00,-7.0086e-02,1.2533e+00,2.8629e+00,1.7165e+00,6.1137e+00
1.9000e+01,1.0000e+00,4.5346e+00,-1.4048e+05,-1.4049e+05,-4.7441e-02,-1.4049e+05,1.2965e-01,6.7320e+00,1.1262e+05,9.9872e+00,-8.9726e-01,-1.2969e+00,1.5144e-01,9.7022e-02,9.1958e-01,5.2594e+00,5.9232e+00
2.0000e+01,1.0000e+00,4.7619e+00,-1.4048e+05,-1.4048e+05,-4.9938e-02,-1.4048e+05,1.2151e-01,5.9132e+00,1.1261e+05,1.0581e+01,-4.9150e-01,-1.8199e+00,7.9878e-01,2.5630e+00,1.5708e+00,5.0550e+00,6.0588e+00
2.1000e+01,1.0000e+00,4.9881e+00,-1.4045e+05,-1.4045e+05,-5.2434e-02,-1.4045e+05,1.2970e-01,6.7370e+00,1.1261e+05,1.1151e+01,-4.3978e-01,-6.9508e-01,7.3178e-01,1.0807e+00,2.7170e+00,1.7860e+00,6.2122e+00
2.2000e+01,1.0000e+00,5.2133e+00,-1.4043e+05,-1.4044e+05,-5.4931e-02,-1.4044e+05,1.2972e-01,6.7395e+00,1.1258e+05,1.1744e+01,3.8759e-01,-1.4645e+00,2.0102e+00,2.3268e+00,3.2365e+00,4.5623e+00,6.3195e+00
2.3000e+01,1.0000e+00,5.4374e+00,-1.4042e+05,-1.4043e+05,-5.7428e-02,-1.4043e+05,1.2974e-01,6.7417e+00,1.1257e+05,1.2140e+01,-1.0873e-01,-1.7345e+00,4.1716e-01,7.2571e-01,8.8638e-01,5.1910e+00,6.0758e+00
2.4000e+01,1.0000e+00,5.6604e+00,-1.4021e+05,-1.4022e+05,-5.9925e-02,-1.4022e+05,1.2977e-01,6.7445e+00,1.1255e+05,1.2725e+01,-2.4555e-01,-1.8322e+00,1.1625e+00,2.0300e+00,4.0333e-01,4.0784e+00,6.0840e+00
2.5000e+01,1.0000e+00,5.8824e+00,-1.4014e+05,-1.4015e+05,-6.2422e-02,-1.4015e+05,1.2979e-01,6.7470e+00,1.1234e+05,1.3293e+01,-4.1992e-01,-8.2218e-01,-8.6094e-01,1.3780e+00,3.3459e+00,1.6583e+00,6.1483e+00
2.6000e+01,1.0000e+00,6.1033e+00,-1.4012e+05,-1.4013e+05,-6.4919e-02,-1.4013e+05,1.2982e-01,6.7495e+00,1.1228e+05,1.3695e+01,1.1065e-01,-1.1536e+00,1.7171e+00,1.5878e+00,9.9892e-01,5.5924e+00,5.9943e+00
2.7000e+01,3.0000e+00,6.2937e+00,-1.4005e+05,-1.4006e+05,-6.7416e-02,-1.4006e+05,1.2984e-01,6.7520e+00,1.1225e+05,1.5238e+01,-9.7407e-01,-1.5597e+00,-1.9514e-01,-8.6885e-02,3.5924e+00,2.9438e+00,6.0031e+00
2.8000e+01,1.0000e+00,6.5116e+00,-1.4005e+05,-1.4005e+05,-6.9913e-02,-1.4005e+05,1.2929e-01,6.6949e+00,1.1218e+05,1.5619e+01,-7.7869e-01,-1.8454e+00,-8.4092e-01,9.3922e-01,2.4967e+00,5.0739e+00,5.9107e+00
2.9000e+01,1.0000e+00,6.7285e+00,-1.3995e+05,-1.3995e+05,-7.2410e-02,-1.3995e+05,1.2989e-01,6.7570e+00,1.1218e+05,1.6025e+01,8.7859e-02,-5.3932e-01,8.7562e-01,1.5454e+00,4.6471e-01,4.0325e+00,6.2947e+00
