logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-1.5306e-01,-1.7005e+00,-7.2183e-01,7.0577e-01,1.8026e+00,2.5488e+00,5.0373e+00,-2.9795e+02
-3.2830e-01,-7.8883e-01,-7.9495e-01,1.6177e+00,2.3535e+00,4.8494e+00,3.5806e+00,-3.8418e+02
-9.8455e-02,-1.5646e+00,1.2578e+00,1.2523e+00,2.6204e+00,3.0676e+00,5.0419e+00,-4.6507e+02
-3.4101e-01,-8.8509e-01,-3.8623e-02,9.6908e-01,2.9051e+00,4.6618e+00,4.5462e+00,-4.3990e+02
1.0260e-01,-1.0643e+00,4.5811e-01,2.4313e+00,1.6988e+00,4.9037e+00,3.2696e+00,-4.8466e+02
-1.4377e-01,-1.7049e+00,-5.0464e-01,6.4894e-01,2.7513e+00,1.7095e+00,5.0309e+00,-2.2241e+02
-1.6803e-01,-1.0645e+00,9.4691e-01,2.8534e+00,3.2856e+00,3.2235e+00,4.9964e+00,-4.3212e+02
-2.9889e-02,-8.9486e-01,-2.1307e-01,2.5648e+00,3.6070e+00,4.8467e+00,3.2076e+00,-5.0960e+02
-3.1639e-01,-1.1596e+00,5.5954e-01,2.0887e+00,1.4261e+00,3.5211e+00,5.0046e+00,-2.7335e+02
-9.9595e-02,-1.7883e+00,-6.1940e-01,3.7589e-01,1.2732e+00,1.8903e+00,5.0564e+00,-3.5358e+02
8.3853e-02,-1.2752e+00,2.1398e-01,1.1743e+00,1.3631e+00,4.7456e+00,4.5945e+00,-4.6790e+02
-2.2453e-01,-8.7255e-01,1.0854e+00,1.9139e+00,1.1840e+00,4.7585e+00,4.3878e+00,-3.9860e+02
8.1445e-02,-1.3443e+00,3.6083e-01,1.9151e+00,3.6463e+00,4.3364e+00,4.8841e+00,-5.1170e+02
-7.3503e-02,-1.3410e+00,5.7077e-01,2.1862e+00,3.3230e+00,3.8554e+00,4.9861e+00,-2.5812e+02
4.1802e-03,-1.8903e+00,1.1362e+00,9.5901e-01,3.1509e+00,2.6725e+00,5.0544e+00,-3.2830e+02
2.2034e-03,-1.2363e+00,-1.0201e+00,3.1760e-01,2.9307e+00,4.6561e+00,4.6797e+00,-2.7877e+02
-1.5270e-01,-8.0294e-01,-8.2863e-01,2.7820e+00,1.3586e+00,4.8779e+00,3.3532e+00,-2.8834e+02
-1.0235e-01,-1.4842e+00,1.2228e+00,1.2513e+00,8.2938e-01,4.0200e+00,4.9894e+00,-3.4061e+02
-7.6638e-02,-1.6410e+00,-5.4538e-01,1.9660e+00,1.2041e+00,3.9104e+00,5.0079e+00,-2.8011e+02
-2.3750e-01,-8.5550e-01,-4.2629e-01,1.3989e+00,4.1317e-01,4.8634e+00,3.0489e+00,-4.5360e+02
