logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
4.6737e-01,-1.8945e+00,2.7220e+00,1.6498e+00,3.3932e+00,4.2628e+00,3.6615e+00,2.9762e+01,-1.0002e+05
4.3122e-01,-5.6708e-01,2.1409e+00,2.4796e+00,1.7877e+00,2.9583e+00,3.7444e+00,3.0033e+01,-9.5388e+04
3.5750e-01,-1.9439e+00,2.6671e+00,1.6988e+00,3.3806e+00,1.8662e+00,3.1570e+00,3.0575e+01,-8.4516e+04
4.9105e-01,-1.8570e+00,1.7607e+00,-1.3179e-01,3.2246e+00,3.3118e+00,2.9579e+00,2.9159e+01,-9.7599e+04
-3.8303e-01,-1.3404e+00,1.3810e+00,1.5416e+00,5.2102e-01,3.1657e+00,2.8451e+00,2.9007e+01,-9.4785e+04
-4.0823e-01,-7.3503e-01,1.3429e+00,1.3898e+00,8.6712e-01,2.8807e+00,3.5730e+00,2.9292e+01,-1.0144e+05
1.0909e-01,-1.3640e+00,1.9694e+00,3.0270e+00,5.0110e-01,2.7329e+00,3.1053e+00,2.9325e+01,-9.7952e+04
1.8579e-01,-5.1188e-01,2.5689e+00,2.9341e+00,1.5173e+00,4.1083e+00,4.3479e+00,2.9783e+01,-5.5204e+04
-4.5584e-02,-7.6080e-01,2.4455e+00,8.2938e-01,2.3824e+00,3.0958e+00,3.8689e+00,3.0657e+01,-8.9649e+04
-3.9744e-01,-6.0058e-01,2.6120e+00,6.1975e-01,2.8002e+00,2.6484e+00,3.5635e+00,3.0148e+01,-8.0863e+04
-1.7179e-03,-1.4409e+00,4.2493e-01,-2.1439e-01,3.7286e+00,2.3066e+00,4.1491e+00,2.9845e+01,-9.2982e+04
3.0004e-01,-1.4970e+00,2.5317e+00,3.3062e-01,1.4569e+00,3.4887e+00,3.5607e+00,3.1027e+01,-8.8007e+04
2.7130e-01,-5.5371e-01,-1.1049e+00,3.3252e+00,1.2827e+00,5.2561e+00,3.1589e+00,3.1563e+01,-7.1723e+04
6.8280e-02,-1.0195e+00,2.7153e+00,2.6302e+00,2.6731e+00,2.1295e+00,4.4734e+00,3.0932e+01,-9.7294e+04
-8.9981e-02,-1.3301e+00,-1.0645e+00,2.3615e-01,1.8682e+00,1.7703e+00,5.1515e+00,3.1269e+01,-4.8496e+04
-7.5603e-01,-5.4198e-01,-6.7219e-02,4.0663e-01,3.8873e-01,4.5353e+00,3.7035e+00,3.0086e+01,-6.8368e+03
-4.1130e-01,-1.0136e+00,2.6997e+00,3.2225e+00,9.6724e-01,3.0582e+00,3.2842e+00,3.0017e+01,-8.9264e+04
3.4252e-01,-1.1529e+00,1.8317e+00,2.8161e+00,1.8153e+00,1.9234e+00,3.1638e+00,3.0825e+01,-1.0299e+05
4.2607e-01,-1.2413e+00,1.9388e+00,2.4471e+00,3.2044e+00,2.4046e+00,3.6737e+00,3.0590e+01,-1.0305e+05
-8.4402e-01,-1.3208e+00,2.1244e+00,1.8793e-01,2.7200e+00,3.5138e+00,3.1415e+00,2.9687e+01,-9.3221e+04
4.1511e-02,-1.3589e+00,2.6392e+00,5.6407e-01,3.0105e+00,3.5728e+00,4.4763e+00,3.0046e+01,-9.9164e+04
-5.5707e-01,-7.4570e-01,-5.1082e-01,3.4326e-01,1.5558e+00,4.6751e+00,3.1683e+00,3.0449e+01,-6.8464e+04
-4.4140e-01,-1.1834e+00,2.7175e+00,2.9388e+00,2.7256e+00,4.1518e+00,2.5118e+00,3.0637e+01,-9.9218e+04
-7.8543e-02,-1.0319e+00,2.2208e+00,2.0133e+00,9.7259e-01,2.5145e+00,4.1959e+00,2.9384e+01,-9.5032e+04
-1.9834e-01,-9.4850e-01,1.0720e+00,1.0433e+00,4.0994e+00,2.5765e+00,5.0000e+00,3.1240e+01,-1.1169e+04
-3.9759e-01,-1.4521e+00,2.0905e+00,1.5465e-01,1.7390e+00,1.9477e+00,3.2947e+00,3.0747e+01,-8.9715e+04
3.7304e-01,-9.9839e-01,2.6887e+00,2.7871e+00,1.1539e+00,5.3907e+00,4.1215e+00,3.2134e+01,-6.4781e+04
-2.4956e-01,-1.8280e+00,-3.8838e-01,-1.0904e-01,4.0673e+00,2.3469e+00,5.7566e+00,3.2942e+01,-7.5980e+04
-1.2024e-01,-1.1862e+00,2.3979e+00,1.7434e+00,1.6253e+00,3.5639e+00,3.2909e+00,2.9917e+01,-8.3907e+04
-5.6920e-01,-8.0324e-01,1.1929e+00,1.3236e+00,3.6768e+00,4.7737e+00,3.1699e+00,3.1062e+01,-7.9701e+04
-4.0859e-01,-1.4550e+00,1.8817e+00,9.3654e-01,1.7163e+00,1.6192e+00,3.8576e+00,3.0350e+01,-9.8484e+04
-5.4373e-01,-9.4860e-01,1.2824e+00,1.1644e+00,1.3526e+00,1.7412e+00,4.6227e+00,3.0043e+01,-6.5055e+04
