niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.4220e+05,-1.4221e+05,-2.4969e-03,-1.4221e+05,1.2922e-01,6.6871e+00,inf,3.8806e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,5.8338e-01,2.9478e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.4125e+05,-1.4126e+05,-4.9938e-03,-1.4126e+05,1.2924e-01,6.6896e+00,1.2049e+05,9.5170e-01,-9.8598e-01,-6.4903e-01,5.9317e+00,2.2719e+00,2.9339e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.4117e+05,-1.4117e+05,-7.4906e-03,-1.4117e+05,1.2926e-01,6.6921e+00,1.1954e+05,1.5225e+00,-3.8559e-01,-1.9914e+00,5.8620e+00,2.4605e+00,2.9026e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.4102e+05,-1.4103e+05,-9.9875e-03,-1.4103e+05,1.2929e-01,6.6946e+00,1.1945e+05,2.0665e+00,3.8747e-01,-1.2063e+00,5.9136e+00,2.2343e+00,2.9026e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.4097e+05,-1.4098e+05,-1.2484e-02,-1.4098e+05,1.2931e-01,6.6971e+00,1.1930e+05,2.4769e+00,-9.8858e-01,-6.5549e-01,5.9927e+00,3.2434e+00,2.9121e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.4054e+05,-1.4055e+05,-1.4981e-02,-1.4055e+05,1.2934e-01,6.6996e+00,1.1925e+05,3.0439e+00,-7.6710e-01,-1.4585e+00,5.8652e+00,6.0762e-01,3.0091e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.4047e+05,-1.4047e+05,-1.7478e-02,-1.4047e+05,1.2936e-01,6.7021e+00,1.1882e+05,3.6304e+00,2.6910e-01,-1.7251e+00,5.7389e+00,5.0424e-01,2.9507e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.4033e+05,-1.4034e+05,-1.9975e-02,-1.4034e+05,1.2939e-01,6.7046e+00,1.1875e+05,4.1814e+00,-7.0184e-01,-1.3341e+00,5.7743e+00,2.7186e+00,2.9326e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.4013e+05,-1.4014e+05,-2.2472e-02,-1.4014e+05,1.2941e-01,6.7071e+00,1.1862e+05,4.7297e+00,-8.5281e-01,-1.3427e+00,5.8425e+00,2.6222e-01,3.0243e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.4008e+05,-1.4009e+05,-2.4969e-02,-1.4009e+05,1.2943e-01,6.7096e+00,1.1842e+05,5.3883e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,6.9430e-01,2.9476e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.3989e+05,-1.3989e+05,-2.7466e-02,-1.3989e+05,1.2946e-01,6.7121e+00,1.1836e+05,5.9488e+00,-9.4103e-01,-1.3523e+00,5.5628e+00,1.7471e+00,2.9354e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.3980e+05,-1.3981e+05,-2.9963e-02,-1.3981e+05,1.2948e-01,6.7146e+00,1.1817e+05,6.5035e+00,-2.2055e-01,-1.6883e+00,5.6253e+00,9.7419e-01,2.9555e+01
1.3000e+01,1.0000e+00,3.1477e+00,-1.3974e+05,-1.3975e+05,-3.2459e-02,-1.3975e+05,1.2951e-01,6.7171e+00,1.1809e+05,7.0496e+00,-3.6759e-01,-6.0175e-01,5.6029e+00,1.8362e+00,2.9117e+01
1.4000e+01,1.0000e+00,3.3816e+00,-1.3943e+05,-1.3944e+05,-3.4956e-02,-1.3944e+05,1.2953e-01,6.7196e+00,1.1803e+05,7.4252e+00,-2.3242e-01,-7.3458e-01,5.9806e+00,2.5599e+00,3.0142e+01
1.5000e+01,1.0000e+00,3.6145e+00,-1.3922e+05,-1.3923e+05,-3.7453e-02,-1.3923e+05,1.2955e-01,6.7221e+00,1.1772e+05,7.9558e+00,-7.0985e-01,-8.8993e-01,5.8702e+00,2.1120e+00,3.0720e+01
1.6000e+01,1.0000e+00,3.8462e+00,-1.3918e+05,-1.3919e+05,-3.9950e-02,-1.3919e+05,1.2958e-01,6.7246e+00,1.1751e+05,8.5127e+00,-2.0991e-01,-1.0554e+00,5.6445e+00,2.6004e+00,2.9091e+01
1.7000e+01,1.0000e+00,4.0767e+00,-1.3914e+05,-1.3914e+05,-4.2447e-02,-1.3914e+05,1.2960e-01,6.7271e+00,1.1746e+05,9.0698e+00,-9.7902e-01,-1.0865e+00,5.9657e+00,9.7402e-01,3.1349e+01
1.8000e+01,1.0000e+00,4.3062e+00,-1.3910e+05,-1.3910e+05,-4.4944e-02,-1.3910e+05,1.2963e-01,6.7296e+00,1.1742e+05,9.6225e+00,-5.1521e-01,-1.1143e+00,5.5617e+00,1.2195e+00,2.9692e+01
1.9000e+01,1.0000e+00,4.5346e+00,-1.3909e+05,-1.3910e+05,-4.7441e-02,-1.3910e+05,1.2293e-01,6.0519e+00,1.1738e+05,1.0168e+01,-9.2180e-01,-1.8609e+00,5.6610e+00,7.5579e-01,3.0452e+01
2.0000e+01,1.0000e+00,4.7619e+00,-1.3899e+05,-1.3900e+05,-4.9938e-02,-1.3900e+05,1.2967e-01,6.7345e+00,1.1738e+05,1.0723e+01,-7.0724e-01,-1.9139e+00,5.7442e+00,3.3396e+00,2.9636e+01
2.1000e+01,1.0000e+00,4.9881e+00,-1.3897e+05,-1.3898e+05,-5.2434e-02,-1.3898e+05,1.2970e-01,6.7370e+00,1.1728e+05,1.1269e+01,2.0857e-01,-1.2736e+00,5.6300e+00,6.9366e-01,2.9879e+01
2.2000e+01,1.0000e+00,5.2133e+00,-1.3886e+05,-1.3886e+05,-5.4931e-02,-1.3886e+05,1.2972e-01,6.7395e+00,1.1725e+05,1.1811e+01,4.6108e-01,-8.6868e-01,5.7500e+00,2.4704e-01,3.0143e+01
2.3000e+01,2.0000e+00,5.4245e+00,-1.3883e+05,-1.3884e+05,-5.7428e-02,-1.3884e+05,1.2975e-01,6.7420e+00,1.1714e+05,1.2707e+01,1.7095e-01,-7.6776e-01,5.8602e+00,2.4788e+00,3.0160e+01
2.4000e+01,1.0000e+00,5.6471e+00,-1.3861e+05,-1.3862e+05,-5.9925e-02,-1.3862e+05,1.2977e-01,6.7445e+00,1.1712e+05,1.3088e+01,2.6904e-01,-1.2900e+00,5.7077e+00,9.8138e-01,3.0217e+01
2.5000e+01,1.0000e+00,5.8685e+00,-1.3859e+05,-1.3860e+05,-6.2422e-02,-1.3860e+05,1.2979e-01,6.7470e+00,1.1689e+05,1.3619e+01,-9.6734e-01,-1.3275e+00,5.6793e+00,3.1259e+00,2.9997e+01
2.6000e+01,1.0000e+00,6.0890e+00,-1.3850e+05,-1.3850e+05,-6.4919e-02,-1.3850e+05,1.2982e-01,6.7495e+00,1.1688e+05,1.3993e+01,-1.8581e-01,-1.2576e+00,5.4038e+00,1.3010e+00,2.9456e+01
2.7000e+01,1.0000e+00,6.3084e+00,-1.3850e+05,-1.3850e+05,-6.7416e-02,-1.3850e+05,1.1880e-01,5.6526e+00,1.1678e+05,1.4366e+01,-8.0234e-01,-6.0923e-01,5.4834e+00,1.6317e+00,2.9562e+01
2.8000e+01,1.0000e+00,6.5268e+00,-1.3840e+05,-1.3841e+05,-6.9913e-02,-1.3841e+05,1.2987e-01,6.7545e+00,1.1678e+05,1.4910e+01,-9.0400e-01,-1.2412e+00,5.8003e+00,6.8095e-01,3.1278e+01
2.9000e+01,1.0000e+00,6.7442e+00,-1.3833e+05,-1.3834e+05,-7.2410e-02,-1.3834e+05,1.2989e-01,6.7570e+00,1.1668e+05,1.5454e+01,-1.9701e-01,-1.0850e+00,5.5543e+00,1.6988e+00,3.0046e+01
3.0000e+01,1.0000e+00,6.9606e+00,-1.3826e+05,-1.3827e+05,-7.4906e-02,-1.3827e+05,1.2991e-01,6.7595e+00,1.1662e+05,1.5882e+01,2.1553e-01,-5.5385e-01,5.8731e+00,2.4055e+00,3.0246e+01
3.1000e+01,1.0000e+00,7.1759e+00,-1.3819e+05,-1.3819e+05,-7.7403e-02,-1.3819e+05,1.2994e-01,6.7620e+00,1.1655e+05,1.6252e+01,-8.3665e-01,-1.3064e+00,5.6591e+00,1.9134e+00,3.0865e+01
3.2000e+01,1.0000e+00,7.3903e+00,-1.3811e+05,-1.3811e+05,-7.9900e-02,-1.3811e+05,1.2996e-01,6.7645e+00,1.1647e+05,1.6635e+01,-5.0499e-01,-1.0900e+00,5.4665e+00,2.5491e+00,2.9472e+01
3.3000e+01,1.0000e+00,7.6037e+00,-1.3798e+05,-1.3798e+05,-8.2397e-02,-1.3798e+05,1.2999e-01,6.7670e+00,1.1639e+05,1.7204e+01,-1.6100e-01,-1.5066e+00,5.4978e+00,1.0561e+00,3.0152e+01
3.4000e+01,1.0000e+00,7.8161e+00,-1.3796e+05,-1.3796e+05,-8.4894e-02,-1.3796e+05,1.3001e-01,6.7695e+00,1.1626e+05,1.7580e+01,-2.7542e-01,-1.8120e+00,5.8934e+00,1.6640e-01,3.1706e+01
3.5000e+01,1.0000e+00,8.0275e+00,-1.3782e+05,-1.3782e+05,-8.7391e-02,-1.3782e+05,1.3003e-01,6.7720e+00,1.1624e+05,1.8136e+01,-4.5022e-01,-1.9013e+00,5.3634e+00,2.0983e+00,2.9707e+01
3.6000e+01,1.0000e+00,8.2380e+00,-1.3778e+05,-1.3778e+05,-8.9888e-02,-1.3778e+05,1.3006e-01,6.7745e+00,1.1610e+05,1.8513e+01,-6.0753e-01,-6.5996e-01,5.4674e+00,1.1204e+00,2.9828e+01
3.7000e+01,1.0000e+00,8.4475e+00,-1.3761e+05,-1.3762e+05,-9.2385e-02,-1.3762e+05,1.3008e-01,6.7770e+00,1.1606e+05,1.9052e+01,-5.3673e-01,-1.4485e+00,5.2899e+00,8.0375e-01,2.9551e+01
3.8000e+01,1.0000e+00,8.6560e+00,-1.3759e+05,-1.3759e+05,-9.4881e-02,-1.3759e+05,1.3011e-01,6.7795e+00,1.1589e+05,1.9597e+01,1.7362e-01,-1.4763e+00,5.2490e+00,3.1432e-01,2.9313e+01
3.9000e+01,1.0000e+00,8.8636e+00,-1.3756e+05,-1.3756e+05,-9.7378e-02,-1.3756e+05,1.3013e-01,6.7820e+00,1.1587e+05,1.9974e+01,-3.7547e-01,-1.0582e+00,5.7221e+00,3.7075e-01,3.1202e+01
4.0000e+01,1.0000e+00,9.0703e+00,-1.3752e+05,-1.3753e+05,-9.9875e-02,-1.3753e+05,1.3015e-01,6.7845e+00,1.1584e+05,2.0376e+01,-5.5204e-01,-7.0759e-01,5.7174e+00,3.0975e+00,3.0045e+01
4.1000e+01,1.0000e+00,9.2760e+00,-1.3729e+05,-1.3729e+05,-1.0237e-01,-1.3729e+05,1.3018e-01,6.7870e+00,1.1580e+05,2.0907e+01,-4.3918e-01,-1.3977e+00,5.7753e+00,1.0549e+00,3.1656e+01
4.2000e+01,1.0000e+00,9.4808e+00,-1.3722e+05,-1.3722e+05,-1.0487e-01,-1.3722e+05,1.3020e-01,6.7895e+00,1.1557e+05,2.1453e+01,-9.8740e-01,-1.2927e+00,5.5573e+00,3.7004e+00,2.9926e+01
4.3000e+01,1.0000e+00,9.6847e+00,-1.3706e+05,-1.3706e+05,-1.0737e-01,-1.3706e+05,1.3023e-01,6.7920e+00,1.1550e+05,2.1991e+01,4.6910e-02,-1.6126e+00,5.7474e+00,2.1762e+00,3.1232e+01
4.4000e+01,1.0000e+00,9.8876e+00,-1.3686e+05,-1.3687e+05,-1.0986e-01,-1.3687e+05,1.3025e-01,6.7945e+00,1.1534e+05,2.2526e+01,-1.0454e-01,-1.0573e+00,5.9480e+00,7.8763e-01,3.2200e+01
4.5000e+01,2.0000e+00,1.0067e+01,-1.3682e+05,-1.3683e+05,-1.1236e-01,-1.3683e+05,1.3027e-01,6.7970e+00,1.1515e+05,2.3626e+01,-9.5802e-01,-7.0461e-01,5.9959e+00,1.3687e+00,3.2401e+01
