logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.4312e-01,-1.8360e+00,-1.9350e-01,1.4874e+00,2.7052e+00,4.1973e+00,4.8857e+00,3.0684e+01,-4.2459e+02
-9.6573e-02,-1.5105e+00,9.3434e-01,1.2823e+00,1.3973e+00,3.0664e+00,5.1344e+00,3.1083e+01,-7.6602e+02
-4.5103e-02,-1.6298e+00,8.4274e-01,2.1635e+00,2.7506e+00,3.4544e+00,5.3443e+00,3.1625e+01,-7.9889e+02
-4.5201e-02,-1.1498e+00,6.6824e-01,1.9112e+00,2.4447e+00,4.6774e+00,4.9928e+00,3.1283e+01,-6.9535e+02
-3.6892e-01,-1.1216e+00,-2.2925e-01,7.7119e-01,2.3757e+00,3.2407e+00,5.1443e+00,3.1209e+01,-3.3314e+02
2.3248e-02,-1.7871e+00,6.9758e-01,8.8991e-01,1.2904e+00,4.0033e+00,5.1413e+00,3.1166e+01,-6.8008e+02
-2.1015e-01,-1.2941e+00,2.7915e-01,2.1098e+00,1.5008e+00,3.3859e+00,5.1519e+00,3.1192e+01,-4.5497e+02
-8.6130e-02,-1.7183e+00,-4.0719e-01,7.7408e-01,2.4726e+00,3.0969e+00,5.1136e+00,3.1063e+01,-4.3890e+02
2.0479e-01,-1.8693e+00,-4.9532e-01,1.2732e+00,2.6215e+00,4.3991e+00,4.8076e+00,3.0699e+01,-5.4473e+02
-3.6491e-01,-1.1295e+00,3.2406e-01,1.3761e+00,1.8530e+00,3.2524e+00,5.0498e+00,3.0978e+01,-5.3105e+02
2.0365e-01,-1.8116e+00,8.3296e-02,7.0259e-01,2.8438e+00,4.3712e+00,4.7445e+00,3.0585e+01,-2.8660e+02
-1.1957e-01,-1.3987e+00,2.1942e-01,1.3939e+00,2.3780e+00,4.1176e+00,4.9655e+00,3.0900e+01,-8.6946e+02
-1.9451e-01,-1.1964e+00,-3.1751e-01,1.4396e+00,2.8518e+00,3.8776e+00,5.1093e+00,3.1152e+01,-8.5525e+02
-4.1917e-02,-1.4889e+00,-4.3080e-01,2.2019e+00,1.7488e+00,3.7443e+00,5.0754e+00,3.0985e+01,-2.9886e+02
-5.1937e-02,-1.3835e+00,-1.8866e-01,2.2537e+00,1.7534e+00,3.5270e+00,4.9621e+00,3.0683e+01,-2.2795e+02
-1.1323e-01,-1.3998e+00,1.1994e+00,2.1689e+00,1.8880e+00,2.9212e+00,5.0553e+00,3.0899e+01,-8.3082e+02
-3.2379e-02,-1.6738e+00,-2.9845e-01,7.9704e-01,2.1859e+00,3.7865e+00,4.8980e+00,3.0598e+01,-6.5552e+02
1.0626e-01,-1.3566e+00,1.1042e+00,1.1921e+00,2.5787e+00,4.8020e+00,5.0611e+00,3.1484e+01,-8.7179e+02
-6.6455e-02,-1.4928e+00,3.4074e-01,9.6486e-01,1.3246e+00,4.2231e+00,5.2023e+00,3.1401e+01,-6.1850e+02
-8.6329e-02,-1.4077e+00,-3.2924e-01,5.6004e-01,2.3406e+00,4.1430e+00,4.9132e+00,3.0782e+01,-7.2869e+02
-1.9465e-02,-1.3594e+00,7.6486e-01,1.9636e+00,1.1940e+00,4.5187e+00,5.1939e+00,3.1500e+01,-7.2917e+02
-9.1984e-02,-1.4815e+00,7.6327e-01,1.3089e+00,1.8908e+00,3.4069e+00,4.9719e+00,3.0725e+01,-3.1702e+02
-2.7453e-01,-1.0748e+00,1.3611e+00,1.4431e+00,1.9563e+00,4.1859e+00,5.2960e+00,3.1631e+01,-8.2145e+02
-2.2894e-01,-1.2804e+00,9.5947e-01,7.1789e-01,1.9326e+00,3.2592e+00,5.3503e+00,3.1677e+01,-6.8168e+02
4.2778e-02,-1.7819e+00,-3.6695e-01,1.4213e+00,2.1944e+00,3.6649e+00,4.9157e+00,3.0583e+01,-3.7783e+02
-3.1479e-01,-1.0428e+00,-5.0157e-01,9.1069e-01,2.4685e+00,4.3899e+00,5.2205e+00,3.1567e+01,-5.1288e+02
1.0626e-03,-1.9953e+00,7.8351e-01,1.2104e+00,1.2601e+00,3.4130e+00,5.0105e+00,3.0791e+01,-2.1417e+02
1.7685e-02,-1.7268e+00,1.1362e+00,1.8377e+00,3.0530e+00,3.7576e+00,5.1365e+00,3.1150e+01,-6.4912e+02
-1.3000e-01,-1.4688e+00,4.6711e-01,1.6806e+00,2.8357e+00,3.0406e+00,5.0633e+00,3.0957e+01,-5.4770e+02
1.1802e-01,-1.9889e+00,9.3575e-01,1.8676e+00,2.4749e+00,3.1620e+00,4.8237e+00,3.0283e+01,-7.2176e+02
-3.7044e-01,-1.1243e+00,1.5409e-01,1.1738e+00,1.8308e+00,3.1915e+00,5.3013e+00,3.1583e+01,-6.8168e+02
-2.4877e-01,-1.1258e+00,2.2642e-01,2.1587e+00,3.0362e+00,4.1263e+00,5.1473e+00,3.1339e+01,-8.2876e+02
-1.8715e-01,-1.2981e+00,2.7318e-01,1.8590e+00,2.3270e+00,3.7909e+00,5.2921e+00,3.1546e+01,-7.8909e+02
-1.0911e-01,-1.2484e+00,3.6128e-01,2.1588e+00,2.5481e+00,3.8056e+00,5.0136e+00,3.0868e+01,-5.4278e+02
4.4476e-02,-1.9677e+00,1.0578e+00,1.0184e+00,1.4299e+00,3.6283e+00,5.0975e+00,3.0994e+01,-3.8210e+02
5.7210e-02,-1.8392e+00,-3.3414e-02,1.1496e+00,1.6577e+00,3.9653e+00,5.0611e+00,3.0966e+01,-6.1844e+02
-1.3689e-01,-1.2359e+00,-4.8266e-01,2.0092e+00,1.2386e+00,4.2116e+00,4.9584e+00,3.0914e+01,-2.9805e+02
-1.6956e-01,-1.3917e+00,-1.6705e-01,1.8075e+00,1.4990e+00,3.5684e+00,5.1571e+00,3.1208e+01,-3.7502e+02
-3.2674e-01,-1.1100e+00,1.1208e+00,5.4095e-01,1.3770e+00,3.9214e+00,5.1825e+00,3.1344e+01,-4.5986e+02
9.7172e-02,-1.8282e+00,3.5941e-01,1.1012e+00,1.8011e+00,4.1445e+00,4.9484e+00,3.0793e+01,-8.5768e+02
-9.7658e-02,-1.5083e+00,1.2736e+00,1.9505e+00,2.4216e+00,2.9101e+00,5.2094e+00,3.1290e+01,-5.0873e+02
8.1255e-02,-1.8918e+00,2.1721e-01,2.0846e+00,2.8596e+00,4.1238e+00,5.0787e+00,3.1079e+01,-4.3391e+02
7.0707e-02,-1.5681e+00,3.7848e-01,1.9955e+00,1.4852e+00,4.3026e+00,4.9959e+00,3.0965e+01,-2.6053e+02
2.3484e-01,-1.6864e+00,4.3957e-01,1.1208e+00,2.1969e+00,4.4702e+00,4.5946e+00,3.0458e+01,-5.4487e+02
-2.7844e-01,-1.0441e+00,1.3144e+00,2.1566e+00,1.5639e+00,4.4491e+00,5.2025e+00,3.1545e+01,-4.9996e+02
1.0298e-01,-1.3991e+00,1.0492e+00,1.4036e+00,2.0445e+00,4.6800e+00,4.8215e+00,3.1037e+01,-8.5377e+02
1.3266e-01,-1.7146e+00,-4.5900e-01,2.0209e+00,1.5321e+00,4.4589e+00,5.0148e+00,3.1086e+01,-4.8623e+02
1.4731e-01,-1.8961e+00,4.2629e-01,1.0327e+00,2.5363e+00,4.1243e+00,4.9142e+00,3.0690e+01,-4.8900e+02
5.9266e-02,-1.7180e+00,1.2508e+00,1.1780e+00,2.5845e+00,4.1961e+00,5.1517e+00,3.1241e+01,-6.0287e+02
-8.9399e-02,-1.3947e+00,6.7396e-01,1.9573e+00,1.5648e+00,4.2814e+00,5.3093e+00,3.1655e+01,-8.5716e+02
-2.0080e-01,-1.2453e+00,3.0350e-01,1.6422e+00,1.4325e+00,3.6676e+00,5.1056e+00,3.1075e+01,-8.2883e+02
-1.3826e-01,-1.3380e+00,-8.5174e-03,2.0887e+00,2.9425e+00,3.3350e+00,4.9486e+00,3.0711e+01,-6.9235e+02
1.0545e-01,-1.9771e+00,1.0260e+00,2.1171e+00,2.7846e+00,2.8247e+00,4.9236e+00,3.0533e+01,-3.9880e+02
-7.9556e-02,-1.4460e+00,5.2793e-01,2.3356e+00,1.7798e+00,3.3904e+00,5.2019e+00,3.1276e+01,-5.2751e+02
-1.5664e-01,-1.3949e+00,5.1378e-01,9.5385e-01,1.6462e+00,3.6497e+00,5.2532e+00,3.1434e+01,-5.2816e+02
1.8110e-02,-1.3267e+00,1.3382e+00,2.2806e+00,2.4986e+00,4.2265e+00,5.1384e+00,3.1223e+01,-7.6083e+02
-1.2438e-02,-1.3968e+00,4.1297e-01,2.2286e+00,2.7811e+00,3.7164e+00,4.9206e+00,3.0635e+01,-2.6609e+02
-4.4372e-01,-1.0079e+00,2.9544e-01,1.9166e+00,1.6301e+00,4.1207e+00,5.3252e+00,3.1739e+01,-8.5981e+02
-2.1216e-01,-1.1825e+00,4.8530e-02,4.8741e-01,2.9923e+00,3.8376e+00,5.1328e+00,3.1212e+01,-6.2285e+02
-2.0233e-01,-1.3470e+00,-2.5713e-01,1.6827e+00,2.2163e+00,2.9733e+00,5.0237e+00,3.0856e+01,-4.4165e+02
-2.4387e-01,-1.1697e+00,1.0939e+00,1.3747e+00,2.8343e+00,3.3633e+00,5.3175e+00,3.1596e+01,-7.8742e+02
1.3156e-01,-1.6209e+00,1.3424e+00,2.0425e+00,2.2638e+00,4.1159e+00,4.9554e+00,3.0762e+01,-6.3672e+02
7.4351e-03,-1.5835e+00,1.3063e+00,1.9310e+00,1.7548e+00,3.7639e+00,5.1249e+00,3.1093e+01,-3.9538e+02
-2.7999e-01,-1.0986e+00,-6.2347e-01,1.1932e+00,2.0916e+00,4.2904e+00,5.2310e+00,3.1542e+01,-7.3414e+02
-3.6926e-01,-1.0566e+00,-9.3788e-02,2.2980e+00,2.7265e+00,3.1757e+00,5.1117e+00,3.1139e+01,-6.4545e+02
-1.0381e-01,-1.3257e+00,5.8171e-02,2.0546e+00,2.3048e+00,3.3017e+00,4.8960e+00,3.0526e+01,-4.3998e+02
-1.3953e-01,-1.1763e+00,-4.6244e-01,6.8077e-01,1.3359e+00,4.4102e+00,5.0969e+00,3.1264e+01,-8.3806e+02
-1.1663e-01,-1.2293e+00,1.0259e+00,2.1632e+00,2.4380e+00,3.6178e+00,4.9577e+00,3.0721e+01,-8.0120e+02
-1.1859e-02,-1.3228e+00,2.1411e-02,8.8402e-01,1.7243e+00,4.4603e+00,5.0823e+00,3.1238e+01,-8.3679e+02
2.3290e-01,-1.8455e+00,9.5965e-01,1.8208e+00,1.3323e+00,4.0812e+00,4.7480e+00,3.0298e+01,-6.5928e+02
2.1282e-01,-1.5877e+00,1.0357e+00,1.0631e+00,2.5417e+00,4.3954e+00,4.7570e+00,3.0598e+01,-6.4311e+02
-2.5821e-01,-1.1806e+00,-3.0736e-01,1.7692e+00,2.2867e+00,4.0479e+00,5.2202e+00,3.1443e+01,-6.2146e+02
-1.2760e-01,-1.0172e+00,3.0458e-01,2.0274e+00,1.9342e+00,4.6960e+00,4.7942e+00,3.1076e+01,-2.1860e+02
-3.8276e-01,-1.0206e+00,5.1988e-01,1.3832e+00,2.9509e+00,3.0571e+00,5.1973e+00,3.1330e+01,-7.4531e+02
-5.8766e-02,-1.9605e+00,-6.1358e-01,1.5007e+00,2.0897e+00,3.0505e+00,5.1055e+00,3.1034e+01,-7.8608e+02
-2.6078e-01,-1.2649e+00,-6.7779e-02,7.9013e-01,2.7667e+00,3.3735e+00,5.0785e+00,3.1053e+01,-5.4668e+02
6.8440e-03,-1.6533e+00,6.9846e-01,9.8325e-01,1.7548e+00,4.2548e+00,4.9950e+00,3.0982e+01,-6.9867e+02
-2.3878e-01,-1.0114e+00,-1.8757e-01,1.6093e+00,2.8355e+00,4.4006e+00,4.7346e+00,3.0714e+01,-5.3685e+02
-2.4438e-01,-1.0684e+00,1.0581e-01,1.3166e+00,1.5901e+00,4.1201e+00,4.9315e+00,3.0814e+01,-5.3134e+02
-1.8664e-01,-1.2807e+00,7.1720e-01,1.0991e+00,2.7904e+00,4.0325e+00,5.1270e+00,3.1242e+01,-5.8245e+02
2.5701e-02,-1.6371e+00,5.3314e-01,9.2144e-01,1.2731e+00,4.1429e+00,5.0373e+00,3.0978e+01,-7.7832e+02
9.7926e-02,-1.4780e+00,-5.1266e-01,5.6791e-01,2.9708e+00,4.4312e+00,4.9845e+00,3.1033e+01,-7.1512e+02
-2.1548e-01,-1.2764e+00,7.2888e-01,2.1558e+00,2.3970e+00,3.6261e+00,5.2798e+00,3.1532e+01,-7.9128e+02
1.0669e-01,-1.7854e+00,1.1400e+00,1.2172e+00,2.5922e+00,3.8861e+00,4.9902e+00,3.0770e+01,-7.4380e+02
-1.3903e-02,-1.8580e+00,9.6233e-02,5.9887e-01,1.5506e+00,3.8158e+00,5.0239e+00,3.0879e+01,-7.9435e+02
-1.8594e-01,-1.3079e+00,1.2484e+00,1.0489e+00,2.3937e+00,3.2091e+00,5.2862e+00,3.1506e+01,-6.3627e+02
-3.1368e-02,-1.3129e+00,1.4289e-01,7.7223e-01,2.7076e+00,4.4322e+00,4.9777e+00,3.1053e+01,-8.1165e+02
