logfeh,logdust,logNpix,logage,dmod,logl
-5.2328e-01,-1.0707e+00,5.1237e+00,1.0197e+01,3.0978e+01,-1.0620e+02
-4.6713e-01,-1.0244e+00,5.1126e+00,1.0078e+01,3.1138e+01,-9.1654e+01
-3.7520e-01,-1.3177e+00,5.1191e+00,1.0190e+01,3.1000e+01,-9.9765e+01
-5.4880e-01,-1.0253e+00,5.1295e+00,1.0106e+01,3.1179e+01,-1.0795e+02
-4.7103e-01,-1.0521e+00,5.1299e+00,1.0127e+01,3.1035e+01,-9.9798e+01
-3.8658e-01,-1.2826e+00,5.1288e+00,1.0186e+01,3.1021e+01,-1.0404e+02
-5.0055e-01,-1.0554e+00,5.1538e+00,1.0147e+01,3.1097e+01,-9.9662e+01
-5.3591e-01,-1.0300e+00,5.1221e+00,1.0103e+01,3.1164e+01,-1.0303e+02
-4.4101e-01,-1.0072e+00,5.0712e+00,1.0028e+01,3.1067e+01,-1.0736e+02
-4.8802e-01,-1.0254e+00,5.1169e+00,1.0121e+01,3.1149e+01,-9.8454e+01
-3.7634e-01,-1.3166e+00,5.1149e+00,1.0180e+01,3.0989e+01,-1.0812e+02
-4.8665e-01,-1.0276e+00,5.1151e+00,1.0084e+01,3.1146e+01,-1.0122e+02
-5.4698e-01,-1.0194e+00,5.1140e+00,1.0084e+01,3.1138e+01,-1.1134e+02
-5.1265e-01,-1.0222e+00,5.0764e+00,1.0086e+01,3.1047e+01,-1.1181e+02
-3.9771e-01,-1.1328e+00,5.0676e+00,1.0107e+01,3.1014e+01,-1.0957e+02
-3.9556e-01,-1.2638e+00,5.1400e+00,1.0189e+01,3.1048e+01,-1.1072e+02
-4.9443e-01,-1.0588e+00,5.1333e+00,1.0145e+01,3.1046e+01,-1.0311e+02
-3.8927e-01,-1.0541e+00,5.0730e+00,1.0047e+01,3.1069e+01,-1.0886e+02
-4.8717e-01,-1.0259e+00,5.1340e+00,1.0111e+01,3.1191e+01,-1.0571e+02
-4.0457e-01,-1.1744e+00,5.0991e+00,1.0169e+01,3.0981e+01,-1.1161e+02
-3.4123e-01,-1.4186e+00,5.0920e+00,1.0190e+01,3.0939e+01,-1.0591e+02
-3.6589e-01,-1.1763e+00,5.0709e+00,1.0093e+01,3.1019e+01,-1.1008e+02
-4.4898e-01,-1.1578e+00,5.1530e+00,1.0188e+01,3.1068e+01,-9.2820e+01
-4.2307e-01,-1.1031e+00,5.0835e+00,1.0097e+01,3.1056e+01,-1.1024e+02
-4.8596e-01,-1.0608e+00,5.1353e+00,1.0162e+01,3.1051e+01,-1.0946e+02
-4.4019e-01,-1.0911e+00,5.0875e+00,1.0086e+01,3.1072e+01,-1.0166e+02
-4.8419e-01,-1.0241e+00,5.1150e+00,1.0124e+01,3.1143e+01,-9.7304e+01
-4.5418e-01,-1.0255e+00,5.1250e+00,1.0090e+01,3.1170e+01,-1.0775e+02
-3.1217e-01,-1.2465e+00,5.0567e+00,1.0090e+01,3.0974e+01,-1.1150e+02
-5.1261e-01,-1.0540e+00,5.1348e+00,1.0158e+01,3.1048e+01,-9.7273e+01
-4.2912e-01,-1.1062e+00,5.0858e+00,1.0106e+01,3.1066e+01,-1.0560e+02
-5.3857e-01,-1.0308e+00,5.1332e+00,1.0076e+01,3.1192e+01,-1.1087e+02
-5.1074e-01,-1.0317e+00,5.1057e+00,1.0091e+01,3.1123e+01,-9.2133e+01
-4.7611e-01,-1.0271e+00,5.1280e+00,1.0120e+01,3.1179e+01,-1.1115e+02
-5.6161e-01,-1.0203e+00,5.1632e+00,1.0181e+01,3.1080e+01,-9.8389e+01
-4.9704e-01,-1.0487e+00,5.1489e+00,1.0160e+01,3.1083e+01,-1.0808e+02
-5.7119e-01,-1.0109e+00,5.1362e+00,1.0194e+01,3.1012e+01,-1.0545e+02
-4.6897e-01,-1.0583e+00,5.1545e+00,1.0143e+01,3.1099e+01,-9.4945e+01
-4.1252e-01,-1.1661e+00,5.0987e+00,1.0134e+01,3.0979e+01,-1.0797e+02
-3.8188e-01,-1.2970e+00,5.1361e+00,1.0198e+01,3.1040e+01,-1.0685e+02
-5.2235e-01,-1.0716e+00,5.1402e+00,1.0183e+01,3.1020e+01,-1.0088e+02
