logfeh,logdust,logNpix,tau,dmod,logl
-4.2909e-01,-1.3255e+00,4.5313e+00,2.5451e+00,3.1319e+01,-5.7356e+01
-3.5948e-01,-1.4438e+00,4.5319e+00,2.5829e+00,3.1314e+01,-6.1094e+01
-5.2362e-01,-1.2076e+00,4.5252e+00,2.5161e+00,3.1302e+01,-6.2269e+01
-1.8371e-01,-1.9486e+00,4.4930e+00,2.8933e+00,3.1191e+01,-5.9700e+01
-4.5581e-01,-1.1016e+00,4.5326e+00,3.0188e+00,3.1332e+01,-6.1453e+01
-7.6791e-01,-9.0980e-01,4.5491e+00,2.6712e+00,3.1369e+01,-6.1719e+01
-3.9396e-01,-1.3109e+00,4.5552e+00,2.8394e+00,3.1389e+01,-5.8022e+01
-4.4314e-01,-1.2997e+00,4.5103e+00,2.5039e+00,3.1265e+01,-6.1863e+01
-3.5340e-01,-1.4317e+00,4.5276e+00,2.6365e+00,3.1305e+01,-6.2663e+01
-4.3223e-01,-1.2579e+00,4.5469e+00,2.7116e+00,3.1360e+01,-5.7233e+01
-5.2968e-01,-1.1324e+00,4.5359e+00,2.8301e+00,3.1336e+01,-6.2583e+01
-6.6267e-01,-9.7412e-01,4.5499e+00,2.7563e+00,3.1372e+01,-5.6170e+01
-7.5782e-01,-9.3617e-01,4.5413e+00,2.4186e+00,3.1343e+01,-6.2224e+01
-3.7751e-01,-1.3778e+00,4.5411e+00,2.6504e+00,3.1341e+01,-6.1150e+01
-4.0945e-01,-1.2890e+00,4.5339e+00,2.8220e+00,3.1334e+01,-5.9591e+01
-4.0248e-01,-1.3956e+00,4.5216e+00,2.4639e+00,3.1288e+01,-6.2432e+01
-1.8708e-01,-1.7849e+00,4.4934e+00,2.9990e+00,3.1196e+01,-6.0809e+01
-4.9647e-01,-1.2320e+00,4.5431e+00,2.3183e+00,3.1338e+01,-6.2382e+01
-5.1419e-01,-1.1428e+00,4.5369e+00,2.7436e+00,3.1334e+01,-6.0643e+01
-7.7044e-01,-9.0856e-01,4.5465e+00,2.7756e+00,3.1372e+01,-6.2490e+01
-3.3454e-01,-1.7255e+00,4.5131e+00,2.1811e+00,3.1251e+01,-6.1401e+01
-6.8705e-01,-9.4086e-01,4.5520e+00,2.8586e+00,3.1379e+01,-6.0964e+01
-2.8746e-01,-1.7780e+00,4.5157e+00,2.6849e+00,3.1268e+01,-5.9526e+01
-3.4452e-01,-1.4961e+00,4.5264e+00,2.4966e+00,3.1293e+01,-6.1685e+01
-2.4745e-01,-1.5173e+00,4.5367e+00,3.1105e+00,3.1344e+01,-6.1509e+01
-2.6345e-01,-1.6983e+00,4.5277e+00,2.7790e+00,3.1301e+01,-6.0236e+01
-5.1975e-01,-1.1289e+00,4.5466e+00,2.9059e+00,3.1368e+01,-6.0824e+01
-3.6393e-01,-1.5284e+00,4.5259e+00,2.2182e+00,3.1282e+01,-6.0787e+01
-3.7273e-01,-1.5372e+00,4.5164e+00,2.2436e+00,3.1264e+01,-6.1779e+01
-4.4684e-01,-1.4387e+00,4.5344e+00,1.6049e+00,3.1296e+01,-6.2562e+01
-4.0595e-01,-1.4528e+00,4.5335e+00,2.2559e+00,3.1312e+01,-6.1170e+01
-3.3158e-01,-1.6478e+00,4.5249e+00,2.2127e+00,3.1274e+01,-6.1379e+01
-5.8929e-01,-1.2009e+00,4.5358e+00,7.5650e-01,3.1303e+01,-6.1909e+01
-2.7506e-01,-1.7527e+00,4.5185e+00,2.6992e+00,3.1276e+01,-6.0721e+01
-3.0572e-01,-1.4868e+00,4.5408e+00,2.8648e+00,3.1349e+01,-6.2135e+01
-2.6914e-01,-1.7194e+00,4.5181e+00,2.6922e+00,3.1271e+01,-6.2121e+01
-6.6976e-01,-9.7866e-01,4.5489e+00,2.6455e+00,3.1365e+01,-6.1900e+01
-5.1453e-01,-1.1515e+00,4.5334e+00,2.7340e+00,3.1327e+01,-6.2532e+01
-6.1352e-01,-1.0556e+00,4.5365e+00,2.4961e+00,3.1331e+01,-5.8888e+01
-2.9586e-01,-1.7828e+00,4.5274e+00,2.6612e+00,3.1296e+01,-5.7449e+01
-4.0895e-01,-1.2959e+00,4.5359e+00,2.7864e+00,3.1338e+01,-6.1009e+01
-2.0440e-01,-1.7547e+00,4.5216e+00,2.7170e+00,3.1285e+01,-6.1925e+01
-6.2078e-01,-9.7041e-01,4.5392e+00,3.0900e+00,3.1353e+01,-6.0260e+01
-3.1752e-01,-1.4994e+00,4.5371e+00,2.8288e+00,3.1341e+01,-6.0518e+01
-2.1682e-01,-1.6523e+00,4.5287e+00,2.8571e+00,3.1309e+01,-6.2630e+01
-4.3762e-01,-1.3622e+00,4.5250e+00,2.2252e+00,3.1288e+01,-6.0026e+01
-7.4915e-01,-9.5767e-01,4.5621e+00,2.2457e+00,3.1394e+01,-6.1853e+01
-1.9205e-01,-1.9153e+00,4.4922e+00,2.8592e+00,3.1192e+01,-6.0529e+01
-6.1866e-01,-1.1000e+00,4.5326e+00,2.1600e+00,3.1315e+01,-5.5474e+01
-3.6796e-01,-1.5454e+00,4.5316e+00,2.2096e+00,3.1300e+01,-6.1705e+01
-2.5070e-01,-1.6150e+00,4.5446e+00,2.8729e+00,3.1349e+01,-6.0730e+01
-2.6695e-01,-1.7617e+00,4.5223e+00,2.6608e+00,3.1280e+01,-6.2153e+01
-4.8441e-01,-1.1450e+00,4.5467e+00,2.7623e+00,3.1360e+01,-6.2052e+01
-2.0933e-01,-1.7581e+00,4.5153e+00,2.6537e+00,3.1262e+01,-6.2201e+01
-4.2238e-01,-1.3029e+00,4.5508e+00,2.7087e+00,3.1375e+01,-6.0928e+01
-6.2239e-01,-1.0534e+00,4.5264e+00,2.4855e+00,3.1306e+01,-6.1729e+01
-5.5033e-01,-1.1968e+00,4.5260e+00,2.0597e+00,3.1292e+01,-6.1621e+01
-5.7936e-01,-1.0947e+00,4.5509e+00,2.5060e+00,3.1367e+01,-6.2145e+01
-3.3358e-01,-1.5505e+00,4.5214e+00,2.5497e+00,3.1286e+01,-5.8315e+01
-3.7555e-01,-1.4499e+00,4.5314e+00,2.4447e+00,3.1309e+01,-5.9353e+01
-3.5422e-01,-1.5028e+00,4.5214e+00,2.4619e+00,3.1281e+01,-6.0164e+01
-5.5443e-01,-1.1691e+00,4.5314e+00,2.2257e+00,3.1310e+01,-6.1192e+01
-6.4828e-01,-1.1191e+00,4.5365e+00,5.2264e-01,3.1305e+01,-6.2714e+01
-4.7937e-01,-1.0854e+00,4.5310e+00,3.0936e+00,3.1330e+01,-5.8402e+01
-3.5013e-01,-1.4106e+00,4.5373e+00,2.8123e+00,3.1341e+01,-6.2225e+01
-5.0923e-01,-1.3519e+00,4.5281e+00,1.2619e+00,3.1282e+01,-6.0623e+01
-3.3681e-01,-1.4030e+00,4.5528e+00,2.9155e+00,3.1386e+01,-5.7523e+01
-3.1764e-01,-1.5646e+00,4.5322e+00,2.6313e+00,3.1317e+01,-6.2443e+01
-3.5155e-01,-1.4881e+00,4.5417e+00,2.5098e+00,3.1334e+01,-6.0659e+01
