logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.2521e-01,-1.7871e+00,9.2817e-02,1.0679e+00,1.7407e+00,3.5502e+00,4.4739e+00,3.0474e+01,-1.5348e+04
-1.4587e-01,-1.3471e+00,2.7314e-01,2.8676e-01,1.4963e+00,4.0108e+00,4.5867e+00,3.1049e+01,-1.4794e+04
-4.2093e-01,-1.2040e+00,-1.6911e-02,1.3129e+00,2.5195e+00,3.4047e+00,4.4766e+00,3.0692e+01,-1.8969e+04
-4.2254e-01,-1.3328e+00,-2.0143e-01,2.9041e-01,1.1575e+00,2.4815e+00,4.7071e+00,3.1174e+01,-5.4012e+03
-1.6494e-02,-1.7230e+00,1.6898e-02,1.2894e+00,2.3109e+00,3.2824e+00,4.6330e+00,3.0838e+01,-7.8884e+03
1.5404e-01,-1.8573e+00,-5.7326e-01,1.2448e+00,1.1211e+00,2.8090e+00,4.4706e+00,3.0272e+01,-2.5684e+04
-1.8806e-01,-1.8913e+00,1.7890e-01,6.5488e-01,1.7709e+00,3.5668e+00,4.7381e+00,3.1225e+01,-1.9074e+04
-3.7959e-01,-1.0420e+00,-8.7671e-01,4.4551e-01,1.6149e+00,4.1188e+00,3.8874e+00,3.0476e+01,-1.1536e+04
-7.5346e-02,-1.5695e+00,-4.8178e-01,8.0546e-01,1.7956e+00,3.6877e+00,4.2559e+00,3.0258e+01,-1.5399e+03
-1.5609e-03,-1.8089e+00,-8.5171e-01,1.5975e+00,2.1399e+00,3.4060e+00,4.2039e+00,3.0030e+01,-1.9842e+04
-2.4193e-01,-1.4498e+00,-6.6757e-02,5.5370e-01,1.0823e+00,3.6542e+00,4.1770e+00,3.0246e+01,-2.2214e+04
-1.8424e-02,-1.6119e+00,-7.5748e-01,1.4753e+00,8.8790e-01,2.5862e+00,4.4272e+00,3.0281e+01,-1.8919e+04
-3.0614e-03,-1.5266e+00,-1.9365e-01,4.1429e-01,2.3273e+00,4.0473e+00,3.5825e+00,3.0120e+01,-1.8280e+04
-2.8149e-01,-1.7070e+00,5.8329e-01,1.0379e+00,1.5302e+00,3.2021e+00,4.4819e+00,3.0680e+01,-1.1927e+04
-1.1949e-01,-1.9183e+00,9.2223e-02,7.6055e-01,1.5720e+00,4.2058e+00,4.1605e+00,3.0797e+01,-2.5019e+04
-3.1873e-01,-1.2913e+00,-1.0129e-01,1.1117e+00,1.6315e+00,2.4024e+00,4.6161e+00,3.0858e+01,-2.9886e+03
-2.9406e-01,-1.3482e+00,1.2661e-01,1.8733e+00,1.4732e+00,4.0209e+00,4.3504e+00,3.0859e+01,-1.7454e+04
-3.9079e-01,-1.1142e+00,1.4771e-01,1.1205e-01,1.7683e+00,3.8833e+00,4.0339e+00,3.0259e+01,-1.3790e+04
-1.9335e-01,-1.3423e+00,-6.6247e-01,5.7322e-01,2.4343e+00,2.5520e+00,4.2828e+00,3.0049e+01,-1.4175e+04
-1.2454e-01,-1.2811e+00,1.6246e-01,1.4941e+00,2.0942e+00,3.7012e+00,4.6871e+00,3.1122e+01,-1.2967e+04
-2.8396e-01,-1.0915e+00,-7.0379e-01,1.1454e+00,1.0221e+00,3.9450e+00,3.9875e+00,3.0202e+01,-6.2361e+03
-1.1228e-02,-1.6244e+00,-2.6605e-01,9.0989e-01,1.8162e+00,3.6575e+00,4.2676e+00,3.0155e+01,-2.0675e+04
-4.4708e-02,-1.8892e+00,-1.5379e-02,1.5310e+00,1.1864e+00,3.5758e+00,4.7610e+00,3.1237e+01,-2.4470e+04
1.7159e-01,-1.4790e+00,-2.7880e-01,9.6642e-01,2.2549e+00,4.1131e+00,3.6438e+00,3.0070e+01,-1.4225e+04
-3.9496e-01,-1.4471e+00,-2.8161e-01,5.5637e-01,7.9711e-01,3.0707e+00,4.7647e+00,3.1381e+01,-2.3282e+04
-1.2273e-01,-1.7011e+00,-1.0819e+00,1.2250e+00,1.4402e+00,3.5980e+00,4.2435e+00,3.0195e+01,-7.2127e+03
-2.8910e-01,-1.5301e+00,-2.8800e-01,3.5217e-01,1.2606e+00,3.8980e+00,4.6163e+00,3.1206e+01,-1.4643e+04
1.2747e-01,-1.5574e+00,-2.0764e-01,9.6533e-01,1.5633e+00,4.0984e+00,4.3043e+00,3.0580e+01,-1.0872e+04
-9.3776e-02,-1.6633e+00,6.5367e-01,-5.2565e-02,1.3846e+00,3.0107e+00,5.0616e+00,3.1854e+01,-2.0511e+04
-4.9916e-01,-1.1289e+00,-2.2159e-01,9.9065e-01,8.5991e-01,3.7822e+00,4.3327e+00,3.0617e+01,-1.0792e+04
-4.4208e-01,-1.1398e+00,1.0569e-02,1.3413e+00,1.4049e+00,2.4999e+00,4.3609e+00,3.0240e+01,-1.2240e+04
-2.6026e-01,-1.6251e+00,-5.1394e-01,1.1206e+00,1.7600e+00,3.9922e+00,4.8737e+00,3.1753e+01,-9.1507e+03
-1.4136e-02,-1.9645e+00,-8.1251e-01,6.9869e-01,2.2181e+00,3.8262e+00,4.5823e+00,3.0899e+01,-7.5271e+03
-3.7401e-01,-1.1912e+00,-1.6684e-01,6.7142e-01,1.5564e+00,2.7325e+00,5.0497e+00,3.1905e+01,-2.3931e+04
-1.3901e-02,-1.9647e+00,-4.1214e-01,1.5246e+00,6.8589e-01,3.5851e+00,4.2229e+00,3.0041e+01,-2.5440e+04
3.3479e-02,-1.5609e+00,-7.1087e-01,1.5630e+00,1.9678e+00,3.3320e+00,4.3095e+00,3.0174e+01,-2.1398e+04
2.1855e-01,-1.5917e+00,8.1719e-02,7.2025e-01,2.1845e+00,4.2161e+00,3.6922e+00,3.0328e+01,-9.3141e+03
-2.2047e-01,-1.4662e+00,6.5581e-02,1.8962e+00,1.8219e+00,3.7740e+00,4.5297e+00,3.0939e+01,-6.9125e+03
-5.3531e-01,-1.2477e+00,4.5912e-01,1.5908e+00,2.4314e+00,2.8135e+00,4.6661e+00,3.1066e+01,-2.4983e+04
-4.0614e-01,-1.4115e+00,1.3785e-01,1.2997e-01,2.1809e+00,3.0759e+00,4.6570e+00,3.1107e+01,-6.4908e+03
