logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.2966e-01,-1.4123e+00,8.3347e-02,7.1977e-01,6.8572e-01,2.7406e+00,4.6687e+00,-1.6635e+03
-1.9164e-01,-1.4475e+00,1.7568e-01,1.0836e+00,1.5700e+00,3.7489e+00,4.5964e+00,-1.1238e+03
-1.6730e-01,-1.5320e+00,-1.8015e-01,1.5669e+00,2.1296e+00,3.2004e+00,4.6614e+00,-1.8223e+03
-3.0418e-01,-1.2171e+00,8.3154e-01,1.7868e+00,2.2409e+00,2.8362e+00,4.6559e+00,-9.5595e+02
-1.1716e-01,-1.5548e+00,-3.3608e-01,1.1144e+00,2.2236e+00,3.6988e+00,4.6205e+00,-2.1906e+03
-3.4496e-01,-1.3479e+00,1.9515e-01,4.9934e-01,2.4735e+00,2.3737e+00,4.6397e+00,-6.8856e+02
-2.5795e-01,-1.4235e+00,3.4067e-01,2.5585e-01,1.5807e+00,3.2515e+00,4.6503e+00,-1.2503e+03
-1.9173e-01,-1.7043e+00,-6.2690e-01,1.4245e+00,6.8071e-01,3.5369e+00,4.6235e+00,-1.8321e+03
-2.5290e-01,-1.3972e+00,6.2443e-01,1.2059e+00,2.6490e+00,3.2363e+00,4.6211e+00,-1.0024e+03
-5.4660e-01,-1.1370e+00,-9.1332e-01,4.2359e-01,1.8849e+00,3.0628e+00,4.6312e+00,-1.0863e+03
-4.3050e-01,-1.2589e+00,-8.2705e-01,2.7752e-01,1.2334e+00,2.4647e+00,4.6507e+00,-9.4357e+02
-2.2158e-01,-1.5163e+00,-9.7912e-01,8.8615e-01,2.2308e+00,2.6993e+00,4.6503e+00,-1.1530e+03
-2.7215e-01,-1.5124e+00,6.2596e-01,9.1340e-01,1.6630e+00,2.9188e+00,4.6605e+00,-1.6894e+03
-7.1426e-02,-1.7455e+00,4.8776e-01,1.3608e+00,1.3602e+00,3.7721e+00,4.6216e+00,-2.1627e+03
-1.8113e-01,-1.6559e+00,2.3682e-02,1.8096e+00,2.6643e+00,2.8127e+00,4.6412e+00,-1.1212e+03
