logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-3.0794e-01,-1.6531e+00,6.1992e-01,1.0698e+00,8.8333e-01,2.8285e+00,4.4700e+00,3.0562e+01,-1.2120e+04
-2.5509e-01,-1.7777e+00,-2.6988e-01,8.8970e-01,2.1063e+00,2.5969e+00,4.9672e+00,3.1736e+01,-1.2677e+04
-1.8102e-01,-1.8381e+00,8.5239e-01,2.3017e-01,1.6045e+00,3.4684e+00,4.9909e+00,3.1846e+01,-1.0719e+04
-1.7411e-01,-1.3518e+00,7.5870e-01,1.5901e+00,2.3021e+00,3.3397e+00,4.9925e+00,3.1774e+01,-7.9339e+03
-1.4686e-01,-1.2893e+00,7.1187e-01,1.7634e+00,2.6258e+00,3.7338e+00,5.0012e+00,3.1838e+01,-9.9692e+03
-3.8640e-01,-1.1475e+00,5.2926e-01,1.0732e+00,1.5389e+00,4.1175e+00,4.9428e+00,3.1937e+01,-1.3191e+04
-3.9814e-01,-1.5826e+00,-3.0549e-01,2.2162e-01,1.2707e+00,2.5663e+00,4.6683e+00,3.1083e+01,-1.1968e+04
-2.4185e-01,-1.5305e+00,-4.6395e-01,4.4748e-01,2.6492e+00,2.5903e+00,5.0426e+00,3.1907e+01,-1.1099e+04
-2.2893e-01,-1.6809e+00,3.9329e-01,1.5051e+00,1.0321e+00,3.7550e+00,4.8614e+00,3.1596e+01,-8.8307e+03
2.5268e-02,-1.5165e+00,-1.0015e+00,1.4589e+00,2.5428e+00,3.7513e+00,4.3177e+00,3.0379e+01,-8.4635e+03
-1.6658e-01,-1.7619e+00,9.4283e-02,1.7611e+00,2.3326e+00,2.6197e+00,4.7642e+00,3.1242e+01,-4.7118e+03
-1.8274e-01,-1.0679e+00,-9.3893e-01,6.5509e-01,6.8092e-01,4.1044e+00,4.2779e+00,3.0649e+01,-9.4167e+03
7.1020e-02,-1.4144e+00,-1.0935e+00,1.6789e+00,1.0071e+00,4.2495e+00,4.4128e+00,3.0988e+01,-2.8239e+03
-3.6364e-01,-1.2176e+00,-7.4625e-03,1.0065e-01,9.0290e-01,2.6967e+00,4.4379e+00,3.0421e+01,-2.9647e+03
-1.4150e-01,-1.7456e+00,-3.9582e-01,-6.3666e-02,1.0844e+00,3.3220e+00,4.4286e+00,3.0493e+01,-7.8499e+03
-3.0549e-01,-1.1486e+00,-3.4967e-01,1.8384e+00,1.4139e+00,3.0334e+00,5.0300e+00,3.1873e+01,-9.3893e+03
-8.1378e-03,-1.6663e+00,-1.1237e-01,1.7514e+00,2.1005e+00,2.6267e+00,4.6900e+00,3.0905e+01,-1.0328e+04
-1.1946e-01,-1.1584e+00,4.6496e-01,5.1280e-01,1.0359e+00,3.7210e+00,4.6290e+00,3.0920e+01,-1.2556e+04
-2.2144e-01,-1.1584e+00,-7.0868e-01,1.0487e+00,8.7430e-01,2.6651e+00,4.5452e+00,3.0582e+01,-9.9763e+03
-2.1923e-01,-1.2054e+00,-3.5651e-01,5.5350e-01,2.5371e+00,3.9671e+00,4.8223e+00,3.1551e+01,-6.4365e+03
-4.1774e-01,-1.3512e+00,-8.3669e-01,1.4294e+00,1.5364e+00,3.0182e+00,5.0024e+00,3.1909e+01,-1.2017e+04
-3.3884e-01,-1.3955e+00,1.8274e-01,6.8437e-01,2.5208e+00,3.3855e+00,4.4881e+00,3.0753e+01,-9.3284e+03
-1.5218e-01,-1.4055e+00,5.2834e-01,1.2161e-01,1.5143e+00,3.7457e+00,5.0575e+00,3.1932e+01,-1.3373e+04
