niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.8946e+05,-1.8947e+05,-1.9980e-03,-1.8947e+05,1.1750e-01,6.9098e+00,inf,4.7493e-01,-9.9049e-01,-1.1037e+00,5.9927e+00,3.2434e+00,3.0060e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.8925e+05,-1.8926e+05,-3.9960e-03,-1.8926e+05,1.1751e-01,6.9118e+00,1.6835e+05,9.6043e-01,-9.3266e-01,-1.5484e+00,5.9460e+00,5.8338e-01,3.0239e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.8914e+05,-1.8915e+05,-5.9940e-03,-1.8915e+05,1.1753e-01,6.9138e+00,1.6815e+05,1.6118e+00,-9.8831e-01,-1.0994e+00,5.9317e+00,2.2719e+00,3.0170e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.8900e+05,-1.8900e+05,-7.9920e-03,-1.8900e+05,1.1755e-01,6.9157e+00,1.6804e+05,2.2467e+00,-4.8799e-01,-1.9943e+00,5.8620e+00,2.4605e+00,3.0013e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.8869e+05,-1.8870e+05,-9.9900e-03,-1.8870e+05,1.1757e-01,6.9177e+00,1.6789e+05,2.9002e+00,1.5623e-01,-1.4709e+00,5.9136e+00,2.2343e+00,3.0013e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.8863e+05,-1.8863e+05,-1.1988e-02,-1.8863e+05,1.1758e-01,6.9197e+00,1.6759e+05,3.5518e+00,-7.5154e-01,-1.5560e+00,5.7743e+00,2.7186e+00,3.0163e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.8861e+05,-1.8862e+05,-1.3986e-02,-1.8862e+05,1.1760e-01,6.9216e+00,1.6752e+05,4.2094e+00,-8.0592e-01,-1.6390e+00,5.8652e+00,6.0762e-01,3.0546e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.8844e+05,-1.8845e+05,-1.5984e-02,-1.8845e+05,1.1762e-01,6.9237e+00,1.8016e+05,4.8501e+00,-8.7734e-01,-1.5618e+00,5.8425e+00,2.6222e-01,3.0622e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.8844e+05,-1.8845e+05,-1.7982e-02,-1.8845e+05,1.1603e-01,6.7381e+00,1.7999e+05,5.3311e+00,-3.6035e-01,-1.1564e+00,5.9806e+00,2.5599e+00,3.0571e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.8843e+05,-1.8843e+05,-1.9980e-02,-1.8843e+05,1.1765e-01,6.9277e+00,1.7999e+05,5.9287e+00,1.4448e-01,-1.8223e+00,5.9463e+00,2.6521e+00,3.0284e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.8830e+05,-1.8831e+05,-2.1978e-02,-1.8831e+05,1.1767e-01,6.9297e+00,1.7997e+05,6.5458e+00,-2.8787e-01,-1.1107e+00,5.7544e+00,6.9430e-01,3.0238e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.8830e+05,-1.8831e+05,-2.3976e-02,-1.8831e+05,1.0796e-01,5.8337e+00,1.7985e+05,7.0178e+00,-7.5603e-01,-1.9426e+00,5.7442e+00,3.3396e+00,3.0318e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.8819e+05,-1.8820e+05,-2.5974e-02,-1.8820e+05,1.1770e-01,6.9337e+00,1.7985e+05,7.4888e+00,-2.4251e-01,-1.0352e+00,5.9028e+00,3.7271e+00,3.0369e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.8817e+05,-1.8817e+05,-2.7972e-02,-1.8817e+05,1.1772e-01,6.9357e+00,1.7974e+05,7.9884e+00,-9.8252e-01,-1.3910e+00,5.9657e+00,9.7402e-01,3.1174e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.8814e+05,-1.8815e+05,-2.9970e-02,-1.8815e+05,1.1774e-01,6.9377e+00,1.7972e+05,8.6231e+00,-7.5821e-01,-1.2600e+00,5.8702e+00,2.1120e+00,3.0860e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.8813e+05,-1.8814e+05,-3.1968e-02,-1.8814e+05,1.1774e-01,6.9384e+00,1.7969e+05,9.1212e+00,-4.7299e-01,-1.0678e+00,5.6029e+00,1.8362e+00,3.0058e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.8812e+05,-1.8813e+05,-3.3966e-02,-1.8813e+05,1.1774e-01,6.9382e+00,1.7968e+05,9.6065e+00,5.7580e-02,-1.8167e+00,5.7389e+00,5.0424e-01,3.0254e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.8812e+05,-1.8813e+05,-3.5964e-02,-1.8813e+05,1.1747e-01,6.9061e+00,1.7967e+05,1.0087e+01,1.9604e-02,-1.0264e+00,5.7618e+00,4.8602e-01,3.0237e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.8812e+05,-1.8812e+05,-3.7962e-02,-1.8812e+05,1.0818e-01,5.8571e+00,1.7967e+05,1.0566e+01,-9.5086e-01,-1.5682e+00,5.5628e+00,1.7471e+00,3.0177e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.8810e+05,-1.8811e+05,-3.9960e-02,-1.8811e+05,1.1782e-01,6.9476e+00,1.7967e+05,1.1088e+01,-4.6723e-01,-1.4780e+00,5.8402e+00,2.1078e+00,3.0750e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.8810e+05,-1.8810e+05,-4.1958e-02,-1.8810e+05,1.1782e-01,6.9472e+00,1.7965e+05,1.1733e+01,-9.8898e-01,-1.3803e+00,5.7371e+00,9.2912e-01,3.0644e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.8804e+05,-1.8805e+05,-4.3956e-02,-1.8805e+05,1.1785e-01,6.9517e+00,1.7964e+05,1.2409e+01,-3.5046e-01,-1.7922e+00,5.6253e+00,9.7419e-01,3.0277e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.8804e+05,-1.8804e+05,-4.5954e-02,-1.8804e+05,1.1745e-01,6.9042e+00,1.7959e+05,1.2900e+01,-6.3324e-01,-1.9436e+00,5.8036e+00,2.6302e+00,3.0691e+01
2.4000e+01,1.0000e+00,4.5802e+00,-1.8803e+05,-1.8803e+05,-4.7952e-02,-1.8803e+05,1.1787e-01,6.9535e+00,1.7959e+05,1.3554e+01,-3.4159e-01,-1.3703e+00,5.6445e+00,2.6004e+00,3.0045e+01
2.5000e+01,1.0000e+00,4.7619e+00,-1.8802e+05,-1.8802e+05,-4.9950e-02,-1.8802e+05,1.1790e-01,6.9573e+00,1.7958e+05,1.4205e+01,-9.0481e-01,-1.4784e+00,5.9522e+00,1.7545e+00,3.1272e+01
