logfeh,logdust,logNpix,tau,dmod,logl
-7.8975e-01,-1.6886e+00,4.2280e+00,6.8559e-01,3.0186e+01,-7.7747e+04
2.4602e-01,-1.9363e+00,4.5137e+00,1.3583e+00,3.0327e+01,-6.5210e+04
-1.1368e-01,-1.7830e+00,4.7900e+00,3.5478e+00,3.1471e+01,-4.3127e+04
-3.0980e-01,-1.6877e+00,4.5550e+00,1.6753e+00,3.0660e+01,-6.6345e+04
-1.1425e-01,-1.1369e+00,4.7011e+00,2.5757e-01,3.0981e+01,-7.6027e+04
-1.5915e-01,-1.6947e+00,4.4921e+00,1.3866e+00,3.0436e+01,-2.7595e+04
9.5487e-03,-1.5519e+00,4.7566e+00,2.3180e+00,3.1177e+01,-6.7951e+04
-3.3992e-01,-1.1175e+00,4.3305e+00,2.9203e+00,3.0134e+01,-4.0039e+04
7.3632e-04,-1.8711e+00,4.7980e+00,1.0270e+00,3.1234e+01,-5.4094e+04
-3.3336e-01,-1.9567e+00,4.6843e+00,1.3857e+00,3.1006e+01,-7.0653e+04
-8.6013e-01,-1.3928e+00,4.6978e+00,1.2638e-01,3.1235e+01,-8.0925e+04
-5.8397e-01,-1.7558e+00,4.2758e+00,2.3725e+00,3.0334e+01,-8.0388e+04
-4.3718e-01,-1.3696e+00,4.4235e+00,2.1152e+00,3.0477e+01,-8.7049e+03
-6.7859e-01,-1.6905e+00,4.2596e+00,2.1915e-01,3.0152e+01,-6.4202e+04
-4.2856e-01,-1.0661e+00,4.5347e+00,1.9860e+00,3.0547e+01,-7.8228e+04
1.2496e-01,-1.5832e+00,4.6076e+00,1.2421e-01,3.0601e+01,-4.7067e+04
-1.7937e-01,-1.6906e+00,4.7670e+00,3.0213e+00,3.1263e+01,-3.3585e+04
1.2879e-01,-1.7716e+00,4.3180e+00,3.7432e+00,3.0010e+01,-1.6407e+04
5.5967e-02,-1.9064e+00,5.1597e+00,1.9421e+00,3.1999e+01,-4.0839e+04
-1.8248e-01,-1.8416e+00,4.4838e+00,7.1770e-01,3.0392e+01,-6.5634e+04
-1.3970e-01,-1.5944e+00,5.0083e+00,9.9207e-01,3.1681e+01,-5.3307e+04
-2.4739e-02,-1.3523e+00,4.7402e+00,1.8308e+00,3.0946e+01,-3.5669e+04
-2.1380e-01,-1.0164e+00,4.5338e+00,2.5827e+00,3.0562e+01,-3.0472e+04
-4.7756e-01,-1.5065e+00,4.7098e+00,3.7781e+00,3.1449e+01,-7.6554e+04
1.7349e-02,-1.5569e+00,4.5388e+00,2.5350e+00,3.0676e+01,-8.5734e+04
-3.1232e-01,-1.7836e+00,4.3930e+00,1.3847e+00,3.0273e+01,-4.8120e+04
-3.1804e-03,-1.6439e+00,4.4398e+00,1.3965e+00,3.0195e+01,-3.0205e+04
-1.3732e-01,-1.7403e+00,4.3089e+00,3.8300e+00,3.0211e+01,-2.9766e+04
9.0874e-02,-1.1878e+00,4.9659e+00,1.7929e+00,3.1376e+01,-8.3744e+04
-2.6180e-01,-1.9175e+00,4.6076e+00,1.0782e+00,3.0858e+01,-2.6672e+03
-3.4178e-01,-1.3323e+00,4.4194e+00,2.0716e+00,3.0469e+01,-2.1766e+04
7.2183e-02,-1.1542e+00,5.0013e+00,3.9865e+00,3.1663e+01,-4.7487e+04
9.4026e-02,-1.7266e+00,4.7935e+00,3.4526e+00,3.1356e+01,-8.3908e+04
-8.6524e-02,-1.0908e+00,4.5261e+00,1.5076e+00,3.0387e+01,-5.0201e+04
2.2325e-01,-1.2693e+00,4.6201e+00,2.9034e+00,3.0488e+01,-7.1212e+04
-3.5267e-01,-1.5539e+00,4.8458e+00,2.8006e+00,3.1520e+01,-4.5434e+04
-2.2622e-01,-1.9578e+00,4.7681e+00,1.5755e-01,3.1281e+01,-4.1082e+03
-6.5375e-01,-1.2078e+00,4.1475e+00,3.5055e+00,3.0063e+01,-8.6063e+04
-4.6959e-01,-1.2039e+00,4.6293e+00,8.6251e-01,3.1082e+01,-8.5504e+04
-7.2672e-01,-1.8739e+00,4.6738e+00,1.2998e+00,3.1312e+01,-7.9836e+04
-3.7344e-01,-1.2442e+00,4.9632e+00,6.0684e-01,3.1843e+01,-7.0206e+04
-5.4678e-01,-1.5886e+00,4.5680e+00,1.0146e+00,3.0974e+01,-7.3296e+04
-1.8569e-01,-1.4511e+00,4.9274e+00,3.6637e+00,3.1811e+01,-1.5184e+04
-5.4405e-01,-1.2335e+00,4.7534e+00,1.9279e+00,3.1403e+01,-6.9699e+04
1.5560e-01,-1.2253e+00,5.0266e+00,3.0423e+00,3.1685e+01,-3.9506e+04
-1.6502e-01,-1.2436e+00,4.3816e+00,8.8882e-01,3.0123e+01,-2.1298e+04
8.6598e-02,-1.8601e+00,4.8442e+00,5.3807e-01,3.1210e+01,-2.9568e+04
