logfeh,logdust,logNpix,logage,dmod,logl
-4.9565e-01,-1.1227e+00,4.6116e+00,1.0125e+01,3.0887e+01,-4.6076e+02
-6.3188e-01,-1.0421e+00,4.6337e+00,1.0143e+01,3.0861e+01,-4.4886e+02
-6.0292e-01,-1.0582e+00,4.6690e+00,1.0187e+01,3.0839e+01,-4.5672e+02
-6.3063e-01,-1.0348e+00,4.6637e+00,1.0133e+01,3.0932e+01,-4.0247e+02
-5.1051e-01,-1.1912e+00,4.6623e+00,1.0183e+01,3.0830e+01,-4.1394e+02
-6.4774e-01,-1.0263e+00,4.6956e+00,1.0157e+01,3.1025e+01,-3.9678e+02
-6.3058e-01,-1.0512e+00,4.6743e+00,1.0143e+01,3.0966e+01,-4.2710e+02
-5.3920e-01,-1.1856e+00,4.6811e+00,1.0194e+01,3.0878e+01,-4.4597e+02
-6.6191e-01,-1.0133e+00,4.7170e+00,1.0200e+01,3.0959e+01,-3.7873e+02
-4.4481e-01,-1.0239e+00,4.5774e+00,9.9997e+00,3.0897e+01,-4.5395e+02
-6.5566e-01,-1.0064e+00,4.6527e+00,1.0139e+01,3.0913e+01,-4.4125e+02
-5.0039e-01,-1.0322e+00,4.6021e+00,1.0044e+01,3.0894e+01,-4.6632e+02
-6.5072e-01,-1.0244e+00,4.6628e+00,1.0127e+01,3.0942e+01,-3.9005e+02
-5.2685e-01,-1.2012e+00,4.6940e+00,1.0182e+01,3.0910e+01,-4.6693e+02
-5.9277e-01,-1.0815e+00,4.6675e+00,1.0182e+01,3.0835e+01,-4.6606e+02
-6.5576e-01,-1.0321e+00,4.6897e+00,1.0166e+01,3.1016e+01,-4.4708e+02
-5.0320e-01,-1.1220e+00,4.6016e+00,1.0110e+01,3.0861e+01,-4.5115e+02
-3.9948e-01,-1.4327e+00,4.6443e+00,1.0197e+01,3.0806e+01,-4.3689e+02
-6.8173e-01,-1.0166e+00,4.6631e+00,1.0148e+01,3.0966e+01,-4.4700e+02
-6.0762e-01,-1.0535e+00,4.6631e+00,1.0128e+01,3.0923e+01,-4.3693e+02
-5.8124e-01,-1.0817e+00,4.6769e+00,1.0136e+01,3.0945e+01,-4.0439e+02
-6.2098e-01,-1.0513e+00,4.6888e+00,1.0198e+01,3.0890e+01,-3.8038e+02
-6.5098e-01,-1.0240e+00,4.6414e+00,1.0143e+01,3.0889e+01,-4.1341e+02
-4.8376e-01,-1.1552e+00,4.6741e+00,1.0158e+01,3.0895e+01,-4.6396e+02
-6.2228e-01,-1.0449e+00,4.6578e+00,1.0155e+01,3.0916e+01,-4.0041e+02
-6.5835e-01,-1.0086e+00,4.7169e+00,1.0200e+01,3.0956e+01,-3.8254e+02
-6.5568e-01,-1.0076e+00,4.6762e+00,1.0143e+01,3.0972e+01,-4.5264e+02
-6.0645e-01,-1.0538e+00,4.6832e+00,1.0127e+01,3.0970e+01,-4.2644e+02
-6.4247e-01,-1.0282e+00,4.6722e+00,1.0172e+01,3.0960e+01,-3.7349e+02
-5.7341e-01,-1.1164e+00,4.6851e+00,1.0180e+01,3.0887e+01,-4.6173e+02
-6.4132e-01,-1.0349e+00,4.6744e+00,1.0169e+01,3.0968e+01,-3.7663e+02
-6.4072e-01,-1.0378e+00,4.6398e+00,1.0161e+01,3.0885e+01,-4.2789e+02
-5.9071e-01,-1.0176e+00,4.6426e+00,1.0101e+01,3.0964e+01,-4.5010e+02
-4.5755e-01,-1.1339e+00,4.6139e+00,1.0116e+01,3.0896e+01,-4.6771e+02
