logfeh,logdust,logNpix,tau,logl
-2.6814e-01,-1.8146e+00,4.0817e+00,4.2725e+00,-2.3442e+02
-2.0970e-01,-1.8716e+00,4.0813e+00,4.2394e+00,-2.3627e+02
-2.0963e-01,-1.8867e+00,4.0817e+00,4.2442e+00,-2.3739e+02
-3.7158e-01,-1.4442e+00,4.0871e+00,4.1565e+00,-2.3756e+02
-3.3427e-01,-1.5309e+00,4.0853e+00,4.1818e+00,-2.3432e+02
-4.1015e-01,-1.2650e+00,4.0820e+00,4.4872e+00,-2.3696e+02
-2.8766e-01,-1.9609e+00,4.0875e+00,4.0907e+00,-2.3685e+02
-2.0907e-01,-1.8069e+00,4.0815e+00,4.2790e+00,-2.3393e+02
-3.4616e-01,-1.4869e+00,4.0844e+00,4.2243e+00,-2.3239e+02
-2.3621e-01,-1.8199e+00,4.0820e+00,4.2705e+00,-2.3692e+02
-2.6827e-01,-1.8508e+00,4.0804e+00,4.2697e+00,-2.3748e+02
-3.6428e-01,-1.4334e+00,4.0843e+00,4.2406e+00,-2.3606e+02
-3.7514e-01,-1.4327e+00,4.0881e+00,4.1527e+00,-2.3673e+02
-3.2950e-01,-1.6609e+00,4.0879e+00,4.0150e+00,-2.3733e+02
-2.5680e-01,-1.9067e+00,4.0820e+00,4.2029e+00,-2.3728e+02
-4.0406e-01,-1.3351e+00,4.0877e+00,4.2428e+00,-2.3729e+02
-3.4210e-01,-1.5709e+00,4.0855e+00,4.1126e+00,-2.3693e+02
-2.2989e-01,-1.7969e+00,4.0783e+00,4.3322e+00,-2.3332e+02
-4.0467e-01,-1.3400e+00,4.0856e+00,4.2642e+00,-2.3686e+02
-3.5076e-01,-1.4803e+00,4.0845e+00,4.2202e+00,-2.3474e+02
-3.2283e-01,-1.6915e+00,4.0888e+00,3.9794e+00,-2.3532e+02
-2.2861e-01,-1.7926e+00,4.0788e+00,4.3422e+00,-2.3519e+02
-2.9838e-01,-1.7545e+00,4.0806e+00,4.3237e+00,-2.3765e+02
-3.9107e-01,-1.3637e+00,4.0876e+00,4.2123e+00,-2.3700e+02
-2.4686e-01,-1.8576e+00,4.0807e+00,4.2791e+00,-2.3682e+02
-2.5754e-01,-1.9182e+00,4.0874e+00,4.1122e+00,-2.3631e+02
-2.7586e-01,-1.9899e+00,4.0867e+00,4.1006e+00,-2.3681e+02
-3.7992e-01,-1.3415e+00,4.0827e+00,4.3853e+00,-2.3699e+02
-2.2452e-01,-1.8018e+00,4.0788e+00,4.3172e+00,-2.3724e+02
-2.3546e-01,-1.8963e+00,4.0842e+00,4.1822e+00,-2.3744e+02
-2.7114e-01,-1.7928e+00,4.0824e+00,4.2861e+00,-2.3739e+02
-3.8588e-01,-1.3962e+00,4.0867e+00,4.2036e+00,-2.3594e+02
-2.4560e-01,-1.9507e+00,4.0816e+00,4.1969e+00,-2.3752e+02
-3.6084e-01,-1.4455e+00,4.0867e+00,4.2031e+00,-2.3631e+02
-2.6183e-01,-1.8030e+00,4.0787e+00,4.3257e+00,-2.3596e+02
-3.7006e-01,-1.4141e+00,4.0873e+00,4.2094e+00,-2.3753e+02
-3.3862e-01,-1.6112e+00,4.0878e+00,4.0356e+00,-2.3745e+02
-2.0448e-01,-1.7972e+00,4.0793e+00,4.3260e+00,-2.3653e+02
-4.0118e-01,-1.3584e+00,4.0913e+00,4.1208e+00,-2.3677e+02
-3.8252e-01,-1.3160e+00,4.0771e+00,4.5280e+00,-2.3720e+02
-3.5268e-01,-1.4818e+00,4.0852e+00,4.1856e+00,-2.3615e+02
-3.9557e-01,-1.3195e+00,4.0855e+00,4.3455e+00,-2.3125e+02
-2.6299e-01,-1.7858e+00,4.0800e+00,4.3212e+00,-2.3672e+02
-2.8647e-01,-1.6736e+00,4.0760e+00,4.4704e+00,-2.3733e+02
-3.1238e-01,-1.6338e+00,4.0831e+00,4.1778e+00,-2.3728e+02
-2.6771e-01,-1.8256e+00,4.0813e+00,4.2760e+00,-2.3586e+02
-4.2470e-01,-1.2274e+00,4.0845e+00,4.4822e+00,-2.3756e+02
-3.3301e-01,-1.5505e+00,4.0806e+00,4.2507e+00,-2.3707e+02
-3.3377e-01,-1.5717e+00,4.0860e+00,4.1282e+00,-2.3682e+02
-2.5357e-01,-1.8166e+00,4.0800e+00,4.3036e+00,-2.3607e+02
-3.5557e-01,-1.4409e+00,4.0817e+00,4.2993e+00,-2.3493e+02
-2.4236e-01,-1.8181e+00,4.0782e+00,4.3196e+00,-2.3647e+02
-2.8625e-01,-1.8288e+00,4.0826e+00,4.2503e+00,-2.3570e+02
-2.3435e-01,-1.8166e+00,4.0818e+00,4.2700e+00,-2.3748e+02
-2.9177e-01,-1.8591e+00,4.0795e+00,4.2958e+00,-2.3740e+02
-2.6648e-01,-1.7903e+00,4.0817e+00,4.2841e+00,-2.3697e+02
-2.4921e-01,-1.8326e+00,4.0805e+00,4.2800e+00,-2.3770e+02
-3.2508e-01,-1.6150e+00,4.0877e+00,4.0885e+00,-2.3688e+02
-3.8223e-01,-1.3991e+00,4.0851e+00,4.2256e+00,-2.3636e+02
-2.1274e-01,-1.7949e+00,4.0796e+00,4.3237e+00,-2.3580e+02
-2.8434e-01,-1.8072e+00,4.0809e+00,4.2798e+00,-2.3660e+02
-4.2113e-01,-1.2752e+00,4.0877e+00,4.3218e+00,-2.3768e+02
-3.5228e-01,-1.5074e+00,4.0844e+00,4.1837e+00,-2.3677e+02
-3.2964e-01,-1.5221e+00,4.0848e+00,4.2205e+00,-2.3745e+02
-2.5093e-01,-1.9190e+00,4.0870e+00,4.1217e+00,-2.3461e+02
-2.0525e-01,-1.7797e+00,4.0799e+00,4.3178e+00,-2.3725e+02
-4.1151e-01,-1.2589e+00,4.0819e+00,4.4844e+00,-2.3580e+02
-3.8485e-01,-1.3347e+00,4.0851e+00,4.3369e+00,-2.3507e+02
-2.0484e-01,-1.9620e+00,4.0867e+00,4.1077e+00,-2.3491e+02
-2.2816e-01,-1.9210e+00,4.0831e+00,4.1728e+00,-2.3583e+02
-2.1932e-01,-1.7683e+00,4.0812e+00,4.3243e+00,-2.3765e+02
-3.5923e-01,-1.4669e+00,4.0873e+00,4.1620e+00,-2.3656e+02
-4.0128e-01,-1.3068e+00,4.0863e+00,4.3147e+00,-2.3754e+02
-3.3242e-01,-1.6089e+00,4.0885e+00,4.0311e+00,-2.3630e+02
-2.2196e-01,-1.7872e+00,4.0794e+00,4.3171e+00,-2.3690e+02
-3.2557e-01,-1.6789e+00,4.0879e+00,4.0046e+00,-2.3437e+02
-3.1379e-01,-1.7128e+00,4.0889e+00,4.0028e+00,-2.3665e+02
-2.8405e-01,-1.7973e+00,4.0785e+00,4.3257e+00,-2.3525e+02
-3.2114e-01,-1.7347e+00,4.0929e+00,3.9020e+00,-2.3718e+02
-3.6721e-01,-1.4239e+00,4.0836e+00,4.2606e+00,-2.3304e+02
-3.3475e-01,-1.6071e+00,4.0868e+00,4.0767e+00,-2.3606e+02
-2.2227e-01,-1.7756e+00,4.0834e+00,4.2669e+00,-2.3559e+02
-3.8631e-01,-1.3418e+00,4.0813e+00,4.3821e+00,-2.3557e+02
-2.4548e-01,-1.9830e+00,4.0867e+00,4.1067e+00,-2.3465e+02
-2.9269e-01,-1.9941e+00,4.0877e+00,4.0744e+00,-2.3534e+02
-4.0109e-01,-1.2785e+00,4.0800e+00,4.5197e+00,-2.3637e+02
-3.1285e-01,-1.6606e+00,4.0837e+00,4.1308e+00,-2.3669e+02
-2.4327e-01,-1.9679e+00,4.0871e+00,4.1113e+00,-2.3463e+02
-2.2054e-01,-1.8277e+00,4.0811e+00,4.2687e+00,-2.3736e+02
-2.3698e-01,-1.8172e+00,4.0821e+00,4.2629e+00,-2.3638e+02
-3.9721e-01,-1.3572e+00,4.0896e+00,4.1873e+00,-2.3731e+02
-3.8237e-01,-1.3815e+00,4.0882e+00,4.2011e+00,-2.3693e+02
-3.4397e-01,-1.5295e+00,4.0865e+00,4.1281e+00,-2.3661e+02
-3.3930e-01,-1.5083e+00,4.0834e+00,4.2235e+00,-2.3662e+02
-2.2198e-01,-1.8101e+00,4.0793e+00,4.3270e+00,-2.3723e+02
-3.9737e-01,-1.3181e+00,4.0851e+00,4.3422e+00,-2.3295e+02
-3.3278e-01,-1.6139e+00,4.0849e+00,4.0954e+00,-2.3745e+02
-3.2454e-01,-1.5914e+00,4.0866e+00,4.1319e+00,-2.3686e+02
-2.4661e-01,-1.7949e+00,4.0837e+00,4.2532e+00,-2.3704e+02
-3.3807e-01,-1.5894e+00,4.0894e+00,4.0179e+00,-2.3755e+02
-2.1362e-01,-1.7878e+00,4.0842e+00,4.2451e+00,-2.3744e+02
-2.3992e-01,-1.8188e+00,4.0794e+00,4.3174e+00,-2.3600e+02
-3.4940e-01,-1.5122e+00,4.0811e+00,4.2412e+00,-2.3719e+02
-4.1126e-01,-1.2483e+00,4.0803e+00,4.5416e+00,-2.3068e+02
-2.5248e-01,-1.8900e+00,4.0821e+00,4.2075e+00,-2.3773e+02
-2.0274e-01,-1.8608e+00,4.0799e+00,4.2650e+00,-2.3770e+02
-2.7594e-01,-1.8985e+00,4.0823e+00,4.2058e+00,-2.3656e+02
-3.0717e-01,-1.7723e+00,4.0886e+00,3.9934e+00,-2.3411e+02
-3.8481e-01,-1.3969e+00,4.0870e+00,4.1984e+00,-2.3418e+02
-2.7413e-01,-1.9139e+00,4.0861e+00,4.1293e+00,-2.3769e+02
-3.7049e-01,-1.4315e+00,4.0850e+00,4.2260e+00,-2.3669e+02
-2.0202e-01,-1.9588e+00,4.0867e+00,4.0996e+00,-2.3718e+02
-4.1635e-01,-1.2482e+00,4.0847e+00,4.4612e+00,-2.3702e+02
-3.7681e-01,-1.3620e+00,4.0817e+00,4.3718e+00,-2.3629e+02
-3.6209e-01,-1.4470e+00,4.0855e+00,4.2045e+00,-2.3577e+02
-2.4009e-01,-1.9675e+00,4.0881e+00,4.0980e+00,-2.3675e+02
-4.1395e-01,-1.2691e+00,4.0839e+00,4.4325e+00,-2.3456e+02
-2.1298e-01,-1.8123e+00,4.0797e+00,4.3038e+00,-2.3731e+02
-3.8904e-01,-1.3264e+00,4.0848e+00,4.3538e+00,-2.3770e+02
-3.4902e-01,-1.4977e+00,4.0842e+00,4.2003e+00,-2.3664e+02
-4.1530e-01,-1.2683e+00,4.0853e+00,4.3964e+00,-2.3747e+02
-3.4243e-01,-1.4934e+00,4.0826e+00,4.2461e+00,-2.3291e+02
-2.1276e-01,-1.9781e+00,4.0873e+00,4.0978e+00,-2.3736e+02
-2.7075e-01,-1.7985e+00,4.0826e+00,4.2701e+00,-2.3731e+02
