logfeh,logdust,logNpix,logage,dmod,logl
-5.2400e-01,-1.9210e+00,4.4320e+00,1.0105e+01,3.0002e+01,-6.8567e+01
-5.5789e-01,-1.8103e+00,4.4756e+00,1.0162e+01,2.9997e+01,-6.7747e+01
-5.2535e-01,-1.9639e+00,4.4152e+00,1.0112e+01,2.9964e+01,-6.8084e+01
-5.0171e-01,-1.8989e+00,4.4126e+00,1.0080e+01,2.9951e+01,-6.8512e+01
-4.6386e-01,-1.9706e+00,4.4470e+00,1.0079e+01,3.0044e+01,-6.7422e+01
-5.3886e-01,-1.9152e+00,4.4332e+00,1.0105e+01,3.0005e+01,-6.5318e+01
-5.0205e-01,-1.9500e+00,4.4394e+00,1.0103e+01,3.0024e+01,-6.7702e+01
-5.7030e-01,-1.7650e+00,4.4838e+00,1.0150e+01,3.0022e+01,-6.7853e+01
-5.5031e-01,-1.8241e+00,4.4817e+00,1.0154e+01,3.0005e+01,-6.8013e+01
-4.4155e-01,-1.8245e+00,4.4091e+00,1.0046e+01,2.9983e+01,-6.5549e+01
-4.4702e-01,-1.5173e+00,4.3822e+00,1.0009e+01,2.9979e+01,-6.6521e+01
-5.0884e-01,-1.9014e+00,4.4090e+00,1.0114e+01,2.9943e+01,-6.8077e+01
-4.6096e-01,-1.9379e+00,4.4024e+00,1.0093e+01,2.9929e+01,-6.8373e+01
-5.5656e-01,-1.8136e+00,4.4668e+00,1.0158e+01,2.9972e+01,-6.6851e+01
-5.2378e-01,-1.9243e+00,4.4412e+00,1.0077e+01,3.0026e+01,-6.6323e+01
-4.9871e-01,-1.9492e+00,4.4485e+00,1.0116e+01,3.0047e+01,-6.5776e+01
-4.5060e-01,-1.9030e+00,4.4294e+00,1.0086e+01,2.9995e+01,-6.7661e+01
-5.6237e-01,-1.7715e+00,4.4581e+00,1.0171e+01,2.9954e+01,-6.6360e+01
-5.4142e-01,-1.9139e+00,4.4172e+00,1.0089e+01,2.9965e+01,-6.7122e+01
-5.6904e-01,-1.7510e+00,4.4877e+00,1.0169e+01,3.0030e+01,-6.6836e+01
-4.9001e-01,-1.9546e+00,4.4424e+00,1.0094e+01,3.0032e+01,-6.8195e+01
-5.6338e-01,-1.7638e+00,4.4735e+00,1.0139e+01,2.9991e+01,-6.6835e+01
-4.6563e-01,-1.9379e+00,4.4250e+00,1.0091e+01,2.9986e+01,-6.8452e+01
-4.8732e-01,-1.9255e+00,4.4029e+00,1.0086e+01,2.9930e+01,-6.6807e+01
-5.0179e-01,-1.8878e+00,4.4242e+00,1.0101e+01,2.9980e+01,-6.8428e+01
-4.7716e-01,-1.9404e+00,4.4211e+00,1.0116e+01,2.9977e+01,-6.5884e+01
-4.6526e-01,-1.9420e+00,4.4460e+00,1.0120e+01,3.0040e+01,-6.7310e+01
-4.5342e-01,-1.9419e+00,4.4082e+00,1.0107e+01,2.9944e+01,-6.8479e+01
-5.5463e-01,-1.8214e+00,4.4799e+00,1.0146e+01,3.0004e+01,-6.7918e+01
-5.3253e-01,-1.3778e+00,4.3896e+00,1.0007e+01,2.9999e+01,-6.7943e+01
-4.6622e-01,-1.9198e+00,4.4045e+00,1.0114e+01,2.9933e+01,-6.6533e+01
-4.5948e-01,-1.9557e+00,4.4197e+00,1.0106e+01,2.9974e+01,-6.8571e+01
