niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-3.4486e+04,-3.4493e+04,-1.9980e-03,-3.4493e+04,1.1750e-01,6.9098e+00,inf,2.6778e-01,-9.1919e-01,-1.5484e+00,5.4460e+00,9.5868e+00,2.9239e+01
2.0000e+00,1.0000e+00,3.9841e-01,-3.2468e+04,-3.2475e+04,-3.9960e-03,-3.2475e+04,1.1751e-01,6.9118e+00,3.3831e+04,5.4899e-01,3.8747e-01,-1.4709e+00,5.4136e+00,9.8831e+00,2.9013e+01
3.0000e+00,1.0000e+00,5.9642e-01,-3.0410e+04,-3.0417e+04,-5.9940e-03,-3.0417e+04,1.1753e-01,6.9137e+00,3.1813e+04,8.1117e-01,-7.6710e-01,-1.6390e+00,5.3652e+00,9.5911e+00,2.9546e+01
4.0000e+00,1.0000e+00,7.9365e-01,-2.9622e+04,-2.9629e+04,-7.9920e-03,-2.9629e+04,1.1755e-01,6.9157e+00,2.9754e+04,1.0720e+00,-9.8598e-01,-1.0994e+00,5.4317e+00,9.8898e+00,2.9170e+01
5.0000e+00,1.0000e+00,9.9010e-01,-2.9327e+04,-2.9334e+04,-9.9900e-03,-2.9334e+04,1.1757e-01,6.9177e+00,2.8966e+04,1.3474e+00,-8.5281e-01,-1.5618e+00,5.3425e+00,9.5291e+00,2.9622e+01
6.0000e+00,1.0000e+00,1.1858e+00,-2.9108e+04,-2.9115e+04,-1.1988e-02,-2.9115e+04,1.1758e-01,6.9197e+00,2.8672e+04,1.6155e+00,-9.7902e-01,-1.3910e+00,5.4657e+00,9.6569e+00,3.0174e+01
7.0000e+00,1.0000e+00,1.3807e+00,-2.8898e+04,-2.8905e+04,-1.3986e-02,-2.8905e+04,1.1760e-01,6.9217e+00,2.8453e+04,1.8788e+00,-9.8858e-01,-1.1037e+00,5.4927e+00,1.0064e+01,2.9060e+01
8.0000e+00,1.0000e+00,1.5748e+00,-2.8822e+04,-2.8829e+04,-1.5984e-02,-2.8829e+04,1.1762e-01,6.9237e+00,2.8243e+04,2.1423e+00,-2.7542e-01,-1.8747e+00,5.3934e+00,9.5119e+00,3.0353e+01
9.0000e+00,1.0000e+00,1.7682e+00,-2.6860e+04,-2.6866e+04,-1.7982e-02,-2.6866e+04,1.1763e-01,6.9257e+00,2.8167e+04,2.4108e+00,3.7338e-01,-1.8223e+00,5.4463e+00,9.9581e+00,2.9284e+01
1.0000e+01,1.0000e+00,1.9608e+00,-2.6804e+04,-2.6811e+04,-1.9980e-02,-2.6811e+04,1.1765e-01,6.9277e+00,2.6204e+04,2.7884e+00,4.6108e-01,-1.2458e+00,5.2500e+00,9.5264e+00,2.9572e+01
1.1000e+01,1.0000e+00,2.1526e+00,-2.6724e+04,-2.6731e+04,-2.1978e-02,-2.6731e+04,1.1767e-01,6.9297e+00,2.6149e+04,3.0439e+00,-9.5802e-01,-1.1364e+00,5.4959e+00,9.7277e+00,3.0701e+01
1.2000e+01,1.0000e+00,2.3438e+00,-2.6352e+04,-2.6359e+04,-2.3976e-02,-2.6359e+04,1.1768e-01,6.9317e+00,2.6069e+04,3.3081e+00,-9.5627e-01,-1.1193e+00,5.2350e+00,9.5633e+00,3.0199e+01
1.3000e+01,1.0000e+00,2.5341e+00,-2.6318e+04,-2.6325e+04,-2.5974e-02,-2.6325e+04,1.1770e-01,6.9337e+00,2.5697e+04,3.5798e+00,2.2353e-01,-1.0264e+00,5.2618e+00,9.5693e+00,2.9237e+01
1.4000e+01,1.0000e+00,2.7237e+00,-2.6151e+04,-2.6158e+04,-2.7972e-02,-2.6158e+04,1.1772e-01,6.9357e+00,2.5663e+04,3.8528e+00,-9.8678e-01,-1.3803e+00,5.2371e+00,9.6488e+00,2.9644e+01
1.5000e+01,1.0000e+00,2.9126e+00,-2.5701e+04,-2.5708e+04,-2.9970e-02,-2.5708e+04,1.1774e-01,6.9377e+00,2.5496e+04,4.1114e+00,-1.4544e-01,-1.1107e+00,5.2544e+00,9.6067e+00,2.9238e+01
1.6000e+01,1.0000e+00,3.1008e+00,-2.5657e+04,-2.5664e+04,-3.1968e-02,-2.5664e+04,1.1775e-01,6.9397e+00,2.5046e+04,4.3814e+00,2.6910e-01,-1.8167e+00,5.2389e+00,9.5726e+00,2.9254e+01
1.7000e+01,1.0000e+00,3.2882e+00,-2.5641e+04,-2.5648e+04,-3.3966e-02,-2.5648e+04,1.1777e-01,6.9417e+00,2.5002e+04,4.6559e+00,-7.0985e-01,-1.2600e+00,5.3702e+00,9.8611e+00,2.9860e+01
1.8000e+01,1.0000e+00,3.4749e+00,-2.5608e+04,-2.5615e+04,-3.5964e-02,-2.5615e+04,1.1779e-01,6.9437e+00,2.4985e+04,4.9172e+00,-8.8577e-01,-1.4784e+00,5.4522e+00,9.7970e+00,3.0272e+01
1.9000e+01,1.0000e+00,3.6609e+00,-2.5446e+04,-2.5453e+04,-3.7962e-02,-2.5453e+04,1.1780e-01,6.9457e+00,2.4952e+04,5.1765e+00,-2.3242e-01,-1.1564e+00,5.4806e+00,9.9415e+00,2.9571e+01
2.0000e+01,1.0000e+00,3.8462e+00,-2.5109e+04,-2.5116e+04,-3.9960e-02,-2.5116e+04,1.1782e-01,6.9477e+00,2.4790e+04,5.4728e+00,-3.8559e-01,-1.9943e+00,5.3620e+00,9.9237e+00,2.9013e+01
2.1000e+01,1.0000e+00,4.0307e+00,-2.4852e+04,-2.4859e+04,-4.1958e-02,-2.4859e+04,1.1784e-01,6.9497e+00,2.4454e+04,5.7346e+00,-3.6068e-01,-1.4780e+00,5.3402e+00,9.8604e+00,2.9750e+01
2.2000e+01,1.0000e+00,4.2146e+00,-2.4822e+04,-2.4829e+04,-4.3956e-02,-2.4829e+04,1.1785e-01,6.9517e+00,2.4197e+04,5.9818e+00,-1.0454e-01,-1.3715e+00,5.4480e+00,9.6234e+00,3.0600e+01
2.3000e+01,1.0000e+00,4.3977e+00,-2.4787e+04,-2.4794e+04,-4.5954e-02,-2.4794e+04,1.1787e-01,6.9537e+00,2.4167e+04,6.2355e+00,-9.0400e-01,-1.4941e+00,5.3003e+00,9.6043e+00,3.0139e+01
2.4000e+01,1.0000e+00,4.5802e+00,-2.4594e+04,-2.4601e+04,-4.7952e-02,-2.4601e+04,1.1789e-01,6.9557e+00,2.4131e+04,6.5007e+00,2.1553e-01,-1.0359e+00,5.3731e+00,9.9138e+00,2.9623e+01
2.5000e+01,1.0000e+00,4.7619e+00,-2.4197e+04,-2.4204e+04,-4.9950e-02,-2.4204e+04,1.1790e-01,6.9577e+00,2.3939e+04,6.7767e+00,-3.7547e-01,-1.3721e+00,5.2221e+00,9.5486e+00,3.0101e+01
2.6000e+01,1.0000e+00,4.9430e+00,-2.3940e+04,-2.3947e+04,-5.1948e-02,-2.3947e+04,1.1792e-01,6.9597e+00,2.3542e+04,7.0401e+00,-9.2180e-01,-1.9073e+00,5.1610e+00,9.6177e+00,2.9726e+01
2.7000e+01,1.0000e+00,5.1233e+00,-2.3757e+04,-2.3764e+04,-5.3946e-02,-2.3764e+04,1.1794e-01,6.9617e+00,2.3285e+04,7.3024e+00,-2.2055e-01,-1.7922e+00,5.1253e+00,9.6569e+00,2.9277e+01
2.8000e+01,1.0000e+00,5.3030e+00,-2.3269e+04,-2.3276e+04,-5.5944e-02,-2.3276e+04,1.1796e-01,6.9637e+00,2.3102e+04,7.5743e+00,-4.3918e-01,-1.5985e+00,5.2753e+00,9.6714e+00,3.0328e+01
2.9000e+01,1.0000e+00,5.4820e+00,-2.2979e+04,-2.2986e+04,-5.7942e-02,-2.2986e+04,1.1797e-01,6.9657e+00,2.2613e+04,7.8339e+00,-7.0184e-01,-1.5560e+00,5.2743e+00,9.9700e+00,2.9163e+01
