niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9960e-01,-1.1501e+05,-1.1501e+05,-1.9980e-03,-1.1501e+05,1.1750e-01,6.9098e+00,inf,6.9362e-01,3.8404e-01,-1.1494e+00,4.9834e+00,9.7582e-01
2.0000e+00,1.0000e+00,3.9841e-01,-1.1161e+05,-1.1161e+05,-3.9960e-03,-1.1161e+05,1.1751e-01,6.9118e+00,1.1038e+05,1.3822e+00,-2.0285e-01,-9.2302e-01,4.9934e+00,2.8043e+00
3.0000e+00,1.0000e+00,5.9642e-01,-1.1146e+05,-1.1147e+05,-5.9940e-03,-1.1147e+05,1.1753e-01,6.9138e+00,1.0698e+05,1.9113e+00,3.3435e-01,-9.0293e-01,4.8843e+00,6.6187e-01
4.0000e+00,1.0000e+00,7.9365e-01,-1.1024e+05,-1.1025e+05,-7.9920e-03,-1.1025e+05,1.1755e-01,6.9157e+00,1.0684e+05,2.6199e+00,-3.4469e-01,-1.0257e+00,4.9450e+00,3.5046e+00
5.0000e+00,1.0000e+00,9.9010e-01,-1.0993e+05,-1.0994e+05,-9.9900e-03,-1.0994e+05,1.1757e-01,6.9177e+00,1.0562e+05,3.3118e+00,2.9108e-01,-8.1907e-01,4.8433e+00,2.0610e+00
6.0000e+00,1.0000e+00,1.1858e+00,-1.0974e+05,-1.0975e+05,-1.1988e-02,-1.0975e+05,1.1758e-01,6.9197e+00,1.0531e+05,3.8492e+00,-4.9065e-01,-6.4903e-01,4.9317e+00,2.8288e+00
7.0000e+00,1.0000e+00,1.3807e+00,-1.0970e+05,-1.0971e+05,-1.3986e-02,-1.0971e+05,1.1760e-01,6.9217e+00,1.0512e+05,4.3792e+00,9.1166e-02,-1.5327e+00,4.7553e+00,3.4819e-01
8.0000e+00,1.0000e+00,1.5748e+00,-1.0911e+05,-1.0912e+05,-1.5984e-02,-1.0912e+05,1.1762e-01,6.9237e+00,1.0508e+05,5.0576e+00,7.2659e-02,-1.8190e+00,4.9999e+00,4.9872e+00
9.0000e+00,1.0000e+00,1.7682e+00,-1.0888e+05,-1.0889e+05,-1.7982e-02,-1.0889e+05,1.1763e-01,6.9257e+00,1.0449e+05,5.5937e+00,1.1900e-01,-8.3080e-01,4.7940e+00,1.7739e+00
1.0000e+01,1.0000e+00,1.9608e+00,-1.0876e+05,-1.0877e+05,-1.9980e-02,-1.0877e+05,1.1765e-01,6.9277e+00,1.0426e+05,6.2466e+00,3.7953e-01,-1.2501e+00,4.7428e+00,2.1208e+00
1.1000e+01,1.0000e+00,2.1526e+00,-1.0856e+05,-1.0857e+05,-2.1978e-02,-1.0857e+05,1.1767e-01,6.9297e+00,1.0414e+05,6.9313e+00,4.6911e-01,-8.7605e-01,4.7982e+00,5.3322e-01
1.2000e+01,1.0000e+00,2.3438e+00,-1.0813e+05,-1.0814e+05,-2.3976e-02,-1.0814e+05,1.1768e-01,6.9317e+00,1.0394e+05,7.4681e+00,-5.0326e-03,-7.8518e-01,4.8637e+00,3.2237e+00
1.3000e+01,1.0000e+00,2.5341e+00,-1.0804e+05,-1.0805e+05,-2.5974e-02,-1.0805e+05,1.1770e-01,6.9337e+00,1.0351e+05,8.1584e+00,2.6802e-01,-7.7401e-01,4.7802e+00,1.1145e+00
1.4000e+01,1.0000e+00,2.7237e+00,-1.0781e+05,-1.0782e+05,-2.7972e-02,-1.0782e+05,1.1772e-01,6.9357e+00,1.0342e+05,8.8466e+00,4.0993e-01,-1.8150e+00,4.6843e+00,1.1048e+00
1.5000e+01,1.0000e+00,2.9126e+00,-1.0738e+05,-1.0739e+05,-2.9970e-02,-1.0739e+05,1.1774e-01,6.9377e+00,1.0319e+05,9.3783e+00,3.1570e-01,-1.8619e+00,4.6634e+00,1.8055e-01
1.6000e+01,1.0000e+00,3.1008e+00,-1.0729e+05,-1.0729e+05,-3.1968e-02,-1.0729e+05,1.1775e-01,6.9397e+00,1.0275e+05,9.9121e+00,4.7406e-01,-8.6868e-01,4.7500e+00,2.8474e-01
1.7000e+01,1.0000e+00,3.2882e+00,-1.0705e+05,-1.0706e+05,-3.3966e-02,-1.0706e+05,1.1777e-01,6.9417e+00,1.0266e+05,1.0598e+01,4.3864e-01,-8.8243e-01,4.7322e+00,1.2624e+00
1.8000e+01,1.0000e+00,3.4749e+00,-1.0630e+05,-1.0631e+05,-3.5964e-02,-1.0631e+05,1.1779e-01,6.9437e+00,1.0243e+05,1.1127e+01,-2.3288e-01,-7.9675e-01,4.6989e+00,5.9778e-01
1.9000e+01,1.0000e+00,3.6609e+00,-1.0602e+05,-1.0603e+05,-3.7962e-02,-1.0603e+05,1.1780e-01,6.9457e+00,1.0167e+05,1.1812e+01,3.8856e-01,-1.2060e+00,4.6550e+00,2.3181e+00
2.0000e+01,1.0000e+00,3.8462e+00,-1.0599e+05,-1.0599e+05,-3.9960e-02,-1.0599e+05,1.1782e-01,6.9477e+00,1.0140e+05,1.2541e+01,1.3720e-01,-1.7511e+00,4.6224e+00,5.6828e-01
2.1000e+01,1.0000e+00,4.0307e+00,-1.0598e+05,-1.0599e+05,-4.1958e-02,-1.0599e+05,1.1774e-01,6.9383e+00,1.0136e+05,1.3070e+01,-1.2806e-01,-7.5845e-01,4.7034e+00,2.1938e+00
2.2000e+01,1.0000e+00,4.2146e+00,-1.0587e+05,-1.0587e+05,-4.3956e-02,-1.0587e+05,1.1785e-01,6.9517e+00,1.0136e+05,1.3600e+01,-4.1609e-01,-1.7064e+00,4.8426e+00,4.8517e+00
2.3000e+01,1.0000e+00,4.3977e+00,-1.0577e+05,-1.0578e+05,-4.5954e-02,-1.0578e+05,1.1787e-01,6.9537e+00,1.0124e+05,1.4125e+01,4.0157e-01,-1.5072e+00,4.6221e+00,1.2590e+00
2.4000e+01,1.0000e+00,4.5802e+00,-1.0569e+05,-1.0570e+05,-4.7952e-02,-1.0570e+05,1.1789e-01,6.9557e+00,1.0115e+05,1.4661e+01,4.6480e-01,-5.4861e-01,4.7901e+00,1.0049e+00
