logfeh,logdust,logNpix,tau,dmod,logl
-4.4930e-01,-1.7760e+00,3.8223e+00,3.9625e+00,3.0037e+01,-4.2024e+02
-4.3997e-01,-1.8722e+00,3.8353e+00,3.9416e+00,3.0071e+01,-4.2089e+02
-4.3352e-01,-1.9454e+00,3.8349e+00,3.9331e+00,3.0070e+01,-4.2132e+02
-4.3729e-01,-1.9532e+00,3.8356e+00,3.9368e+00,3.0073e+01,-4.1927e+02
-4.4292e-01,-1.7918e+00,3.8319e+00,3.9955e+00,3.0066e+01,-4.2032e+02
-4.3742e-01,-1.8292e+00,3.8125e+00,3.9753e+00,3.0013e+01,-4.2111e+02
-4.3713e-01,-1.9329e+00,3.8354e+00,3.9156e+00,3.0070e+01,-4.2105e+02
-4.4576e-01,-1.9083e+00,3.8304e+00,3.8290e+00,3.0047e+01,-4.2075e+02
-4.3439e-01,-1.9142e+00,3.8351e+00,3.9713e+00,3.0074e+01,-4.1540e+02
-4.4627e-01,-1.8587e+00,3.8349e+00,3.9535e+00,3.0072e+01,-4.2092e+02
-4.4468e-01,-1.7548e+00,3.8133e+00,3.9959e+00,3.0013e+01,-4.1804e+02
-4.3875e-01,-1.8580e+00,3.8253e+00,3.9605e+00,3.0046e+01,-4.2049e+02
-4.3851e-01,-1.9520e+00,3.8307e+00,3.9842e+00,3.0066e+01,-4.1494e+02
-4.2748e-01,-1.9645e+00,3.8372e+00,3.9544e+00,3.0077e+01,-4.1420e+02
-4.4391e-01,-1.8380e+00,3.8146e+00,3.9905e+00,3.0018e+01,-4.2086e+02
-4.3399e-01,-1.9546e+00,3.8284e+00,3.9905e+00,3.0061e+01,-4.1555e+02
-4.3814e-01,-1.8628e+00,3.8252e+00,3.9546e+00,3.0046e+01,-4.1657e+02
-4.4372e-01,-1.7766e+00,3.8132e+00,3.9792e+00,3.0013e+01,-4.2124e+02
-4.4566e-01,-1.8739e+00,3.8346e+00,3.9672e+00,3.0073e+01,-4.2116e+02
-4.4448e-01,-1.8657e+00,3.8437e+00,3.9821e+00,3.0095e+01,-4.2064e+02
-4.3157e-01,-1.9456e+00,3.8397e+00,3.9975e+00,3.0087e+01,-4.1844e+02
-4.2978e-01,-1.8762e+00,3.8186e+00,3.9825e+00,3.0028e+01,-4.2131e+02
-4.3602e-01,-1.9059e+00,3.8274e+00,3.9465e+00,3.0051e+01,-4.2075e+02
-4.3547e-01,-1.8970e+00,3.8432e+00,3.9802e+00,3.0094e+01,-4.1608e+02
-4.4335e-01,-1.8197e+00,3.8214e+00,3.9001e+00,3.0026e+01,-4.1964e+02
-4.3681e-01,-1.8161e+00,3.8192e+00,3.9736e+00,3.0029e+01,-4.2123e+02
-4.4715e-01,-1.7465e+00,3.8177e+00,3.9977e+00,3.0023e+01,-4.1547e+02
-4.4249e-01,-1.9104e+00,3.8453e+00,3.9925e+00,3.0108e+01,-4.2001e+02
-4.3305e-01,-1.9132e+00,3.8313e+00,3.9973e+00,3.0068e+01,-4.2111e+02
-4.4302e-01,-1.8664e+00,3.8401e+00,3.9848e+00,3.0089e+01,-4.1719e+02
-4.2778e-01,-1.8885e+00,3.8227e+00,3.9654e+00,3.0037e+01,-4.1819e+02
-4.2002e-01,-1.9291e+00,3.8159e+00,3.9883e+00,3.0021e+01,-4.2094e+02
-4.2835e-01,-1.9893e+00,3.8357e+00,3.9511e+00,3.0075e+01,-4.1706e+02
-4.3667e-01,-1.8164e+00,3.8293e+00,3.9769e+00,3.0056e+01,-4.2118e+02
-4.4516e-01,-1.7615e+00,3.8146e+00,3.9801e+00,3.0012e+01,-4.1972e+02
-4.4894e-01,-1.8144e+00,3.8227e+00,3.9620e+00,3.0039e+01,-4.2092e+02
-4.4039e-01,-1.8532e+00,3.8341e+00,3.9990e+00,3.0073e+01,-4.1523e+02
-4.3628e-01,-1.9221e+00,3.8269e+00,3.9900e+00,3.0057e+01,-4.1936e+02
-4.3045e-01,-1.9082e+00,3.8290e+00,3.9803e+00,3.0057e+01,-4.1489e+02
-4.4797e-01,-1.7509e+00,3.8230e+00,3.9688e+00,3.0035e+01,-4.1740e+02
-4.4183e-01,-1.8702e+00,3.8287e+00,3.9805e+00,3.0060e+01,-4.2024e+02
-4.4123e-01,-1.8432e+00,3.8357e+00,3.9538e+00,3.0072e+01,-4.1537e+02
-4.4923e-01,-1.7601e+00,3.8374e+00,3.9952e+00,3.0077e+01,-4.0606e+02
-4.3425e-01,-1.9461e+00,3.8274e+00,3.9854e+00,3.0060e+01,-4.2046e+02
-4.4337e-01,-1.7676e+00,3.8367e+00,3.9874e+00,3.0070e+01,-4.1963e+02
-4.3640e-01,-1.9137e+00,3.8565e+00,3.9665e+00,3.0128e+01,-4.2106e+02
-4.3793e-01,-1.9176e+00,3.8401e+00,3.9823e+00,3.0092e+01,-4.1860e+02
-4.4629e-01,-1.7427e+00,3.8342e+00,3.9996e+00,3.0065e+01,-4.2082e+02
-4.3435e-01,-1.8537e+00,3.8485e+00,3.9965e+00,3.0104e+01,-4.2060e+02
