logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-4.1227e-01,-9.4846e-01,2.0409e-01,1.4160e+00,3.7038e+00,2.5375e+00,4.3619e+00,3.0416e+01,-1.2308e+02
-4.3755e-01,-9.1019e-01,-1.8496e-01,-4.8638e-01,3.8310e+00,3.8098e+00,4.3296e+00,3.0727e+01,-1.9778e+02
-1.0428e-01,-1.0426e+00,8.7842e-01,1.2211e+00,2.2378e+00,4.2352e+00,2.8397e+00,2.9901e+01,-1.3405e+02
9.9389e-03,-7.8719e-01,1.7286e-01,3.0346e+00,3.7843e+00,3.4695e+00,4.3347e+00,3.0534e+01,-2.4624e+02
-9.9795e-02,-1.2419e+00,-7.5670e-01,2.0949e-01,4.4700e-01,4.2820e+00,3.9997e+00,3.0292e+01,-1.4661e+02
1.5220e-01,-1.7656e+00,-1.5738e+00,5.7336e-01,2.9182e+00,3.9863e+00,4.1030e+00,2.9977e+01,-6.7626e+01
1.7765e-01,-1.7344e+00,-6.8770e-01,1.9990e+00,3.2852e+00,4.0491e+00,4.4504e+00,3.0557e+01,-2.5941e+02
2.5923e-01,-1.5375e+00,2.9168e-01,9.0623e-01,-4.8629e-02,4.2754e+00,3.6547e+00,3.0051e+01,-2.7077e+02
-2.8918e-01,-1.5477e+00,-1.2501e+00,-5.8228e-01,1.5520e+00,2.5299e+00,4.3764e+00,2.9814e+01,-1.8166e+02
-4.2816e-01,-1.2208e+00,7.5967e-02,-4.0040e-01,2.9053e+00,2.4858e+00,4.6752e+00,3.0615e+01,-2.7601e+02
2.3749e-02,-1.0717e+00,-7.2559e-01,2.1112e+00,3.3994e+00,4.1015e+00,3.9454e+00,3.0203e+01,-2.1172e+02
-3.7472e-01,-8.4122e-01,8.5694e-01,1.6340e+00,1.2185e+00,4.0726e+00,3.3603e+00,2.9566e+01,-2.8153e+02
-1.2139e-01,-1.0166e+00,-1.3651e+00,1.6088e+00,6.1990e-01,4.3890e+00,3.0283e+00,3.0233e+01,-2.1735e+02
1.6375e-01,-1.2542e+00,7.6571e-01,7.5719e-01,-6.0808e-02,4.2484e+00,2.8536e+00,2.9838e+01,-1.7389e+02
-7.5420e-01,-7.0276e-01,1.3925e+00,1.0567e+00,6.9808e-01,4.2285e+00,3.2485e+00,2.9907e+01,-2.3282e+02
-2.6708e-01,-1.5735e+00,-6.8616e-01,7.2005e-02,1.3799e-01,1.8765e+00,4.5247e+00,3.0174e+01,-2.1967e+02
2.7901e-01,-1.5141e+00,6.3511e-01,1.8440e+00,2.6002e+00,4.2567e+00,3.5523e+00,3.0043e+01,-2.1374e+02
-1.1371e-01,-1.2936e+00,6.1587e-01,2.4859e+00,2.8801e+00,2.1116e+00,4.5228e+00,3.0264e+01,-2.4017e+02
3.8566e-01,-1.9775e+00,-1.0850e-01,7.8286e-01,1.5888e+00,4.4093e+00,2.8651e+00,3.0241e+01,-2.4523e+02
-4.2217e-01,-1.0502e+00,2.7626e-01,4.4887e-02,2.8077e+00,3.7249e+00,4.2134e+00,2.9923e+01,-1.7656e+02
-2.2640e-01,-1.0330e+00,4.9178e-01,-2.0257e-01,1.2177e+00,4.2247e+00,3.0226e+00,2.9900e+01,-2.3829e+02
-2.7190e-02,-1.6655e+00,-1.5506e-01,4.4577e-01,9.3705e-01,4.0619e+00,4.3862e+00,3.0358e+01,-1.7999e+02
-2.4405e-01,-1.2070e+00,7.6749e-01,1.0465e+00,3.0653e+00,3.6717e+00,4.4472e+00,3.0329e+01,-2.0803e+02
-2.2341e-01,-1.4581e+00,1.2993e+00,4.8079e-01,6.8521e-01,3.1865e+00,4.5225e+00,3.0216e+01,-2.1771e+02
-3.6899e-02,-1.9252e+00,1.9884e-01,5.2906e-01,2.7424e-01,3.5687e+00,4.2120e+00,2.9647e+01,-1.5899e+02
-4.0023e-01,-8.5418e-01,-6.5464e-01,1.4139e+00,3.7455e-01,4.2561e+00,3.3980e+00,2.9989e+01,-2.0057e+02
-2.8452e-01,-8.2277e-01,-5.4914e-01,2.0689e+00,3.3961e+00,4.0816e+00,2.9882e+00,2.9947e+01,-2.2513e+02
-3.9171e-01,-8.9345e-01,2.5533e-02,1.2446e+00,3.7343e+00,3.8214e+00,4.1389e+00,3.0438e+01,-1.0469e+02
1.0436e-03,-1.3799e+00,-5.1963e-01,2.1769e+00,1.2377e+00,2.9281e+00,4.2384e+00,2.9462e+01,-2.5533e+02
1.6695e-01,-1.7182e+00,-5.3459e-01,-2.4635e-01,1.1400e+00,3.9355e+00,3.8757e+00,2.9540e+01,-1.9025e+02
6.9221e-02,-1.3099e+00,5.0155e-01,9.4501e-01,1.8140e+00,4.2158e+00,3.0539e+00,2.9844e+01,-1.6561e+02
-2.8369e-01,-1.3230e+00,-1.3595e+00,1.7501e+00,3.1137e+00,2.5788e+00,4.6024e+00,3.0518e+01,-2.7890e+02
2.7942e-01,-1.2948e+00,8.0310e-01,2.1387e+00,1.5228e+00,4.1859e+00,3.6019e+00,2.9856e+01,-1.2845e+02
-7.1615e-01,-9.9228e-01,-1.3168e+00,3.3659e-01,1.7534e+00,2.2375e+00,4.3172e+00,2.9658e+01,-2.6975e+02
-2.9003e-01,-6.3882e-01,-3.6983e-01,3.0724e+00,2.6231e+00,4.3310e+00,3.5557e+00,3.0293e+01,-2.4178e+02
-8.8952e-01,-8.7202e-01,-7.9440e-01,2.0786e+00,6.4227e-01,1.9009e+00,4.5496e+00,3.0235e+01,-1.3450e+02
-3.0330e-01,-1.4096e+00,9.0059e-01,-1.6297e-01,1.8311e+00,2.2322e+00,4.3905e+00,2.9859e+01,-1.9013e+02
-9.9260e-03,-1.5369e+00,-1.4502e+00,1.1769e+00,2.8488e+00,3.6930e+00,4.3430e+00,3.0048e+01,-2.7016e+02
2.4661e-01,-1.2862e+00,-7.2807e-01,2.2345e+00,9.4636e-01,4.2863e+00,3.1014e+00,2.9998e+01,-1.9501e+02
-4.8178e-01,-1.0190e+00,-2.9822e-01,8.8414e-01,3.3629e+00,3.0118e+00,4.4255e+00,3.0254e+01,-1.2747e+02
-4.0375e-01,-1.0534e+00,9.8543e-01,1.8793e+00,3.2180e+00,1.5222e+00,4.5420e+00,3.0372e+01,-1.3547e+02
4.0976e-01,-1.4135e+00,-1.7935e-01,2.4489e+00,-8.6352e-02,4.4182e+00,3.8539e+00,3.0413e+01,-2.7993e+02
6.2843e-02,-1.4530e+00,2.4139e-01,5.5255e-01,2.0229e+00,4.2695e+00,3.9372e+00,3.0233e+01,-2.7657e+02
4.8672e-01,-1.6962e+00,1.1036e+00,1.0680e+00,2.8787e+00,4.1145e+00,3.5409e+00,2.9770e+01,-2.7484e+02
-7.3284e-01,-7.4010e-01,-1.0760e+00,-5.2030e-01,2.6331e+00,4.1752e+00,2.5481e+00,2.9789e+01,-2.0734e+02
-7.1086e-02,-1.0206e+00,1.0272e-01,2.7936e+00,2.4521e+00,3.6270e+00,4.5375e+00,3.0369e+01,-2.2132e+02
-8.3550e-01,-8.8000e-01,-1.1765e+00,1.5368e+00,6.3442e-01,3.5249e+00,4.5372e+00,3.0322e+01,-2.7930e+02
-4.0115e-01,-1.2395e+00,-1.4207e+00,1.5773e+00,2.3124e+00,1.7054e+00,4.4980e+00,3.0110e+01,-2.7914e+02
-4.6099e-01,-1.2873e+00,-3.5669e-01,6.8030e-03,-1.8206e-02,2.9171e+00,4.6328e+00,3.0501e+01,-2.6835e+02
-3.0487e-01,-1.5059e+00,-1.2961e+00,1.7898e+00,1.6345e+00,2.3873e+00,4.5408e+00,3.0242e+01,-2.5003e+02
4.8186e-01,-1.8865e+00,-4.6251e-01,-5.0765e-01,3.3518e+00,4.3419e+00,3.5248e+00,3.0365e+01,-2.1436e+02
3.9744e-01,-1.8443e+00,5.5346e-01,1.1972e+00,9.6281e-01,4.3388e+00,1.9615e+00,3.0062e+01,-1.6046e+02
-9.4316e-02,-1.8299e+00,-3.9659e-01,2.5813e-01,2.4157e+00,3.6231e+00,4.4572e+00,3.0219e+01,-1.6721e+02
2.0567e-01,-1.4617e+00,3.2062e-02,1.3986e-02,2.2063e-01,4.1695e+00,2.3756e+00,2.9648e+01,-1.2268e+02
7.5512e-02,-1.1986e+00,5.9423e-01,4.5546e-01,2.6061e+00,4.1294e+00,3.0093e+00,2.9675e+01,-2.5371e+02
-3.8344e-01,-1.4170e+00,-2.7489e-01,8.4198e-01,6.4566e-01,1.2457e+00,4.5205e+00,3.0191e+01,-2.6596e+02
7.8091e-03,-1.9513e+00,-1.3589e+00,9.3350e-01,3.4767e+00,3.0579e+00,4.5927e+00,3.0605e+01,-1.8460e+02
-3.8923e-01,-1.2467e+00,7.3883e-01,1.8728e+00,1.2616e+00,2.4731e+00,4.5659e+00,3.0289e+01,-1.5150e+02
-2.4445e-01,-1.8404e+00,-1.7148e+00,-5.7644e-01,9.1937e-01,2.2030e+00,4.3222e+00,2.9673e+01,-2.1461e+02
4.7272e-01,-1.6559e+00,1.8332e-02,7.2995e-01,9.5563e-01,4.1389e+00,2.0217e+00,2.9514e+01,-2.4328e+02
