niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.2484e-01,-5.4594e+05,-5.4595e+05,-1.2492e-03,-5.4595e+05,1.3578e-01,7.3790e+00,inf,6.0919e+00,-9.6260e-01,-6.7441e-01,5.4203e-01,1.3670e+00,2.4506e+00,2.1479e+00,5.8483e+00,2.8053e+01
2.0000e+00,1.0000e+00,2.4938e-01,-5.2473e+05,-5.2474e+05,-2.4984e-03,-5.2474e+05,1.3579e-01,7.3803e+00,5.4560e+05,1.2187e+01,-2.1854e-01,-9.7862e-01,-5.5284e-02,2.7989e+00,2.2091e+00,4.9859e+00,5.7052e+00,2.8186e+01
3.0000e+00,1.0000e+00,3.7360e-01,-5.1963e+05,-5.1963e+05,-3.7477e-03,-5.1963e+05,1.3580e-01,7.3815e+00,5.2439e+05,1.8041e+01,-1.0742e-01,-1.6297e+00,2.5309e-01,2.8706e+00,2.4148e+00,2.3454e+00,5.8032e+00,2.8161e+01
4.0000e+00,1.0000e+00,4.9751e-01,-5.0939e+05,-5.0940e+05,-4.9969e-03,-5.0940e+05,1.3581e-01,7.3828e+00,5.1929e+05,2.4115e+01,-5.9412e-01,-1.2165e+00,-1.3730e+00,2.1208e+00,3.4124e+00,3.3768e+00,5.9135e+00,2.8715e+01
5.0000e+00,1.0000e+00,6.2112e-01,-4.9936e+05,-4.9937e+05,-6.2461e-03,-4.9937e+05,1.3583e-01,7.3840e+00,5.0905e+05,3.5977e+01,1.4012e-01,-7.5109e-01,4.7346e-01,1.4416e+00,2.2282e+00,1.2092e+00,5.8919e+00,2.8283e+01
6.0000e+00,1.0000e+00,7.4442e-01,-4.9820e+05,-4.9821e+05,-7.4953e-03,-4.9821e+05,1.3584e-01,7.3852e+00,4.9902e+05,4.2067e+01,-1.0537e-01,-1.1342e+00,-4.5239e-01,-3.2680e-01,3.0249e+00,4.9663e+00,5.8175e+00,2.8557e+01
7.0000e+00,1.0000e+00,8.6741e-01,-4.9773e+05,-4.9774e+05,-8.7445e-03,-4.9774e+05,1.3585e-01,7.3865e+00,4.9786e+05,4.8371e+01,-4.9229e-02,-1.1081e+00,-9.5869e-01,3.0522e+00,1.6980e+00,2.7631e+00,5.8034e+00,2.8291e+01
8.0000e+00,1.0000e+00,9.9010e-01,-4.9495e+05,-4.9496e+05,-9.9938e-03,-4.9496e+05,1.3586e-01,7.3878e+00,4.9739e+05,5.4405e+01,-7.4482e-01,-9.2243e-01,1.7129e+00,-2.1655e-01,3.7725e+00,4.1255e+00,5.6022e+00,2.8151e+01
9.0000e+00,1.0000e+00,1.1125e+00,-4.8843e+05,-4.8844e+05,-1.1243e-02,-4.8844e+05,1.3587e-01,7.3890e+00,4.9461e+05,6.0639e+01,-4.1416e-01,-7.7647e-01,2.1283e+00,2.9487e+00,2.7219e-01,1.5824e+00,5.8574e+00,2.8578e+01
1.0000e+01,1.0000e+00,1.2346e+00,-4.8537e+05,-4.8538e+05,-1.2492e-02,-4.8538e+05,1.3588e-01,7.3903e+00,4.8809e+05,6.6872e+01,1.0845e-01,-8.1129e-01,4.7050e-01,1.5412e+00,2.2889e+00,3.5101e+00,5.7965e+00,2.8224e+01
1.1000e+01,1.0000e+00,1.3564e+00,-4.8356e+05,-4.8356e+05,-1.3741e-02,-4.8356e+05,1.3589e-01,7.3915e+00,4.8503e+05,7.2911e+01,2.5733e-01,-1.7740e+00,1.9014e-01,3.1325e+00,3.2529e+00,2.2325e+00,5.8601e+00,2.8501e+01
1.2000e+01,1.0000e+00,1.4778e+00,-4.7969e+05,-4.7970e+05,-1.4991e-02,-4.7970e+05,1.3591e-01,7.3928e+00,4.8321e+05,7.8719e+01,-1.3696e-01,-9.1955e-01,1.1723e+00,2.7393e+00,1.3676e+00,4.0735e+00,5.9032e+00,2.8717e+01
1.3000e+01,1.0000e+00,1.5990e+00,-4.7123e+05,-4.7124e+05,-1.6240e-02,-4.7124e+05,1.3592e-01,7.3940e+00,4.7935e+05,8.4586e+01,4.7627e-01,-1.0842e+00,8.4048e-01,1.8841e+00,2.0856e+00,1.8515e+00,5.8594e+00,2.8384e+01
1.4000e+01,1.0000e+00,1.7199e+00,-4.7086e+05,-4.7087e+05,-1.7489e-02,-4.7087e+05,1.3593e-01,7.3952e+00,4.7089e+05,9.0362e+01,-7.9379e-01,-9.5638e-01,5.1569e-01,6.1740e-01,2.9086e+00,4.4495e+00,5.6141e+00,2.8429e+01
1.5000e+01,1.0000e+00,1.8405e+00,-4.5675e+05,-4.5676e+05,-1.8738e-02,-4.5676e+05,1.3594e-01,7.3965e+00,4.7052e+05,9.6391e+01,-1.9678e-01,-1.3328e+00,-1.6779e+00,1.6902e+00,3.7355e+00,4.9790e+00,5.6556e+00,2.8739e+01
1.6000e+01,1.0000e+00,1.9608e+00,-4.5654e+05,-4.5655e+05,-1.9988e-02,-4.5655e+05,1.3595e-01,7.3977e+00,4.5641e+05,1.0243e+02,-4.0444e-01,-1.6795e+00,-1.6276e-01,1.8905e+00,3.5745e+00,1.6354e+00,5.4980e+00,2.8169e+01
1.7000e+01,1.0000e+00,2.0808e+00,-4.5345e+05,-4.5346e+05,-2.1237e-02,-4.5346e+05,1.3596e-01,7.3990e+00,4.5620e+05,1.0828e+02,-6.0266e-01,-5.9412e-01,1.9603e+00,1.7140e-01,3.4258e+00,1.2555e+00,5.7020e+00,2.8512e+01
1.8000e+01,1.0000e+00,2.2005e+00,-4.4251e+05,-4.4251e+05,-2.2486e-02,-4.4251e+05,1.3597e-01,7.4003e+00,4.5311e+05,1.1427e+02,-5.5583e-01,-1.1591e+00,2.0285e+00,1.6631e-01,4.3579e-01,1.8140e+00,5.8963e+00,2.9268e+01
