logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-7.8481e-01,-1.5114e+00,-1.1568e+00,-7.7420e-01,4.1291e-01,2.4268e+00,3.2964e+00,2.9518e+01,-9.0218e+04
-6.9713e-01,-1.9637e+00,-1.8590e+00,2.4032e-01,1.3640e+00,2.3317e+00,3.0497e+00,2.9141e+01,-8.9388e+04
-3.7115e-01,-1.9862e+00,-3.9013e-01,9.0019e-01,5.9512e-01,2.7464e+00,2.9270e+00,2.9738e+01,-9.6310e+04
-2.7279e-01,-1.2399e+00,-1.0628e+00,3.0973e-02,6.5058e-01,3.1917e+00,3.9891e+00,3.0086e+01,-3.3394e+04
-3.9572e-01,-1.1909e+00,-9.2192e-01,4.3482e-01,1.5147e+00,2.7236e+00,3.3949e+00,2.9016e+01,-3.2003e+03
-9.2524e-01,-1.8157e+00,-1.8411e+00,4.8467e-01,1.0546e+00,2.5822e+00,2.8628e+00,3.0123e+01,-9.8196e+04
-5.8791e-01,-1.4970e+00,-1.7120e+00,3.4929e-01,9.9724e-01,1.5291e+00,4.0111e+00,3.0824e+01,-8.7223e+04
-1.1845e-02,-1.0079e+00,-1.8176e-02,7.1884e-01,4.3585e-01,2.7655e+00,3.7324e+00,2.9391e+01,-2.6494e+04
-3.0908e-01,-1.6492e+00,-1.4821e-01,5.4747e-01,1.3881e+00,3.0008e+00,2.8436e+00,3.0237e+01,-9.8466e+04
-4.1046e-01,-1.8929e+00,-1.4773e+00,9.3484e-01,6.9886e-01,2.5873e+00,2.7886e+00,2.9601e+01,-9.5690e+04
-4.5388e-01,-1.3879e+00,-9.9383e-02,3.8638e-01,1.2773e+00,1.8153e+00,4.2683e+00,3.0662e+01,-3.3169e+04
-2.0784e-01,-1.5617e+00,-1.6306e+00,2.7173e-01,9.2180e-01,3.4185e+00,3.7369e+00,3.0005e+01,-7.4583e+03
-2.2963e-02,-1.3150e+00,-1.3904e+00,5.3061e-01,8.9008e-01,2.0862e+00,3.5020e+00,2.9851e+01,-9.9702e+04
2.0730e-01,-1.8528e+00,-1.8765e+00,3.2269e-01,9.3481e-02,3.4172e+00,3.4276e+00,2.9387e+01,-1.6153e+04
-3.3824e-01,-1.1273e+00,-1.6444e+00,2.8087e-02,7.8463e-04,2.5651e+00,4.2864e+00,3.0979e+01,-2.0720e+04
-5.4909e-01,-1.1297e+00,-1.0398e+00,8.3444e-01,4.4749e-01,2.1790e+00,3.9701e+00,2.9736e+01,-8.0900e+04
-9.0832e-01,-1.9450e+00,-1.2894e+00,3.1587e-01,1.5731e+00,2.0897e+00,3.1223e+00,2.9268e+01,-8.9456e+04
-6.2700e-01,-1.3995e+00,-1.2821e+00,-7.4694e-02,1.0198e+00,1.9745e+00,3.6197e+00,2.9903e+01,-8.2332e+04
1.4593e-01,-1.5420e+00,-1.1665e+00,8.4357e-01,1.5595e+00,2.1615e+00,3.6444e+00,2.9198e+01,-1.9979e+04
-7.5738e-01,-1.0713e+00,-1.5720e+00,8.3111e-01,9.7300e-01,2.8765e+00,2.9692e+00,2.9543e+01,-9.4298e+04
-7.4781e-01,-1.3017e+00,-3.1388e-02,9.1483e-01,1.8525e+00,3.1530e+00,3.8664e+00,2.9903e+01,-8.8532e+04
-4.9042e-01,-1.9334e+00,-1.1622e+00,-9.0379e-02,1.6263e+00,2.2825e+00,3.8318e+00,3.0221e+01,-3.6505e+04
-2.8015e-01,-1.7834e+00,-1.7533e-02,6.3827e-01,1.3367e+00,1.9547e+00,2.8470e+00,2.9902e+01,-9.6886e+04
-2.7541e-01,-1.6930e+00,-3.5801e-01,-5.9397e-01,6.9836e-01,1.6155e+00,3.5329e+00,2.9597e+01,-8.8179e+04
-7.8567e-01,-1.2629e+00,-1.6817e+00,-1.2579e-01,1.0740e+00,1.7218e+00,4.3809e+00,3.0891e+01,-8.7253e+04
2.2380e-01,-1.1188e+00,-6.8042e-01,9.9588e-01,1.3149e+00,2.9490e+00,2.8583e+00,2.9879e+01,-9.9176e+04
-1.2194e-01,-1.8018e+00,-8.6206e-01,-4.3955e-01,4.1407e-01,1.8529e+00,3.5631e+00,2.9083e+01,-9.0577e+03
-7.2096e-01,-1.6737e+00,-4.4721e-01,-8.5512e-01,8.7331e-01,3.1516e+00,4.1921e+00,3.0860e+01,-1.3802e+04
-5.6032e-01,-1.3699e+00,-1.2201e+00,-4.3945e-01,3.1199e-01,2.3547e+00,2.9220e+00,3.0302e+01,-9.9619e+04
-4.6171e-01,-1.2866e+00,-7.3963e-01,-1.6686e-01,-3.6302e-02,2.7688e+00,3.6091e+00,2.9472e+01,-2.2190e+03
-9.9726e-01,-1.9580e+00,-1.6522e+00,3.3138e-01,7.8270e-02,2.1099e+00,2.8930e+00,3.0243e+01,-9.9198e+04
-9.7165e-01,-1.1449e+00,-1.3231e+00,6.5247e-01,9.9190e-01,1.5919e+00,3.9072e+00,3.0318e+01,-2.0181e+04
2.0249e-01,-1.7268e+00,-3.3866e-01,-6.0913e-01,1.3582e+00,2.5128e+00,4.3381e+00,3.0991e+01,-5.3588e+04
-9.4178e-01,-1.1291e+00,-1.8333e-01,2.3039e-01,8.5600e-03,3.3093e+00,3.5964e+00,3.0307e+01,-4.7634e+04
-5.0664e-01,-1.9690e+00,-7.8210e-01,8.3541e-01,1.7683e+00,2.8816e+00,2.9285e+00,2.9820e+01,-9.5986e+04
1.1954e-01,-1.7868e+00,-1.6871e+00,-1.7750e-02,3.1382e-01,2.9442e+00,2.7773e+00,2.9354e+01,-9.6890e+04
-5.9244e-02,-1.9069e+00,-6.8277e-02,2.7310e-01,1.8497e+00,2.7003e+00,4.1048e+00,3.0524e+01,-1.4758e+04
-2.4166e-01,-1.1778e+00,-6.7985e-01,-6.2925e-01,4.3710e-01,3.4891e+00,3.6398e+00,3.0148e+01,-1.1170e+04
-4.3423e-01,-1.2429e+00,-1.4362e+00,-3.7302e-01,1.7107e+00,1.6633e+00,3.4921e+00,3.0239e+01,-9.9513e+04
-4.7805e-01,-1.6838e+00,-1.2937e-01,3.0564e-01,2.5648e-01,2.3523e+00,2.8086e+00,2.9572e+01,-9.5672e+04
8.1394e-02,-1.7796e+00,-2.7170e-01,-3.8993e-01,1.5410e+00,2.3632e+00,3.0142e+00,2.9939e+01,-9.8642e+04
-9.2663e-01,-1.9410e+00,-1.8318e+00,1.6688e-01,6.7534e-01,3.5149e+00,2.9933e+00,2.9655e+01,-7.9800e+04
-3.2230e-01,-1.2263e+00,-1.7547e+00,6.0239e-02,1.0384e+00,3.1307e+00,3.0021e+00,2.9307e+01,-5.9182e+04
-9.0201e-01,-1.4596e+00,-1.0029e+00,8.5382e-01,1.2268e+00,2.1340e+00,3.9442e+00,2.9789e+01,-9.9719e+04
-1.7329e-02,-1.2477e+00,-1.5144e+00,-5.9088e-02,1.3153e+00,2.7306e+00,3.0553e+00,2.9696e+01,-9.7778e+04
-2.8916e-01,-1.1957e+00,-3.6893e-01,4.6875e-01,-1.3373e-01,2.6009e+00,3.1432e+00,2.9361e+01,-9.5070e+04
-2.1919e-02,-1.6827e+00,-2.9915e-01,1.5002e-01,-9.2264e-02,2.3827e+00,3.6688e+00,2.9478e+01,-3.0368e+04
1.5663e-02,-1.9291e+00,-6.2142e-01,1.6204e-01,7.4835e-01,3.0476e+00,4.0548e+00,3.0684e+01,-7.0842e+04
-5.1542e-01,-1.6279e+00,-2.9161e-01,5.2361e-01,6.6319e-01,2.8187e+00,3.3328e+00,3.0272e+01,-9.9621e+04
-9.8475e-01,-1.5430e+00,-7.2275e-02,8.2696e-01,8.1201e-01,3.3207e+00,3.2282e+00,2.9608e+01,-2.6722e+04
-1.0626e-01,-1.2759e+00,-1.8984e+00,-2.9347e-01,1.0263e+00,3.3772e+00,3.4542e+00,2.9240e+01,-6.2546e+04
-5.6488e-01,-1.8401e+00,-9.5561e-01,7.4836e-01,-1.2516e-01,1.8689e+00,3.4197e+00,2.9267e+01,-5.0791e+04
-5.8177e-01,-1.4089e+00,-1.6891e-01,-3.4657e-01,1.6712e+00,2.8553e+00,3.6127e+00,3.0238e+01,-9.2257e+04
-6.5141e-02,-1.9657e+00,-1.3877e+00,5.8396e-03,1.6370e-01,1.9067e+00,4.4026e+00,3.0959e+01,-1.9024e+04
-6.0358e-02,-1.0694e+00,-1.7193e+00,-6.6780e-01,2.7961e-01,1.9466e+00,3.5692e+00,2.9443e+01,-9.2380e+04
-4.7533e-02,-1.5748e+00,-1.6580e+00,-4.3272e-01,1.3947e+00,1.6248e+00,3.7564e+00,2.9361e+01,-1.3128e+04
-2.1134e-01,-1.4488e+00,-8.0162e-01,7.7160e-01,1.7433e+00,1.9014e+00,4.2019e+00,3.0396e+01,-3.4936e+04
-3.8986e-01,-1.6494e+00,-2.7825e-01,3.5546e-01,3.0529e-02,1.5283e+00,2.9092e+00,2.9052e+01,-9.3126e+04
-3.4756e-01,-1.0573e+00,-8.1434e-02,1.1336e+00,9.2651e-01,3.3523e+00,3.4140e+00,3.0183e+01,-8.9653e+04
