logfeh,logdust,logNpix,tau,dmod,logl
-4.3801e-01,-1.7696e+00,3.9157e+00,3.9906e+00,3.0299e+01,-3.5746e+02
-4.2872e-01,-1.8022e+00,3.9116e+00,3.9553e+00,3.0285e+01,-3.5947e+02
-4.3714e-01,-1.7754e+00,3.8927e+00,3.9430e+00,3.0235e+01,-3.5728e+02
-4.2057e-01,-1.8689e+00,3.8889e+00,3.9664e+00,3.0233e+01,-3.5825e+02
-4.4992e-01,-1.7140e+00,3.8942e+00,3.9218e+00,3.0233e+01,-3.5874e+02
-4.2181e-01,-1.9535e+00,3.8950e+00,3.9367e+00,3.0252e+01,-3.5890e+02
-4.3787e-01,-1.7473e+00,3.9057e+00,3.9883e+00,3.0274e+01,-3.5689e+02
-4.0986e-01,-1.8896e+00,3.9229e+00,3.9860e+00,3.0318e+01,-3.5935e+02
-4.2723e-01,-1.7895e+00,3.9146e+00,3.9847e+00,3.0293e+01,-3.5916e+02
-4.1950e-01,-1.8909e+00,3.9140e+00,3.9962e+00,3.0298e+01,-3.5478e+02
-4.4538e-01,-1.6827e+00,3.9029e+00,3.9785e+00,3.0256e+01,-3.5797e+02
-4.4040e-01,-1.7415e+00,3.9018e+00,3.9596e+00,3.0261e+01,-3.5701e+02
-4.2616e-01,-1.8520e+00,3.9003e+00,3.9452e+00,3.0257e+01,-3.5667e+02
-4.2729e-01,-1.7921e+00,3.9059e+00,3.9938e+00,3.0276e+01,-3.5733e+02
-4.3867e-01,-1.6979e+00,3.9013e+00,3.9844e+00,3.0254e+01,-3.5942e+02
-4.0213e-01,-1.9858e+00,3.9138e+00,3.9788e+00,3.0297e+01,-3.5682e+02
-4.4213e-01,-1.7243e+00,3.9036e+00,3.9123e+00,3.0256e+01,-3.5942e+02
-4.1804e-01,-1.9143e+00,3.8939e+00,3.9893e+00,3.0248e+01,-3.5908e+02
-4.4743e-01,-1.7035e+00,3.8990e+00,3.9701e+00,3.0251e+01,-3.5800e+02
-4.2013e-01,-1.8983e+00,3.9101e+00,3.9768e+00,3.0289e+01,-3.5929e+02
-4.1898e-01,-1.8466e+00,3.9026e+00,3.9932e+00,3.0267e+01,-3.5456e+02
-4.1198e-01,-1.9237e+00,3.9039e+00,3.9789e+00,3.0273e+01,-3.5687e+02
-4.0979e-01,-1.9780e+00,3.9228e+00,3.9496e+00,3.0319e+01,-3.5714e+02
-4.3181e-01,-1.8332e+00,3.8930e+00,3.9443e+00,3.0241e+01,-3.5807e+02
-4.1718e-01,-1.9947e+00,3.9150e+00,3.9733e+00,3.0305e+01,-3.5759e+02
-4.2118e-01,-1.9166e+00,3.9014e+00,3.9350e+00,3.0262e+01,-3.5857e+02
-4.2525e-01,-1.8661e+00,3.9048e+00,3.9988e+00,3.0279e+01,-3.5911e+02
-4.2363e-01,-1.8003e+00,3.9085e+00,3.9748e+00,3.0279e+01,-3.5951e+02
-4.3895e-01,-1.7541e+00,3.9148e+00,3.9912e+00,3.0298e+01,-3.5792e+02
-4.2520e-01,-1.8211e+00,3.9175e+00,3.9978e+00,3.0305e+01,-3.5777e+02
-4.1629e-01,-1.9804e+00,3.9085e+00,3.9414e+00,3.0284e+01,-3.5937e+02
-4.2101e-01,-1.8701e+00,3.9155e+00,3.9904e+00,3.0304e+01,-3.5850e+02
-4.4247e-01,-1.7422e+00,3.9124e+00,3.9338e+00,3.0287e+01,-3.5743e+02
-4.0658e-01,-1.9762e+00,3.9014e+00,3.9820e+00,3.0268e+01,-3.5920e+02
-4.3734e-01,-1.8214e+00,3.9150e+00,3.9414e+00,3.0297e+01,-3.5846e+02
-4.1604e-01,-1.9564e+00,3.9202e+00,3.9630e+00,3.0314e+01,-3.5386e+02
-4.2571e-01,-1.8319e+00,3.9072e+00,3.9896e+00,3.0283e+01,-3.5810e+02
-4.4260e-01,-1.7171e+00,3.8906e+00,3.9777e+00,3.0231e+01,-3.5735e+02
-4.1993e-01,-1.8974e+00,3.9154e+00,3.9926e+00,3.0306e+01,-3.5326e+02
-4.1663e-01,-1.9296e+00,3.9146e+00,3.9732e+00,3.0301e+01,-3.5798e+02
-4.1668e-01,-1.8921e+00,3.9117e+00,3.9850e+00,3.0290e+01,-3.5846e+02
-4.1497e-01,-1.9881e+00,3.9114e+00,3.9425e+00,3.0292e+01,-3.5821e+02
-4.1546e-01,-1.9695e+00,3.8952e+00,3.9142e+00,3.0248e+01,-3.5627e+02
-4.1903e-01,-1.8945e+00,3.8919e+00,3.9876e+00,3.0242e+01,-3.5863e+02
-4.2205e-01,-1.8979e+00,3.9084e+00,3.9788e+00,3.0288e+01,-3.5904e+02
-4.4575e-01,-1.7267e+00,3.8850e+00,3.9349e+00,3.0215e+01,-3.5948e+02
-4.2497e-01,-1.8633e+00,3.9094e+00,3.9677e+00,3.0286e+01,-3.5844e+02
-4.2025e-01,-1.8475e+00,3.9020e+00,3.9747e+00,3.0262e+01,-3.5815e+02
-4.3210e-01,-1.7837e+00,3.9052e+00,3.9839e+00,3.0272e+01,-3.5954e+02
-4.2591e-01,-1.9232e+00,3.8957e+00,3.9331e+00,3.0249e+01,-3.5836e+02
-4.1677e-01,-1.9712e+00,3.9013e+00,3.9764e+00,3.0267e+01,-3.5926e+02
-4.2152e-01,-1.8795e+00,3.8984e+00,3.9460e+00,3.0253e+01,-3.5675e+02
-4.1955e-01,-1.8401e+00,3.9132e+00,3.9832e+00,3.0290e+01,-3.5705e+02
