logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.0950e-01,-1.0517e+00,2.2460e+00,5.8161e-01,3.7840e+00,3.2453e+00,5.6358e+00,-9.7556e+01
-1.6483e-01,-1.0805e+00,2.2273e+00,7.4630e-01,3.7824e+00,4.2504e+00,5.6388e+00,-1.0164e+02
-2.6482e-01,-1.0064e+00,2.2034e+00,5.7011e-01,2.8090e+00,4.3995e+00,5.6453e+00,-1.0204e+02
-2.8294e-01,-1.0672e+00,2.2378e+00,6.8022e-01,3.6920e+00,3.3617e+00,5.6410e+00,-1.0192e+02
-1.3365e-01,-1.1710e+00,2.2285e+00,1.9721e+00,2.8305e+00,3.0060e+00,5.6910e+00,-1.0214e+02
-1.4060e-01,-1.1355e+00,2.2639e+00,2.2374e+00,2.2751e+00,3.8933e+00,5.6849e+00,-1.0015e+02
-2.0395e-01,-1.0368e+00,2.2303e+00,1.5407e+00,3.2916e+00,2.8662e+00,5.6688e+00,-9.8526e+01
-1.9092e-01,-1.0513e+00,2.2183e+00,2.7729e+00,1.7594e+00,3.1430e+00,5.6896e+00,-1.0213e+02
-2.7075e-01,-1.0410e+00,2.1796e+00,1.8497e+00,1.1714e+00,3.2272e+00,5.6785e+00,-1.0143e+02
-2.6305e-01,-1.0049e+00,2.2556e+00,4.4336e-01,3.5567e+00,4.2730e+00,5.6327e+00,-9.8346e+01
-1.6601e-01,-1.1349e+00,2.2546e+00,1.9437e+00,2.7271e+00,3.3426e+00,5.6830e+00,-1.0098e+02
-8.9659e-02,-1.1689e+00,2.2564e+00,7.1927e-01,3.1130e+00,4.3641e+00,5.6699e+00,-1.0157e+02
-1.3058e-02,-1.3682e+00,2.2580e+00,6.2462e-01,2.8024e+00,3.5902e+00,5.7135e+00,-1.0175e+02
-1.3806e-01,-1.1629e+00,2.2475e+00,1.8876e+00,1.1844e+00,3.6545e+00,5.6886e+00,-1.0087e+02
-2.7631e-01,-1.0727e+00,2.2195e+00,4.4951e-01,4.0349e+00,3.2828e+00,5.5946e+00,-9.6215e+01
-1.8327e-01,-1.0915e+00,2.1693e+00,2.1827e+00,3.8252e+00,4.0781e+00,5.6351e+00,-1.0120e+02
-2.7824e-01,-1.0352e+00,2.1691e+00,7.5628e-01,2.4325e+00,2.8693e+00,5.6807e+00,-1.0189e+02
-2.3778e-01,-1.0393e+00,2.2572e+00,2.0463e+00,3.7411e+00,3.2026e+00,5.6379e+00,-9.7186e+01
-8.0142e-02,-1.1918e+00,2.2637e+00,1.9461e+00,3.1932e+00,4.3423e+00,5.6677e+00,-1.0131e+02
-1.5533e-01,-1.1134e+00,2.2631e+00,6.5969e-01,3.5750e+00,3.4727e+00,5.6742e+00,-1.0004e+02
-3.2851e-01,-1.0081e+00,2.1982e+00,5.0445e-01,3.9505e+00,3.0591e+00,5.6057e+00,-9.8881e+01
-2.1489e-01,-1.0773e+00,2.1965e+00,1.1123e+00,3.9460e+00,3.3855e+00,5.6085e+00,-9.6593e+01
-1.5224e-01,-1.1235e+00,2.2636e+00,1.4115e+00,3.3715e+00,2.7297e+00,5.6882e+00,-1.0200e+02
-9.4865e-03,-1.1548e+00,2.2413e+00,3.0002e+00,1.5581e+00,4.7032e+00,5.6522e+00,-1.0155e+02
-1.1044e-01,-1.2238e+00,2.2490e+00,5.6965e-01,3.2454e+00,3.1252e+00,5.6860e+00,-1.0166e+02
-2.2183e-01,-1.0138e+00,2.2053e+00,8.5519e-01,3.7850e+00,3.9845e+00,5.6324e+00,-1.0171e+02
-2.2572e-01,-1.0783e+00,2.1579e+00,1.5279e+00,3.8765e+00,3.4854e+00,5.6134e+00,-1.0076e+02
-1.6590e-01,-1.0626e+00,2.2594e+00,2.8300e+00,1.8882e+00,3.7795e+00,5.6853e+00,-1.0091e+02
-1.7504e-01,-1.0991e+00,2.2062e+00,2.3411e+00,3.2271e+00,3.6394e+00,5.6781e+00,-1.0093e+02
-1.5485e-01,-1.1218e+00,2.2311e+00,2.2335e+00,2.7494e+00,3.9225e+00,5.6813e+00,-1.0103e+02
-2.0820e-01,-1.0284e+00,2.1982e+00,1.1251e+00,2.8500e+00,4.0530e+00,5.6624e+00,-1.0119e+02
-2.0350e-01,-1.0440e+00,2.2231e+00,1.5182e+00,3.6845e+00,3.8666e+00,5.6293e+00,-1.0120e+02
-2.4961e-01,-1.0037e+00,2.2345e+00,7.0695e-01,2.7906e+00,4.0368e+00,5.6693e+00,-1.0051e+02
-1.8539e-01,-1.0631e+00,2.2269e+00,2.3308e+00,1.4935e+00,4.2524e+00,5.6682e+00,-1.0143e+02
-2.1184e-01,-1.0031e+00,2.1910e+00,2.2355e+00,3.7372e+00,4.1777e+00,5.6242e+00,-1.0075e+02
-2.5569e-01,-1.0339e+00,2.2039e+00,2.1488e+00,3.4396e+00,3.7498e+00,5.6505e+00,-1.0192e+02
-2.5191e-01,-1.0023e+00,2.2595e+00,2.5751e+00,2.7310e+00,2.9922e+00,5.6820e+00,-1.0019e+02
-3.0006e-01,-1.0236e+00,2.1641e+00,6.3119e-01,3.6594e+00,2.8909e+00,5.6422e+00,-9.9914e+01
-1.5686e-01,-1.1001e+00,2.2530e+00,1.0623e+00,2.4126e+00,4.4043e+00,5.6569e+00,-1.0204e+02
-1.7654e-01,-1.0115e+00,2.2436e+00,2.8792e+00,3.8479e+00,4.2421e+00,5.6312e+00,-1.0096e+02
-1.3543e-01,-1.1290e+00,2.2546e+00,2.5896e+00,2.2281e+00,2.8371e+00,5.6994e+00,-1.0130e+02
-3.5120e-02,-1.3820e+00,2.2607e+00,9.5205e-01,2.6702e+00,3.2226e+00,5.7152e+00,-1.0140e+02
-2.9160e-01,-1.0791e+00,2.0733e+00,1.5988e+00,3.9072e+00,3.2675e+00,5.6188e+00,-1.0216e+02
-2.9876e-01,-1.0160e+00,2.2545e+00,2.3979e+00,2.1699e+00,3.0170e+00,5.6777e+00,-9.9692e+01
-1.6317e-01,-1.1303e+00,2.2547e+00,1.3568e+00,3.3922e+00,3.7101e+00,5.6714e+00,-1.0120e+02
-8.2101e-02,-1.2255e+00,2.2542e+00,8.1009e-01,2.7894e+00,4.0872e+00,5.6848e+00,-1.0066e+02
-1.6177e-01,-1.1024e+00,2.2569e+00,1.1937e+00,3.4469e+00,4.2445e+00,5.6560e+00,-1.0045e+02
-2.3354e-01,-1.0151e+00,2.2427e+00,1.3357e+00,1.9757e+00,3.9694e+00,5.6738e+00,-1.0199e+02
-2.1626e-01,-1.0427e+00,2.1771e+00,1.0663e+00,3.7096e+00,4.0538e+00,5.6258e+00,-9.8785e+01
