niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.3365e+05,-1.3365e+05,-2.4969e-03,-1.3365e+05,1.2922e-01,6.6871e+00,inf,1.6519e+00,1.4012e-01,-7.5109e-01,1.4735e+00,2.4416e+00,3.2282e+00,2.2092e+00,6.8919e+00,2.8708e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.3174e+05,-1.3175e+05,-4.9938e-03,-1.3175e+05,1.2924e-01,6.6896e+00,1.3320e+05,3.0243e+00,-5.9412e-01,-1.2165e+00,-3.7300e-01,3.1208e+00,4.4124e+00,4.3768e+00,6.9135e+00,2.9787e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.3118e+05,-1.3119e+05,-7.4906e-03,-1.3119e+05,1.2926e-01,6.6921e+00,1.3130e+05,4.4867e+00,3.5482e-01,-8.8113e-01,6.2752e-01,3.0359e-01,3.5213e+00,5.2131e+00,6.6420e+00,2.9094e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.2889e+05,-1.2889e+05,-9.9875e-03,-1.2889e+05,1.2929e-01,6.6946e+00,1.3073e+05,6.0313e+00,-1.9678e-01,-1.3328e+00,-6.7787e-01,2.6902e+00,4.7355e+00,5.9790e+00,6.6556e+00,2.9847e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.2714e+05,-1.2714e+05,-1.2484e-02,-1.2714e+05,1.2931e-01,6.6971e+00,1.2844e+05,7.3701e+00,4.7627e-01,-1.0842e+00,1.8405e+00,2.8841e+00,3.0856e+00,2.8515e+00,6.8594e+00,2.8959e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.2574e+05,-1.2575e+05,-1.4981e-02,-1.2575e+05,1.2934e-01,6.6996e+00,1.2669e+05,8.8988e+00,4.5366e-01,-8.7605e-01,2.9646e+00,6.1986e-01,4.2137e+00,5.0341e+00,6.7813e+00,2.9147e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.2493e+05,-1.2494e+05,-1.7478e-02,-1.2494e+05,1.2936e-01,6.7021e+00,1.2529e+05,1.0353e+01,-4.3809e-01,-1.9054e+00,9.4952e-01,3.1451e+00,3.9484e+00,2.8861e+00,6.3870e+00,2.8287e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.2491e+05,-1.2491e+05,-1.9975e-02,-1.2491e+05,1.2939e-01,6.7046e+00,1.2448e+05,1.1829e+01,-1.6083e-01,-1.8590e+00,2.3955e+00,2.3099e+00,1.6368e+00,4.6947e+00,6.6680e+00,2.9981e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.2426e+05,-1.2427e+05,-2.2472e-02,-1.2427e+05,1.2941e-01,6.7071e+00,1.2446e+05,1.3363e+01,-7.4482e-01,-9.2243e-01,2.7129e+00,7.8345e-01,4.7725e+00,5.1255e+00,6.6022e+00,2.8377e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.2177e+05,-1.2178e+05,-2.4969e-02,-1.2178e+05,1.2943e-01,6.7096e+00,1.2381e+05,1.4965e+01,-4.1416e-01,-7.7647e-01,3.1283e+00,3.9487e+00,1.2722e+00,2.5824e+00,6.8574e+00,2.9444e+01
1.1000e+01,1.0000e+00,2.6764e+00,-1.2104e+05,-1.2104e+05,-2.7466e-02,-1.2104e+05,1.2946e-01,6.7121e+00,1.2133e+05,1.6395e+01,4.9157e-01,-1.1494e+00,2.6799e+00,6.3090e-01,1.5519e+00,3.4310e+00,6.7544e+00,2.9037e+01
1.2000e+01,1.0000e+00,2.9126e+00,-1.1909e+05,-1.1910e+05,-2.9963e-02,-1.1910e+05,1.2948e-01,6.7146e+00,1.2059e+05,1.7829e+01,1.8598e-01,-1.2359e+00,1.9031e+00,2.4250e+00,1.2213e+00,4.3800e+00,6.2139e+00,2.8042e+01
1.3000e+01,1.0000e+00,3.1477e+00,-1.1803e+05,-1.1804e+05,-3.2459e-02,-1.1804e+05,1.2951e-01,6.7171e+00,1.1865e+05,1.9127e+01,-9.8817e-01,-1.0616e+00,1.5409e+00,1.2071e+00,3.6191e+00,6.0218e+00,5.6724e+00,2.9302e+01
1.4000e+01,1.0000e+00,3.3816e+00,-1.1722e+05,-1.1722e+05,-3.4956e-02,-1.1722e+05,1.2953e-01,6.7196e+00,1.1758e+05,2.0595e+01,-8.6234e-02,-1.0700e+00,9.9969e-01,1.0613e+00,2.6521e+00,5.8077e+00,5.6213e+00,2.8815e+01
1.5000e+01,1.0000e+00,3.6145e+00,-1.1609e+05,-1.1609e+05,-3.7453e-02,-1.1609e+05,1.2955e-01,6.7221e+00,1.1677e+05,2.1906e+01,3.3783e-01,-7.8447e-01,3.0901e+00,4.0971e+00,3.2409e+00,3.3546e+00,6.6092e+00,2.8507e+01
1.6000e+01,1.0000e+00,3.8462e+00,-1.1566e+05,-1.1567e+05,-3.9950e-02,-1.1567e+05,1.2958e-01,6.7246e+00,1.1564e+05,2.3440e+01,-8.7022e-01,-8.7048e-01,2.2028e+00,1.5282e+00,4.2575e+00,4.2468e+00,6.2658e+00,2.9860e+01
1.7000e+01,1.0000e+00,4.0767e+00,-1.1564e+05,-1.1565e+05,-4.2447e-02,-1.1565e+05,1.2960e-01,6.7271e+00,1.1522e+05,2.4917e+01,-9.0637e-01,-1.6110e+00,1.3624e+00,2.2378e+00,4.6061e+00,2.3303e+00,6.7618e+00,3.1401e+01
1.8000e+01,1.0000e+00,4.3062e+00,-1.1520e+05,-1.1521e+05,-4.4944e-02,-1.1521e+05,1.2963e-01,6.7296e+00,1.1519e+05,2.6448e+01,-6.7716e-01,-1.9724e+00,2.6856e+00,7.1103e-01,1.8845e+00,6.0785e+00,6.2470e+00,3.0451e+01
1.9000e+01,1.0000e+00,4.5346e+00,-1.1500e+05,-1.1501e+05,-4.7441e-02,-1.1501e+05,1.2965e-01,6.7321e+00,1.1476e+05,2.7895e+01,-6.9246e-01,-1.6479e+00,1.6216e+00,2.7801e+00,4.8069e+00,2.8139e+00,6.1354e+00,2.9553e+01
2.0000e+01,1.0000e+00,4.7619e+00,-1.1494e+05,-1.1495e+05,-4.9938e-02,-1.1495e+05,1.2967e-01,6.7345e+00,1.1456e+05,2.9363e+01,-8.0872e-01,-1.8307e+00,2.1553e+00,1.2237e+00,4.4826e+00,3.4226e+00,6.4317e+00,3.0365e+01
2.1000e+01,1.0000e+00,4.9881e+00,-1.1472e+05,-1.1472e+05,-5.2434e-02,-1.1472e+05,1.2970e-01,6.7370e+00,1.1450e+05,3.0956e+01,2.6437e-01,-1.0077e+00,1.7028e+00,4.2176e+00,3.5412e+00,2.9704e+00,6.6095e+00,3.0619e+01
2.2000e+01,1.0000e+00,5.2133e+00,-1.1466e+05,-1.1467e+05,-5.4931e-02,-1.1467e+05,1.2972e-01,6.7395e+00,1.1427e+05,3.2460e+01,-4.0902e-01,-1.3151e+00,1.9088e+00,2.1697e+00,3.9970e+00,5.4927e+00,6.1987e+00,2.9980e+01
2.3000e+01,1.0000e+00,5.4374e+00,-1.1428e+05,-1.1429e+05,-5.7428e-02,-1.1429e+05,1.2975e-01,6.7420e+00,1.1421e+05,3.3993e+01,-3.7116e-01,-1.1470e+00,-5.9947e-01,4.2487e+00,3.3523e+00,5.2265e+00,6.6609e+00,3.1416e+01
