niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,1.9960e-01,-3.9483e+04,-3.9490e+04,-1.9980e-03,-3.9490e+04,1.1750e-01,6.9098e+00,inf,4.8197e-01,-5.9523e-01,-1.9071e+00,-1.6733e-01,2.1936e+00,1.4177e+00,3.9588e+00,6.1443e+00
2.0000e+00,1.0000e+00,3.9841e-01,-3.9015e+04,-3.9022e+04,-3.9960e-03,-3.9022e+04,1.1751e-01,6.9118e+00,3.9296e+04,1.1430e+00,-7.1820e-01,-1.5656e+00,-6.9959e-02,2.1917e+00,3.0482e+00,4.5442e+00,6.0988e+00
3.0000e+00,1.0000e+00,5.9642e-01,-3.8381e+04,-3.8388e+04,-5.9940e-03,-3.8388e+04,1.1753e-01,6.9137e+00,3.8829e+04,1.8109e+00,-9.2861e-01,-1.3306e+00,9.9845e-01,1.9511e+00,2.8591e+00,4.0311e+00,6.1079e+00
4.0000e+00,1.0000e+00,7.9365e-01,-3.8316e+04,-3.8323e+04,-7.9920e-03,-3.8323e+04,1.1755e-01,6.9157e+00,3.8195e+04,2.2996e+00,-9.3653e-01,-1.0465e+00,-1.7799e-01,6.8841e-01,3.1389e+00,4.5873e+00,6.1214e+00
5.0000e+00,1.0000e+00,9.9010e-01,-3.7666e+04,-3.7673e+04,-9.9900e-03,-3.7673e+04,1.1757e-01,6.9177e+00,3.8130e+04,2.7898e+00,-6.1993e-01,-1.2877e+00,1.3842e+00,2.4658e+00,2.8727e+00,4.6483e+00,6.1069e+00
6.0000e+00,1.0000e+00,1.1858e+00,-3.7285e+04,-3.7292e+04,-1.1988e-02,-3.7292e+04,1.1758e-01,6.9197e+00,3.7480e+04,3.4471e+00,-4.4506e-01,-1.0752e+00,8.0709e-01,6.9795e-01,2.4107e+00,3.1569e+00,6.1761e+00
7.0000e+00,1.0000e+00,1.3807e+00,-3.7047e+04,-3.7054e+04,-1.3986e-02,-3.7054e+04,1.1760e-01,6.9217e+00,3.7099e+04,4.1139e+00,-1.8903e-01,-1.6544e+00,5.5084e-01,2.2899e+00,3.0065e+00,4.8688e+00,6.1389e+00
8.0000e+00,1.0000e+00,1.5748e+00,-3.7008e+04,-3.7015e+04,-1.5984e-02,-3.7015e+04,1.1762e-01,6.9237e+00,3.6861e+04,4.7846e+00,-6.9244e-01,-1.9574e+00,-4.0185e-02,6.2494e-01,2.6763e+00,4.5850e+00,6.0445e+00
9.0000e+00,1.0000e+00,1.7682e+00,-3.6943e+04,-3.6949e+04,-1.7982e-02,-3.6949e+04,1.1763e-01,6.9257e+00,3.6822e+04,5.2768e+00,-9.6932e-01,-1.7426e+00,2.8445e-01,5.5171e-01,2.2084e+00,4.6205e+00,6.0225e+00
1.0000e+01,1.0000e+00,1.9608e+00,-3.6877e+04,-3.6884e+04,-1.9980e-02,-3.6884e+04,1.1765e-01,6.9277e+00,3.6756e+04,5.8742e+00,-3.7759e-01,-1.6400e+00,-2.1404e-01,1.9877e+00,2.9359e+00,3.5534e+00,6.1323e+00
1.1000e+01,1.0000e+00,2.1526e+00,-3.5719e+04,-3.5726e+04,-2.1978e-02,-3.5726e+04,1.1767e-01,6.9297e+00,3.6691e+04,6.5222e+00,-9.1745e-01,-1.3310e+00,1.5518e-01,1.7184e+00,1.7235e+00,3.4508e+00,6.0418e+00
1.2000e+01,1.0000e+00,2.3438e+00,-3.5479e+04,-3.5486e+04,-2.3976e-02,-3.5486e+04,1.1768e-01,6.9317e+00,3.5533e+04,7.1869e+00,-3.0681e-01,-1.6683e+00,1.1548e+00,8.4600e-01,1.6049e+00,3.0273e+00,6.1102e+00
1.3000e+01,1.0000e+00,2.5341e+00,-3.5391e+04,-3.5398e+04,-2.5974e-02,-3.5398e+04,1.1770e-01,6.9337e+00,3.5293e+04,7.8516e+00,-2.2709e-01,-1.3526e+00,2.4783e-01,2.4947e+00,2.1540e+00,4.5310e+00,6.1155e+00
1.4000e+01,1.0000e+00,2.7237e+00,-3.5119e+04,-3.5126e+04,-2.7972e-02,-3.5126e+04,1.1772e-01,6.9357e+00,3.5205e+04,8.4998e+00,-6.0218e-01,-1.2118e+00,5.9307e-01,1.3661e+00,1.9212e+00,4.7569e+00,6.0371e+00
