niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-3.8202e+04,-3.8209e+04,-1.9980e-03,-3.8209e+04,1.1750e-01,6.9098e+00,inf,4.0364e-01,-9.9049e-01,-1.1037e+00,5.4927e+00,3.2434e+00,3.1121e+01
2.0000e+00,1.0000e+00,3.9841e-01,-3.4916e+04,-3.4923e+04,-3.9960e-03,-3.4923e+04,1.1751e-01,6.9118e+00,3.7181e+04,8.0621e-01,-4.8799e-01,-1.9943e+00,5.3620e+00,2.4605e+00,3.1026e+01
3.0000e+00,1.0000e+00,5.9642e-01,-3.3897e+04,-3.3904e+04,-5.9940e-03,-3.3904e+04,1.1753e-01,6.9137e+00,3.3894e+04,1.3838e+00,-9.8831e-01,-1.0994e+00,5.4317e+00,2.2719e+00,3.1339e+01
4.0000e+00,1.0000e+00,7.9365e-01,-3.3806e+04,-3.3813e+04,-7.9920e-03,-3.3813e+04,1.1755e-01,6.9157e+00,3.2876e+04,1.9600e+00,-9.3266e-01,-1.5484e+00,5.4460e+00,5.8338e-01,3.1478e+01
5.0000e+00,1.0000e+00,9.9010e-01,-3.1873e+04,-3.1880e+04,-9.9900e-03,-3.1880e+04,1.1757e-01,6.9177e+00,3.2784e+04,2.5543e+00,1.5623e-01,-1.4709e+00,5.4136e+00,2.2343e+00,3.1026e+01
6.0000e+00,1.0000e+00,1.1858e+00,-2.9248e+04,-2.9255e+04,-1.1988e-02,-2.9255e+04,1.1758e-01,6.9197e+00,3.0851e+04,3.1326e+00,-7.5154e-01,-1.5560e+00,5.2743e+00,2.7186e+00,3.1326e+01
7.0000e+00,1.0000e+00,1.3807e+00,-2.6805e+04,-2.6812e+04,-1.3986e-02,-2.6812e+04,1.1760e-01,6.9217e+00,2.8226e+04,3.7210e+00,1.4448e-01,-1.8223e+00,5.4463e+00,2.6521e+00,3.1568e+01
8.0000e+00,1.0000e+00,1.5748e+00,-2.5144e+04,-2.5151e+04,-1.5984e-02,-2.5151e+04,1.1762e-01,6.9237e+00,2.5783e+04,4.3092e+00,-7.5603e-01,-1.9426e+00,5.2442e+00,3.3396e+00,3.1636e+01
9.0000e+00,1.0000e+00,1.7682e+00,-2.5076e+04,-2.5083e+04,-1.7982e-02,-2.5083e+04,1.1763e-01,6.9257e+00,2.4123e+04,4.7135e+00,-3.4159e-01,-1.3703e+00,5.1445e+00,2.6004e+00,3.1091e+01
1.0000e+01,1.0000e+00,1.9608e+00,-2.4481e+04,-2.4488e+04,-1.9980e-02,-2.4488e+04,1.1765e-01,6.9277e+00,2.4054e+04,5.1487e+00,-2.4251e-01,-1.0352e+00,5.4028e+00,3.7271e+00,3.1739e+01
