logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-7.1272e-01,-1.0668e+00,9.8460e-01,3.4076e+00,3.9962e+00,3.1990e+00,4.0414e+00,-4.7379e+04
2.7651e-01,-1.0651e+00,1.6325e+00,5.4948e-01,4.4163e+00,3.2220e+00,4.1557e+00,-2.5012e+04
4.3054e-01,-8.2776e-01,2.5420e+00,2.3718e+00,3.4502e+00,2.8612e+00,2.9356e+00,-1.0382e+04
-6.4219e-01,-1.8195e+00,2.7454e+00,8.5846e-01,1.2270e+00,3.9429e+00,4.3428e+00,-3.1063e+04
-8.4199e-01,-9.7953e-01,1.5706e+00,3.5019e+00,3.9246e+00,2.2761e+00,4.0615e+00,-4.5865e+04
3.1612e-01,-1.2693e+00,1.7420e+00,3.1525e+00,4.3456e+00,2.8569e+00,3.5462e+00,-2.8484e+04
-9.2897e-01,-9.8768e-01,1.6122e+00,2.3995e+00,1.0496e+00,4.3543e+00,4.2542e+00,-8.3533e+03
-2.7724e-01,-1.4337e+00,1.1300e+00,3.0978e+00,3.4449e+00,3.7779e+00,3.5936e+00,-1.8930e+03
1.8579e-01,-5.1188e-01,3.0689e+00,3.4341e+00,2.0173e+00,4.6083e+00,4.8479e+00,-5.2751e+04
-2.8604e-01,-8.6564e-01,3.1579e+00,4.0555e+00,3.5110e+00,3.0950e+00,3.7455e+00,-5.2728e+04
3.4424e-02,-7.6373e-01,2.7082e+00,3.1645e+00,1.7246e+00,2.6583e+00,5.0084e+00,-3.9121e+04
-1.4110e-01,-1.4987e+00,3.0108e+00,5.1173e-01,1.8850e+00,3.8947e+00,3.5610e+00,-3.2817e+04
5.8996e-02,-1.7752e+00,2.2179e+00,3.5902e+00,3.4112e+00,3.8618e+00,3.5458e+00,-3.9817e+04
6.2729e-03,-1.8657e+00,-2.8247e-01,2.3696e+00,3.1631e+00,2.1176e+00,4.4748e+00,-3.4884e+03
2.7621e-01,-8.1091e-01,-3.2396e-01,1.7098e+00,1.1111e+00,2.6878e+00,3.8200e+00,-3.5977e+04
-9.2039e-01,-9.0393e-01,1.1483e+00,2.4524e+00,3.2965e+00,4.4706e+00,3.8493e+00,-1.3173e+04
-2.3333e-01,-1.9269e+00,-4.3175e-01,1.6817e+00,1.3787e+00,4.0614e+00,4.8744e+00,-4.0819e+04
5.9792e-02,-9.1001e-01,2.8340e+00,3.3829e+00,3.2729e+00,3.2731e+00,3.5411e+00,-2.2009e+04
1.6771e-01,-8.1975e-01,2.8078e+00,2.6654e+00,4.0446e+00,3.7145e+00,3.2668e+00,-1.4676e+04
4.8581e-01,-1.2403e+00,3.1906e+00,3.5862e+00,2.6646e+00,3.1507e+00,5.0719e+00,-5.3980e+04
4.0273e-01,-9.8098e-01,2.5008e+00,7.5532e-01,3.7518e+00,4.1065e+00,4.8310e+00,-1.0695e+04
-4.2948e-01,-1.2332e+00,4.5585e-01,8.5600e-01,3.2400e+00,3.5379e+00,3.7471e+00,-1.2353e+04
-6.1959e-01,-1.0900e+00,1.7784e+00,3.3415e-01,2.7666e+00,2.3275e+00,3.2544e+00,-2.9079e+04
3.9767e-01,-1.7369e+00,1.4479e+00,1.0892e+00,3.5246e+00,4.9041e+00,3.6859e+00,-4.9475e+04
-3.8359e-01,-1.0373e+00,-5.3766e-01,1.6559e+00,2.7147e+00,2.1196e+00,3.4170e+00,-3.3720e+04
-6.0945e-01,-1.7993e+00,2.9599e+00,2.4344e+00,1.8085e+00,3.9262e+00,3.9176e+00,-3.7900e+04
-9.9931e-01,-1.1860e+00,-3.2279e-02,9.8905e-01,2.4498e+00,3.1152e+00,3.9443e+00,-2.1048e+04
-4.8337e-01,-1.0387e+00,-2.6149e-01,9.5207e-01,3.8246e+00,2.6167e+00,4.4141e+00,-1.3883e+03
-5.5397e-01,-5.4587e-01,-3.6074e-01,1.5238e+00,2.8443e+00,2.8545e+00,3.9761e+00,-2.8935e+04
3.9573e-01,-9.1282e-01,2.1004e+00,4.3053e-01,2.6342e+00,3.2369e+00,4.2755e+00,-1.6402e+04
-8.7471e-01,-8.5873e-01,1.2708e+00,2.9104e+00,3.3975e+00,3.5923e+00,4.7225e+00,-1.9547e+04
3.3291e-01,-1.7496e+00,3.1547e+00,1.5790e+00,3.7174e+00,3.4521e+00,4.2149e+00,-4.7392e+04
-4.7238e-01,-1.0548e+00,6.6500e-01,1.1175e+00,1.7695e+00,3.7868e+00,3.2272e+00,-2.4008e+04
1.1682e-02,-1.6497e+00,-2.1914e-01,1.2529e+00,2.5925e+00,4.4756e+00,3.8073e+00,-7.9764e+02
3.5171e-01,-1.3590e+00,-7.5755e-01,4.3407e-01,1.4434e+00,4.5015e+00,3.3614e+00,-2.3673e+03
1.2386e-01,-9.5812e-01,5.6053e-01,1.0292e+00,3.0616e+00,2.3651e+00,4.1127e+00,-2.5217e+04
1.3054e-01,-9.1479e-01,2.8988e+00,2.0770e+00,3.4548e+00,3.4508e+00,3.6649e+00,-1.1143e+04
-6.4673e-01,-1.0500e+00,3.0736e-01,9.4847e-01,2.7919e+00,4.2136e+00,3.9686e+00,-1.4560e+03
3.8518e-02,-1.2915e+00,2.6612e+00,2.9252e+00,2.2098e+00,4.1812e+00,4.5143e+00,-2.8928e+04
3.0062e-01,-1.0197e+00,-5.0630e-01,1.4794e+00,4.0719e+00,4.6471e+00,3.2786e+00,-1.2710e+04
-7.8575e-01,-1.3777e+00,3.6200e-01,2.5253e+00,2.9074e+00,2.5564e+00,4.8169e+00,-3.2917e+04
-3.5693e-01,-6.1141e-01,6.1685e-01,9.8292e-01,4.2722e+00,3.7809e+00,3.1536e+00,-2.9193e+04
-3.8631e-02,-1.5050e+00,1.6604e+00,3.5549e+00,3.3881e+00,2.5803e+00,4.0790e+00,-1.8745e+04
4.8012e-01,-1.3523e+00,1.5306e+00,2.3752e+00,1.6669e+00,2.7714e+00,4.9395e+00,-5.8834e+02
4.8531e-01,-1.4090e+00,2.0897e+00,9.6983e-01,1.1591e+00,2.7391e+00,3.5818e+00,-2.6754e+04
3.3034e-01,-5.9464e-01,3.0577e+00,1.8243e+00,3.1660e+00,4.0126e+00,4.4916e+00,-7.5892e+03
4.0770e-02,-1.1942e+00,2.7906e+00,4.7528e-01,4.0090e+00,2.6893e+00,3.1703e+00,-2.3544e+04
-8.5270e-01,-1.0244e+00,3.1615e+00,5.7544e-01,2.0667e+00,3.5836e+00,3.8620e+00,-3.8699e+04
7.2457e-02,-1.7434e+00,2.7800e+00,7.8243e-01,2.9389e+00,2.1549e+00,4.2586e+00,-1.2502e+04
-9.5229e-01,-5.5607e-01,1.3122e+00,1.0974e+00,4.3767e+00,3.0052e+00,3.4902e+00,-1.6927e+04
-6.3371e-01,-1.9859e+00,2.1566e-01,3.1828e-01,3.9036e+00,2.1587e+00,3.4250e+00,-3.3641e+03
4.5139e-01,-6.0496e-01,-2.7593e-02,2.7581e+00,2.5281e+00,3.5608e+00,3.0819e+00,-3.2546e+04
