logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.9357e-01,-1.2797e+00,2.5628e+00,8.6092e-01,3.6436e+00,3.2846e+00,4.7422e+00,3.3738e+01,-2.6535e+03
4.8777e-01,-8.2305e-01,2.4574e+00,2.8418e+00,3.7800e+00,3.2327e+00,5.1753e+00,3.3928e+01,-9.4966e+02
3.1921e-01,-6.0700e-01,1.5619e+00,2.8948e-01,3.8106e+00,4.2792e+00,3.3928e+00,3.2512e+01,-6.5238e+02
-3.6237e-01,-1.8681e+00,-1.0553e-03,7.8644e-01,1.4168e+00,3.5644e+00,5.2231e+00,3.4507e+01,-6.6377e+02
2.0876e-01,-5.6408e-01,1.1525e+00,3.2226e+00,2.6819e+00,5.5323e+00,3.1458e+00,3.4690e+01,-2.2128e+03
-7.2760e-01,-1.1499e+00,2.9093e+00,2.8896e+00,1.1584e+00,3.3541e+00,5.1115e+00,3.4965e+01,-3.6032e+03
-5.0550e-01,-1.2455e+00,-3.1873e-01,2.6950e+00,3.1400e+00,2.1356e+00,5.4053e+00,3.4648e+01,-2.5227e+03
-3.0438e-01,-1.7104e+00,3.9518e-01,1.9198e+00,3.1173e+00,4.7527e+00,4.5667e+00,3.4149e+01,-1.1042e+03
1.7648e-01,-5.1330e-01,-7.5071e-01,9.9682e-01,9.9960e-01,3.6374e+00,4.7754e+00,3.2692e+01,-3.5196e+03
1.7593e-01,-7.0141e-01,4.1702e-01,3.2457e+00,2.8743e+00,2.2224e+00,5.2646e+00,3.4272e+01,-3.4104e+03
-6.3753e-02,-1.5591e+00,1.2783e+00,9.9984e-01,2.1904e+00,4.0432e+00,4.1049e+00,3.2689e+01,-1.5366e+03
1.6676e-01,-1.8648e+00,2.3844e+00,2.9877e+00,4.4575e+00,2.9377e+00,4.2954e+00,3.4501e+01,-3.5819e+03
-9.1249e-01,-8.8167e-01,3.1658e-01,3.4719e+00,2.4079e+00,2.9995e+00,4.5858e+00,3.3793e+01,-3.3968e+03
-7.1446e-02,-1.9598e+00,1.0929e+00,1.9396e+00,4.2074e+00,2.3754e+00,4.3656e+00,3.3579e+01,-2.2686e+03
-9.0905e-03,-1.5243e+00,1.9815e+00,7.0095e-01,1.1466e+00,4.3759e+00,4.0025e+00,3.3114e+01,-1.1473e+03
1.5299e-01,-5.4734e-01,2.6124e+00,5.8107e-01,9.6842e-01,5.1258e+00,4.2167e+00,3.4222e+01,-1.1199e+03
-1.9379e-01,-1.6280e+00,1.7164e+00,3.4609e-01,3.9750e+00,3.7736e+00,3.0355e+00,3.3813e+01,-2.6655e+03
2.6538e-01,-5.6816e-01,-9.9546e-02,2.4063e+00,3.8791e+00,3.0012e+00,3.1926e+00,3.2324e+01,-3.6145e+03
-9.6407e-01,-8.4280e-01,5.9667e-02,1.8075e+00,1.1892e+00,3.5344e+00,4.8780e+00,3.3990e+01,-3.3152e+03
-7.4425e-01,-9.1530e-01,-1.4325e-01,1.7520e+00,3.7808e+00,2.4127e+00,5.2819e+00,3.4695e+01,-6.2790e+02
1.7244e-01,-9.7255e-01,3.2439e-01,3.0576e+00,2.9257e+00,3.2499e+00,4.3872e+00,3.2702e+01,-1.6902e+03
6.1709e-02,-1.1025e+00,-3.0461e-01,3.4089e+00,1.4595e+00,3.8568e+00,5.2973e+00,3.4394e+01,-3.8526e+02
-5.0963e-02,-1.1103e+00,-4.2799e-01,2.3058e+00,4.3887e+00,2.4847e+00,4.4265e+00,3.4352e+01,-3.0289e+03
7.4992e-02,-7.0083e-01,2.6678e+00,3.2752e+00,1.9334e+00,4.5865e+00,3.9276e+00,3.3666e+01,-1.4855e+03
4.6601e-01,-5.1870e-01,6.4733e-01,2.8475e+00,4.3289e+00,3.6439e+00,3.4460e+00,3.2801e+01,-4.7433e+02
-5.3375e-01,-9.0201e-01,-4.2968e-01,2.7570e+00,2.0213e+00,2.6067e+00,4.0622e+00,3.1774e+01,-2.1418e+03
-2.7729e-01,-8.1508e-01,1.3860e+00,4.3808e-01,2.4540e+00,3.3723e+00,3.7618e+00,3.1526e+01,-1.3740e+03
-2.0308e-03,-7.0943e-01,2.5729e+00,3.1330e+00,1.0060e+00,4.3836e+00,5.2691e+00,3.4673e+01,-2.5363e+03
-6.5465e-01,-1.7885e+00,1.2760e+00,1.4010e+00,2.4587e+00,4.8987e+00,3.4666e+00,3.4286e+01,-2.6521e+03
1.1900e-01,-1.9583e+00,-3.4297e-01,6.5962e-01,1.2940e+00,4.3724e+00,4.5736e+00,3.3694e+01,-3.6669e+03
1.1189e-01,-6.5653e-01,1.2345e+00,3.3100e+00,2.3285e+00,2.3749e+00,5.1064e+00,3.3929e+01,-2.8248e+03
-1.6401e-01,-9.3618e-01,1.6753e+00,6.5565e-01,2.3049e+00,2.1368e+00,4.4168e+00,3.2070e+01,-1.0180e+03
-7.2510e-01,-8.0388e-01,1.6832e+00,2.4888e+00,3.3942e+00,4.8533e+00,3.8971e+00,3.4152e+01,-9.1437e+02
-2.5298e-01,-1.6200e+00,-5.2208e-02,3.0470e+00,2.2397e+00,4.3795e+00,4.4355e+00,3.3911e+01,-2.7277e+03
2.4813e-01,-1.1094e+00,-5.7380e-01,3.3019e+00,2.5018e+00,4.3087e+00,4.5361e+00,3.3128e+01,-1.9176e+03
9.9305e-02,-1.1246e+00,-5.8234e-01,1.3568e+00,4.5705e+00,2.3730e+00,3.4999e+00,3.4410e+01,-3.7896e+03
6.5023e-04,-6.7346e-01,2.6375e+00,2.5629e+00,4.1945e+00,4.3779e+00,4.0509e+00,3.3956e+01,-1.6272e+03
-5.5527e-01,-1.1306e+00,2.5711e+00,2.3672e+00,1.1250e+00,4.6588e+00,4.1699e+00,3.4291e+01,-2.8439e+03
-8.5445e-01,-6.0183e-01,-6.5327e-01,2.1099e+00,3.3635e+00,4.2538e+00,3.2362e+00,3.2499e+01,-1.0507e+03
-1.8110e-01,-6.6979e-01,1.3714e+00,2.7751e+00,2.4861e+00,3.9891e+00,4.9592e+00,3.3266e+01,-2.1468e+03
-6.2320e-01,-1.4390e+00,1.6625e+00,1.4599e+00,1.2484e+00,3.0187e+00,5.1276e+00,3.4186e+01,-1.3450e+03
3.9351e-01,-7.0717e-01,7.5323e-02,4.9569e-01,4.5638e+00,4.7071e+00,3.4273e+00,3.4024e+01,-5.8381e+02
2.9655e-01,-1.6139e+00,6.4645e-01,8.8855e-01,3.6914e+00,2.2355e+00,3.7626e+00,3.2139e+01,-1.2099e+03
-7.2479e-01,-1.0601e+00,8.5749e-01,3.1725e+00,4.5056e+00,3.2845e+00,3.9293e+00,3.4424e+01,-3.1595e+03
3.1182e-01,-1.2262e+00,1.4025e+00,5.4905e-01,1.5059e+00,2.3943e+00,5.1661e+00,3.3519e+01,-1.1958e+03
-6.5557e-02,-1.3806e+00,6.8593e-01,4.1262e-01,4.3489e+00,4.7999e+00,3.2854e+00,3.4548e+01,-7.2536e+02
-1.9191e-02,-6.6563e-01,1.8632e+00,1.1729e+00,2.3039e+00,4.1812e+00,3.3235e+00,3.2330e+01,-1.9260e+03
2.4537e-01,-8.8285e-01,1.5796e+00,2.2377e+00,2.8257e+00,3.1756e+00,5.3556e+00,3.4014e+01,-9.5342e+02
2.2915e-01,-1.7689e+00,-4.0729e-02,2.5933e+00,9.7426e-01,4.3702e+00,4.7783e+00,3.3311e+01,-1.0324e+03
-2.4307e-01,-1.5563e+00,9.0356e-01,2.4974e+00,2.6010e+00,3.3351e+00,5.1897e+00,3.4259e+01,-5.4437e+02
-3.6768e-01,-1.8520e+00,-2.7610e-01,2.9540e+00,3.8443e+00,3.1360e+00,3.9533e+00,3.3531e+01,-1.1763e+03
-8.4608e-02,-1.0086e+00,-1.0660e-01,1.8138e+00,4.5994e+00,4.4531e+00,3.8779e+00,3.4353e+01,-1.9859e+03
-1.9645e-01,-1.1280e+00,2.3459e+00,2.1110e+00,2.2556e+00,3.5412e+00,3.7300e+00,3.2434e+01,-3.9195e+03
-3.8520e-01,-1.0317e+00,-2.6827e-01,9.4222e-01,4.2529e+00,4.6331e+00,4.2744e+00,3.4288e+01,-1.2359e+03
-3.3698e-01,-1.7599e+00,2.2968e+00,3.0581e+00,2.4002e+00,4.5979e+00,4.4125e+00,3.4392e+01,-3.0388e+03
-6.5815e-01,-9.5146e-01,5.6991e-01,3.2279e+00,4.0377e+00,3.7157e+00,4.9622e+00,3.4384e+01,-1.1940e+03
1.8151e-01,-8.9772e-01,-3.5939e-01,3.7639e+00,1.2685e+00,2.6907e+00,5.6317e+00,3.4889e+01,-5.9577e+02
3.2325e-01,-1.3521e+00,-2.5750e-01,3.4006e+00,9.0393e-01,4.4304e+00,3.9195e+00,3.3354e+01,-1.9556e+03
-6.2605e-01,-1.5692e+00,2.0035e+00,6.5179e-01,2.4856e+00,4.3724e+00,2.9962e+00,3.3111e+01,-3.2320e+03
-5.9516e-01,-7.9335e-01,1.5676e+00,1.2159e+00,4.2416e+00,4.0225e+00,5.2956e+00,3.4492e+01,-3.8328e+03
-1.9612e-01,-6.6953e-01,2.8084e+00,2.8031e+00,1.0912e+00,3.1610e+00,5.0832e+00,3.3763e+01,-1.9187e+03
-1.6001e-01,-9.9048e-01,1.0152e+00,2.8095e+00,3.3259e+00,2.4355e+00,3.5190e+00,3.2154e+01,-1.2927e+03
3.5304e-01,-6.7546e-01,1.8242e+00,3.9348e+00,2.3421e+00,4.2392e+00,3.0377e+00,3.3545e+01,-3.2142e+03
4.1301e-01,-9.7042e-01,9.8702e-01,2.4485e+00,1.8308e+00,4.5422e+00,4.8330e+00,3.3455e+01,-6.8463e+02
3.3304e-01,-9.8061e-01,3.5667e-01,5.7844e-01,4.4101e+00,2.7371e+00,3.5193e+00,3.3468e+01,-9.4254e+02
-6.0989e-01,-1.0218e+00,2.6846e+00,1.1897e+00,2.8059e+00,5.1407e+00,4.0453e+00,3.4854e+01,-2.1216e+03
3.9264e-01,-1.7739e+00,1.5734e+00,4.5216e-01,2.4067e+00,3.6202e+00,3.7279e+00,3.1599e+01,-1.7899e+03
-4.3907e-01,-5.7193e-01,1.5248e+00,2.6081e+00,4.0612e+00,4.7683e+00,4.5803e+00,3.4061e+01,-6.2489e+02
4.6898e-01,-6.5387e-01,1.2793e+00,2.9147e+00,3.5829e+00,5.2496e+00,4.2157e+00,3.4100e+01,-1.2305e+03
-1.3530e-01,-1.5237e+00,1.1562e+00,3.4275e+00,4.4506e+00,2.4318e+00,5.0845e+00,3.4879e+01,-9.1517e+02
