logfeh,logdust,logNpix,logage,dmod,logl
2.0580e-03,-1.4964e+00,4.0261e+00,9.7982e+00,2.9931e+01,-7.3090e+01
-1.4373e-03,-1.5030e+00,4.0323e+00,9.8137e+00,2.9947e+01,-7.1605e+01
-3.7392e-04,-1.4957e+00,4.0217e+00,9.8048e+00,2.9920e+01,-7.1238e+01
7.6720e-03,-1.5063e+00,4.0301e+00,9.8005e+00,2.9943e+01,-7.3071e+01
5.4056e-03,-1.4950e+00,4.0265e+00,9.8197e+00,2.9932e+01,-7.1715e+01
1.9106e-03,-1.5010e+00,4.0305e+00,9.7970e+00,2.9945e+01,-7.0259e+01
7.8640e-04,-1.4961e+00,4.0386e+00,9.7980e+00,2.9963e+01,-7.2934e+01
4.9828e-03,-1.4903e+00,4.0259e+00,9.8166e+00,2.9930e+01,-6.6969e+01
8.2173e-03,-1.5022e+00,4.0316e+00,9.8022e+00,2.9946e+01,-7.1719e+01
-2.0508e-03,-1.4973e+00,4.0386e+00,9.7943e+00,2.9963e+01,-7.2082e+01
-6.3377e-03,-1.4974e+00,4.0363e+00,9.8202e+00,2.9958e+01,-7.3059e+01
5.0373e-03,-1.4983e+00,4.0324e+00,9.8007e+00,2.9948e+01,-7.0849e+01
6.0627e-03,-1.5007e+00,4.0324e+00,9.8049e+00,2.9947e+01,-6.9053e+01
4.8153e-03,-1.4957e+00,4.0264e+00,9.8239e+00,2.9933e+01,-7.2448e+01
7.7636e-03,-1.4944e+00,4.0263e+00,9.7876e+00,2.9931e+01,-7.0485e+01
-2.1733e-03,-1.5010e+00,4.0271e+00,9.7876e+00,2.9935e+01,-7.2595e+01
-5.9889e-03,-1.5026e+00,4.0270e+00,9.7929e+00,2.9935e+01,-6.9291e+01
-8.1913e-04,-1.5022e+00,4.0295e+00,9.7976e+00,2.9940e+01,-7.1659e+01
7.0798e-04,-1.4922e+00,4.0245e+00,9.8041e+00,2.9927e+01,-6.7982e+01
-7.3844e-03,-1.5022e+00,4.0298e+00,9.7765e+00,2.9942e+01,-7.3050e+01
-6.6886e-03,-1.4964e+00,4.0336e+00,9.8003e+00,2.9949e+01,-7.2803e+01
6.7356e-03,-1.4943e+00,4.0222e+00,9.8198e+00,2.9921e+01,-7.2420e+01
