logfeh,logdust,logNpix,logage,dmod,logl
-4.0153e-01,-1.4446e+00,4.2434e+00,1.0122e+01,3.0016e+01,-1.2899e+02
-3.3857e-01,-1.6547e+00,4.2193e+00,1.0115e+01,2.9951e+01,-1.2547e+02
-3.9374e-01,-1.4781e+00,4.2579e+00,1.0117e+01,3.0054e+01,-1.0453e+02
-2.8102e-01,-1.7126e+00,4.2067e+00,1.0061e+01,2.9964e+01,-1.2985e+02
-3.6006e-01,-1.5886e+00,4.2345e+00,1.0105e+01,2.9990e+01,-1.2465e+02
-4.0144e-01,-1.4414e+00,4.2317e+00,1.0080e+01,2.9986e+01,-1.2751e+02
-2.0366e-01,-1.7291e+00,4.2006e+00,1.0025e+01,2.9949e+01,-1.2815e+02
-4.2214e-01,-1.6475e+00,4.2967e+00,1.0187e+01,2.9994e+01,-1.2399e+02
-3.3456e-01,-1.6950e+00,4.2509e+00,1.0082e+01,3.0032e+01,-1.1657e+02
-4.1116e-01,-1.7218e+00,4.2967e+00,1.0178e+01,2.9998e+01,-1.2266e+02
-4.3580e-01,-1.4584e+00,4.2825e+00,1.0165e+01,2.9996e+01,-1.2639e+02
-3.3805e-01,-1.6666e+00,4.2291e+00,1.0115e+01,2.9973e+01,-1.2734e+02
-3.4817e-01,-1.6354e+00,4.2569e+00,1.0122e+01,3.0046e+01,-1.2192e+02
-3.6800e-01,-1.5622e+00,4.2544e+00,1.0117e+01,3.0042e+01,-1.0291e+02
-3.4516e-01,-1.6511e+00,4.2205e+00,1.0111e+01,2.9956e+01,-1.2991e+02
-3.2051e-01,-1.7193e+00,4.2513e+00,1.0081e+01,3.0027e+01,-1.1419e+02
-3.7524e-01,-1.6989e+00,4.2795e+00,1.0150e+01,3.0002e+01,-1.2134e+02
-4.1354e-01,-1.6836e+00,4.3067e+00,1.0178e+01,3.0023e+01,-1.2810e+02
-3.3370e-01,-1.6754e+00,4.2303e+00,1.0118e+01,2.9980e+01,-1.2598e+02
-3.2155e-01,-1.7158e+00,4.2338e+00,1.0089e+01,2.9981e+01,-1.2202e+02
-4.2811e-01,-1.4661e+00,4.2818e+00,1.0146e+01,2.9991e+01,-1.2392e+02
-3.8347e-01,-1.6788e+00,4.2862e+00,1.0136e+01,3.0019e+01,-1.2961e+02
-3.7440e-01,-1.5248e+00,4.2410e+00,1.0112e+01,3.0006e+01,-1.0631e+02
-3.2141e-01,-1.3163e+00,4.2081e+00,9.9820e+00,3.0031e+01,-1.2766e+02
-3.4318e-01,-1.6132e+00,4.2330e+00,1.0113e+01,2.9979e+01,-1.2911e+02
-3.3581e-01,-1.6619e+00,4.2292e+00,1.0101e+01,2.9976e+01,-1.2126e+02
-3.5433e-01,-1.3866e+00,4.2206e+00,1.0040e+01,3.0003e+01,-1.1929e+02
-3.5613e-01,-1.3721e+00,4.2229e+00,1.0039e+01,3.0008e+01,-1.2391e+02
-3.4908e-01,-1.3996e+00,4.2300e+00,1.0031e+01,3.0027e+01,-1.1861e+02
-4.3831e-01,-1.4365e+00,4.2882e+00,1.0161e+01,3.0004e+01,-1.2913e+02
-3.6970e-01,-1.7325e+00,4.2907e+00,1.0163e+01,3.0033e+01,-1.1210e+02
-2.8998e-01,-1.7322e+00,4.2052e+00,1.0041e+01,2.9963e+01,-1.2938e+02
-3.3337e-01,-1.7082e+00,4.2283e+00,1.0096e+01,2.9975e+01,-1.2782e+02
-3.6594e-01,-1.7313e+00,4.2675e+00,1.0152e+01,2.9973e+01,-1.0660e+02
-3.9269e-01,-1.3035e+00,4.2307e+00,1.0073e+01,3.0028e+01,-1.0597e+02
-3.8157e-01,-1.5145e+00,4.2496e+00,1.0091e+01,3.0031e+01,-1.2172e+02
-3.7785e-01,-1.5215e+00,4.2275e+00,1.0094e+01,2.9975e+01,-1.1709e+02
-3.1221e-01,-1.4823e+00,4.2063e+00,1.0039e+01,2.9965e+01,-1.1613e+02
-4.0002e-01,-1.4462e+00,4.2394e+00,1.0084e+01,3.0006e+01,-1.2804e+02
-3.5268e-01,-1.3788e+00,4.2139e+00,1.0035e+01,2.9983e+01,-1.2501e+02
-4.1824e-01,-1.5169e+00,4.2808e+00,1.0156e+01,2.9996e+01,-1.2957e+02
-4.0988e-01,-1.5569e+00,4.2706e+00,1.0140e+01,2.9975e+01,-1.2097e+02
-4.0638e-01,-1.6941e+00,4.2872e+00,1.0191e+01,2.9970e+01,-1.2086e+02
-4.2556e-01,-1.2556e+00,4.2275e+00,1.0038e+01,3.0023e+01,-1.2507e+02
-4.1199e-01,-1.6934e+00,4.3051e+00,1.0188e+01,3.0017e+01,-1.2617e+02
-4.0250e-01,-1.4330e+00,4.2526e+00,1.0081e+01,3.0036e+01,-1.2618e+02
-3.3018e-01,-1.7034e+00,4.2546e+00,1.0084e+01,3.0040e+01,-1.0343e+02
-3.2532e-01,-1.7311e+00,4.2165e+00,1.0123e+01,2.9943e+01,-1.2893e+02
-3.4789e-01,-1.6387e+00,4.2490e+00,1.0095e+01,3.0030e+01,-1.1174e+02
-3.9996e-01,-1.5704e+00,4.2735e+00,1.0126e+01,2.9978e+01,-1.0679e+02
-3.5442e-01,-1.3787e+00,4.2282e+00,1.0058e+01,3.0021e+01,-1.2012e+02
-3.3427e-01,-1.6578e+00,4.2241e+00,1.0110e+01,2.9959e+01,-1.1075e+02
-3.6178e-01,-1.5860e+00,4.2276e+00,1.0123e+01,2.9978e+01,-1.2563e+02
-3.8926e-01,-1.4622e+00,4.2495e+00,1.0116e+01,3.0025e+01,-1.2525e+02
-4.2420e-01,-1.3916e+00,4.2440e+00,1.0104e+01,3.0020e+01,-1.2915e+02
-3.5987e-01,-1.3707e+00,4.2395e+00,1.0068e+01,3.0049e+01,-1.2559e+02
-3.4805e-01,-1.6286e+00,4.2355e+00,1.0082e+01,2.9991e+01,-1.1688e+02
-4.1738e-01,-1.6658e+00,4.3071e+00,1.0192e+01,3.0021e+01,-1.2569e+02
-4.0684e-01,-1.7274e+00,4.2818e+00,1.0180e+01,2.9962e+01,-1.2219e+02
-3.5715e-01,-1.3754e+00,4.2387e+00,1.0036e+01,3.0045e+01,-1.2934e+02
-4.0148e-01,-1.5726e+00,4.2798e+00,1.0158e+01,2.9997e+01,-1.2135e+02
-3.8030e-01,-1.5082e+00,4.2209e+00,1.0101e+01,2.9959e+01,-1.2477e+02
-3.5271e-01,-1.6034e+00,4.2441e+00,1.0116e+01,3.0013e+01,-1.0446e+02
-3.8991e-01,-1.6351e+00,4.2923e+00,1.0143e+01,3.0033e+01,-1.2771e+02
-3.8865e-01,-1.3148e+00,4.2276e+00,1.0048e+01,3.0024e+01,-1.2962e+02
-3.8928e-01,-1.6136e+00,4.2673e+00,1.0171e+01,2.9967e+01,-1.2327e+02
