niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.6447e+05,-1.6448e+05,-1.9980e-03,-1.6448e+05,1.1750e-01,6.9098e+00,inf,4.9447e-01,-4.5959e-01,-1.5242e+00,5.4460e+00,9.5868e+00,2.8478e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6416e+05,-1.6417e+05,-3.9960e-03,-1.6417e+05,1.1751e-01,6.9118e+00,1.7157e+04,1.0021e+00,-4.9429e-01,-1.3018e+00,5.4927e+00,1.0064e+01,2.8121e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6410e+05,-1.6411e+05,-5.9940e-03,-1.6411e+05,1.1753e-01,6.9138e+00,1.6848e+04,1.4974e+00,-4.9299e-01,-1.2997e+00,5.4317e+00,9.8898e+00,2.8339e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.6409e+05,-1.6409e+05,-7.9920e-03,-1.6409e+05,1.1755e-01,6.9157e+00,1.6788e+04,1.9912e+00,-1.9280e-01,-1.7471e+00,5.3620e+00,9.9237e+00,2.8026e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.6408e+05,-1.6409e+05,-9.9900e-03,-1.6409e+05,1.1527e-01,6.6507e+00,1.6773e+04,2.4934e+00,1.9374e-01,-1.4854e+00,5.4136e+00,9.8831e+00,2.8026e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.6396e+05,-1.6396e+05,-1.1988e-02,-1.6396e+05,1.1758e-01,6.9197e+00,1.6770e+04,2.9977e+00,1.1176e-01,-1.2632e+00,5.2618e+00,9.5693e+00,2.8474e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.6395e+05,-1.6395e+05,-1.3986e-02,-1.6395e+05,1.1755e-01,6.9163e+00,1.6642e+04,3.4865e+00,-7.2719e-02,-1.3053e+00,5.2544e+00,9.6067e+00,2.8476e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.6392e+05,-1.6392e+05,-1.5984e-02,-1.6392e+05,1.1762e-01,6.9237e+00,1.6634e+04,3.9912e+00,1.3455e-01,-1.6584e+00,5.2389e+00,9.5726e+00,2.8507e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6389e+05,-1.6390e+05,-1.7982e-02,-1.6390e+05,1.1763e-01,6.9257e+00,1.6603e+04,4.4975e+00,-3.8355e-01,-1.5695e+00,5.3652e+00,9.5911e+00,2.9091e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6382e+05,-1.6382e+05,-1.9980e-02,-1.6382e+05,1.1765e-01,6.9277e+00,1.6581e+04,5.1000e+00,-4.2640e-01,-1.5309e+00,5.3425e+00,9.5291e+00,2.9243e+01
