logfeh,logdust,logNpix,logage,dmod,logl
-1.5413e-01,-1.7038e+00,4.8137e+00,9.7845e+00,2.8686e+01,-6.2284e+04
-2.7146e-01,-1.3371e+00,2.7328e+00,9.7357e+00,2.8189e+01,-1.5829e+05
-3.5157e-01,-1.4629e+00,5.3549e+00,9.8776e+00,3.0012e+01,-1.3393e+05
-3.9478e-01,-1.5879e+00,4.8077e+00,1.0006e+01,2.8425e+01,-4.1666e+04
-2.3837e-01,-1.7313e+00,5.3904e+00,9.9504e+00,2.9870e+01,-8.5079e+04
-3.7674e-01,-1.3712e+00,5.4763e+00,1.0076e+01,2.9970e+01,-1.5785e+05
-3.6231e-01,-1.3752e+00,4.7077e+00,9.6963e+00,2.8686e+01,-1.5441e+05
-1.2501e-01,-1.6310e+00,5.1753e+00,9.8365e+00,2.9524e+01,-6.1916e+04
5.9171e-02,-1.4275e+00,5.3063e+00,9.7571e+00,2.9773e+01,-1.3754e+05
1.3808e-01,-1.4264e+00,4.5504e+00,9.6187e+00,2.8216e+01,-1.0175e+05
-3.9539e-01,-1.2896e+00,5.3790e+00,9.8567e+00,3.0086e+01,-7.7215e+04
1.9705e-02,-1.3121e+00,4.8881e+00,9.7290e+00,2.8858e+01,-1.0305e+05
-3.2760e-01,-1.3755e+00,2.8422e+00,9.7637e+00,2.8108e+01,-1.5821e+05
1.8932e-01,-1.4917e+00,4.5552e+00,9.5178e+00,2.8284e+01,-9.5855e+04
-4.5309e-01,-1.5663e+00,2.9997e+00,9.8978e+00,2.8008e+01,-1.5813e+05
7.8999e-02,-1.2927e+00,5.3180e+00,9.5818e+00,3.0161e+01,-1.0745e+05
-2.5355e-01,-1.2913e+00,4.6686e+00,9.6124e+00,2.8696e+01,-1.5029e+05
-3.9833e-01,-1.4345e+00,4.8296e+00,9.9016e+00,2.8727e+01,-1.2828e+05
-7.3776e-02,-1.2779e+00,4.5856e+00,9.8207e+00,2.8080e+01,-1.4355e+05
-2.7704e-01,-1.4621e+00,4.7241e+00,9.7089e+00,2.8775e+01,-1.4192e+05
-3.0356e-01,-1.3514e+00,4.8024e+00,9.8933e+00,2.8550e+01,-5.4993e+04
2.4181e-02,-1.4367e+00,4.8102e+00,9.5566e+00,2.8951e+01,-1.3809e+05
-1.1624e-02,-1.2707e+00,4.6619e+00,9.5102e+00,2.8752e+01,-1.0448e+05
-2.4688e-01,-1.4458e+00,5.4843e+00,1.0002e+01,2.9927e+01,-1.5214e+05
-2.0899e-01,-1.4683e+00,2.6725e+00,9.9599e+00,2.8140e+01,-1.5834e+05
-6.8229e-02,-1.3660e+00,2.6468e+00,9.5218e+00,2.8130e+01,-1.5805e+05
-3.4696e-01,-1.2558e+00,5.0250e+00,9.7326e+00,2.9398e+01,-1.2360e+05
-2.2913e-01,-1.6179e+00,5.3500e+00,1.0049e+01,2.9615e+01,-8.0467e+04
-1.7641e-01,-1.2887e+00,2.8011e+00,9.6528e+00,2.8104e+01,-1.5818e+05
-8.5628e-02,-1.4637e+00,5.0175e+00,9.9418e+00,2.8897e+01,-1.5240e+05
1.7098e-01,-1.2779e+00,5.0897e+00,9.6425e+00,2.9349e+01,-1.3005e+05
-4.7732e-01,-1.3979e+00,2.7708e+00,1.0190e+01,2.8153e+01,-1.5844e+05
-4.2019e-01,-1.7335e+00,2.7127e+00,9.6961e+00,2.8255e+01,-1.5831e+05
-1.4109e-01,-1.2957e+00,4.9454e+00,9.7762e+00,2.9035e+01,-1.3934e+05
-5.4699e-02,-1.5989e+00,2.8968e+00,9.5173e+00,2.8014e+01,-1.5835e+05
-3.8095e-01,-1.3975e+00,5.1653e+00,1.0021e+01,2.9322e+01,-5.3014e+04
5.9844e-02,-1.7030e+00,4.9506e+00,9.7861e+00,2.8783e+01,-1.5266e+05
-1.8980e-01,-1.4600e+00,5.4669e+00,1.0001e+01,2.9858e+01,-1.4993e+05
2.2231e-01,-1.6348e+00,4.9353e+00,9.6603e+00,2.8839e+01,-1.5695e+05
4.1333e-02,-1.6518e+00,4.7204e+00,9.8449e+00,2.8287e+01,-9.0701e+04
-1.2603e-01,-1.2841e+00,5.1297e+00,9.7534e+00,2.9412e+01,-1.3741e+05
-4.8691e-02,-1.2781e+00,4.5311e+00,9.6504e+00,2.8116e+01,-4.4732e+04
2.1807e-01,-1.3717e+00,4.7237e+00,9.5430e+00,2.8663e+01,-1.4178e+05
-1.8047e-01,-1.4667e+00,4.8869e+00,9.6109e+00,2.9216e+01,-1.5452e+05
-2.1993e-01,-1.7438e+00,5.2657e+00,1.0111e+01,2.9407e+01,-1.4732e+05
1.3486e-02,-1.4309e+00,5.2053e+00,9.6340e+00,2.9787e+01,-5.8121e+04
-3.1923e-02,-1.3896e+00,4.7710e+00,9.5316e+00,2.8861e+01,-1.1393e+05
-2.1330e-01,-1.4859e+00,3.0461e+00,9.7575e+00,2.8020e+01,-1.5843e+05
1.1444e-01,-1.4777e+00,5.0501e+00,9.6047e+00,2.9527e+01,-1.3943e+05
-9.9026e-02,-1.7255e+00,4.7709e+00,9.7890e+00,2.8633e+01,-1.2265e+05
-3.3812e-01,-1.3327e+00,5.3617e+00,9.9035e+00,2.9928e+01,-6.5906e+03
-3.3059e-01,-1.6217e+00,2.5956e+00,9.9020e+00,2.8029e+01,-1.5792e+05
-4.5681e-01,-1.3438e+00,5.2514e+00,9.9642e+00,2.9575e+01,-1.3152e+05
-3.5164e-01,-1.2839e+00,2.7448e+00,9.9174e+00,2.8033e+01,-1.5785e+05
-4.2027e-02,-1.3173e+00,4.9713e+00,9.5542e+00,2.9482e+01,-1.4249e+05
-3.2139e-02,-1.5197e+00,2.6231e+00,9.5216e+00,2.8008e+01,-1.5782e+05
-3.6202e-01,-1.4720e+00,2.7623e+00,9.5736e+00,2.8233e+01,-1.5825e+05
2.0910e-01,-1.6083e+00,5.1050e+00,9.8135e+00,2.9124e+01,-1.5454e+05
-3.5133e-01,-1.6153e+00,5.0886e+00,9.9824e+00,2.9137e+01,-2.8362e+04
-3.4457e-01,-1.3397e+00,2.6453e+00,9.6715e+00,2.8252e+01,-1.5823e+05
-4.4165e-01,-1.3528e+00,4.6529e+00,9.7883e+00,2.8533e+01,-1.5624e+05
-5.1522e-02,-1.2676e+00,4.6192e+00,9.7570e+00,2.8243e+01,-1.3222e+05
-3.5974e-01,-1.3734e+00,4.8334e+00,9.7380e+00,2.8895e+01,-1.4586e+05
-3.2403e-01,-1.5750e+00,5.1755e+00,9.9919e+00,2.9428e+01,-1.5630e+05
-1.0594e-01,-1.5664e+00,5.1164e+00,9.6114e+00,2.9893e+01,-1.5699e+05
-3.6475e-01,-1.6386e+00,2.7880e+00,9.9680e+00,2.8006e+01,-1.5781e+05
