logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.3104e-01,-1.3832e+00,-6.3659e-01,2.1853e+00,2.7334e+00,2.3195e+00,4.5225e+00,3.0511e+01,-1.8674e+02
2.6138e-01,-1.3623e+00,9.0459e-01,2.0471e+00,7.3987e-01,3.9119e+00,4.3222e+00,3.0407e+01,-2.0740e+02
3.9522e-01,-1.4310e+00,9.0852e-01,1.5112e+00,8.4117e-01,4.1712e+00,3.8089e+00,3.0194e+01,-2.1967e+02
2.5396e-01,-1.5913e+00,-8.7311e-01,2.0001e+00,1.8607e+00,3.7286e+00,4.2886e+00,3.0215e+01,-1.8301e+02
2.5931e-03,-1.5001e+00,9.2794e-01,1.4207e+00,1.2579e+00,2.2384e+00,4.6574e+00,3.0842e+01,-2.2011e+02
-1.9748e-02,-1.5187e+00,1.0571e+00,4.5272e-01,1.6038e+00,2.6823e+00,4.5739e+00,3.0661e+01,-2.2155e+02
1.3490e-01,-1.5585e+00,6.9847e-01,2.1742e-01,2.9422e+00,2.7167e+00,4.3926e+00,3.0265e+01,-2.0865e+02
5.0089e-02,-1.6830e+00,6.1215e-01,1.6107e+00,1.7858e+00,1.7952e+00,4.5198e+00,3.0486e+01,-2.2659e+02
-7.0150e-02,-1.2926e+00,6.8701e-01,1.4394e+00,2.2686e+00,3.4485e+00,4.6447e+00,3.0951e+01,-1.9577e+02
-2.5395e-01,-1.0614e+00,1.0379e+00,1.6083e+00,1.5072e+00,3.0302e+00,4.6712e+00,3.1000e+01,-1.9335e+02
3.5496e-01,-1.4421e+00,9.2507e-01,-6.1570e-01,2.5962e+00,4.2387e+00,3.9530e+00,3.0458e+01,-1.8787e+02
2.7524e-01,-1.8712e+00,4.5267e-01,2.0599e+00,2.4598e+00,2.7702e+00,4.5004e+00,3.0403e+01,-2.1542e+02
3.4065e-01,-1.7393e+00,8.3014e-01,2.1578e+00,2.2486e+00,3.8017e+00,4.4392e+00,3.0501e+01,-1.9170e+02
1.6208e-01,-1.7865e+00,-1.6393e+00,1.9841e+00,1.1205e+00,3.1098e+00,4.4263e+00,3.0289e+01,-1.9136e+02
1.4860e-01,-1.0234e+00,-1.6323e+00,2.2869e+00,1.0174e+00,4.1638e+00,4.0714e+00,3.0461e+01,-2.2498e+02
1.6332e-01,-1.1090e+00,7.9630e-01,1.5654e+00,1.6924e+00,4.3431e+00,3.6603e+00,3.0593e+01,-2.0329e+02
-4.1562e-02,-1.6576e+00,1.0377e-01,1.0022e+00,1.2146e+00,3.1416e+00,4.5301e+00,3.0596e+01,-2.2060e+02
2.6878e-01,-1.1840e+00,7.7219e-01,-2.2521e-01,2.0521e+00,4.3888e+00,3.2952e+00,3.0585e+01,-1.8739e+02
1.4275e-01,-1.4092e+00,1.8129e-01,2.2647e+00,1.0385e+00,1.9354e+00,4.4746e+00,3.0343e+01,-1.6676e+02
-4.9996e-03,-1.2503e+00,8.4240e-01,1.1645e+00,1.8766e+00,3.7832e+00,4.3909e+00,3.0524e+01,-2.0275e+02
1.1121e-01,-1.6855e+00,8.7520e-01,1.0259e+00,1.8349e-01,3.6468e+00,4.5375e+00,3.0698e+01,-2.2279e+02
3.0954e-01,-1.6898e+00,-3.6397e-01,2.2917e+00,1.6235e+00,2.8191e+00,4.3779e+00,3.0086e+01,-1.8835e+02
1.4240e-01,-1.9088e+00,5.5607e-01,1.5452e+00,1.4337e+00,3.6761e+00,4.5248e+00,3.0682e+01,-1.9894e+02
-3.5485e-02,-1.3774e+00,2.8988e-01,2.0326e+00,1.9189e+00,2.9474e+00,4.6108e+00,3.0764e+01,-2.0864e+02
-2.4512e-02,-1.1980e+00,3.4246e-01,2.3077e+00,2.0268e+00,2.3102e+00,4.5371e+00,3.0563e+01,-2.2338e+02
-1.6937e-01,-1.1099e+00,4.4324e-01,1.1219e+00,1.5549e+00,3.7304e+00,4.5718e+00,3.0895e+01,-2.0799e+02
-3.5477e-02,-1.7298e+00,7.8798e-01,4.9882e-01,8.4256e-01,2.0048e+00,4.5954e+00,3.0701e+01,-1.7220e+02
1.7168e-01,-1.5678e+00,-1.1100e+00,1.9935e+00,1.5319e+00,3.6248e+00,4.3879e+00,3.0362e+01,-2.1166e+02
2.6223e-01,-1.3265e+00,6.3700e-01,1.9302e+00,1.6460e+00,4.0630e+00,4.1904e+00,3.0396e+01,-1.5114e+02
-2.4675e-02,-1.5866e+00,6.6214e-01,9.7113e-01,2.5403e-01,2.7725e+00,4.5789e+00,3.0666e+01,-2.1790e+02
2.2038e-01,-1.9550e+00,8.6800e-02,1.3080e+00,1.2345e+00,3.9240e+00,4.2562e+00,3.0334e+01,-1.9301e+02
6.3380e-03,-1.1268e+00,9.1666e-01,3.4403e-01,1.7755e+00,4.1036e+00,4.2930e+00,3.0675e+01,-2.1958e+02
1.4446e-01,-1.2402e+00,9.2373e-01,1.5766e+00,2.4226e+00,4.1048e+00,4.2822e+00,3.0621e+01,-2.0229e+02
1.4013e-01,-1.4756e+00,8.5054e-01,2.0807e+00,2.3547e+00,2.7278e+00,4.4958e+00,3.0437e+01,-1.5492e+02
3.7422e-01,-1.6010e+00,4.4502e-02,1.5292e+00,1.4873e+00,4.1627e+00,3.7844e+00,3.0195e+01,-2.0876e+02
3.2875e-01,-1.5890e+00,5.9978e-01,1.1251e+00,2.3194e+00,4.2008e+00,3.9663e+00,3.0416e+01,-2.1017e+02
2.4626e-01,-1.3066e+00,8.9615e-01,-6.3842e-01,1.0455e+00,4.2485e+00,3.9277e+00,3.0472e+01,-1.7456e+02
3.5285e-01,-1.7440e+00,6.6806e-01,6.4703e-01,8.0836e-02,4.1700e+00,3.9120e+00,3.0295e+01,-1.7783e+02
4.7499e-01,-1.9991e+00,5.3180e-01,5.9513e-01,1.6858e+00,4.2556e+00,3.4536e+00,3.0201e+01,-2.0682e+02
-3.9721e-02,-1.2642e+00,3.0349e-01,1.7248e+00,2.3308e+00,3.7106e+00,4.4873e+00,3.0680e+01,-2.2411e+02
-1.2499e-01,-1.2103e+00,4.7431e-01,1.8623e+00,1.8501e+00,2.5865e+00,4.5263e+00,3.0592e+01,-2.2270e+02
3.1855e-01,-1.2453e+00,8.6313e-01,4.7541e-01,2.7257e+00,4.1441e+00,3.6595e+00,3.0154e+01,-2.1348e+02
-2.6450e-01,-1.1154e+00,7.3190e-01,-6.4311e-01,2.5093e+00,2.8711e+00,4.6812e+00,3.1061e+01,-1.8882e+02
4.9979e-01,-1.3038e+00,6.0326e-01,2.3116e+00,1.3487e+00,4.2332e+00,3.8150e+00,3.0275e+01,-1.9935e+02
3.0219e-01,-1.0551e+00,1.0732e+00,2.1586e+00,1.6471e+00,4.3494e+00,3.5987e+00,3.0519e+01,-2.2249e+02
1.9417e-01,-1.2294e+00,6.6818e-01,1.2818e-01,2.2486e+00,4.2422e+00,3.9423e+00,3.0507e+01,-1.7128e+02
7.6661e-02,-1.6629e+00,3.1133e-01,5.9120e-02,6.8078e-01,3.6859e+00,4.4852e+00,3.0625e+01,-2.1982e+02
2.1535e-01,-1.2012e+00,8.7159e-01,3.6983e-01,1.4479e+00,4.2995e+00,3.4961e+00,3.0404e+01,-2.0812e+02
4.1283e-01,-1.6876e+00,-1.4320e-01,1.5089e+00,7.4384e-01,4.1958e+00,3.6682e+00,3.0181e+01,-2.1814e+02
4.8597e-01,-1.9595e+00,3.6043e-01,-3.0578e-01,1.4184e+00,4.2472e+00,3.0022e+00,3.0115e+01,-1.9079e+02
3.6247e-01,-1.5212e+00,5.1906e-01,1.0224e+00,1.0962e+00,4.1564e+00,3.6230e+00,3.0099e+01,-2.0209e+02
3.8246e-01,-1.3755e+00,-1.6715e+00,2.1739e+00,1.3456e+00,3.9920e+00,4.0321e+00,3.0079e+01,-1.4846e+02
-2.3725e-02,-1.3978e+00,9.5063e-01,-4.4952e-01,2.4409e+00,3.2248e+00,4.5908e+00,3.0761e+01,-2.1588e+02
8.1030e-02,-1.3039e+00,-6.4004e-01,2.1147e+00,1.9137e+00,3.2894e+00,4.4193e+00,3.0337e+01,-2.1103e+02
3.3793e-01,-1.8020e+00,7.3744e-01,-4.3228e-01,1.8122e-01,4.2225e+00,4.0275e+00,3.0475e+01,-2.0464e+02
4.3320e-01,-1.3690e+00,-7.3487e-01,1.8748e+00,9.1693e-01,4.1986e+00,3.1578e+00,3.0045e+01,-1.9658e+02
1.7985e-01,-1.6849e+00,3.0136e-01,1.9180e+00,1.9605e+00,2.9706e+00,4.3451e+00,3.0076e+01,-2.1470e+02
2.6948e-01,-1.6909e+00,-4.8974e-01,1.8048e+00,3.9484e-01,3.9365e+00,4.3105e+00,3.0421e+01,-2.2678e+02
3.4053e-01,-1.4902e+00,-1.9910e-01,2.1134e+00,2.0260e+00,3.9571e+00,4.1711e+00,3.0226e+01,-1.7009e+02
2.4825e-01,-1.8812e+00,1.3384e-01,1.6002e+00,2.1333e+00,3.7654e+00,4.2785e+00,3.0233e+01,-1.8841e+02
2.6121e-02,-1.6164e+00,-1.8451e-01,1.5558e+00,1.7001e+00,2.0181e+00,4.5342e+00,3.0551e+01,-2.1375e+02
4.8015e-01,-1.7783e+00,6.4000e-01,1.6313e+00,5.1962e-01,4.2421e+00,3.7104e+00,3.0250e+01,-2.0877e+02
2.3461e-01,-1.6636e+00,1.3300e-01,-6.6376e-02,2.4153e+00,3.9666e+00,4.1870e+00,3.0305e+01,-2.2037e+02
