logfeh,logdust,logNpix,logage,dmod,logl
-1.1141e-01,-1.7778e+00,4.4491e+00,1.0170e+01,3.0835e+01,-4.9220e+01
-1.0494e-01,-1.8151e+00,4.4539e+00,1.0170e+01,3.0844e+01,-4.2705e+01
-2.0966e-02,-1.2813e+00,4.3488e+00,9.9710e+00,3.0788e+01,-4.8737e+01
-7.0128e-02,-1.6757e+00,4.4198e+00,1.0100e+01,3.0797e+01,-4.9411e+01
-6.3224e-02,-1.4644e+00,4.3895e+00,1.0064e+01,3.0783e+01,-4.2204e+01
-1.3358e-02,-1.9537e+00,4.3630e+00,1.0079e+01,3.0618e+01,-4.7089e+01
1.4127e-01,-1.8885e+00,4.2516e+00,1.0003e+01,3.0409e+01,-4.9724e+01
-1.9668e-01,-1.2872e+00,4.4733e+00,1.0089e+01,3.0973e+01,-4.3326e+01
-5.4918e-02,-1.7145e+00,4.4044e+00,1.0096e+01,3.0750e+01,-3.8635e+01
-7.9311e-02,-1.6274e+00,4.4176e+00,1.0085e+01,3.0794e+01,-4.6356e+01
-1.2670e-01,-1.6677e+00,4.4699e+00,1.0149e+01,3.0885e+01,-4.7919e+01
5.9316e-02,-1.5955e+00,4.3174e+00,9.9997e+00,3.0615e+01,-4.8719e+01
-1.1240e-01,-1.7618e+00,4.4609e+00,1.0164e+01,3.0863e+01,-4.4727e+01
-1.5428e-01,-1.5915e+00,4.4711e+00,1.0127e+01,3.0901e+01,-4.5836e+01
6.7693e-03,-1.6470e+00,4.3767e+00,1.0028e+01,3.0731e+01,-4.8198e+01
7.4960e-03,-1.3956e+00,4.3554e+00,9.9930e+00,3.0727e+01,-4.9345e+01
-8.4680e-02,-1.3816e+00,4.4040e+00,1.0053e+01,3.0822e+01,-4.9254e+01
4.5616e-04,-1.6662e+00,4.3832e+00,1.0042e+01,3.0750e+01,-4.7324e+01
-1.6614e-01,-1.3390e+00,4.4467e+00,1.0075e+01,3.0890e+01,-4.3841e+01
-2.9033e-02,-1.6502e+00,4.3866e+00,1.0036e+01,3.0756e+01,-4.9530e+01
-1.1706e-01,-1.7639e+00,4.4361e+00,1.0173e+01,3.0802e+01,-4.3677e+01
1.0866e-01,-1.3352e+00,4.2683e+00,9.9068e+00,3.0610e+01,-4.6448e+01
-1.7824e-01,-1.3261e+00,4.4740e+00,1.0106e+01,3.0968e+01,-4.7804e+01
-1.6966e-01,-1.8615e+00,4.5020e+00,1.0176e+01,3.0941e+01,-4.4565e+01
-1.2393e-01,-1.6798e+00,4.4715e+00,1.0138e+01,3.0889e+01,-4.6617e+01
-1.1470e-01,-1.7501e+00,4.4310e+00,1.0137e+01,3.0787e+01,-4.2659e+01
4.2678e-02,-1.4263e+00,4.3323e+00,1.0010e+01,3.0675e+01,-4.7915e+01
-8.8184e-02,-1.0749e+00,4.3392e+00,9.8883e+00,3.0848e+01,-4.5315e+01
3.1894e-02,-1.4159e+00,4.3495e+00,1.0003e+01,3.0716e+01,-4.0299e+01
-1.2934e-01,-1.6888e+00,4.4587e+00,1.0154e+01,3.0864e+01,-4.7269e+01
-1.4055e-01,-1.0700e+00,4.3637e+00,9.9675e+00,3.0854e+01,-4.9790e+01
-1.5913e-01,-1.3457e+00,4.4703e+00,1.0091e+01,3.0946e+01,-4.6193e+01
-1.3664e-01,-1.1816e+00,4.3938e+00,1.0011e+01,3.0872e+01,-4.5227e+01
2.9651e-02,-1.7053e+00,4.3845e+00,1.0051e+01,3.0756e+01,-4.9428e+01
-5.6777e-02,-1.1974e+00,4.3644e+00,9.9608e+00,3.0842e+01,-4.8534e+01
-1.3516e-01,-1.6939e+00,4.4522e+00,1.0133e+01,3.0851e+01,-4.5028e+01
8.7503e-02,-1.3127e+00,4.2433e+00,9.8977e+00,3.0558e+01,-4.9128e+01
-2.5255e-02,-1.7087e+00,4.3928e+00,1.0038e+01,3.0777e+01,-4.9440e+01
-1.9272e-01,-1.4499e+00,4.4786e+00,1.0133e+01,3.0927e+01,-4.9767e+01
3.0704e-03,-1.9581e+00,4.4032e+00,1.0096e+01,3.0720e+01,-4.9960e+01
-3.2064e-03,-1.4035e+00,4.3630e+00,1.0013e+01,3.0746e+01,-4.7444e+01
-1.8483e-01,-1.7787e+00,4.4973e+00,1.0186e+01,3.0934e+01,-4.7019e+01
-9.7977e-02,-1.5096e+00,4.4163e+00,1.0112e+01,3.0788e+01,-4.0343e+01
-1.3594e-01,-1.1873e+00,4.3929e+00,9.9796e+00,3.0871e+01,-4.8473e+01
-5.8419e-03,-1.4187e+00,4.3295e+00,9.9936e+00,3.0666e+01,-4.9392e+01
-1.5557e-01,-1.0603e+00,4.3700e+00,9.9461e+00,3.0878e+01,-4.4574e+01
-1.5847e-01,-1.5564e+00,4.4511e+00,1.0127e+01,3.0850e+01,-4.2312e+01
-5.7112e-02,-1.4627e+00,4.3665e+00,1.0028e+01,3.0721e+01,-4.9708e+01
-7.1347e-02,-1.5855e+00,4.4000e+00,1.0110e+01,3.0738e+01,-4.7340e+01
-1.0131e-01,-1.2180e+00,4.3964e+00,1.0003e+01,3.0862e+01,-4.3713e+01
-2.9177e-02,-1.6832e+00,4.3782e+00,1.0038e+01,3.0737e+01,-4.2470e+01
-2.1832e-02,-1.6499e+00,4.3839e+00,1.0045e+01,3.0748e+01,-4.9288e+01
1.0664e-01,-1.7475e+00,4.2963e+00,9.9854e+00,3.0541e+01,-4.6355e+01
-1.1167e-03,-1.6920e+00,4.3729e+00,1.0073e+01,3.0726e+01,-4.5627e+01
-3.5614e-02,-1.4177e+00,4.3550e+00,1.0002e+01,3.0729e+01,-4.9481e+01
-1.3399e-01,-1.4048e+00,4.4379e+00,1.0125e+01,3.0856e+01,-4.5781e+01
-1.7475e-01,-1.8449e+00,4.4946e+00,1.0193e+01,3.0923e+01,-4.5303e+01
-1.1356e-01,-1.1149e+00,4.3602e+00,9.9586e+00,3.0843e+01,-4.8066e+01
-1.9310e-01,-1.2895e+00,4.4474e+00,1.0109e+01,3.0903e+01,-4.4397e+01
-4.5851e-02,-1.4013e+00,4.3671e+00,1.0019e+01,3.0757e+01,-4.9908e+01
-1.3427e-02,-1.4267e+00,4.3515e+00,9.9914e+00,3.0724e+01,-4.4774e+01
-4.9661e-03,-1.6735e+00,4.3670e+00,1.0060e+01,3.0706e+01,-4.8143e+01
-4.6489e-02,-1.6611e+00,4.3725e+00,1.0054e+01,3.0721e+01,-4.1733e+01
-1.1948e-02,-1.4235e+00,4.3535e+00,1.0010e+01,3.0728e+01,-4.4357e+01
-8.9623e-02,-1.5594e+00,4.4235e+00,1.0087e+01,3.0806e+01,-4.5562e+01
-1.5958e-01,-1.5579e+00,4.4623e+00,1.0154e+01,3.0880e+01,-4.4613e+01
-1.0125e-01,-1.8124e+00,4.4388e+00,1.0136e+01,3.0801e+01,-4.8626e+01
-9.3710e-02,-1.5276e+00,4.4178e+00,1.0102e+01,3.0794e+01,-4.8270e+01
5.0042e-02,-1.5216e+00,4.3440e+00,1.0003e+01,3.0679e+01,-4.8106e+01
-7.3778e-02,-1.6350e+00,4.4023e+00,1.0118e+01,3.0752e+01,-4.5721e+01
1.9523e-01,-1.5352e+00,4.2099e+00,9.9102e+00,3.0434e+01,-4.4787e+01
-4.3224e-02,-1.9532e+00,4.3822e+00,1.0075e+01,3.0668e+01,-4.8945e+01
1.5868e-02,-1.6676e+00,4.3788e+00,1.0069e+01,3.0739e+01,-4.8126e+01
-1.0358e-01,-1.5266e+00,4.4191e+00,1.0099e+01,3.0804e+01,-4.0299e+01
-9.1417e-02,-1.1518e+00,4.3528e+00,9.9433e+00,3.0825e+01,-4.8979e+01
-1.3584e-01,-1.4012e+00,4.4168e+00,1.0117e+01,3.0802e+01,-4.7463e+01
-1.6035e-01,-1.5152e+00,4.4738e+00,1.0131e+01,3.0901e+01,-4.5045e+01
-8.8565e-02,-1.5336e+00,4.4061e+00,1.0100e+01,3.0758e+01,-4.6220e+01
7.3895e-02,-1.6320e+00,4.3069e+00,1.0005e+01,3.0582e+01,-4.6855e+01
8.0968e-02,-1.6471e+00,4.3057e+00,9.9928e+00,3.0577e+01,-4.9246e+01
-1.6202e-01,-1.2293e+00,4.4289e+00,1.0070e+01,3.0906e+01,-4.7125e+01
-2.1803e-01,-1.4366e+00,4.5357e+00,1.0185e+01,3.1041e+01,-4.4269e+01
4.5877e-02,-1.9829e+00,4.3762e+00,1.0090e+01,3.0652e+01,-4.2314e+01
-1.4708e-01,-1.6024e+00,4.4782e+00,1.0133e+01,3.0914e+01,-4.6162e+01
2.5635e-02,-1.6608e+00,4.3897e+00,1.0030e+01,3.0765e+01,-4.8609e+01
3.1387e-02,-1.4011e+00,4.3509e+00,9.9782e+00,3.0718e+01,-4.4443e+01
-5.0424e-02,-1.2955e+00,4.3709e+00,9.9936e+00,3.0780e+01,-4.1047e+01
1.4604e-01,-1.9683e+00,4.2900e+00,9.9874e+00,3.0506e+01,-4.9422e+01
6.4002e-02,-1.9620e+00,4.3247e+00,1.0062e+01,3.0571e+01,-4.9229e+01
1.1456e-01,-1.7628e+00,4.2886e+00,1.0013e+01,3.0515e+01,-4.8121e+01
-1.4598e-01,-1.6378e+00,4.4522e+00,1.0168e+01,3.0855e+01,-4.7701e+01
1.3610e-02,-1.3896e+00,4.3506e+00,1.0012e+01,3.0714e+01,-4.6691e+01
-1.7283e-01,-1.1157e+00,4.4306e+00,1.0005e+01,3.0968e+01,-4.2505e+01
-1.7145e-01,-1.3338e+00,4.4351e+00,1.0087e+01,3.0864e+01,-3.9699e+01
2.5211e-02,-1.4011e+00,4.3569e+00,1.0009e+01,3.0732e+01,-4.5355e+01
-9.1855e-02,-1.5479e+00,4.4309e+00,1.0121e+01,3.0827e+01,-4.2238e+01
1.2367e-01,-1.2593e+00,4.2243e+00,9.8460e+00,3.0574e+01,-4.7255e+01
-1.1778e-01,-1.0487e+00,4.3424e+00,9.9109e+00,3.0867e+01,-4.8064e+01
1.2235e-02,-1.4096e+00,4.3349e+00,9.9814e+00,3.0679e+01,-4.4232e+01
-1.6005e-01,-1.5359e+00,4.4767e+00,1.0145e+01,3.0914e+01,-4.2967e+01
-1.5926e-01,-1.9328e+00,4.4983e+00,1.0185e+01,3.0927e+01,-4.4347e+01
4.1468e-03,-1.9406e+00,4.3833e+00,1.0108e+01,3.0668e+01,-4.8380e+01
-1.8224e-02,-1.4349e+00,4.3492e+00,9.9760e+00,3.0718e+01,-4.8637e+01
4.7483e-02,-1.9799e+00,4.3807e+00,1.0111e+01,3.0666e+01,-4.6675e+01
1.6344e-02,-1.6868e+00,4.3616e+00,1.0044e+01,3.0697e+01,-4.9776e+01
-1.3140e-01,-1.0811e+00,4.3695e+00,9.9423e+00,3.0869e+01,-4.9976e+01
-7.0697e-03,-1.4053e+00,4.3205e+00,1.0007e+01,3.0642e+01,-4.7960e+01
-1.6169e-01,-1.5057e+00,4.4731e+00,1.0167e+01,3.0898e+01,-4.6741e+01
-1.6312e-01,-1.5162e+00,4.4622e+00,1.0147e+01,3.0877e+01,-4.9435e+01
2.4939e-02,-1.6664e+00,4.3841e+00,1.0063e+01,3.0751e+01,-4.4447e+01
-1.0315e-01,-1.3448e+00,4.4130e+00,1.0074e+01,3.0851e+01,-3.9289e+01
-1.9401e-01,-1.3069e+00,4.4698e+00,1.0119e+01,3.0964e+01,-4.9294e+01
3.0178e-01,-1.5508e+00,4.1342e+00,9.8439e+00,3.0249e+01,-5.0116e+01
-1.0126e-01,-1.3342e+00,4.4054e+00,1.0043e+01,3.0829e+01,-4.9373e+01
-1.8661e-01,-1.2858e+00,4.4567e+00,1.0085e+01,3.0920e+01,-4.4168e+01
-1.0640e-01,-1.1186e+00,4.3417e+00,9.9638e+00,3.0794e+01,-4.7097e+01
1.3546e-01,-1.3802e+00,4.2358e+00,9.8909e+00,3.0520e+01,-4.9461e+01
1.0280e-01,-1.7317e+00,4.2884e+00,1.0006e+01,3.0523e+01,-4.7197e+01
-1.0605e-01,-1.4775e+00,4.4129e+00,1.0093e+01,3.0781e+01,-4.3202e+01
1.1984e-01,-1.8086e+00,4.2839e+00,9.9893e+00,3.0504e+01,-4.8302e+01
-8.8120e-02,-1.5432e+00,4.4000e+00,1.0095e+01,3.0745e+01,-4.2795e+01
4.2027e-01,-1.3943e+00,4.0378e+00,9.6877e+00,3.0172e+01,-5.0145e+01
4.5179e-03,-1.6588e+00,4.3852e+00,1.0064e+01,3.0753e+01,-4.3381e+01
1.1136e-02,-1.6708e+00,4.3779e+00,1.0034e+01,3.0736e+01,-4.4584e+01
-1.4981e-01,-1.6116e+00,4.4703e+00,1.0141e+01,3.0899e+01,-4.8894e+01
-3.1165e-02,-1.4062e+00,4.3659e+00,1.0023e+01,3.0754e+01,-4.8609e+01
-1.7383e-01,-1.4845e+00,4.4594e+00,1.0135e+01,3.0872e+01,-4.1484e+01
-2.4329e-02,-1.7007e+00,4.3839e+00,1.0050e+01,3.0754e+01,-4.9732e+01
-1.9771e-01,-1.0781e+00,4.4314e+00,9.9974e+00,3.0974e+01,-4.8540e+01
-1.5579e-01,-1.5786e+00,4.4535e+00,1.0135e+01,3.0856e+01,-4.7102e+01
-1.2031e-01,-1.7689e+00,4.4502e+00,1.0154e+01,3.0843e+01,-4.8794e+01
-1.7687e-01,-1.0295e+00,4.3815e+00,9.9479e+00,3.0908e+01,-4.9858e+01
9.9764e-02,-1.7178e+00,4.3173e+00,9.9864e+00,3.0596e+01,-4.8537e+01
1.4407e-01,-1.9740e+00,4.2868e+00,9.9824e+00,3.0499e+01,-5.0053e+01
5.7354e-03,-1.9551e+00,4.3889e+00,1.0120e+01,3.0683e+01,-4.7507e+01
1.9253e-02,-1.9053e+00,4.3836e+00,1.0117e+01,3.0668e+01,-5.0055e+01
-1.8893e-01,-1.2938e+00,4.4503e+00,1.0107e+01,3.0907e+01,-4.8530e+01
1.9033e-02,-1.2801e+00,4.3291e+00,9.9439e+00,3.0739e+01,-4.6857e+01
-1.7146e-01,-1.3349e+00,4.4729e+00,1.0077e+01,3.0962e+01,-4.7361e+01
1.4838e-01,-1.8974e+00,4.2698e+00,9.9971e+00,3.0448e+01,-4.9285e+01
-1.6303e-01,-1.8836e+00,4.5103e+00,1.0191e+01,3.0958e+01,-4.4265e+01
5.8397e-02,-1.5557e+00,4.3195e+00,1.0016e+01,3.0618e+01,-4.7941e+01
-1.4863e-01,-1.5750e+00,4.4534e+00,1.0155e+01,3.0849e+01,-4.9623e+01
-3.6880e-02,-1.6663e+00,4.3827e+00,1.0064e+01,3.0749e+01,-4.8866e+01
3.6318e-01,-1.5546e+00,4.0993e+00,9.8240e+00,3.0212e+01,-5.0114e+01
-1.4541e-01,-1.1494e+00,4.4025e+00,1.0016e+01,3.0890e+01,-4.9934e+01
-4.5470e-02,-1.9698e+00,4.4092e+00,1.0094e+01,3.0736e+01,-4.6057e+01
-1.0866e-01,-1.8048e+00,4.4279e+00,1.0169e+01,3.0781e+01,-5.0028e+01
-1.4749e-01,-1.2358e+00,4.4239e+00,1.0049e+01,3.0884e+01,-4.7430e+01
3.2177e-01,-1.6118e+00,4.1257e+00,9.8559e+00,3.0219e+01,-4.9179e+01
-1.7859e-01,-1.3182e+00,4.4684e+00,1.0115e+01,3.0950e+01,-4.6036e+01
6.3960e-02,-1.5791e+00,4.3111e+00,1.0011e+01,3.0594e+01,-4.4470e+01
2.6051e-02,-1.9706e+00,4.3735e+00,1.0120e+01,3.0645e+01,-4.6779e+01
-1.0772e-01,-1.5002e+00,4.4479e+00,1.0110e+01,3.0877e+01,-4.8796e+01
-9.3897e-02,-1.5769e+00,4.4179e+00,1.0091e+01,3.0800e+01,-4.4269e+01
-1.8649e-02,-1.6874e+00,4.3930e+00,1.0055e+01,3.0774e+01,-4.8969e+01
-1.4593e-01,-1.2625e+00,4.4481e+00,1.0058e+01,3.0951e+01,-4.6558e+01
-7.5377e-04,-1.4161e+00,4.3667e+00,1.0011e+01,3.0758e+01,-4.9731e+01
-1.8516e-01,-1.4287e+00,4.4925e+00,1.0174e+01,3.0955e+01,-4.8709e+01
-1.7078e-01,-1.3182e+00,4.4689e+00,1.0095e+01,3.0947e+01,-4.8202e+01
-2.8197e-02,-1.9582e+00,4.3820e+00,1.0093e+01,3.0666e+01,-4.4663e+01
4.4046e-01,-1.4097e+00,4.0296e+00,9.7218e+00,3.0136e+01,-4.6778e+01
2.0148e-02,-1.2734e+00,4.3364e+00,9.9513e+00,3.0755e+01,-4.2067e+01
-1.7285e-01,-1.4781e+00,4.4736e+00,1.0140e+01,3.0906e+01,-4.3180e+01
-1.4816e-01,-1.5957e+00,4.4703e+00,1.0160e+01,3.0893e+01,-4.8086e+01
-4.4656e-02,-1.6559e+00,4.3533e+00,1.0038e+01,3.0671e+01,-4.8013e+01
3.7738e-02,-1.9470e+00,4.3694e+00,1.0091e+01,3.0634e+01,-5.0101e+01
-4.9866e-02,-1.9862e+00,4.3824e+00,1.0093e+01,3.0668e+01,-4.2848e+01
-4.9838e-02,-1.9411e+00,4.4052e+00,1.0093e+01,3.0724e+01,-4.9167e+01
-1.3768e-01,-1.4123e+00,4.4490e+00,1.0124e+01,3.0888e+01,-4.4145e+01
3.0909e-02,-1.7011e+00,4.3709e+00,1.0044e+01,3.0721e+01,-4.2672e+01
5.1508e-02,-1.5400e+00,4.3534e+00,1.0021e+01,3.0706e+01,-4.8225e+01
1.4360e-01,-1.9315e+00,4.2662e+00,1.0017e+01,3.0446e+01,-4.8030e+01
1.2516e-01,-1.7929e+00,4.2833e+00,1.0022e+01,3.0496e+01,-4.9337e+01
-4.6049e-02,-1.9390e+00,4.3824e+00,1.0112e+01,3.0668e+01,-4.9917e+01
2.3098e-02,-1.6887e+00,4.3765e+00,1.0052e+01,3.0736e+01,-4.9987e+01
4.0091e-02,-1.6822e+00,4.3545e+00,1.0042e+01,3.0677e+01,-4.7680e+01
3.4412e-03,-1.4137e+00,4.3410e+00,9.9926e+00,3.0696e+01,-4.9532e+01
-1.0248e-01,-1.2212e+00,4.3826e+00,9.9755e+00,3.0829e+01,-4.4708e+01
-1.6785e-01,-1.5184e+00,4.4603e+00,1.0137e+01,3.0874e+01,-4.4529e+01
-1.2443e-01,-1.7112e+00,4.4331e+00,1.0152e+01,3.0795e+01,-4.7401e+01
1.2878e-02,-1.6689e+00,4.3853e+00,1.0065e+01,3.0753e+01,-5.0122e+01
-1.2352e-01,-1.1831e+00,4.3973e+00,1.0010e+01,3.0872e+01,-4.9110e+01
-1.4731e-01,-1.4087e+00,4.4652e+00,1.0119e+01,3.0936e+01,-4.4523e+01
1.8534e-01,-1.3229e+00,4.1847e+00,9.8251e+00,3.0435e+01,-4.9781e+01
-1.0091e-01,-1.8362e+00,4.4568e+00,1.0149e+01,3.0849e+01,-4.5399e+01
3.0679e-01,-1.8704e+00,4.1525e+00,9.9044e+00,3.0236e+01,-4.8831e+01
1.3611e-01,-1.4024e+00,4.2336e+00,9.9018e+00,3.0517e+01,-4.7544e+01
-1.4025e-02,-1.6619e+00,4.3807e+00,1.0066e+01,3.0741e+01,-4.3857e+01
-2.8913e-02,-1.9870e+00,4.3821e+00,1.0091e+01,3.0669e+01,-3.9154e+01
3.5989e-02,-1.3831e+00,4.3595e+00,1.0006e+01,3.0735e+01,-4.9035e+01
-1.0079e-01,-1.3700e+00,4.3928e+00,1.0062e+01,3.0802e+01,-4.8793e+01
3.7467e-01,-1.6038e+00,4.0936e+00,9.7973e+00,3.0194e+01,-4.9097e+01
