logfeh,logdust,logNpix,logage,dmod,logl
-6.8333e-01,-1.0416e+00,5.0003e+00,1.0195e+01,2.9299e+01,-2.6261e+01
-6.9809e-01,-1.0245e+00,5.0331e+00,1.0189e+01,2.9379e+01,-2.6357e+01
-6.9131e-01,-1.0322e+00,5.0150e+00,1.0194e+01,2.9335e+01,-2.5937e+01
-6.9071e-01,-1.0348e+00,5.0157e+00,1.0186e+01,2.9338e+01,-2.6246e+01
-6.8877e-01,-1.0311e+00,5.0203e+00,1.0181e+01,2.9345e+01,-2.6502e+01
-7.8142e-01,-1.0001e+00,4.9793e+00,1.0143e+01,2.9419e+01,-2.6446e+01
-7.8588e-01,-1.0002e+00,5.0036e+00,1.0142e+01,2.9481e+01,-2.6485e+01
-6.9941e-01,-1.0226e+00,4.9847e+00,1.0195e+01,2.9256e+01,-2.5915e+01
-6.9040e-01,-1.0301e+00,4.9956e+00,1.0176e+01,2.9283e+01,-2.6179e+01
-6.9216e-01,-1.0297e+00,4.9968e+00,1.0184e+01,2.9289e+01,-2.5651e+01
-6.8403e-01,-1.0379e+00,4.9949e+00,1.0185e+01,2.9283e+01,-2.6143e+01
-6.9185e-01,-1.0303e+00,5.0167e+00,1.0196e+01,2.9337e+01,-2.5482e+01
-7.3918e-01,-1.0001e+00,4.9506e+00,1.0155e+01,2.9347e+01,-2.6412e+01
-6.9773e-01,-1.0242e+00,4.9961e+00,1.0195e+01,2.9285e+01,-2.5047e+01
-7.1432e-01,-1.0007e+00,5.0003e+00,1.0135e+01,2.9472e+01,-2.6382e+01
-6.9710e-01,-1.0260e+00,5.0395e+00,1.0198e+01,2.9396e+01,-2.6483e+01
-6.8547e-01,-1.0394e+00,5.0206e+00,1.0197e+01,2.9351e+01,-2.6310e+01
-6.9456e-01,-1.0256e+00,5.0073e+00,1.0180e+01,2.9312e+01,-2.6389e+01
-6.8057e-01,-1.0416e+00,5.0194e+00,1.0198e+01,2.9346e+01,-2.6531e+01
-6.9414e-01,-1.0286e+00,5.0018e+00,1.0185e+01,2.9298e+01,-2.6440e+01
-6.8480e-01,-1.0383e+00,5.0156e+00,1.0191e+01,2.9336e+01,-2.5709e+01
-6.9160e-01,-1.0296e+00,4.9882e+00,1.0191e+01,2.9268e+01,-2.6372e+01
-6.9131e-01,-1.0308e+00,5.0021e+00,1.0179e+01,2.9303e+01,-2.6470e+01
-6.9517e-01,-1.0309e+00,5.0188e+00,1.0178e+01,2.9346e+01,-2.6211e+01
-6.8971e-01,-1.0309e+00,4.9923e+00,1.0179e+01,2.9278e+01,-2.6138e+01
-6.8723e-01,-1.0370e+00,5.0026e+00,1.0177e+01,2.9304e+01,-2.6129e+01
-6.9683e-01,-1.0259e+00,4.9909e+00,1.0178e+01,2.9272e+01,-2.5594e+01
-6.9582e-01,-1.0295e+00,4.9894e+00,1.0198e+01,2.9271e+01,-2.5914e+01
-6.8919e-01,-1.0358e+00,5.0126e+00,1.0190e+01,2.9330e+01,-2.6131e+01
-6.9941e-01,-1.0231e+00,5.0096e+00,1.0184e+01,2.9320e+01,-2.6265e+01
-6.7455e-01,-1.0477e+00,5.0180e+00,1.0200e+01,2.9342e+01,-2.5670e+01
-7.4548e-01,-1.0004e+00,4.9982e+00,1.0138e+01,2.9466e+01,-2.6312e+01
-6.8790e-01,-1.0349e+00,5.0020e+00,1.0192e+01,2.9301e+01,-2.5983e+01
-6.8961e-01,-1.0315e+00,4.9940e+00,1.0197e+01,2.9281e+01,-2.5332e+01
-6.9654e-01,-1.0278e+00,5.0205e+00,1.0190e+01,2.9346e+01,-2.6534e+01
-6.9519e-01,-1.0246e+00,5.0211e+00,1.0185e+01,2.9346e+01,-2.6392e+01
-6.9935e-01,-1.0257e+00,5.0066e+00,1.0197e+01,2.9312e+01,-2.6121e+01
-6.8136e-01,-1.0386e+00,5.0163e+00,1.0193e+01,2.9337e+01,-2.6520e+01
-6.9997e-01,-1.0197e+00,5.0247e+00,1.0194e+01,2.9356e+01,-2.6128e+01
-6.9577e-01,-1.0240e+00,5.0163e+00,1.0199e+01,2.9335e+01,-2.5988e+01
-6.8320e-01,-1.0408e+00,4.9909e+00,1.0181e+01,2.9276e+01,-2.6475e+01
