logfeh,logdust,logNpix,tau,dmod,logl
-4.9564e-01,-9.4289e-01,4.3205e+00,4.0801e+00,2.9080e+01,-2.3685e+03
-4.6433e-01,-9.3325e-01,4.2932e+00,4.2382e+00,2.9031e+01,-2.3512e+03
-4.5849e-01,-9.2989e-01,4.3094e+00,4.2117e+00,2.9057e+01,-2.3607e+03
-4.6744e-01,-9.9848e-01,4.2857e+00,3.7515e+00,2.8989e+01,-2.3683e+03
-4.7465e-01,-9.9647e-01,4.2817e+00,3.7514e+00,2.8978e+01,-2.3704e+03
-4.5879e-01,-9.3265e-01,4.2967e+00,4.2490e+00,2.9031e+01,-2.3668e+03
-4.9023e-01,-9.7205e-01,4.3338e+00,3.9287e+00,2.9114e+01,-2.3612e+03
-4.7083e-01,-9.4424e-01,4.3080e+00,4.1561e+00,2.9058e+01,-2.3655e+03
-4.8148e-01,-1.0063e+00,4.3108e+00,3.6773e+00,2.9043e+01,-2.3651e+03
-4.6300e-01,-9.3944e-01,4.3037e+00,4.2028e+00,2.9054e+01,-2.3523e+03
-4.7598e-01,-9.4836e-01,4.3000e+00,4.0800e+00,2.9035e+01,-2.3671e+03
-4.9701e-01,-9.4938e-01,4.3117e+00,4.0628e+00,2.9060e+01,-2.3656e+03
-4.6005e-01,-9.5827e-01,4.3194e+00,4.0063e+00,2.9070e+01,-2.3579e+03
-4.9118e-01,-9.6074e-01,4.3214e+00,3.9825e+00,2.9081e+01,-2.3599e+03
-4.6399e-01,-9.3299e-01,4.2926e+00,4.2404e+00,2.9020e+01,-2.3691e+03
-4.5309e-01,-9.2491e-01,4.3063e+00,4.2743e+00,2.9053e+01,-2.3447e+03
-4.6045e-01,-9.6517e-01,4.3225e+00,3.9902e+00,2.9085e+01,-2.3643e+03
-4.8963e-01,-1.0109e+00,4.3017e+00,3.6608e+00,2.9020e+01,-2.3500e+03
-4.7955e-01,-9.2757e-01,4.3076e+00,4.2543e+00,2.9058e+01,-2.3678e+03
-4.8362e-01,-9.3216e-01,4.3113e+00,4.2051e+00,2.9066e+01,-2.3710e+03
-4.6508e-01,-9.9624e-01,4.3046e+00,3.7758e+00,2.9033e+01,-2.3670e+03
-4.6383e-01,-9.2555e-01,4.3213e+00,4.3228e+00,2.9101e+01,-2.3607e+03
-4.8954e-01,-9.6150e-01,4.3039e+00,3.9867e+00,2.9040e+01,-2.3705e+03
-4.9153e-01,-9.6043e-01,4.3209e+00,3.9963e+00,2.9082e+01,-2.3686e+03
-4.7882e-01,-9.4756e-01,4.3102e+00,4.1137e+00,2.9062e+01,-2.3651e+03
-4.6488e-01,-9.8953e-01,4.2927e+00,3.7961e+00,2.9004e+01,-2.3688e+03
-4.9937e-01,-9.3648e-01,4.3049e+00,4.1885e+00,2.9056e+01,-2.3621e+03
-4.7276e-01,-9.2358e-01,4.3032e+00,4.2824e+00,2.9053e+01,-2.3655e+03
-4.7548e-01,-9.4124e-01,4.3059e+00,4.1945e+00,2.9054e+01,-2.3627e+03
-4.5388e-01,-9.2370e-01,4.3071e+00,4.2703e+00,2.9049e+01,-2.3684e+03
-4.8671e-01,-9.5807e-01,4.3170e+00,4.0073e+00,2.9067e+01,-2.3656e+03
-4.9440e-01,-9.3049e-01,4.3085e+00,4.2233e+00,2.9056e+01,-2.3696e+03
-4.5533e-01,-9.5008e-01,4.3195e+00,4.0891e+00,2.9078e+01,-2.3684e+03
-4.9488e-01,-9.4441e-01,4.3147e+00,4.1031e+00,2.9066e+01,-2.3616e+03
-4.6058e-01,-9.5242e-01,4.3208e+00,4.0624e+00,2.9080e+01,-2.3656e+03
-4.8182e-01,-9.1911e-01,4.2661e+00,4.3273e+00,2.8957e+01,-2.3711e+03
-4.9493e-01,-9.4816e-01,4.3216e+00,4.0848e+00,2.9089e+01,-2.3636e+03
-4.6231e-01,-9.8638e-01,4.2699e+00,3.8219e+00,2.8950e+01,-2.3544e+03
-4.5342e-01,-9.6140e-01,4.3198e+00,3.9923e+00,2.9074e+01,-2.3614e+03
-4.8703e-01,-9.7373e-01,4.3298e+00,3.9401e+00,2.9104e+01,-2.3692e+03
-4.6727e-01,-9.4055e-01,4.3181e+00,4.1576e+00,2.9083e+01,-2.3656e+03
-4.8649e-01,-9.5526e-01,4.3214e+00,4.0597e+00,2.9089e+01,-2.3601e+03
-4.6339e-01,-8.6037e-01,4.3129e+00,4.8856e+00,2.9094e+01,-2.3712e+03
-4.6133e-01,-9.1676e-01,4.2898e+00,4.3317e+00,2.9017e+01,-2.3683e+03
-4.6145e-01,-9.6445e-01,4.3188e+00,3.9975e+00,2.9076e+01,-2.3682e+03
-4.7740e-01,-9.4407e-01,4.3097e+00,4.1272e+00,2.9063e+01,-2.3537e+03
-4.5902e-01,-9.5194e-01,4.3191e+00,4.0684e+00,2.9080e+01,-2.3683e+03
-4.6473e-01,-1.0038e+00,4.3006e+00,3.7147e+00,2.9018e+01,-2.3671e+03
-4.5165e-01,-9.2513e-01,4.3274e+00,4.3161e+00,2.9113e+01,-2.3709e+03
-4.6612e-01,-9.3444e-01,4.3054e+00,4.1905e+00,2.9054e+01,-2.3675e+03
-4.6790e-01,-9.4096e-01,4.2890e+00,4.1362e+00,2.9001e+01,-2.3569e+03
-4.5044e-01,-1.0092e+00,4.3005e+00,3.6659e+00,2.9019e+01,-2.3656e+03
-4.6513e-01,-9.2458e-01,4.3094e+00,4.2570e+00,2.9061e+01,-2.3646e+03
-4.8137e-01,-9.9287e-01,4.3162e+00,3.7932e+00,2.9063e+01,-2.3606e+03
-4.7763e-01,-9.3823e-01,4.3050e+00,4.1907e+00,2.9044e+01,-2.3558e+03
-4.7019e-01,-9.3162e-01,4.3068e+00,4.2260e+00,2.9059e+01,-2.3639e+03
-4.5871e-01,-9.5352e-01,4.3186e+00,4.0816e+00,2.9077e+01,-2.3677e+03
-4.7522e-01,-9.6111e-01,4.3175e+00,4.0078e+00,2.9076e+01,-2.3555e+03
-4.8307e-01,-9.6029e-01,4.3293e+00,3.9642e+00,2.9099e+01,-2.3589e+03
-4.7599e-01,-8.7149e-01,4.3058e+00,4.7986e+00,2.9080e+01,-2.3516e+03
-4.6277e-01,-9.4314e-01,4.3134e+00,4.1125e+00,2.9063e+01,-2.3683e+03
