logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.0950e-01,-1.0517e+00,2.2460e+00,5.8161e-01,3.7840e+00,3.2453e+00,5.6358e+00,-9.7556e+01
-2.4196e-01,-1.0558e+00,2.2611e+00,1.0047e+00,3.9418e+00,3.2323e+00,5.6161e+00,-9.6984e+01
-2.4537e-01,-1.0544e+00,2.2597e+00,2.1731e+00,3.9893e+00,3.6108e+00,5.5988e+00,-9.6523e+01
-2.2880e-01,-1.0315e+00,2.2309e+00,2.5577e+00,3.9602e+00,2.7726e+00,5.6150e+00,-9.7304e+01
-2.5040e-01,-1.0364e+00,2.2103e+00,2.3126e+00,3.9060e+00,3.2051e+00,5.6212e+00,-9.7886e+01
-2.7106e-01,-1.0348e+00,2.2605e+00,2.4089e+00,3.4606e+00,2.9777e+00,5.6557e+00,-9.8281e+01
-2.1567e-01,-1.0046e+00,2.2342e+00,2.1290e+00,3.9936e+00,4.3768e+00,5.5717e+00,-9.7471e+01
-2.4500e-01,-1.0564e+00,2.2177e+00,2.7514e+00,4.0638e+00,2.9684e+00,5.5839e+00,-9.7255e+01
-2.4015e-01,-1.0646e+00,2.2145e+00,1.4367e+00,3.8817e+00,3.6074e+00,5.6147e+00,-9.7761e+01
-2.6305e-01,-1.0049e+00,2.2556e+00,4.4336e-01,3.5567e+00,4.2730e+00,5.6327e+00,-9.8346e+01
-2.3642e-01,-1.0475e+00,2.2540e+00,1.3160e+00,3.8417e+00,3.0092e+00,5.6291e+00,-9.6591e+01
-2.1326e-01,-1.0754e+00,2.2289e+00,1.4551e+00,3.9641e+00,3.3671e+00,5.6013e+00,-9.6507e+01
-2.1856e-01,-1.0661e+00,2.2315e+00,4.5942e-01,3.9843e+00,2.7684e+00,5.6048e+00,-9.6023e+01
-2.7206e-01,-1.0596e+00,2.2619e+00,9.7009e-01,3.7261e+00,2.7963e+00,5.6408e+00,-9.8158e+01
-2.7631e-01,-1.0727e+00,2.2195e+00,4.4951e-01,4.0349e+00,3.2828e+00,5.5946e+00,-9.6215e+01
-2.4385e-01,-1.0553e+00,2.2484e+00,2.3062e+00,4.0046e+00,3.8971e+00,5.5845e+00,-9.6624e+01
-3.0291e-01,-1.0012e+00,2.2042e+00,4.4009e-01,3.7092e+00,3.9474e+00,5.6277e+00,-9.7957e+01
-2.3778e-01,-1.0393e+00,2.2572e+00,2.0463e+00,3.7411e+00,3.2026e+00,5.6379e+00,-9.7186e+01
-1.9818e-01,-1.0835e+00,2.2595e+00,1.7379e+00,3.9383e+00,2.7394e+00,5.6312e+00,-9.7270e+01
-2.7504e-01,-1.0731e+00,2.2458e+00,7.7972e-01,3.9407e+00,3.4263e+00,5.6042e+00,-9.7718e+01
-1.9271e-01,-1.0103e+00,2.2599e+00,2.7879e+00,4.0465e+00,4.3439e+00,5.5848e+00,-9.7404e+01
