logfeh,logdust,logNpix,logage,dmod,logl
2.9182e-02,-1.6125e+00,3.0775e+00,9.8572e+00,2.9981e+01,-1.3448e+02
1.0088e-01,-1.4288e+00,2.9908e+00,9.7008e+00,2.9930e+01,-1.3382e+02
2.8122e-02,-1.7115e+00,3.0924e+00,9.8679e+00,3.0030e+01,-1.3445e+02
9.4434e-02,-1.3952e+00,2.9920e+00,9.7161e+00,2.9940e+01,-1.3283e+02
3.5620e-02,-1.2640e+00,3.0362e+00,9.7477e+00,3.0000e+01,-1.3262e+02
-8.1856e-03,-1.5072e+00,3.0631e+00,9.7956e+00,3.0021e+01,-1.2898e+02
1.0730e-01,-1.5538e+00,3.0002e+00,9.7403e+00,2.9877e+01,-1.2747e+02
3.7214e-02,-1.4303e+00,3.0755e+00,9.8119e+00,3.0039e+01,-1.2824e+02
2.6408e-02,-1.6141e+00,3.0756e+00,9.8263e+00,2.9976e+01,-1.3100e+02
1.6981e-01,-1.5003e+00,2.9486e+00,9.6411e+00,2.9872e+01,-1.3272e+02
1.1929e-01,-1.6053e+00,2.9901e+00,9.7344e+00,2.9843e+01,-1.3389e+02
1.8545e-01,-1.6991e+00,2.9530e+00,9.6885e+00,2.9801e+01,-1.3421e+02
-2.4270e-02,-1.2812e+00,3.0381e+00,9.7654e+00,3.0009e+01,-1.3428e+02
9.2342e-02,-1.5070e+00,3.0037e+00,9.7306e+00,2.9889e+01,-1.3219e+02
-2.4430e-02,-1.4644e+00,3.0554e+00,9.7990e+00,2.9994e+01,-1.3019e+02
1.6463e-01,-1.6277e+00,2.9678e+00,9.6929e+00,2.9852e+01,-1.2756e+02
1.3314e-01,-1.5410e+00,2.9778e+00,9.6806e+00,2.9889e+01,-1.3392e+02
-2.1974e-02,-1.6611e+00,3.0737e+00,9.8527e+00,2.9983e+01,-1.2656e+02
1.2339e-01,-1.3486e+00,2.9601e+00,9.6521e+00,2.9912e+01,-1.3031e+02
-1.2134e-03,-1.4635e+00,3.0750e+00,9.7940e+00,3.0040e+01,-1.3067e+02
8.0728e-02,-1.4834e+00,2.9959e+00,9.7353e+00,2.9875e+01,-1.3133e+02
1.1316e-01,-1.3318e+00,2.9657e+00,9.6272e+00,2.9927e+01,-1.3449e+02
1.2936e-01,-1.7235e+00,3.0118e+00,9.7506e+00,2.9908e+01,-1.3029e+02
3.1749e-02,-1.4337e+00,3.0896e+00,9.8088e+00,3.0074e+01,-1.3387e+02
-8.5416e-02,-1.5732e+00,3.1108e+00,9.8832e+00,3.0004e+01,-1.2792e+02
7.2765e-02,-1.3740e+00,3.0130e+00,9.6968e+00,3.0000e+01,-1.3454e+02
9.1569e-02,-1.4836e+00,3.0030e+00,9.7623e+00,2.9884e+01,-1.3276e+02
1.2975e-02,-1.6316e+00,3.0879e+00,9.8459e+00,3.0016e+01,-1.3312e+02
6.7928e-02,-1.3555e+00,3.0188e+00,9.6954e+00,3.0015e+01,-1.3230e+02
-2.0258e-02,-1.4309e+00,3.0483e+00,9.7785e+00,2.9973e+01,-1.3433e+02
1.5803e-01,-1.5495e+00,2.9454e+00,9.6841e+00,2.9785e+01,-1.3392e+02
1.3738e-01,-1.5565e+00,2.9582e+00,9.6755e+00,2.9838e+01,-1.3448e+02
1.6611e-01,-1.5329e+00,2.9466e+00,9.6467e+00,2.9869e+01,-1.3282e+02
-8.9789e-02,-1.5287e+00,3.1165e+00,9.8798e+00,3.0016e+01,-1.3384e+02
-1.3182e-01,-1.6451e+00,3.1432e+00,9.9333e+00,3.0032e+01,-1.3204e+02
5.0577e-03,-1.4709e+00,3.0743e+00,9.8224e+00,3.0043e+01,-1.3081e+02
-1.8808e-01,-1.3091e+00,3.1432e+00,9.9010e+00,3.0114e+01,-1.3259e+02
1.8572e-01,-1.7298e+00,2.9421e+00,9.6947e+00,2.9769e+01,-1.3238e+02
2.1151e-02,-1.5954e+00,3.0720e+00,9.8415e+00,2.9967e+01,-1.3299e+02
1.1396e-01,-1.3031e+00,2.9663e+00,9.6566e+00,2.9921e+01,-1.3387e+02
5.6207e-02,-1.4287e+00,3.0273e+00,9.7294e+00,2.9966e+01,-1.3335e+02
4.5014e-02,-1.6667e+00,3.0821e+00,9.8510e+00,2.9999e+01,-1.3279e+02
3.3516e-02,-1.4751e+00,3.0815e+00,9.8184e+00,3.0065e+01,-1.3334e+02
4.1435e-02,-1.4623e+00,3.0594e+00,9.7862e+00,3.0005e+01,-1.2983e+02
3.7161e-03,-1.6981e+00,3.0677e+00,9.8708e+00,2.9968e+01,-1.3263e+02
-1.7158e-02,-1.6109e+00,3.0702e+00,9.8445e+00,2.9964e+01,-1.2541e+02
8.1554e-02,-1.7194e+00,3.0250e+00,9.8078e+00,2.9888e+01,-1.3405e+02
8.7644e-02,-1.7324e+00,3.0397e+00,9.8099e+00,2.9918e+01,-1.3356e+02
8.6240e-02,-1.5526e+00,3.0041e+00,9.7517e+00,2.9906e+01,-1.3419e+02
1.7998e-01,-1.2601e+00,2.9152e+00,9.5607e+00,2.9909e+01,-1.3214e+02
5.8613e-02,-1.7158e+00,3.0435e+00,9.8247e+00,2.9950e+01,-1.3302e+02
1.6384e-01,-1.6191e+00,2.9689e+00,9.6930e+00,2.9853e+01,-1.3134e+02
8.9238e-02,-1.5256e+00,3.0095e+00,9.7470e+00,2.9908e+01,-1.3394e+02
1.9655e-02,-1.4069e+00,3.0729e+00,9.7771e+00,3.0025e+01,-1.2890e+02
-5.3622e-02,-1.4924e+00,3.0921e+00,9.8310e+00,3.0037e+01,-1.2673e+02
-3.8136e-02,-1.6503e+00,3.0715e+00,9.8599e+00,2.9975e+01,-1.2549e+02
4.0517e-02,-1.3193e+00,3.0412e+00,9.7374e+00,3.0025e+01,-1.3326e+02
-7.3592e-02,-1.6456e+00,3.1401e+00,9.9187e+00,3.0079e+01,-1.3397e+02
-5.4509e-02,-1.3484e+00,3.0803e+00,9.7819e+00,3.0066e+01,-1.2769e+02
6.7913e-02,-1.6750e+00,3.0391e+00,9.7778e+00,2.9929e+01,-1.2606e+02
-1.2980e-01,-1.6404e+00,3.1410e+00,9.9422e+00,3.0027e+01,-1.3455e+02
9.6155e-02,-1.3903e+00,2.9831e+00,9.7150e+00,2.9911e+01,-1.3242e+02
1.1444e-01,-1.6604e+00,3.0009e+00,9.7635e+00,2.9882e+01,-1.3451e+02
1.0681e-01,-1.6044e+00,2.9990e+00,9.7567e+00,2.9878e+01,-1.3034e+02
-3.3610e-02,-1.7316e+00,3.0878e+00,9.8726e+00,3.0021e+01,-1.3209e+02
1.9491e-02,-1.6502e+00,3.0845e+00,9.8722e+00,3.0005e+01,-1.3064e+02
-3.9042e-02,-1.6617e+00,3.0936e+00,9.8540e+00,3.0028e+01,-1.3233e+02
