niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-3.2008e+04,-3.2015e+04,-1.9980e-03,-3.2015e+04,1.1750e-01,6.9098e+00,inf,1.7975e+03,2.4586e-01,-8.2126e-01,1.0488e+00,3.7103e+00,2.9659e+01
2.0000e+00,1.0000e+00,3.9841e-01,-3.0860e+04,-3.0867e+04,-3.9960e-03,-3.0867e+04,1.1751e-01,6.9118e+00,3.2015e+04,1.8014e+03,-4.3097e-01,-1.1221e-01,1.0658e+00,6.9250e+00,2.9494e+01
3.0000e+00,1.0000e+00,5.9642e-01,-3.0799e+04,-3.0806e+04,-5.9940e-03,-3.0806e+04,1.1753e-01,6.9137e+00,3.0867e+04,1.8052e+03,-2.8443e-01,-1.9472e-01,1.2248e+00,2.2977e+00,2.9684e+01
4.0000e+00,1.0000e+00,7.9365e-01,-3.0655e+04,-3.0662e+04,-7.9920e-03,-3.0662e+04,1.1755e-01,6.9157e+00,3.0806e+04,1.8086e+03,-2.6484e-01,-4.3169e-01,1.1343e+00,7.8170e+00,2.9853e+01
5.0000e+00,1.0000e+00,9.9010e-01,-3.0327e+04,-3.0334e+04,-9.9900e-03,-3.0334e+04,1.1757e-01,6.9177e+00,3.0662e+04,1.8120e+03,-7.9103e-02,-4.9692e-01,1.0551e+00,6.2053e+00,2.9413e+01
6.0000e+00,1.0000e+00,1.1858e+00,-2.9150e+04,-2.9157e+04,-1.1988e-02,-2.9157e+04,1.1758e-01,6.9197e+00,3.0334e+04,1.8154e+03,-2.2634e-01,-3.8460e-01,1.3015e+00,3.0137e+00,2.9666e+01
7.0000e+00,1.0000e+00,1.3807e+00,-2.8951e+04,-2.8958e+04,-1.3986e-02,-2.8958e+04,1.1760e-01,6.9217e+00,2.9157e+04,1.8192e+03,-8.0179e-02,-1.6225e-01,1.2245e+00,7.1699e+00,2.9479e+01
8.0000e+00,1.0000e+00,1.5748e+00,-2.8875e+04,-2.8882e+04,-1.5984e-02,-2.8882e+04,1.1762e-01,6.9237e+00,2.8958e+04,1.8226e+03,-6.3417e-02,-9.3225e-01,1.0238e+00,3.7973e+00,2.8951e+01
9.0000e+00,1.0000e+00,1.7682e+00,-2.8356e+04,-2.8362e+04,-1.7982e-02,-2.8362e+04,1.1763e-01,6.9257e+00,2.8882e+04,1.8260e+03,-4.8756e-01,-4.6449e-01,1.1828e+00,1.3164e+00,2.9215e+01
1.0000e+01,1.0000e+00,1.9608e+00,-2.7451e+04,-2.7458e+04,-1.9980e-02,-2.7458e+04,1.1765e-01,6.9277e+00,2.8362e+04,1.8300e+03,-1.4167e-01,-6.9331e-01,1.2264e+00,7.5010e+00,2.9520e+01
1.1000e+01,1.0000e+00,2.1526e+00,-2.6490e+04,-2.6497e+04,-2.1978e-02,-2.6497e+04,1.1767e-01,6.9297e+00,2.7458e+04,1.8334e+03,7.6059e-02,-6.9710e-01,1.0607e+00,3.7606e+00,2.8517e+01
