logfeh,logdust,logNpix,tau,dmod,logl
7.2467e-03,-5.8721e-01,3.3926e+00,7.1478e+00,3.0015e+01,-9.4147e+00
7.8824e-02,-8.8095e-01,3.4693e+00,7.6952e+00,3.0539e+01,-1.9671e+01
9.1024e-03,-5.8082e-01,3.7521e+00,6.6191e+00,3.0814e+01,-3.5058e+01
-3.8476e-01,-5.9136e-01,3.2489e+00,6.4116e+00,2.9779e+01,-1.3876e+01
-3.7061e-01,-7.5031e-01,3.5120e+00,5.2806e+00,3.0626e+01,-5.4844e+01
-7.7597e-02,-1.0891e+00,2.7904e+00,2.0848e+00,2.8381e+01,-6.6094e+01
-1.0987e-01,-6.1720e-01,4.1911e+00,5.2619e+00,3.2027e+01,-7.7898e+00
2.0502e-02,-8.4998e-01,3.3615e+00,3.2828e+00,2.9813e+01,-3.6976e+00
-1.7105e-01,-1.0750e+00,2.9546e+00,2.6817e+00,2.8863e+01,-4.9245e+00
-2.1698e-01,-1.2232e+00,3.8090e+00,4.3617e+00,3.1378e+01,-9.1419e+00
-1.0283e-01,-1.3098e+00,4.0165e+00,5.3314e+00,3.2016e+01,-6.2449e+01
-6.7995e-02,-1.3830e+00,3.2182e+00,1.7585e+00,2.9641e+01,-1.8990e+00
-3.0815e-01,-7.6959e-01,3.6299e+00,2.5922e+00,3.0577e+01,-1.4014e+00
8.5730e-02,-6.0558e-01,4.2117e+00,6.8415e+00,3.2105e+01,-1.6092e+01
-1.7224e-01,-1.3347e+00,3.2312e+00,3.6741e+00,2.9756e+01,-1.6837e+01
1.3550e-01,-9.8099e-01,3.8679e+00,3.7755e+00,3.1217e+01,-1.1860e+01
-4.6765e-01,-1.0259e+00,3.2818e+00,2.6302e+00,2.9884e+01,-3.3454e+00
-2.0572e-01,-1.0087e+00,2.9878e+00,2.1324e+00,2.8960e+01,-2.7573e-01
-1.4537e-01,-8.6056e-01,3.2453e+00,1.9526e+00,2.9463e+01,-6.0233e+01
-3.2257e-01,-1.4917e+00,3.1908e+00,1.5352e-01,2.9541e+01,-7.4797e+00
4.1566e-02,-6.9096e-01,3.8276e+00,3.9165e+00,3.0861e+01,-6.3391e+01
-3.1710e-02,-9.0304e-01,3.2023e+00,5.3570e+00,2.9605e+01,-1.7521e+01
-2.7585e-01,-1.0600e+00,3.3893e+00,3.6323e+00,3.0254e+01,-6.8084e+01
-1.3584e-01,-6.8169e-01,3.1444e+00,5.7806e+00,2.9265e+01,-4.3192e+01
7.8635e-02,-9.7970e-01,2.9836e+00,3.9430e+00,2.8891e+01,-5.3924e+00
-4.3287e-01,-6.9064e-01,3.8238e+00,5.6391e+00,3.1483e+01,-2.3681e+01
-3.3037e-01,-9.3936e-01,3.0643e+00,1.3109e+00,2.9198e+01,-7.8562e+00
-1.6894e-01,-1.0941e+00,3.2428e+00,1.9413e+00,2.9447e+01,-6.7134e+01
-4.8900e-01,-7.3221e-01,3.9222e+00,2.5490e+00,3.1481e+01,-2.7785e+01
-2.5622e-02,-7.9975e-01,3.4235e+00,4.3980e+00,2.9974e+01,-4.4392e+01
-1.6384e-01,-1.0151e+00,3.9789e+00,7.4134e+00,3.1973e+01,-3.3285e+01
-1.8585e-01,-7.1658e-01,3.5295e+00,4.8280e+00,3.0454e+01,-2.6871e+01
1.4892e-01,-1.0400e+00,3.2151e+00,4.1245e+00,2.9558e+01,-4.4618e+00
1.9879e-01,-8.6888e-01,3.8751e+00,5.3847e+00,3.1321e+01,-5.4437e+01
-1.2310e-02,-1.0656e+00,3.5280e+00,3.3205e+00,3.0452e+01,-3.6871e+01
4.0531e-02,-1.4987e+00,2.8815e+00,1.2609e+00,2.8513e+01,-2.9588e+01
-8.7265e-02,-1.2745e+00,3.3564e+00,4.3494e+00,3.0280e+01,-5.3398e+01
-3.0847e-01,-1.2971e+00,2.9886e+00,1.5223e+00,2.9129e+01,-8.9731e+00
-2.9148e-01,-1.1813e+00,3.9580e+00,1.5892e+00,3.1710e+01,-2.1874e+01
-5.3374e-02,-1.0007e+00,3.2548e+00,1.1425e+00,2.9497e+01,-2.5419e+01
6.4852e-02,-1.0052e+00,3.2291e+00,6.0075e+00,2.9742e+01,-3.1978e+01
-1.5133e-01,-1.1772e+00,3.0972e+00,1.5819e+00,2.9281e+01,-5.3574e+00
-6.8029e-02,-1.3118e+00,3.3649e+00,4.3365e+00,3.0044e+01,-1.2197e+01
-4.5970e-01,-6.1237e-01,3.1625e+00,4.7118e+00,2.9444e+01,-3.3281e-01
-3.8039e-01,-7.2498e-01,3.4603e+00,3.3246e+00,3.0265e+01,-9.7117e+00
-3.0619e-02,-6.2321e-01,3.5407e+00,6.9443e+00,3.0439e+01,-5.9381e+01
-3.0772e-01,-6.7476e-01,3.8559e+00,4.2150e+00,3.1283e+01,-2.1776e+00
-1.0060e-01,-5.9713e-01,3.3002e+00,7.2366e+00,2.9792e+01,-4.3530e+00
7.9779e-02,-1.3243e+00,2.9244e+00,3.4731e-01,2.8509e+01,-1.4289e+01
-2.7713e-01,-1.4124e+00,4.1066e+00,2.7918e-01,3.2130e+01,-6.0585e+01
1.9505e-01,-8.9821e-01,3.6731e+00,7.8008e+00,3.1013e+01,-1.1905e+01
-2.3995e-01,-8.9828e-01,4.4433e+00,1.4995e+00,3.2779e+01,-6.7969e+01
-3.5347e-01,-1.0046e+00,3.1376e+00,1.3567e+00,2.9489e+01,-2.4109e+01
-2.3557e-01,-1.0657e+00,3.6780e+00,5.1231e+00,3.1284e+01,-4.8292e+00
-1.9225e-01,-1.1043e+00,3.2994e+00,3.6902e+00,2.9823e+01,-5.4357e+01
-2.8169e-01,-6.0646e-01,3.4644e+00,5.5040e+00,3.0279e+01,-4.2113e+01
-3.0840e-01,-1.4065e+00,3.1597e+00,1.6716e+00,2.9537e+01,-5.2588e+01
-3.4450e-01,-1.2750e+00,3.4861e+00,4.2500e+00,3.0610e+01,-1.4662e+01
-3.7099e-01,-5.4976e-01,3.8104e+00,6.9368e+00,3.1288e+01,-1.6218e+01
-4.0418e-01,-7.0465e-01,3.3922e+00,7.1277e+00,3.0422e+01,-6.8813e+00
-2.3688e-01,-9.5680e-01,3.5487e+00,4.0702e+00,3.0755e+01,-3.4251e+01
1.9788e-01,-1.3074e+00,4.0788e+00,2.8554e+00,3.1743e+01,-1.6149e+01
-2.2737e-01,-1.1544e+00,3.2346e+00,3.1012e-01,2.9683e+01,-5.7711e+01
-5.8480e-02,-1.1187e+00,4.4118e+00,1.4161e+00,3.2553e+01,-6.6851e+01
-3.2026e-01,-1.3296e+00,3.1714e+00,2.7864e+00,2.9716e+01,-2.2048e+00
-6.4523e-02,-1.1805e+00,3.6984e+00,4.7300e+00,3.1154e+01,-8.3975e+00
-1.7167e-01,-9.8514e-01,3.5480e+00,5.4966e+00,3.0531e+01,-4.6466e+01
-1.8197e-01,-1.3616e+00,2.9274e+00,1.8174e-01,2.8813e+01,-3.0427e+00
-7.2963e-02,-8.6886e-01,3.8671e+00,4.9703e+00,3.1465e+01,-2.1103e+01
1.8219e-01,-6.7056e-01,3.1861e+00,6.1832e+00,2.9302e+01,-6.2962e+01
-3.2364e-01,-1.2567e+00,3.6683e+00,2.9220e+00,3.1078e+01,-1.3111e+01
-3.1519e-01,-9.5342e-01,3.5639e+00,3.8186e+00,3.0804e+01,-6.4349e+01
9.3010e-02,-1.0496e+00,3.5977e+00,3.4053e+00,3.0546e+01,-1.7432e+00
-2.4100e-01,-1.2783e+00,3.9374e+00,3.3894e+00,3.1881e+01,-5.8246e+01
-1.6935e-01,-1.2022e+00,3.3144e+00,4.3694e+00,3.0115e+01,-1.5933e+01
-4.2096e-01,-1.0607e+00,4.3016e+00,4.1044e+00,3.2478e+01,-5.7449e+01
-2.8256e-01,-8.2922e-01,3.7279e+00,2.0571e-01,3.0764e+01,-8.5042e+00
-3.2338e-01,-1.3972e+00,3.1387e+00,2.4306e+00,2.9555e+01,-1.0694e+01
2.8639e-02,-7.8371e-01,3.4591e+00,4.4674e+00,3.0214e+01,-3.0239e+00
-2.9764e-01,-9.7438e-01,4.1970e+00,7.6652e+00,3.2622e+01,-6.2398e+01
-3.8276e-01,-1.1737e+00,3.8268e+00,1.9799e+00,3.1425e+01,-3.2045e+01
-3.5413e-01,-7.3688e-01,3.4267e+00,7.3780e+00,3.0401e+01,-5.2941e+01
-1.6755e-01,-8.6818e-01,4.3005e+00,3.5106e+00,3.2433e+01,-4.4270e+01
-1.4276e-01,-1.2498e+00,4.1408e+00,6.4018e-01,3.2023e+01,-4.0119e+01
-2.6792e-02,-5.7587e-01,3.8290e+00,6.6130e+00,3.1172e+01,-2.3336e+01
-7.8706e-02,-1.1133e+00,3.8572e+00,5.5149e+00,3.1368e+01,-4.5216e+01
-2.7520e-01,-8.4299e-01,3.6945e+00,7.2139e+00,3.1376e+01,-2.3404e+01
-2.1758e-01,-5.8775e-01,3.5581e+00,7.8936e+00,3.0779e+01,-2.8019e+01
1.1271e-01,-7.6709e-01,3.3940e+00,5.2881e+00,2.9874e+01,-3.4283e+01
-3.0490e-02,-6.6439e-01,3.8654e+00,6.4375e+00,3.1413e+01,-1.2069e+01
6.2800e-02,-1.4145e+00,3.5352e+00,4.8831e+00,3.0695e+01,-5.6229e+00
-3.7088e-01,-7.6711e-01,2.9475e+00,4.5903e-01,2.8643e+01,-5.4628e+01
1.2215e-02,-7.8487e-01,3.6216e+00,3.5719e+00,3.0481e+01,-6.5348e+00
-4.6491e-01,-4.6078e-01,3.6117e+00,7.1992e+00,3.0609e+01,-5.2704e+00
-2.2671e-01,-9.7578e-01,3.2133e+00,2.5948e+00,2.9612e+01,-4.6694e+01
2.2051e-01,-7.4726e-01,3.0988e+00,6.1266e+00,2.9132e+01,-4.3790e+01
2.5159e-02,-1.4639e+00,3.1966e+00,2.9461e+00,2.9575e+01,-5.3769e+01
8.7581e-02,-8.6261e-01,3.1773e+00,4.0597e+00,2.9380e+01,-2.9167e+01
7.8262e-02,-6.0366e-01,3.7296e+00,7.0452e+00,3.0793e+01,-5.4357e+01
1.9229e-01,-1.1017e+00,4.4083e+00,2.4073e+00,3.2249e+01,-4.9320e+01
-2.5944e-01,-7.2232e-01,3.4271e+00,5.3623e+00,3.0348e+01,-5.8425e+00
7.9042e-02,-7.8783e-01,3.2690e+00,4.5844e+00,2.9596e+01,-5.0959e+00
-4.7098e-01,-1.0497e+00,3.7222e+00,3.4779e+00,3.1103e+01,-6.2671e+01
7.8339e-02,-1.2650e+00,4.0090e+00,2.1010e+00,3.1567e+01,-3.5135e+01
6.2350e-02,-1.0009e+00,3.4402e+00,4.9673e+00,3.0340e+01,-2.5904e+00
-3.4440e-01,-8.8904e-01,3.1033e+00,2.7414e+00,2.9152e+01,-1.4053e+01
8.7104e-02,-1.4155e+00,3.3581e+00,1.3881e+00,2.9840e+01,-1.3212e+01
-4.5654e-01,-5.5082e-01,3.9671e+00,6.1918e+00,3.1742e+01,-6.7249e+01
-3.7413e-01,-9.8576e-01,3.2565e+00,3.1313e+00,2.9947e+01,-1.7440e+01
