logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-3.5636e-01,-3.7789e-01,2.7509e+00,6.3043e+00,2.8900e+01,-5.6893e+01
-2.9556e-01,-7.2354e-01,4.2075e+00,7.6693e+00,2.9380e+01,-1.8155e+03
-2.3164e-01,-4.9900e-01,3.7339e+00,5.7303e+00,2.6851e+01,-3.3499e+03
1.9126e-01,-4.1810e-01,3.8844e+00,4.9757e+00,2.8796e+01,-9.2230e+02
1.9114e-01,-2.6031e-01,1.8318e+00,7.2876e+00,2.7704e+01,-1.5840e+03
-1.1466e-02,-6.0280e-01,4.1549e+00,2.6030e+00,2.7840e+01,-2.8503e+03
1.5185e-01,-5.6383e-01,4.2086e+00,1.2358e+00,2.8521e+01,-1.8571e+03
2.8436e-02,-7.8121e-01,4.6995e+00,3.5929e+00,2.9547e+01,-2.5384e+03
-1.6212e-01,-6.2005e-01,1.6968e+00,2.8086e+00,2.7338e+01,-1.2795e+03
-1.0002e-01,-9.5668e-01,3.2457e+00,2.7044e+00,2.7515e+01,-7.5384e+02
-4.1608e-01,-3.9281e-01,3.2638e+00,1.5344e-01,2.8087e+01,-3.4624e+02
1.8409e-01,-2.0948e-01,4.9683e+00,7.6745e+00,2.8960e+01,-4.5913e+03
-2.8606e-01,-3.7508e-01,2.9124e+00,1.6458e+00,2.6912e+01,-4.5270e+02
-2.3339e-01,-6.1890e-01,1.7727e+00,2.7615e+00,2.8136e+01,-3.6806e+03
5.3892e-02,-4.1270e-01,2.8865e+00,9.4630e-01,2.6146e+01,-8.2724e+02
1.7497e-01,-5.8325e-01,3.1434e+00,1.4905e-01,2.6503e+01,-1.1021e+03
-1.7233e-01,-3.8785e-01,4.6728e+00,5.0433e+00,2.8530e+01,-4.3132e+03
-4.0036e-01,-8.9707e-01,3.3010e+00,2.5986e+00,2.9228e+01,-5.0262e+01
-3.8557e-01,-4.3159e-01,3.1129e+00,7.6163e+00,2.7402e+01,-8.5566e+02
-1.2308e-01,-4.6312e-01,4.2768e+00,5.5121e-01,2.8347e+01,-2.4775e+03
7.5337e-02,-2.9188e-01,4.1875e+00,4.5063e+00,2.9829e+01,-6.8338e+02
-3.8963e-01,-9.7035e-01,3.3756e+00,1.0011e+00,2.9754e+01,-2.4449e+00
-2.5572e-01,-8.0638e-01,2.8312e+00,7.3712e+00,2.9395e+01,-8.1670e+01
-3.1054e-01,-6.5199e-01,1.7304e+00,7.2242e+00,2.8533e+01,-3.5391e+03
4.4994e-02,-9.9912e-02,4.1167e+00,4.8333e+00,2.6456e+01,-4.9438e+03
-1.5771e-02,-5.8659e-01,3.4442e+00,4.7258e+00,2.9245e+01,-1.1765e+02
-2.7626e-01,-6.3846e-01,1.0848e+00,6.1186e+00,2.6397e+01,-4.1787e+03
1.6898e-01,-4.9103e-01,3.2609e+00,6.6452e+00,2.5373e+01,-3.4417e+03
1.2123e-01,-3.8275e-01,4.8785e+00,2.4658e+00,2.9229e+01,-3.2187e+03
-2.5025e-01,-2.7157e-01,1.5697e+00,4.4645e+00,2.6365e+01,-5.3006e+02
2.0740e-01,-1.8182e-01,3.2224e+00,7.5325e+00,2.6987e+01,-1.0402e+03
-2.0393e-01,-3.5734e-01,3.6046e+00,7.7420e+00,2.6659e+01,-3.1989e+03
-3.4868e-01,-3.0170e-01,4.8088e+00,7.1307e+00,2.9968e+01,-2.7987e+03
1.1403e-01,-4.5488e-01,2.8050e+00,7.1354e+00,2.9866e+01,-4.6263e+02
-5.4942e-02,-6.3393e-01,2.2924e+00,6.9842e+00,2.6078e+01,-2.2503e+02
5.1209e-02,-6.3438e-01,4.2064e+00,6.2836e+00,2.8507e+01,-2.5166e+03
-1.2902e-01,-1.3818e-01,3.3786e+00,7.5803e+00,2.9833e+01,-1.0837e+00
-4.7672e-01,-6.3676e-01,3.9229e+00,3.8570e+00,2.6722e+01,-4.3712e+03
-1.9340e-02,-8.7379e-01,1.6859e+00,5.9230e+00,2.5635e+01,-1.9346e+01
-3.7937e-01,-6.0930e-02,1.0794e+00,2.8236e+00,2.5579e+01,-4.1804e+03
2.3428e-01,-1.1877e-01,3.5107e+00,7.4508e+00,2.8624e+01,-3.5343e+02
3.7508e-02,-9.5892e-01,2.7579e+00,2.3284e+00,2.6675e+01,-3.8284e+02
-4.3735e-01,-2.3915e-01,3.0371e+00,5.3223e+00,2.8152e+01,-1.5028e+02
-2.2180e-01,-5.5326e-01,2.6604e+00,3.8951e+00,2.9917e+01,-7.8687e+02
