logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.7550e-01,-8.9175e-01,-1.0940e+00,-5.7915e-01,3.7903e-01,5.6618e-01,2.5266e+00,2.7551e+01,-5.3319e-02
-3.7438e-01,-5.6943e-01,-2.2183e+00,-4.4926e-01,-1.0005e-01,1.0626e+00,2.2616e+00,2.6864e+01,-2.5964e-01
-3.5868e-01,-8.7674e-01,-1.2327e+00,-2.1696e-01,-2.7594e-01,1.5269e-01,2.7048e+00,2.8066e+01,-2.1444e-01
1.6683e-01,-7.4306e-01,-2.0890e+00,-1.1419e+00,4.0994e-01,1.0782e+00,1.5614e+00,2.5260e+01,-5.0827e-02
-4.4618e-01,-7.7820e-01,-9.6935e-01,-3.4065e-01,-3.2557e-01,2.1980e-01,2.9250e+00,2.8679e+01,-5.5272e-02
-3.0611e-01,-8.9325e-01,-2.0761e+00,-1.3411e+00,-8.7720e-01,1.8799e+00,2.7578e+00,2.8418e+01,-1.2449e-01
1.5912e-01,-3.0818e-01,-2.6341e+00,-1.2370e+00,8.5463e-01,7.1259e-01,1.4634e+00,2.5023e+01,-9.6540e-02
-1.3397e-01,-9.5978e-01,-1.6518e+00,-1.5212e+00,-5.4807e-01,3.5150e-01,2.1771e+00,2.6511e+01,-2.2077e-01
9.0122e-03,-1.6575e-01,-2.2580e+00,-1.6290e+00,5.9756e-01,1.5431e+00,1.0046e+00,2.5372e+01,-2.6773e-01
-2.2564e-01,-6.8385e-01,-1.8595e+00,-8.3075e-01,-5.6610e-01,1.6737e-01,2.0202e+00,2.6077e+01,-5.3109e-02
1.2107e-01,-8.4654e-01,-2.3253e+00,-1.0804e+00,7.4201e-01,2.2634e-01,1.9334e+00,2.5957e+01,-6.4907e-02
1.9899e-01,-8.6559e-01,-1.9252e+00,-1.7054e+00,7.0211e-01,1.0611e+00,1.7648e+00,2.5697e+01,-2.6474e-01
-1.3057e-01,-7.4976e-01,-1.1201e+00,-8.6027e-01,-1.9992e-01,1.4770e+00,2.3247e+00,2.7134e+01,-8.0393e-02
-8.0042e-02,-9.4203e-01,-1.8636e+00,-1.0675e+00,3.6674e-02,1.2431e+00,2.3518e+00,2.7111e+01,-1.4347e-01
-2.6614e-01,-4.2560e-01,-1.8334e+00,-1.0177e+00,-3.1375e-01,9.9889e-01,1.5747e+00,2.5155e+01,-1.5980e-01
-4.4834e-01,-3.6920e-01,-1.2816e+00,-4.9197e-01,-6.3165e-01,1.9615e+00,2.3247e+00,2.7491e+01,-2.2846e-01
-9.6624e-02,-4.1609e-01,-8.0447e-01,-1.2819e+00,5.8253e-01,1.0459e+00,1.7654e+00,2.5712e+01,-5.3208e-02
-2.7075e-01,-4.4991e-01,-2.7255e+00,-7.0419e-01,-4.7520e-01,7.1788e-01,1.6690e+00,2.5241e+01,-9.9424e-02
-3.1172e-01,-2.1887e-01,-2.0885e+00,2.0959e-01,3.1252e-02,9.2515e-01,2.2614e+00,2.6742e+01,-3.1728e-01
-6.8012e-02,-3.4297e-01,-1.9819e+00,-1.3576e+00,6.5628e-02,1.8124e+00,1.0978e+00,2.6005e+01,-2.3066e-01
-2.9995e-02,-3.1007e-01,-1.7389e+00,1.3029e-01,-2.7122e-01,1.8630e+00,1.9323e+00,2.6633e+01,-1.5231e-01
5.9115e-04,-1.7184e-01,-8.0482e-01,-2.8845e-02,3.8347e-01,1.7358e+00,1.6655e+00,2.6100e+01,-1.2670e-01
-2.0309e-01,-9.7665e-01,-2.1709e+00,-1.5272e+00,2.8714e-01,3.9768e-01,2.5414e+00,2.7611e+01,-3.2047e-02
-1.4724e-01,-5.2321e-01,-1.8799e+00,-1.2287e+00,-5.0555e-02,1.5088e+00,1.7565e+00,2.6028e+01,-1.4598e-01
-2.7287e-01,-7.0270e-01,-7.9525e-01,-1.2638e+00,-2.5464e-01,1.3940e+00,2.6129e+00,2.7829e+01,-1.7371e-01
-2.4348e-01,-4.3662e-02,-2.0792e+00,-1.5618e+00,6.4010e-01,8.5018e-01,1.7406e+00,2.5376e+01,-7.9171e-02
-5.3100e-02,-6.2944e-01,-1.6525e+00,-3.3022e-01,-3.9216e-01,1.7876e+00,2.1265e+00,2.6976e+01,-3.0651e-01
2.0971e-01,-4.3359e-01,-1.3833e+00,-8.8489e-01,6.4593e-01,1.3819e+00,1.4293e+00,2.5443e+01,-2.2825e-01
-1.3528e-01,-9.8922e-01,-2.2144e+00,-1.6623e+00,-8.4682e-01,2.3569e-01,2.4382e+00,2.7246e+01,-1.7100e-01
2.4679e-01,-7.5756e-01,-1.0004e+00,-1.3020e+00,-2.5700e-01,1.3676e+00,1.3965e+00,2.5210e+01,-1.5663e-01
-3.3307e-01,-7.7476e-01,-1.9274e+00,-1.5292e+00,2.6908e-01,2.0009e+00,2.9159e+00,2.8776e+01,-2.0368e-01
-3.6576e-01,-4.7058e-01,-1.1269e+00,-1.2088e+00,5.2452e-01,1.9967e+00,2.4718e+00,2.7801e+01,-3.1997e-01
-2.4946e-01,-9.4745e-01,-1.7775e+00,-1.1519e+00,-5.4452e-01,1.3170e+00,2.7353e+00,2.8182e+01,-9.3805e-03
-1.7619e-01,-1.6580e-01,-7.6979e-01,-1.5653e+00,-5.1891e-01,1.2655e+00,1.5918e+00,2.5279e+01,-8.2979e-03
3.7593e-02,-6.1139e-01,-2.4913e+00,-1.2719e+00,7.1071e-01,1.0160e+00,1.7794e+00,2.5797e+01,-1.8287e-01
3.8856e-03,-4.7391e-01,-2.5876e+00,-6.6249e-01,1.6142e-01,1.9532e+00,1.4667e+00,2.6546e+01,-5.3006e-02
-1.9401e-01,-6.3363e-01,-2.0700e+00,-9.4880e-01,1.7313e-01,1.0869e+00,2.0970e+00,2.6433e+01,-1.6396e-01
-9.9769e-02,-3.2272e-01,-1.5748e+00,-3.2015e-01,1.4116e-01,1.7874e+00,1.4150e+00,2.6124e+01,-3.0691e-01
8.3335e-02,-8.4634e-01,-2.3491e+00,2.1373e-01,7.6749e-01,1.7811e+00,2.3122e+00,2.7338e+01,-9.1278e-03
4.1616e-02,-5.2721e-01,-1.3201e+00,-9.1863e-01,1.4791e-01,1.2909e+00,1.7284e+00,2.5672e+01,-2.4115e-01
-3.4975e-01,-4.1286e-01,-1.0311e+00,-7.0696e-01,-3.0494e-01,4.9186e-01,2.1830e+00,2.6532e+01,-2.3613e-01
-2.0076e-01,-8.7214e-01,-2.1276e+00,-1.3207e+00,-9.4923e-01,1.9516e+00,2.4904e+00,2.7847e+01,-1.4444e-01
-1.1888e-01,-1.4144e-01,-2.2325e+00,-3.9590e-01,6.0610e-01,8.9140e-01,1.6053e+00,2.5170e+01,-2.8993e-01
-6.4453e-02,-8.1522e-01,-2.3107e+00,-1.3058e+00,5.2272e-01,8.8551e-01,1.8919e+00,2.5993e+01,-3.0232e-01
-1.6565e-01,-2.8075e-01,-2.1478e+00,-1.1861e+00,-3.5083e-01,1.8487e+00,1.5109e+00,2.6246e+01,-1.1156e-01
5.4530e-02,-7.6271e-01,-2.3516e+00,-1.4609e+00,-1.3084e-01,1.3347e+00,1.6323e+00,2.5594e+01,-4.4796e-02
-1.4426e-01,-2.3357e-01,-1.8698e+00,-6.4083e-01,-8.1645e-01,1.6020e+00,1.7661e+00,2.5993e+01,-1.8655e-01
-2.4874e-01,-1.9700e-01,-1.6084e+00,-9.4580e-01,-1.0148e+00,1.2085e+00,1.5979e+00,2.5249e+01,-8.8973e-02
-1.5377e-01,-7.3895e-01,-9.6758e-01,-1.8455e-01,1.6167e-01,2.0718e-01,2.1636e+00,2.6559e+01,-2.5897e-01
-1.4162e-01,-9.5176e-01,-1.7161e+00,-1.2193e+00,6.8398e-01,8.8862e-01,2.3825e+00,2.7224e+01,-7.3928e-02
-4.0366e-02,-9.1856e-01,-2.1756e+00,-2.6705e-01,-6.5905e-01,1.5407e+00,2.3589e+00,2.7241e+01,-3.5199e-02
-1.4387e-01,-8.6549e-01,-2.0829e+00,-1.6837e+00,-1.0786e+00,1.3636e+00,2.2405e+00,2.6933e+01,-6.6299e-02
-1.3804e-01,-8.6531e-01,-2.3443e+00,-1.3762e+00,-6.0137e-01,9.3181e-01,2.0669e+00,2.6351e+01,-5.1559e-02
1.6068e-01,-9.3315e-01,-7.9613e-01,-6.2143e-01,1.2485e-01,5.0599e-01,1.7541e+00,2.5366e+01,-3.2278e-01
-7.2018e-02,-3.1751e-01,-1.1693e+00,-1.4304e+00,5.0542e-01,1.5469e+00,1.3284e+00,2.5639e+01,-2.4813e-01
-3.6597e-01,-2.8949e-01,-2.2547e+00,-6.8409e-01,2.7072e-01,2.6992e-01,1.6566e+00,2.5135e+01,-1.6777e-01
-8.2043e-02,-2.0059e-01,-1.9804e+00,-4.7133e-01,-1.3049e-01,1.4604e+00,1.3560e+00,2.5282e+01,-8.4993e-02
-2.3327e-01,-6.5839e-01,-1.0174e+00,-1.4344e+00,3.1686e-01,1.0865e-01,2.1479e+00,2.6500e+01,-1.0262e-02
-4.5898e-01,-4.6979e-01,-1.1869e+00,-1.2612e+00,7.6986e-01,8.0750e-01,2.4979e+00,2.7517e+01,-5.8526e-04
-1.4729e-01,-7.6318e-01,-1.7011e+00,-1.4852e+00,-1.7025e-02,7.4887e-01,2.0811e+00,2.6320e+01,-1.4388e-02
-1.7644e-01,-8.5904e-01,-1.1359e+00,-1.3712e+00,6.2599e-01,1.8237e+00,2.6834e+00,2.8164e+01,-9.7891e-02
-4.7276e-01,-6.1170e-01,-1.0691e+00,-3.4990e-01,-5.2435e-02,4.6880e-01,2.8823e+00,2.8540e+01,-1.1822e-01
-4.1336e-01,-7.7108e-01,-1.3032e+00,-1.7003e+00,-1.0293e+00,1.1407e+00,2.9107e+00,2.8658e+01,-7.0707e-02
-1.1893e-01,-4.4947e-01,-1.1067e+00,-2.5384e-01,-9.4199e-01,1.8493e+00,2.0794e+00,2.6918e+01,-8.4069e-02
-3.9553e-01,-6.3481e-01,-8.4846e-01,-1.7332e+00,-4.1247e-01,8.8560e-01,2.3308e+00,2.7077e+01,-1.5609e-01
-1.5630e-01,-8.2292e-01,-2.6336e+00,-5.1892e-01,-6.9900e-01,3.9650e-01,2.2710e+00,2.6813e+01,-1.1578e-01
-2.0318e-02,-4.2786e-01,-2.1217e+00,-1.4876e+00,2.8604e-01,2.0295e+00,1.6411e+00,2.6752e+01,-1.1090e-01
-2.9299e-01,-7.8987e-01,-1.1246e+00,-3.6084e-01,-4.4906e-01,9.2905e-01,2.6096e+00,2.7824e+01,-9.7379e-02
3.7155e-02,-8.5451e-01,-1.9523e+00,-8.6703e-01,-4.4949e-01,5.6455e-01,1.7218e+00,2.5292e+01,-2.1324e-01
-3.5429e-01,-3.5497e-01,-1.1352e+00,-1.2881e+00,1.4262e-01,1.5594e+00,2.0975e+00,2.6670e+01,-2.8185e-02
-1.7005e-01,-3.8725e-01,-2.3627e+00,-1.4442e+00,-3.9272e-01,1.5590e+00,1.6869e+00,2.5891e+01,-2.9438e-01
6.7002e-03,-5.5030e-01,-2.6868e+00,-1.2391e+00,6.3463e-01,1.8172e+00,1.9164e+00,2.6668e+01,-2.9841e-01
6.9665e-02,-3.5608e-01,-1.2148e+00,-1.0383e+00,7.3212e-01,1.1120e+00,1.5306e+00,2.5322e+01,-1.0056e-02
-2.7685e-01,-5.2086e-01,-2.0311e+00,-3.9191e-01,-8.2496e-02,4.0072e-01,1.8722e+00,2.5723e+01,-1.1266e-01
-1.1882e-02,-2.9418e-02,-1.6295e+00,-4.5121e-01,8.4196e-01,1.9591e+00,1.6310e+00,2.6457e+01,-4.6339e-02
-3.3680e-01,-2.3016e-01,-1.6588e+00,-4.8764e-01,4.1583e-01,2.0143e+00,2.1709e+00,2.7247e+01,-3.2791e-02
-6.4290e-02,-3.6055e-01,-1.1009e+00,-4.7469e-01,3.8933e-01,1.0385e+00,1.8240e+00,2.5732e+01,-2.7937e-01
-3.7756e-01,-8.8942e-01,-2.0482e+00,-3.3475e-02,-8.8409e-01,5.7348e-01,2.8569e+00,2.8489e+01,-1.3239e-01
-1.1630e-01,-5.4120e-01,-7.8997e-01,-7.0155e-01,-9.1550e-01,1.3382e+00,2.0053e+00,2.6314e+01,-1.4641e-01
-3.8684e-02,-8.5288e-01,-1.3982e+00,-1.3580e+00,-1.0616e+00,1.1904e+00,2.0448e+00,2.6356e+01,-2.7499e-01
-3.1962e-01,-9.3336e-02,-2.3766e+00,-1.0801e+00,2.7750e-01,7.1637e-01,1.6302e+00,2.5050e+01,-1.1986e-01
-2.4595e-01,-1.7169e-01,-2.1620e+00,-1.5260e+00,-4.8814e-01,1.7042e+00,1.5488e+00,2.5916e+01,-2.2871e-01
-4.4586e-01,-3.6863e-01,-1.5220e+00,-8.4951e-01,-5.6608e-01,1.1240e+00,2.2687e+00,2.6856e+01,-7.6875e-02
-1.8853e-01,-8.3182e-01,-1.0635e+00,-1.4832e+00,-4.1779e-01,1.2328e+00,2.5319e+00,2.7602e+01,-1.6502e-01
1.8961e-02,-5.4978e-01,-1.4204e+00,-3.6589e-01,-4.1256e-01,1.9013e+00,2.0003e+00,2.6856e+01,-2.1302e-01
-4.3664e-01,-6.1176e-01,-1.2152e+00,-1.0514e+00,-4.6954e-01,1.6680e-01,2.4687e+00,2.7425e+01,-3.1955e-01
-3.5003e-01,-2.6236e-01,-1.4162e+00,-1.3405e+00,2.7360e-01,1.7592e+00,2.0421e+00,2.6748e+01,-2.4622e-02
-3.3261e-01,-1.2616e-01,-2.3354e+00,-6.1930e-01,7.1781e-01,1.3412e-01,1.9135e+00,2.5787e+01,-2.9886e-02
-2.4708e-01,-3.8484e-01,-1.4591e+00,-1.1119e+00,-9.5247e-01,1.8236e+00,2.1944e+00,2.7036e+01,-2.3690e-01
-1.0853e-01,-5.9970e-01,-1.5180e+00,-6.2519e-01,-2.3007e-01,7.7042e-01,1.9548e+00,2.5945e+01,-1.7529e-01
-6.2219e-02,-3.3600e-01,-1.0357e+00,-1.4260e+00,-4.3815e-01,1.5402e+00,1.5509e+00,2.5686e+01,-5.0797e-02
-4.6623e-01,-1.6644e-01,-1.6850e+00,-1.1687e+00,4.9506e-01,1.9303e+00,2.4699e+00,2.7646e+01,-6.2245e-02
-3.7245e-01,-5.7802e-01,-1.3888e+00,-7.9303e-01,-2.7326e-01,1.4174e+00,2.4579e+00,2.7497e+01,-9.4732e-02
-2.0867e-01,-3.0313e-01,-1.5216e+00,-1.1290e+00,2.1221e-01,1.6846e+00,1.9561e+00,2.6519e+01,-2.3926e-01
-4.5116e-01,-1.3007e-01,-2.5567e+00,-1.4846e+00,-5.9254e-01,1.5110e+00,1.8836e+00,2.6111e+01,-2.5114e-01
-2.3037e-01,-6.6101e-01,-1.4369e+00,-1.6931e-02,-3.2015e-02,1.6822e+00,2.5318e+00,2.7747e+01,-1.8006e-02
7.8037e-02,-7.0737e-01,-2.1113e+00,-1.7295e+00,1.8038e-01,2.0222e+00,1.7706e+00,2.6886e+01,-3.4471e-02
