niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-6.9734e+03,-6.9810e+03,-9.9950e-04,-6.9810e+03,8.7167e-02,7.6019e+00,inf,2.0142e+03,1.3342e-01,-3.3607e-01,-6.6320e-01,6.2640e-01,1.3141e+00,2.4478e+00,3.0941e+00,2.9585e+01
2.0000e+00,1.0000e+00,1.9960e-01,-6.3552e+03,-6.3628e+03,-1.9990e-03,-6.3628e+03,8.7173e-02,7.6029e+00,6.9809e+03,2.0161e+03,1.0675e-01,-3.8560e-01,8.4153e-01,1.8235e+00,1.8449e+00,2.3634e+00,2.9866e+00,2.9634e+01
3.0000e+00,1.0000e+00,2.9910e-01,-6.1698e+03,-6.1774e+03,-2.9985e-03,-6.1774e+03,8.7179e-02,7.6039e+00,6.3627e+03,2.0180e+03,-3.7470e-01,-2.5442e-01,1.6089e-01,1.2819e+00,1.7636e+00,2.8327e+00,3.0240e+00,2.9873e+01
4.0000e+00,1.0000e+00,3.9841e-01,-5.9531e+03,-5.9607e+03,-3.9980e-03,-5.9607e+03,8.7184e-02,7.6049e+00,6.1774e+03,2.0202e+03,-4.5041e-02,-2.9213e-01,-1.3791e-01,1.1579e+00,1.4784e+00,2.9832e+00,3.0371e+00,2.9768e+01
5.0000e+00,1.0000e+00,4.9751e-01,-5.8481e+03,-5.8557e+03,-4.9975e-03,-5.8557e+03,8.7190e-02,7.6059e+00,5.9606e+03,2.0223e+03,1.5408e-01,-2.4165e-01,2.6916e-01,1.1218e+00,1.4253e+00,2.3033e+00,3.4767e+00,2.9769e+01
6.0000e+00,1.0000e+00,5.9642e-01,-5.6417e+03,-5.6493e+03,-5.9970e-03,-5.6493e+03,8.7196e-02,7.6069e+00,5.8556e+03,2.0245e+03,-2.0524e-01,-2.3029e-01,1.1489e+00,4.0723e-01,2.3765e+00,2.1311e+00,3.2491e+00,2.9896e+01
7.0000e+00,1.0000e+00,6.9513e-01,-5.5263e+03,-5.5339e+03,-6.9965e-03,-5.5339e+03,8.7201e-02,7.6079e+00,5.6492e+03,2.0264e+03,-2.5182e-01,-3.1681e-01,4.5817e-01,1.8150e+00,1.1912e+00,2.2103e+00,3.1803e+00,2.9460e+01
8.0000e+00,1.0000e+00,7.9365e-01,-5.4675e+03,-5.4751e+03,-7.9960e-03,-5.4751e+03,8.7207e-02,7.6089e+00,5.5338e+03,2.0283e+03,2.0136e-01,-7.8608e-03,3.3395e-01,1.9001e+00,1.6146e+00,2.6636e+00,3.4036e+00,2.9575e+01
9.0000e+00,1.0000e+00,8.9197e-01,-5.1945e+03,-5.2021e+03,-8.9955e-03,-5.2021e+03,8.7213e-02,7.6099e+00,5.4751e+03,2.0305e+03,-3.4759e-01,-3.3297e-01,3.8326e-01,3.7016e-01,1.9619e+00,2.5245e+00,3.1177e+00,2.9349e+01
1.0000e+01,1.0000e+00,9.9010e-01,-5.1934e+03,-5.2008e+03,-9.9950e-03,-5.2005e+03,8.1554e-02,6.6544e+00,5.2020e+03,2.0328e+03,-3.7305e-01,-9.3683e-01,-7.0186e-01,7.5107e-01,1.1017e+00,2.9186e+00,3.0197e+00,2.9633e+01
1.1000e+01,1.0000e+00,1.0880e+00,-5.1774e+03,-5.1850e+03,-1.0995e-02,-5.1850e+03,8.7224e-02,7.6119e+00,5.2004e+03,2.0347e+03,1.6782e-01,-2.7543e-01,5.7393e-01,4.4365e-01,2.4057e+00,2.2122e+00,3.1317e+00,2.9180e+01
1.2000e+01,1.0000e+00,1.1858e+00,-5.0900e+03,-5.0976e+03,-1.1994e-02,-5.0976e+03,8.7230e-02,7.6129e+00,5.1849e+03,2.0369e+03,-2.0269e-01,-5.9906e-01,-3.7890e-01,8.2485e-01,1.9609e+00,2.6384e+00,3.2116e+00,2.9563e+01
1.3000e+01,1.0000e+00,1.2833e+00,-5.0050e+03,-5.0126e+03,-1.2994e-02,-5.0126e+03,8.7236e-02,7.6139e+00,5.0975e+03,2.0390e+03,1.0092e-01,-1.5224e-01,9.8645e-01,2.1149e+00,2.1302e+00,3.0972e+00,3.1775e+00,2.9814e+01
1.4000e+01,1.0000e+00,1.3807e+00,-5.0048e+03,-5.0118e+03,-1.3993e-02,-5.0114e+03,8.0727e-02,6.5201e+00,5.0125e+03,2.0409e+03,-4.1444e-01,-2.9465e-01,-4.6854e-02,1.1121e+00,1.5034e+00,3.2452e+00,3.0027e+00,2.9884e+01
1.5000e+01,1.0000e+00,1.4778e+00,-4.9614e+03,-4.9690e+03,-1.4993e-02,-4.9690e+03,8.7247e-02,7.6159e+00,5.0114e+03,2.0431e+03,1.1328e-01,-1.8827e-02,-6.1711e-02,4.2752e-01,2.4878e+00,2.4184e+00,3.6955e+00,2.9913e+01
1.6000e+01,1.0000e+00,1.5748e+00,-4.9387e+03,-4.9463e+03,-1.5992e-02,-4.9463e+03,8.7253e-02,7.6169e+00,4.9689e+03,2.0453e+03,-3.7208e-01,-5.2109e-01,2.8619e-01,7.8277e-01,1.9760e+00,2.7310e+00,3.3611e+00,2.9831e+01
1.7000e+01,1.0000e+00,1.6716e+00,-4.9114e+03,-4.9190e+03,-1.6992e-02,-4.9190e+03,8.7259e-02,7.6179e+00,4.9462e+03,2.0475e+03,1.3673e-01,-4.7673e-01,8.5699e-01,1.3019e+00,2.7713e+00,2.3956e+00,3.0458e+00,2.9674e+01
1.8000e+01,1.0000e+00,1.7682e+00,-4.8102e+03,-4.8178e+03,-1.7991e-02,-4.8178e+03,8.7264e-02,7.6189e+00,4.9190e+03,2.0493e+03,-3.0628e-01,-8.4192e-02,2.9840e-01,1.3821e+00,1.5218e+00,2.7859e+00,3.6001e+00,2.9894e+01
1.9000e+01,1.0000e+00,1.8646e+00,-4.5092e+03,-4.5168e+03,-1.8991e-02,-4.5168e+03,8.7270e-02,7.6199e+00,4.8178e+03,2.0513e+03,-1.2007e-01,-7.0880e-01,5.7696e-01,3.1694e-01,1.5239e+00,2.2944e+00,3.3040e+00,2.9147e+01
