logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
3.4224e-02,-1.1155e+00,2.8483e+00,1.7398e+00,2.3584e+00,2.3956e+00,4.6098e+00,3.0062e+01,-6.2907e+01
1.5002e-01,-9.9702e-01,3.0317e+00,8.3062e-01,1.9569e+00,3.9887e+00,4.0607e+00,3.0040e+01,-6.2910e+01
1.8911e-01,-9.7238e-01,-7.2698e-01,1.7348e+00,3.8667e+00,2.8828e+00,3.4301e+00,2.7853e+01,-6.2924e+01
-3.9103e-01,-1.2148e+00,2.5864e+00,1.1588e+00,3.8828e+00,2.9327e+00,5.7222e+00,3.1280e+01,-6.2926e+01
-3.6824e-01,-1.1466e+00,1.6087e+00,4.6628e-01,2.0700e+00,2.9467e+00,3.5624e+00,2.8617e+01,-6.2928e+01
7.7825e-03,-8.1896e-01,2.7214e+00,2.2734e+00,1.3524e+00,5.6417e+00,3.7309e+00,3.1302e+01,-6.2804e+01
1.4884e-01,-1.1693e+00,2.5618e+00,1.2165e+00,4.2275e+00,3.8037e+00,3.4116e+00,2.9816e+01,-6.2910e+01
-2.4359e-01,-1.2355e+00,2.9209e+00,8.0696e-01,1.4737e+00,4.0098e+00,4.3756e+00,3.0398e+01,-6.2928e+01
-2.8637e-01,-5.1912e-01,2.3251e+00,7.9582e-01,2.5657e+00,2.1511e+00,3.5955e+00,2.7067e+01,-6.1162e+01
9.4881e-02,-1.7852e-01,2.5926e+00,1.1368e+00,2.5818e+00,4.7530e+00,3.4105e+00,2.8222e+01,-6.2432e+01
1.3995e-01,-5.6433e-01,-2.9760e-01,7.0762e-01,3.8283e+00,5.1834e+00,3.6787e+00,2.9592e+01,-6.2930e+01
-1.8683e-01,-1.0257e+00,2.8465e+00,2.6077e+00,1.6585e+00,3.7819e+00,3.0003e+00,2.8716e+01,-6.2917e+01
1.7258e-01,-8.2860e-01,1.7006e-01,2.8757e+00,1.8530e+00,2.1461e+00,3.9175e+00,2.7078e+01,-6.2735e+01
3.7482e-02,-5.5465e-01,2.4195e+00,4.0418e+00,2.8285e+00,2.4978e+00,3.7564e+00,3.0057e+01,-6.2914e+01
