logfeh,logdust,logNpix,tau,dmod,logl
-3.8980e-01,-1.1067e+00,5.9137e+00,1.3019e+00,3.4783e+01,-1.0000e+04
2.0272e-01,-9.8324e-01,4.9306e+00,5.4486e+00,3.2172e+01,-1.0000e+04
-2.6596e-01,-1.2428e+00,5.7566e+00,6.5262e-01,3.4361e+01,-1.0000e+04
-1.2957e-01,-9.1513e-01,5.8450e+00,4.9183e+00,3.4670e+01,-1.0000e+04
-2.4922e-01,-8.5127e-01,5.6938e+00,4.7750e+00,3.4424e+01,-1.0000e+04
2.2754e-01,-1.0794e+00,6.3233e+00,4.4626e+00,3.5639e+01,-1.0000e+04
2.1474e-01,-8.6972e-01,6.4451e+00,5.7669e+00,3.5988e+01,-1.0000e+04
3.7781e-02,-7.6486e-01,6.6384e+00,5.8697e+00,3.6551e+01,-1.0000e+04
-1.0470e-01,-8.0981e-01,5.1999e+00,5.7612e+00,3.3071e+01,-1.0000e+04
-3.5732e-01,-1.2835e+00,5.5996e+00,1.7231e+00,3.3973e+01,-1.0000e+04
4.4041e-02,-8.4665e-01,4.9829e+00,5.0093e+00,3.2377e+01,-1.0000e+04
-2.2302e-01,-1.4748e+00,6.4880e+00,2.0003e-01,3.6186e+01,-1.0000e+04
-3.3759e-01,-1.3943e+00,5.5872e+00,2.9886e-01,3.3991e+01,-1.0000e+04
-3.4522e-01,-9.9504e-01,5.9457e+00,2.8536e+00,3.4890e+01,-1.0000e+04
-4.2683e-01,-1.2861e+00,5.9680e+00,9.8409e-01,3.4958e+01,-1.0000e+04
8.6584e-02,-1.4568e+00,6.2752e+00,3.5147e+00,3.5569e+01,-1.0000e+04
-4.6339e-01,-1.1491e+00,5.6833e+00,6.3663e-01,3.4238e+01,-1.0000e+04
-2.1141e-01,-1.4055e+00,6.0364e+00,1.2890e+00,3.5101e+01,-1.0000e+04
-2.8634e-01,-1.2837e+00,5.2941e+00,3.2490e+00,3.3333e+01,-1.0000e+04
-4.5423e-01,-1.1381e+00,5.4900e+00,1.6059e+00,3.3786e+01,-1.0000e+04
-1.0790e-01,-1.0079e+00,6.7537e+00,3.6089e+00,3.6871e+01,-1.0000e+04
2.3038e-01,-9.2736e-01,5.9687e+00,4.9199e+00,3.4746e+01,-1.0000e+04
-4.6161e-01,-1.0495e+00,5.7268e+00,1.8609e+00,3.4352e+01,-1.0000e+04
-7.6728e-02,-1.0442e+00,5.8909e+00,4.1728e+00,3.4745e+01,-1.0000e+04
3.8693e-02,-1.1346e+00,5.2015e+00,3.6578e+00,3.2910e+01,-1.0000e+04
-4.8817e-02,-7.6398e-01,6.0876e+00,5.6307e+00,3.5145e+01,-1.0000e+04
-4.5085e-01,-1.1039e+00,5.2049e+00,1.5079e+00,3.3053e+01,-1.0000e+04
-2.9897e-01,-1.2413e+00,6.2532e+00,1.0337e+00,3.5546e+01,-1.0000e+04
-2.7390e-01,-1.3416e+00,4.9106e+00,2.6033e+00,3.2345e+01,-1.0000e+04
-2.6929e-01,-1.3610e+00,5.0426e+00,2.6016e+00,3.2672e+01,-1.0000e+04
-2.9751e-01,-1.2357e+00,5.2806e+00,2.2568e+00,3.3228e+01,-1.0000e+04
2.1642e-01,-1.4143e+00,5.1976e+00,4.0631e+00,3.2847e+01,-1.0000e+04
-9.6517e-02,-8.6072e-01,6.5547e+00,5.7327e+00,3.6502e+01,-1.0000e+04
-4.3650e-01,-1.0398e+00,5.8385e+00,1.0433e+00,3.4585e+01,-1.0000e+04
-4.5556e-01,-1.0015e+00,6.2717e+00,1.4095e+00,3.5678e+01,-1.0000e+04
2.0461e-01,-7.1416e-01,6.2518e+00,7.1943e+00,3.5485e+01,-1.0000e+04
-5.1359e-03,-7.2150e-01,6.7588e+00,6.8267e+00,3.6892e+01,-1.0000e+04
-4.1231e-01,-7.2014e-01,4.9242e+00,4.8357e+00,3.2429e+01,-1.0000e+04
-4.5391e-02,-9.9438e-01,5.3136e+00,3.9305e+00,3.3200e+01,-1.0000e+04
