logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.6815e-01,-1.3295e+00,5.9787e-02,1.2920e+00,1.4708e+00,3.9769e+00,4.8851e+00,2.9857e+01,-4.4615e+01
-2.7766e-01,-1.4365e+00,1.5989e-01,-1.9162e-01,8.2449e-01,2.9579e+00,4.9343e+00,2.9812e+01,-4.1401e+01
-2.1126e-01,-1.4828e+00,-1.9363e-01,8.9437e-01,-2.4128e-02,2.4535e+00,4.9197e+00,2.9775e+01,-5.5437e+01
-1.6433e-01,-1.3611e+00,-1.5371e+00,2.1038e+00,-3.3115e-01,3.8946e+00,4.8736e+00,2.9746e+01,-4.9692e+01
-1.9885e-01,-1.3863e+00,-6.8125e-01,1.2508e+00,2.2460e+00,4.1022e+00,4.8564e+00,2.9862e+01,-2.2740e+01
-3.7905e-01,-1.3062e+00,-8.8768e-01,-1.0882e+00,5.1779e-01,1.7869e+00,4.9171e+00,2.9797e+01,-6.1598e+01
-4.7754e-01,-1.0943e+00,2.9370e-01,-1.1566e+00,2.3260e+00,2.0278e+00,4.9328e+00,2.9848e+01,-5.7400e+01
-4.2374e-01,-1.1458e+00,-2.3923e-01,1.5364e+00,-8.8538e-01,2.4948e+00,4.9278e+00,2.9801e+01,-6.2440e+01
-3.5108e-01,-1.3361e+00,-9.6757e-01,-1.3494e+00,-1.6647e-01,1.3196e+00,4.9116e+00,2.9771e+01,-4.6223e+01
-2.4204e-01,-1.4249e+00,-2.1460e-01,-1.4847e-01,-1.0489e+00,3.6142e+00,4.9083e+00,2.9823e+01,-3.6043e+01
-3.0087e-01,-1.4107e+00,-4.8456e-01,9.9951e-01,1.5277e+00,2.4307e+00,4.8981e+00,2.9732e+01,-5.9248e+01
-2.7420e-01,-1.2905e+00,-2.6972e+00,-1.4232e+00,6.1537e-01,3.8808e+00,4.8467e+00,2.9726e+01,-4.7666e+01
-3.2885e-01,-1.4126e+00,-1.1916e+00,-1.4757e+00,-8.4890e-01,1.6606e+00,4.9228e+00,2.9805e+01,-6.1496e+01
-3.1081e-01,-1.3692e+00,-2.3779e+00,7.3522e-01,2.3319e+00,2.4468e-01,4.9234e+00,2.9799e+01,-4.8077e+01
-3.7445e-01,-1.1954e+00,-4.3336e-01,-8.3352e-01,1.2671e+00,3.5060e+00,4.9203e+00,2.9834e+01,-2.9016e+01
-2.4038e-01,-1.3926e+00,-7.3858e-01,-1.0452e+00,5.4774e-01,3.7708e+00,4.8646e+00,2.9758e+01,-5.1940e+01
-4.1141e-01,-1.1585e+00,-1.3107e+00,-8.4517e-01,2.1391e+00,3.7502e+00,4.9151e+00,2.9892e+01,-3.6082e+01
-1.5212e-01,-1.4702e+00,-1.3135e+00,-8.5054e-01,-7.9128e-01,4.0994e+00,4.8601e+00,2.9817e+01,-3.1925e-01
-2.6538e-01,-1.4956e+00,-2.0121e+00,8.5813e-02,-4.7914e-01,1.3698e+00,4.9323e+00,2.9784e+01,-3.7457e+01
-3.4356e-01,-1.2338e+00,2.1349e-02,-5.1340e-01,-1.0750e+00,3.6655e+00,4.9147e+00,2.9848e+01,-1.8501e+01
