logz,logdust,logNpix,logage,lnprob,N_walkers
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
-0.1750,-2.1084,2.0152,9.5854,-861.3155,128
