logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1747,-1.9396,1.1343,1.2296,1.1357,1.2334,1.1594,0.8798,0.9712,-1494.9572,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
-0.1737,-1.9382,1.1330,1.2319,1.1365,1.2368,1.1592,0.8658,0.9629,-1489.5510,128
