"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-8985.184957830867,-2880.780135488634,-241.85046841043157,-1620.7236643409192,-804.8710016257056,-180.0638703096473,-9450.39131649288,-3328.9485631999655,-158.99538052733038,-2492.9280254027585,-1717.025727434956,-151.40343302290364,-7186.616502138699,-2649.485524261707,-143.18347750098908
-8029.557273578362,-2677.1586751419854,-210.05711806535427,-2727.1282153161856,-757.0308911880079,-155.4653936485919,-9739.268461625874,-3132.138660364917,-180.21738971341006,-6243.315302393493,-1449.4070241982363,-136.62169366320342,-7484.2283859553,-2379.9137117967985,-197.6236726791381
-8471.199563646398,-2757.591686602224,-230.55562655263498,-1566.4756032158798,-901.7582723191992,-98.72809872340979,-10185.024624210635,-3467.3271655112485,-210.0504648335085,-3770.150691393425,-1971.8244240422514,-187.29604130621297,-5927.839139706262,-2321.3301226119142,-155.09033920095752
-8519.689864240718,-2819.0559458310863,-185.3867587289478,-1424.1155282697339,-831.586381801898,-140.51121569688215,-10072.179630660408,-3308.971917361574,-261.2601305072555,-4370.48183149273,-1893.9278697676539,-174.94513069110474,-9148.703823494407,-2047.2168545558418,-253.64816748043822
-11603.813187777761,-2637.4232795580547,-181.95624384881796,-3309.7370398813196,-952.1866575162529,-231.17975918436744,-9841.234364747292,-3381.451220216356,-172.64862807369855,-3075.449961139757,-1512.4282070035993,-115.9695022900335,-7365.114299177277,-2507.2457753611434,-197.55860424064164
-8354.31256796178,-2590.453873001096,-233.79322731976345,-3662.626453980349,-1629.2136120806224,-113.1986927450707,-9933.546979803052,-3118.8838935861195,-182.33733093030048,-2912.9755636986843,-1818.4556527299924,-194.38086029933993,-7650.350093860909,-2199.4702800486352,-145.62676396426352
-7963.395374743843,-2606.99183034646,-268.8186427908704,-1646.3047582873082,-848.9217190592099,-221.46987653211966,-9548.717039959025,-3163.409510046901,-247.15769835314373,-6816.1714501614915,-1858.5815527564394,-158.6782160681943,-10575.901218116938,-2489.499214328994,-168.8263188518749
-12656.255968159247,-2636.8091360346025,-176.78985261422645,-2551.068750299514,-982.5882508002484,-285.6073398451094,-11338.892184486225,-3229.076010331444,-158.2099875479019,-4624.480016350685,-2166.8349399872122,-98.72313259713866,-6634.690276702604,-2056.740601616768,-187.08254828531784
-9937.605860574522,-2705.5439756659525,-152.7541086036655,-2090.6260455375323,-861.6492280917068,-109.33883866076617,-9803.335858571345,-3014.9271560064462,-172.77499354469697,-4856.74678157263,-1679.1680916301561,-218.08325631689377,-8233.01499620889,-2120.1004534848685,-562.2951803536048
-8434.780822009296,-2763.3461998792773,-201.88463478187128,-1955.5539523327066,-832.1104343807677,-265.00080129666975,-10160.629999319184,-3286.5041757662266,-209.26382714689862,-3297.952394368142,-1532.2921896963662,-260.3753049137917,-5788.285292458943,-2195.6085896058216,-129.153576302906
-9141.595156224776,-2693.377891389645,-194.82117707611255,-1554.2632290467557,-1046.1299864616406,-76.58820608261551,-9861.2785225114,-3236.948543898433,-189.6021387472121,-2864.6136898442373,-1756.8472318828176,-115.06339343918012,-10573.314087584871,-2101.4827080320547,-187.85265624740725
-7980.8415212384825,-2946.1753136213288,-233.86943407638495,-3675.8686257333025,-963.3138134240081,-183.99631007464876,-10442.34234084481,-3036.6300358729072,-265.7257652058962,-2724.889363732455,-1576.0338232988197,-149.72618717736793,-7739.158912958501,-2252.4223748959826,-265.6371096560692
-9362.286315167914,-2861.0948613136134,-238.62346133226887,-1810.331956769098,-898.1146102864492,-117.57562593114679,-9449.995537236093,-3392.1152142501496,-249.38130898089995,-2648.6613809323535,-1475.1508722835513,-255.7820444050898,-7988.383011232573,-2262.351718443427,-215.5564699462608
