logz,logdust,logNpix,logage,lnprob,N_walkers
-0.7758,-3.0619,2.4278,8.1056,-169483.0949,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8022,-3.1254,2.3537,8.0602,-146084.4700,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-0.8786,-3.3087,2.1398,7.9287,-127346.3422,32
-1.4312,-4.6349,0.5927,6.9784,-107260.7066,32
-1.8036,-5.5286,-0.4501,6.3378,-44452.9676,32
-1.8817,-5.7160,-0.6687,6.2035,-39733.4430,32
-1.8817,-5.7160,-0.6687,6.2035,-39733.4430,32
-1.8817,-5.7160,-0.6687,6.2035,-39733.4430,32
-1.8817,-5.7160,-0.6687,6.2035,-39733.4430,32
-1.8817,-5.7160,-0.6687,6.2035,-39733.4430,32
-1.8817,-5.7160,-0.6687,6.2035,-39733.4430,32
-1.9037,-5.7689,-0.7303,6.1656,-39719.7976,32
-1.9037,-5.7689,-0.7303,6.1656,-39719.7976,32
-1.9258,-5.8219,-0.7922,6.1276,-38323.2761,32
-1.9258,-5.8219,-0.7922,6.1276,-38323.2761,32
-1.9258,-5.8219,-0.7922,6.1276,-38323.2761,32
-1.9258,-5.8219,-0.7922,6.1276,-38323.2761,32
-1.9258,-5.8219,-0.7922,6.1276,-38323.2761,32
-1.9456,-5.8695,-0.8477,6.0935,-37328.1264,32
-1.9456,-5.8695,-0.8477,6.0935,-37328.1264,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9495,-5.8789,-0.8587,6.0868,-36527.3336,32
-1.9613,-5.9071,-0.8917,6.0665,-36378.6603,32
-1.9613,-5.9071,-0.8917,6.0665,-36378.6603,32
-1.9690,-5.9255,-0.9131,6.0534,-36141.4196,32
-1.9690,-5.9255,-0.9131,6.0534,-36141.4196,32
-1.9703,-5.9287,-0.9168,6.0511,-35563.3430,32
-1.9703,-5.9287,-0.9168,6.0511,-35563.3430,32
-1.9703,-5.9287,-0.9168,6.0511,-35563.3430,32
